Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,127,126,542,477,85,116,31,1,20,62,12,2,59,133,0.243,0.332,0.438,0.77,209,11,5,0,1,3,6,0.295,100,116,64
Season Totals,Last 7 days,6,6,24,22,3,4,0,0,1,1,0,0,2,8,0.182,0.25,0.318,0.568,7,3,0,0,0,1,0,0.231,48,66,3
Season Totals,Last 14 days,12,12,47,42,5,9,1,1,1,5,0,1,5,13,0.214,0.298,0.357,0.655,15,3,0,0,0,1,0,0.286,71,86,6
Season Totals,Last 28 days,25,25,103,93,16,27,6,1,6,17,1,1,9,27,0.29,0.359,0.57,0.929,53,3,1,0,0,1,0,0.35,138,152,14
Season Totals,Last 365 days,146,145,616,542,90,127,35,2,22,67,13,2,65,156,0.234,0.325,0.428,0.753,232,11,8,0,1,3,8,0.288,96,,68
Platoon Splits,vs RHP,126,,391,347,61,81,19,1,15,46,8,2,39,98,0.233,0.32,0.424,0.743,147,11,5,0,0,0,4,0.282,93,109,46
Platoon Splits,vs LHP,71,,151,130,24,35,12,0,5,16,4,0,20,35,0.269,0.364,0.477,0.841,62,0,0,0,1,3,2,0.33,119,134,18
Platoon Splits,vs RHP as RHB,126,,391,347,,81,19,1,15,46,0,0,39,98,0.233,0.32,0.424,0.743,147,11,5,0,0,0,4,0.282,93,115,46
Platoon Splits,vs LHP as RHB,71,,151,130,,35,12,0,5,16,0,0,20,35,0.269,0.364,0.477,0.841,62,0,0,0,1,3,2,0.33,119,128,18
Platoon Splits,vs RH Starter,85,84,358,316,62,74,17,1,14,40,6,2,37,84,0.234,0.324,0.427,0.751,135,9,5,0,0,2,4,0.275,95,110,42
Platoon Splits,vs LH Starter,42,42,184,161,23,42,14,0,6,22,6,0,22,49,0.261,0.348,0.46,0.807,74,2,0,0,1,1,2,0.336,110,126,22
Home or Away,Home,65,64,270,238,39,60,16,1,7,32,8,2,26,54,0.252,0.337,0.416,0.753,99,6,5,0,1,3,4,0.298,97,109,36
Home or Away,Away,62,62,272,239,46,56,15,0,13,30,4,0,33,79,0.234,0.327,0.46,0.788,110,5,0,0,0,0,2,0.293,104,123,28
First or Second Half,1st Half,94,93,404,358,63,84,24,0,13,43,9,1,41,96,0.235,0.319,0.411,0.73,147,7,4,0,1,2,5,0.284,90,106,47
First or Second Half,2nd Half,33,33,138,119,22,32,7,1,7,19,3,1,18,37,0.269,0.37,0.521,0.891,62,4,1,0,0,1,1,0.333,130,145,17
Months,April/March,30,29,124,117,15,26,7,0,4,14,3,0,6,31,0.222,0.266,0.385,0.651,45,3,1,0,0,1,0,0.268,68,85,15
Months,May,27,27,117,102,23,26,7,0,4,13,2,0,13,24,0.255,0.35,0.441,0.792,45,2,2,0,0,0,4,0.297,106,128,15
Months,June,25,25,112,95,17,24,7,0,3,12,2,1,16,29,0.253,0.357,0.421,0.778,40,1,0,0,1,1,0,0.328,104,118,14
Months,July,25,25,106,88,18,21,7,0,4,9,5,0,17,24,0.239,0.368,0.455,0.822,40,2,1,0,0,0,2,0.283,115,125,10
Months,August,20,20,83,75,12,19,3,1,5,14,0,1,7,25,0.253,0.325,0.52,0.845,39,3,1,0,0,1,0,0.311,117,131,10
Game Outcome for Team,in Wins,64,63,277,240,56,71,15,0,16,51,7,0,31,55,0.296,0.386,0.558,0.945,134,6,5,0,1,2,4,0.324,144,126,40
