Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,125,527,465,56,106,24,1,21,63,0,0,50,143,0.228,0.311,0.419,0.731,195,11,8,0,4,4,3,0.279,100,104,60
Season Totals,Last 7 days,6,6,27,21,5,4,0,0,1,2,0,0,5,5,0.191,0.37,0.333,0.704,7,1,1,0,0,1,0,0.2,98,107,3
Season Totals,Last 14 days,13,13,59,49,8,11,1,0,3,10,0,0,8,11,0.225,0.339,0.429,0.768,21,2,1,0,1,1,0,0.222,111,113,7
Season Totals,Last 28 days,26,26,113,97,15,25,3,0,8,19,0,0,14,31,0.258,0.354,0.536,0.89,52,4,1,0,1,2,0,0.288,142,141,14
Season Totals,Last 365 days,164,164,696,609,86,153,30,2,32,94,0,0,73,175,0.251,0.338,0.465,0.802,283,14,9,0,5,4,4,0.297,120,,89
Platoon Splits,vs RHP,120,,383,336,36,73,17,0,14,43,0,0,40,104,0.217,0.306,0.393,0.698,132,9,4,0,3,4,2,0.267,92,96,42
Platoon Splits,vs LHP,66,,144,129,20,33,7,1,7,20,0,0,10,39,0.256,0.326,0.488,0.815,63,2,4,0,1,0,1,0.31,121,125,18
Platoon Splits,vs RHP as LHB,120,,383,336,,73,17,0,14,43,0,0,40,104,0.217,0.306,0.393,0.698,132,9,4,0,3,4,2,0.267,92,90,42
Platoon Splits,vs LHP as LHB,66,,144,129,,33,7,1,7,20,0,0,10,39,0.256,0.326,0.488,0.815,63,2,4,0,1,0,1,0.31,121,140,18
Platoon Splits,vs RH Starter,89,89,371,326,35,67,15,0,13,40,0,0,38,103,0.206,0.294,0.371,0.665,121,9,4,0,3,4,3,0.254,83,87,39
Platoon Splits,vs LH Starter,36,36,156,139,21,39,9,1,8,23,0,0,12,40,0.281,0.353,0.532,0.885,74,2,4,0,1,0,0,0.337,141,145,21
Home or Away,Home,59,59,240,214,27,53,15,1,8,26,0,0,18,63,0.248,0.317,0.439,0.756,94,6,5,0,3,1,0,0.308,107,108,29
Home or Away,Away,66,66,287,251,29,53,9,0,13,37,0,0,32,80,0.211,0.307,0.402,0.709,101,5,3,0,1,3,3,0.252,95,101,31
First or Second Half,1st Half,95,95,398,353,41,81,21,1,13,44,0,0,36,109,0.23,0.309,0.405,0.714,143,5,6,0,3,2,3,0.291,96,101,46
First or Second Half,2nd Half,30,30,129,112,15,25,3,0,8,19,0,0,14,34,0.223,0.318,0.464,0.782,52,6,2,0,1,2,0,0.239,113,114,14
Months,April/March,28,28,123,104,14,21,8,1,3,15,0,0,15,32,0.202,0.317,0.385,0.702,40,2,3,0,1,2,2,0.257,94,101,9
Months,May,27,27,110,100,11,27,5,0,5,15,0,0,8,29,0.27,0.327,0.47,0.797,47,1,1,0,1,0,0,0.328,117,128,17
Months,June,27,27,111,102,12,26,6,0,4,11,0,0,8,32,0.255,0.315,0.431,0.747,44,1,1,0,0,0,1,0.333,104,107,16
Months,July,25,25,105,93,9,16,2,0,5,9,0,0,9,33,0.172,0.257,0.355,0.612,33,3,2,0,1,0,0,0.196,67,66,9
Months,August,18,18,78,66,10,16,3,0,4,13,0,0,10,17,0.242,0.346,0.47,0.816,31,4,1,0,1,2,0,0.261,123,125,9
Game Outcome for Team,in Wins,67,67,289,258,42,64,13,0,18,51,0,0,25,71,0.248,0.322,0.508,0.83,131,4,4,0,2,3,2,0.269,125,97,33
Game Outcome for Team,in Losses,58,58,238,207,14,42,11,1,3,12,0,0,25,72,0.203,0.298,0.309,0.608,64,7,4,0,2,1,1,0.291,70,108,27
Starter or Substitute,as Starter,125,125,527,465,56,106,24,1,21,63,0,0,50,143,0.228,0.311,0.419,0.731,195,11,8,0,4,4,3,0.279,100,104,60
Defensive Positions,as 1B,125,,527,465,56,106,24,1,21,63,0,0,50,143,0.228,0.311,0.419,0.731,195,11,8,0,4,4,3,0.279,100,99,60
Leading Off Inning,Leadoff Inn.,85,,120,103,,19,6,0,5,5,,,15,39,0.185,0.3,0.388,0.688,40,0,2,0,0,0,2,0.237,89,97,8
Batting Order Positions,Batting 4th,123,123,519,458,56,106,24,1,21,63,0,0,50,142,0.231,0.314,0.426,0.74,195,9,7,0,4,4,3,0.284,103,101,60
Batting Order Positions,Batting 5th,2,2,8,7,0,0,0,0,0,0,0,0,0,1,0.0,0.125,0.0,0.125,0,2,1,0,0,0,0,0.0,-60,-60,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,106,,174,162,,38,10,0,7,24,,,7,46,0.235,0.276,0.426,0.702,69,5,3,0,2,0,1,0.279,90,98,21
Swung or Took First Pitch of PA,Took 1st Pitch,124,,353,303,,68,14,1,14,39,,,43,97,0.224,0.329,0.416,0.744,126,6,5,0,2,4,2,0.278,105,108,39
Count/Balls-Strikes,First Pitch,38,,46,42,8,12,3,0,2,7,0,0,0,0,0.286,0.326,0.5,0.826,21,1,3,0,1,0,0,0.244,124,85,7
Count/Balls-Strikes,1-0 Count,15,,15,15,2,8,4,0,0,1,0,0,0,0,0.533,0.533,0.8,1.333,12,0,0,0,0,0,0,0.533,262,196,4
Count/Balls-Strikes,2-0 Count,14,,14,14,7,8,0,0,4,8,0,0,0,0,0.571,0.571,1.429,2.0,20,0,0,0,0,0,0,0.4,425,296,4
Count/Balls-Strikes,3-0 Count,15,,16,4,1,2,0,0,1,2,0,0,12,0,0.5,0.875,1.25,2.125,5,0,0,0,0,4,0,0.333,480,133,1
Count/Balls-Strikes,0-1 Count,33,,35,32,7,9,1,0,3,10,0,0,0,0,0.281,0.314,0.594,0.908,19,0,2,0,1,0,1,0.2,143,111,5
Count/Balls-Strikes,1-1 Count,26,,28,28,5,10,2,0,1,5,0,0,0,0,0.357,0.357,0.536,0.893,15,2,0,0,0,0,0,0.333,143,112,7
Count/Balls-Strikes,2-1 Count,24,,25,25,3,8,6,0,1,2,0,0,0,0,0.32,0.32,0.68,1.0,17,2,0,0,0,0,0,0.292,165,109,1
Count/Balls-Strikes,3-1 Count,22,,22,8,2,3,0,1,0,1,0,0,14,0,0.375,0.773,0.625,1.398,5,0,0,0,0,0,0,0.375,298,109,2
Count/Balls-Strikes,0-2 Count,40,,44,43,6,7,0,0,2,4,0,0,0,23,0.163,0.182,0.302,0.484,13,1,1,0,0,0,0,0.278,31,149,5
Count/Balls-Strikes,1-2 Count,69,,85,83,4,14,4,0,2,5,0,0,0,47,0.169,0.177,0.289,0.466,24,1,1,0,1,0,2,0.343,26,122,8
Count/Balls-Strikes,2-2 Count,67,,90,89,4,15,3,0,2,8,0,0,0,37,0.169,0.178,0.27,0.448,24,1,1,0,0,0,0,0.26,22,99,10
Count/Balls-Strikes,Full Count,71,,107,82,7,10,1,0,3,10,0,0,24,36,0.122,0.318,0.244,0.562,20,3,0,0,1,0,0,0.159,61,43,6
Count/Balls-Strikes,After 1-0,109,,212,175,,44,7,1,10,26,,,36,54,0.251,0.377,0.474,0.852,83,3,0,0,1,4,0,0.304,134,111,26
Count/Balls-Strikes,After 2-0,61,,76,47,,15,0,0,7,13,,,29,9,0.319,0.579,0.766,1.345,36,0,0,0,0,4,0,0.258,269,182,8
Count/Balls-Strikes,After 3-0,31,,32,10,,3,0,0,1,3,,,22,2,0.3,0.781,0.6,1.381,6,0,0,0,0,4,0,0.286,294,124,2
Count/Balls-Strikes,After 0-1,116,,269,248,,50,14,0,9,30,,,14,89,0.202,0.257,0.367,0.623,91,7,5,0,2,0,3,0.27,70,105,27
Count/Balls-Strikes,After 1-1,114,,232,212,,44,12,1,4,18,,,19,73,0.208,0.272,0.33,0.602,70,6,0,0,1,0,0,0.294,66,81,27
Count/Balls-Strikes,After 2-1,85,,117,95,,21,8,1,3,10,,,22,24,0.221,0.368,0.421,0.789,40,4,0,0,0,0,0,0.265,119,101,9
Count/Balls-Strikes,After 3-1,43,,50,25,,6,0,1,1,4,,,25,5,0.24,0.62,0.44,1.06,11,1,0,0,0,0,0,0.263,204,105,4
Count/Balls-Strikes,After 0-2,81,,123,117,,18,4,0,5,14,,,2,61,0.154,0.187,0.316,0.503,37,4,3,0,1,0,2,0.25,36,119,9
Count/Balls-Strikes,After 1-2,113,,196,186,,28,6,0,5,15,,,6,94,0.151,0.184,0.263,0.447,49,3,2,0,2,0,2,0.258,22,79,17
Count/Balls-Strikes,After 2-2,101,,169,154,,22,4,0,4,15,,,13,68,0.143,0.213,0.247,0.46,38,3,1,0,1,0,0,0.217,27,58,14
Count/Balls-Strikes,Zero Balls,92,,125,117,21,28,4,0,7,21,0,0,0,23,0.239,0.272,0.453,0.725,53,2,6,0,2,0,1,0.236,96,100,17
Count/Balls-Strikes,Zero Strikes,67,,91,75,18,30,7,0,7,18,0,0,12,0,0.4,0.495,0.773,1.268,58,1,3,0,1,4,0,0.333,244,163,16
Count/Balls-Strikes,Three Balls,86,,145,94,10,15,1,1,4,13,0,0,50,36,0.16,0.448,0.319,0.767,30,3,0,0,1,4,0,0.2,120,64,9
Count/Balls-Strikes,Two Strikes,124,,326,297,21,46,8,0,9,27,0,0,24,143,0.155,0.224,0.273,0.497,81,6,3,0,2,0,2,0.252,37,94,29
Count/Balls-Strikes,Batter Ahead,100,,199,148,22,39,11,1,9,24,0,0,50,36,0.264,0.447,0.534,0.981,79,5,0,0,1,4,0,0.289,171,105,18
Count/Balls-Strikes,Even Count,101,,164,159,17,37,8,0,5,20,0,0,0,37,0.233,0.25,0.377,0.627,60,4,4,0,1,0,0,0.271,70,81,24
Count/Balls-Strikes,Pitcher Ahead,98,,164,158,17,30,5,0,7,19,0,0,0,70,0.19,0.207,0.354,0.562,56,2,4,0,2,0,3,0.277,51,113,18
Number of Outs in Inning,0 outs,113,,193,170,16,37,9,0,8,16,0,0,18,55,0.218,0.306,0.412,0.718,70,4,4,0,1,1,3,0.269,97,99,20
Number of Outs in Inning,1 out,97,,160,141,17,27,7,0,4,18,0,0,14,40,0.192,0.269,0.326,0.595,46,7,2,0,3,2,0,0.23,64,66,16
Number of Outs in Inning,2 outs,104,,174,154,23,42,8,1,9,29,0,0,18,48,0.273,0.356,0.513,0.869,79,0,2,0,0,1,0,0.34,137,146,24
