Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,46,36,148,120,18,30,11,1,8,24,3,0,16,56,0.25,0.385,0.558,0.943,67,2,11,0,1,0,0,0.386,100,163,10
Season Totals,Last 7 days,6,5,20,16,1,2,1,0,1,4,1,0,1,5,0.125,0.3,0.375,0.675,6,2,3,0,0,0,0,0.1,45,97,0
Season Totals,Last 14 days,13,10,44,36,5,7,2,0,1,6,2,0,5,14,0.194,0.341,0.333,0.674,12,2,3,0,0,0,0,0.286,48,94,4
Season Totals,Last 28 days,21,17,74,61,11,16,7,1,3,14,3,0,8,23,0.262,0.392,0.557,0.949,34,2,5,0,0,0,0,0.371,102,159,5
Season Totals,Last 365 days,79,67,266,216,39,56,17,2,13,43,3,0,34,93,0.259,0.395,0.537,0.932,116,3,15,0,1,1,1,0.387,99,,24
Platoon Splits,vs RHP,45,,131,106,17,28,11,0,8,23,3,0,14,47,0.264,0.397,0.594,0.991,63,2,10,0,1,0,0,0.385,110,176,9
Platoon Splits,vs LHP,11,,17,14,1,2,0,1,0,1,0,0,2,9,0.143,0.294,0.286,0.58,4,0,1,0,0,0,0,0.4,28,64,1
Platoon Splits,vs RHP as LHB,45,,131,106,,28,11,0,8,23,0,0,14,47,0.264,0.397,0.594,0.991,63,2,10,0,1,0,0,0.385,110,167,9
Platoon Splits,vs LHP as LHB,11,,17,14,,2,0,1,0,1,0,0,2,9,0.143,0.294,0.286,0.58,4,0,1,0,0,0,0,0.4,28,75,1
Platoon Splits,vs RH Starter,35,33,128,103,17,29,11,1,8,24,2,0,14,46,0.282,0.414,0.641,1.055,66,2,10,0,1,0,0,0.42,122,193,9
Platoon Splits,vs LH Starter,11,3,20,17,1,1,0,0,0,0,1,0,2,10,0.059,0.2,0.059,0.259,1,0,1,0,0,0,0,0.143,-38,-22,1
Home or Away,Home,18,15,57,45,7,11,2,1,2,7,1,0,9,20,0.244,0.404,0.467,0.87,21,1,3,0,0,0,0,0.391,89,143,6
Home or Away,Away,28,21,91,75,11,19,9,0,6,17,2,0,7,36,0.253,0.374,0.613,0.987,46,1,8,0,1,0,0,0.382,107,177,4
First or Second Half,1st Half,20,15,59,47,4,10,3,0,3,8,0,0,5,27,0.213,0.356,0.468,0.824,22,0,6,0,1,0,0,0.389,76,132,4
First or Second Half,2nd Half,26,21,89,73,14,20,8,1,5,16,3,0,11,29,0.274,0.405,0.616,1.021,45,2,5,0,0,0,0,0.385,115,179,6
Months,April/March,13,8,33,25,1,2,1,0,1,4,0,0,3,17,0.08,0.273,0.24,0.513,6,0,4,0,1,0,0,0.125,14,49,0
Months,July,15,13,51,44,8,16,5,0,5,9,0,0,5,19,0.364,0.451,0.818,1.269,36,0,2,0,0,0,0,0.55,164,238,6
Months,August,18,15,64,51,9,12,5,1,2,11,3,0,8,20,0.235,0.391,0.49,0.881,25,2,5,0,0,0,0,0.345,89,145,4
Game Outcome for Team,in Wins,22,20,84,66,17,20,7,1,7,19,2,0,13,27,0.303,0.452,0.758,1.21,50,0,5,0,0,0,0,0.406,153,186,5
Game Outcome for Team,in Losses,24,16,64,54,1,10,4,0,1,5,1,0,3,29,0.185,0.297,0.315,0.612,17,2,6,0,1,0,0,0.36,34,109,5
Starter or Substitute,as Starter,36,36,136,110,17,29,11,1,8,24,2,0,14,51,0.264,0.397,0.6,0.997,66,2,11,0,1,0,0,0.404,111,176,9
Starter or Substitute,as Sub,10,0,12,10,1,1,0,0,0,0,1,0,2,5,0.1,0.25,0.1,0.35,1,0,0,0,0,0,0,0.2,-17,11,1
Defensive Positions,as LF,21,,63,48,8,12,4,1,2,8,3,0,10,21,0.25,0.413,0.5,0.913,24,2,4,0,1,0,0,0.385,97,158,5
Defensive Positions,as RF,10,,37,31,3,6,1,0,3,7,0,0,1,15,0.194,0.324,0.516,0.84,16,0,5,0,0,0,0,0.231,77,127,2
Defensive Positions,as DH,11,,41,35,7,11,6,0,3,9,0,0,4,18,0.314,0.415,0.743,1.158,26,0,2,0,0,0,0,0.571,141,203,2
Defensive Positions,as PH,8,,8,7,,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393,1,0,0,0,0,0,0,0.25,-9,26,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,24,,31,25,,4,2,0,1,1,,,3,15,0.16,0.323,0.36,0.683,9,0,3,0,0,0,0,0.333,48,97,1
Batting Order Positions,Batting 1st,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 3rd,5,4,17,16,4,6,2,0,1,5,0,0,1,4,0.375,0.412,0.688,1.099,11,0,0,0,0,0,0,0.455,130,177,3
