Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,21,509.0,457,53.0,107,7,0,10,10,2,45,115,2.56,0.234,0.307,0.315,0.622,144.0,13.0,4.0,0,2,0,2,0.29,100,77,90
Season Totals,Last 7 days,1,24.0,20,3.0,5,0,0,0,2,0,3,5,1.67,0.25,0.333,0.25,0.583,5.0,0.0,0.0,0,1,0,0,0.313,88,73,5
Season Totals,Last 14 days,2,49.0,42,8.0,12,1,0,1,2,0,6,14,2.33,0.286,0.367,0.381,0.748,16.0,0.0,0.0,0,1,0,0,0.393,141,110,10
Season Totals,Last 28 days,3,68.0,56,13.0,16,1,0,1,5,0,11,20,1.82,0.286,0.397,0.357,0.754,20.0,0.0,0.0,0,1,0,0,0.417,143,111,14
Season Totals,Last 365 days,26,626.0,564,60.0,129,9,0,13,10,3,54,150,2.78,0.229,0.301,0.314,0.615,177.0,17.0,5.0,0,2,0,2,0.288,98,,107
Platoon Splits,vs RHB,21,402.0,362,31.0,73,4,0,6,10,1,35,91,2.6,0.202,0.274,0.262,0.537,95.0,11.0,2.0,0,2,0,2,0.251,72,55,63
Platoon Splits,vs LHB,19,107.0,95,17.0,34,3,0,4,0,1,10,24,2.4,0.358,0.43,0.516,0.946,49.0,2.0,2.0,0,0,0,0,0.448,204,162,27
Platoon Splits,vs RHB as LHP,21,402.0,362,31.0,73,4,0,6,10,1,35,91,2.6,0.202,0.274,0.262,0.537,95.0,11.0,2.0,0,2,0,2,0.251,72,49,63
Platoon Splits,vs LHB as LHP,19,107.0,95,17.0,34,3,0,4,0,1,10,24,2.4,0.358,0.43,0.516,0.946,49.0,2.0,2.0,0,0,0,0,0.448,204,182,27
Home or Away,Home,8,205.0,186,23.0,54,3,0,3,6,1,17,39,2.29,0.29,0.351,0.355,0.706,66.0,6.0,1.0,0,1,0,1,0.352,127,104,48
Home or Away,Away,13,304.0,271,30.0,53,4,0,7,4,1,28,76,2.71,0.196,0.277,0.288,0.565,78.0,7.0,3.0,0,1,0,1,0.243,82,58,42
First or Second Half,1st Half,18,441.0,401,40.0,91,6,0,9,5,2,34,95,2.79,0.227,0.293,0.309,0.602,124.0,13.0,4.0,0,1,0,2,0.275,94,72,76
First or Second Half,2nd Half,3,68.0,56,13.0,16,1,0,1,5,0,11,20,1.82,0.286,0.397,0.357,0.754,20.0,0.0,0.0,0,1,0,0,0.417,143,113,14
Months,April/March,6,129.0,117,15.0,26,2,0,2,2,0,11,25,2.27,0.222,0.295,0.291,0.585,34.0,5.0,1.0,0,0,0,1,0.267,89,70,22
Months,May,5,133.0,122,9.0,23,2,0,2,1,1,10,29,2.9,0.189,0.256,0.254,0.51,31.0,5.0,1.0,0,0,0,0,0.231,64,49,19
Months,June,5,123.0,111,10.0,26,1,0,2,1,1,9,30,3.33,0.234,0.295,0.297,0.592,33.0,2.0,1.0,0,1,0,1,0.3,90,67,23
Months,July,2,56.0,51,6.0,16,1,0,3,1,0,4,11,2.75,0.314,0.375,0.51,0.885,26.0,1.0,1.0,0,0,0,0,0.351,184,141,12
Months,August,3,68.0,56,13.0,16,1,0,1,5,0,11,20,1.82,0.286,0.397,0.357,0.754,20.0,0.0,0.0,0,1,0,0,0.417,143,114,14
Game Outcome for Pitcher,in Wins,7,184.0,175,7.0,27,3,0,1,1,2,6,47,7.83,0.154,0.191,0.189,0.38,33.0,8.0,2.0,0,0,0,2,0.205,22,46,23
Game Outcome for Pitcher,in Losses,7,174.0,151,25.0,44,1,0,6,6,0,20,34,1.7,0.291,0.379,0.417,0.797,63.0,3.0,2.0,0,1,0,0,0.339,156,68,37
Game Outcome for Pitcher,in No Dec.,7,151.0,131,21.0,36,3,0,3,3,0,19,34,1.79,0.275,0.364,0.366,0.731,48.0,2.0,0.0,0,1,0,0,0.347,135,111,30
Pitching Role,as Starter,21,509.0,457,53.0,107,7,0,10,10,2,45,115,2.56,0.234,0.307,0.315,0.622,144.0,13.0,4.0,0,2,0,2,0.29,100,75,90
Run Support,0-2 Runs Scored,10,240.0,209,22.0,50,1,0,4,7,1,28,53,1.89,0.239,0.329,0.301,0.631,63.0,6.0,1.0,0,2,0,0,0.299,103,73,45
Run Support,3-5 Runs Scored,4,99.0,92,4.0,16,2,0,1,0,0,7,17,2.43,0.174,0.232,0.228,0.461,21.0,6.0,0.0,0,0,0,1,0.203,48,32,13
Run Support,6+ Runs Scored,7,170.0,156,27.0,41,4,0,5,3,1,10,45,4.5,0.263,0.32,0.385,0.704,60.0,1.0,3.0,0,0,0,1,0.34,127,99,32
Batting Order Positions,Batting 1st,21,66.0,58,6.0,15,3,0,1,0,1,6,11,1.83,0.259,0.333,0.362,0.695,21.0,1.0,1.0,0,1,0,0,0.298,123,91,11
Batting Order Positions,Batting 2nd,21,63.0,58,7.0,13,0,0,4,0,0,5,14,2.8,0.224,0.286,0.431,0.717,25.0,3.0,0.0,0,0,0,1,0.225,130,87,9
Batting Order Positions,Batting 3rd,21,61.0,52,2.0,15,1,0,0,2,0,8,12,1.5,0.289,0.393,0.308,0.701,16.0,1.0,1.0,0,0,0,0,0.375,126,86,14
Batting Order Positions,Batting 4th,21,60.0,52,7.0,13,1,0,1,2,0,7,14,2.0,0.25,0.333,0.327,0.66,17.0,3.0,0.0,0,1,0,0,0.316,112,83,11
Batting Order Positions,Batting 5th,21,58.0,51,2.0,11,0,0,0,0,0,4,12,3.0,0.216,0.298,0.216,0.514,11.0,2.0,2.0,0,0,0,0,0.282,66,48,11
Batting Order Positions,Batting 6th,21,56.0,49,6.0,13,0,0,2,0,0,7,16,2.29,0.265,0.357,0.388,0.745,19.0,0.0,0.0,0,0,0,0,0.355,140,119,11
Batting Order Positions,Batting 7th,21,51.0,49,7.0,14,1,0,0,3,1,2,12,6.0,0.286,0.314,0.306,0.62,15.0,0.0,0.0,0,0,0,0,0.378,99,83,13
Batting Order Positions,Batting 8th,20,47.0,46,3.0,6,0,0,1,1,0,1,18,18.0,0.13,0.149,0.196,0.345,9.0,2.0,0.0,0,0,0,0,0.185,11,4,5
Batting Order Positions,Batting 9th,20,47.0,42,8.0,7,1,0,1,2,0,5,6,1.2,0.167,0.255,0.262,0.517,11.0,1.0,0.0,0,0,0,1,0.171,66,67,5
Batting Order Positions,"Bat1-2,non-P",21,129.0,116,13.0,28,3,0,5,0,1,11,25,2.27,0.241,0.31,0.397,0.707,46.0,4.0,1.0,0,1,0,1,0.264,127,89,20
Batting Order Positions,"Bat3-6,non-P",21,235.0,204,17.0,52,2,0,3,4,0,26,54,2.08,0.255,0.346,0.309,0.655,63.0,6.0,3.0,0,1,0,0,0.331,111,83,47
Batting Order Positions,"Bat7-9,non-P",21,145.0,137,18.0,27,2,0,2,6,1,8,36,4.5,0.197,0.241,0.256,0.497,35.0,3.0,0.0,0,0,0,1,0.253,60,52,23
Swung or Took First Pitch of PA,Swung at 1st Pitch,21,148.0,143,13.0,29,2,0,3,,,4,31,7.75,0.203,0.23,0.28,0.509,40.0,6.0,1.0,0,0,0,2,0.239,64,48,24
Swung or Took First Pitch of PA,Took 1st Pitch,21,361.0,314,35.0,78,5,0,7,,,41,84,2.05,0.248,0.339,0.331,0.67,104.0,7.0,3.0,0,2,0,0,0.316,116,89,66
Count/Balls-Strikes,First Pitch,19,54.0,54,5.0,12,1,0,0,,,0,0,,0.222,0.222,0.241,0.463,13.0,5.0,0.0,0,0,0,0,0.222,49,8,11
Count/Balls-Strikes,1-0 Count,18,31.0,31,2.0,10,0,0,1,,,0,0,,0.323,0.323,0.419,0.742,13.0,1.0,0.0,0,0,0,0,0.3,138,68,9
Count/Balls-Strikes,2-0 Count,7,9.0,9,1.0,1,1,0,0,,,0,0,,0.111,0.111,0.222,0.333,2.0,1.0,0.0,0,0,0,0,0.111,7,-32,0
Count/Balls-Strikes,3-0 Count,5,6.0,1,1.0,1,0,0,0,,,5,0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0,1.0,543,118,1
Count/Balls-Strikes,0-1 Count,17,52.0,50,8.0,19,2,0,2,,,0,0,,0.38,0.373,0.54,0.913,27.0,1.0,0.0,0,1,0,1,0.347,193,118,15
Count/Balls-Strikes,1-1 Count,17,39.0,38,6.0,16,2,0,2,,,0,0,,0.421,0.436,0.632,1.068,24.0,0.0,1.0,0,0,0,0,0.389,243,155,12
Count/Balls-Strikes,2-1 Count,12,21.0,20,0.0,7,0,0,0,,,0,0,,0.35,0.381,0.35,0.731,7.0,2.0,1.0,0,0,0,0,0.35,135,71,7
Count/Balls-Strikes,3-1 Count,15,24.0,11,4.0,4,0,0,1,,,13,0,0.0,0.364,0.708,0.636,1.345,7.0,1.0,0.0,0,0,0,0,0.3,333,101,3
Count/Balls-Strikes,0-2 Count,13,39.0,38,5.0,4,0,0,1,,,0,23,,0.105,0.103,0.184,0.287,7.0,0.0,0.0,0,1,0,0,0.2,-8,47,3
Count/Balls-Strikes,1-2 Count,20,72.0,71,5.0,11,0,0,1,,,0,31,,0.155,0.167,0.197,0.364,14.0,1.0,1.0,0,0,0,1,0.256,17,79,10
Count/Balls-Strikes,2-2 Count,21,81.0,80,4.0,13,1,0,0,,,0,40,,0.163,0.173,0.175,0.348,14.0,1.0,1.0,0,0,0,0,0.325,12,62,12
Count/Balls-Strikes,Full Count,21,81.0,54,7.0,9,0,0,2,,,27,21,0.78,0.167,0.444,0.278,0.722,15.0,0.0,0.0,0,0,0,0,0.226,133,81,7
Count/Balls-Strikes,After 1-0,21,183.0,152,20.0,46,3,0,3,,,28,31,1.11,0.303,0.421,0.382,0.802,58.0,6.0,3.0,0,0,0,0,0.364,158,102,40
Count/Balls-Strikes,After 2-0,20,63.0,44,4.0,11,1,0,0,,,18,7,0.39,0.25,0.476,0.273,0.749,12.0,4.0,1.0,0,0,0,0,0.297,142,55,10
Count/Balls-Strikes,After 3-0,12,15.0,7,1.0,3,0,0,0,,,8,0,0.0,0.429,0.733,0.429,1.162,3.0,0.0,0.0,0,0,0,0,0.429,275,84,3
Count/Balls-Strikes,After 0-1,21,272.0,251,23.0,49,3,0,7,,,17,84,4.94,0.195,0.247,0.291,0.538,73.0,2.0,1.0,0,2,0,2,0.259,73,79,39
Count/Balls-Strikes,After 1-1,21,213.0,187,21.0,44,3,0,5,,,23,60,2.61,0.235,0.329,0.332,0.66,62.0,2.0,3.0,0,0,0,1,0.32,113,101,36
Count/Balls-Strikes,After 2-1,21,116.0,90,8.0,22,1,0,1,,,24,25,1.04,0.244,0.414,0.289,0.703,26.0,3.0,2.0,0,0,0,0,0.328,127,80,20
Count/Balls-Strikes,After 3-1,19,47.0,29,5.0,10,0,0,1,,,18,4,0.22,0.345,0.596,0.448,1.044,13.0,1.0,0.0,0,0,0,0,0.375,236,103,9
Count/Balls-Strikes,After 0-2,19,96.0,91,8.0,11,0,0,2,,,4,48,12.0,0.121,0.156,0.187,0.343,17.0,0.0,0.0,0,1,0,0,0.214,10,52,9
Count/Balls-Strikes,After 1-2,21,154.0,140,12.0,20,0,0,3,,,13,67,5.15,0.143,0.221,0.207,0.428,29.0,2.0,1.0,0,0,0,1,0.243,38,74,17
Count/Balls-Strikes,After 2-2,21,139.0,116,10.0,16,1,0,2,,,22,57,2.59,0.138,0.281,0.198,0.479,23.0,1.0,1.0,0,0,0,0,0.246,54,65,13
Count/Balls-Strikes,Zero Balls,20,145.0,142,18.0,35,3,0,3,,,0,23,,0.247,0.243,0.331,0.574,47.0,6.0,0.0,0,2,0,1,0.271,84,62,29
Count/Balls-Strikes,Zero Strikes,20,100.0,95,9.0,24,2,0,1,,,5,0,0.0,0.253,0.29,0.305,0.595,29.0,7.0,0.0,0,0,0,0,0.245,91,28,21
Count/Balls-Strikes,Three Balls,21,111.0,66,12.0,14,0,0,3,,,45,21,0.47,0.212,0.532,0.349,0.88,23.0,1.0,0.0,0,0,0,0,0.262,184,87,11
Count/Balls-Strikes,Two Strikes,21,273.0,243,21.0,37,1,0,4,,,27,115,4.26,0.152,0.242,0.206,0.448,50.0,2.0,2.0,0,1,0,1,0.264,44,76,32
Count/Balls-Strikes,Batter Ahead,21,172.0,126,15.0,32,1,0,4,,,45,21,0.47,0.254,0.454,0.357,0.811,45.0,5.0,1.0,0,0,0,0,0.277,161,70,27
Count/Balls-Strikes,Even Count,21,174.0,172,15.0,41,4,0,2,,,0,40,,0.238,0.247,0.297,0.544,51.0,6.0,2.0,0,0,0,0,0.3,75,61,35
Count/Balls-Strikes,Pitcher Ahead,21,163.0,159,18.0,34,2,0,4,,,0,54,,0.214,0.216,0.302,0.518,48.0,2.0,1.0,0,2,0,2,0.291,66,101,28
Leading Off Inning,First Batter,21,21.0,19,1.0,5,1,0,1,,,2,4,2.0,0.263,0.333,0.474,0.807,9.0,0.0,0.0,0,0,0,0,0.286,159,131,3
Leading Off Inning,Leadoff Inn.,21,127.0,117,2.0,26,2,0,2,,,10,26,2.6,0.222,0.284,0.291,0.574,34.0,0.0,0.0,0,0,0,1,0.27,85,67,22
Opposition Defensive Position,vs. Non-P,21,509.0,457,48.0,107,7,0,10,10,2,45,115,2.56,0.234,0.307,0.315,0.622,144.0,13.0,4.0,0,2,0,2,0.29,100,77,90
Number of Outs in Inning,0 outs,21,189.0,172,20.0,46,3,0,5,3,2,16,36,2.25,0.267,0.333,0.372,0.705,64.0,5.0,1.0,0,0,0,2,0.313,127,98,38
Number of Outs in Inning,1 out,21,166.0,147,18.0,34,1,0,4,5,0,14,44,3.14,0.231,0.303,0.32,0.623,47.0,8.0,2.0,0,2,0,0,0.297,100,76,29
Number of Outs in Inning,2 outs,21,154.0,138,10.0,27,3,0,1,2,0,15,35,2.33,0.196,0.279,0.239,0.518,33.0,0.0,1.0,0,0,0,0,0.255,67,51,23
Bases Occupied,RISP,19,94.0,81,35.0,21,3,0,2,6,0,9,21,2.33,0.259,0.333,0.37,0.704,30.0,3.0,1.0,0,2,0,0,0.317,126,90,16
Bases Occupied,---,21,308.0,278,4.0,56,3,0,4,0,0,27,70,2.59,0.201,0.279,0.255,0.535,71.0,0.0,3.0,0,0,0,1,0.255,72,58,49
Bases Occupied,Men On,21,201.0,179,44.0,51,4,0,6,10,2,18,45,2.5,0.285,0.35,0.408,0.758,73.0,13.0,1.0,0,2,0,1,0.346,144,104,41
Bases Occupied,1--,20,107.0,98,9.0,30,1,0,4,4,2,9,24,2.67,0.306,0.365,0.439,0.803,43.0,10.0,0.0,0,0,0,1,0.371,158,118,25
Bases Occupied,-2-,10,14.0,14,0.0,2,0,0,0,1,0,0,2,,0.143,0.143,0.143,0.286,2.0,0.0,0.0,0,0,0,0,0.167,-8,-22,2
