Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,100,85,382,351,42,92,21,1,8,41,1,0,22,76,0.262,0.312,0.396,0.708,139,3,5,0,3,0,8,0.311,100,99,62
Season Totals,Last 7 days,5,5,20,19,1,4,1,0,0,0,0,0,1,2,0.211,0.25,0.263,0.513,5,0,0,0,0,0,0,0.235,47,51,3
Season Totals,Last 14 days,11,11,45,43,2,11,1,0,1,4,0,0,1,8,0.256,0.289,0.349,0.638,15,0,1,0,0,0,0,0.294,81,81,9
Season Totals,Last 28 days,22,20,84,80,5,21,4,0,2,6,0,0,3,20,0.263,0.298,0.388,0.685,31,1,1,0,0,0,3,0.328,94,88,15
Season Totals,Last 365 days,132,114,514,464,64,127,28,3,12,59,2,0,40,103,0.274,0.335,0.425,0.76,197,5,5,0,4,0,10,0.326,115,,84
Platoon Splits,vs RHP,97,,302,276,34,71,16,1,6,31,1,0,20,58,0.257,0.312,0.388,0.7,107,3,3,0,2,0,8,0.304,98,97,48
Platoon Splits,vs LHP,54,,80,75,8,21,5,0,2,10,0,0,2,18,0.28,0.313,0.427,0.739,32,0,2,0,1,0,0,0.339,108,106,14
Platoon Splits,vs RHP as LHB,97,,302,276,,71,16,1,6,31,0,0,20,58,0.257,0.312,0.388,0.7,107,3,3,0,2,0,8,0.304,98,91,48
Platoon Splits,vs LHP as LHB,54,,80,75,,21,5,0,2,10,0,0,2,18,0.28,0.313,0.427,0.739,32,0,2,0,1,0,0,0.339,108,120,14
Platoon Splits,vs RH Starter,76,75,320,296,33,76,18,1,6,33,1,0,18,63,0.257,0.304,0.385,0.689,114,3,3,0,2,0,6,0.306,95,93,51
Platoon Splits,vs LH Starter,24,10,62,55,9,16,3,0,2,8,0,0,4,13,0.291,0.355,0.455,0.809,25,0,2,0,1,0,2,0.342,129,127,11
Home or Away,Home,52,45,201,185,24,56,11,1,6,29,0,0,12,37,0.303,0.348,0.47,0.819,87,2,2,0,2,0,4,0.347,130,126,38
Home or Away,Away,48,40,181,166,18,36,10,0,2,12,1,0,10,39,0.217,0.272,0.313,0.586,52,1,3,0,1,0,4,0.27,66,68,24
First or Second Half,1st Half,72,59,270,246,31,63,16,0,6,32,1,0,16,52,0.256,0.309,0.394,0.703,97,2,4,0,3,0,5,0.298,99,98,41
First or Second Half,2nd Half,28,26,112,105,11,29,5,1,2,9,0,0,6,24,0.276,0.321,0.4,0.721,42,1,1,0,0,0,3,0.342,104,100,21
Months,April/March,13,10,49,44,4,11,2,0,1,9,1,0,4,8,0.25,0.306,0.364,0.67,16,0,0,0,1,0,1,0.278,90,92,8
Months,May,26,21,95,85,16,25,11,0,3,11,0,0,7,15,0.294,0.362,0.529,0.891,45,0,2,0,0,0,3,0.328,150,154,11
Months,June,21,19,84,79,7,15,2,0,2,8,0,0,3,23,0.19,0.226,0.291,0.517,23,2,1,0,1,0,0,0.236,46,44,11
Months,July,22,18,83,75,11,24,3,1,0,8,0,0,6,14,0.32,0.374,0.387,0.76,29,0,1,0,1,0,2,0.387,117,111,20
Months,August,18,17,71,68,4,17,3,0,2,5,0,0,2,16,0.25,0.282,0.382,0.664,26,1,1,0,0,0,2,0.3,87,84,12
Game Outcome for Team,in Wins,59,49,230,209,34,60,11,1,8,38,1,0,14,40,0.287,0.339,0.464,0.803,97,2,4,0,3,0,7,0.317,126,93,40
Game Outcome for Team,in Losses,41,36,152,142,8,32,10,0,0,3,0,0,8,36,0.225,0.272,0.296,0.567,42,1,1,0,0,0,1,0.302,62,94,22
Starter or Substitute,as Starter,85,85,356,329,38,85,20,1,7,35,1,0,20,71,0.258,0.307,0.389,0.696,128,3,4,0,2,0,6,0.308,97,95,57
Starter or Substitute,as Sub,15,0,26,22,4,7,1,0,1,6,0,0,2,5,0.318,0.385,0.5,0.885,11,0,1,0,1,0,2,0.353,150,168,5
Defensive Positions,as RF,93,,364,335,38,87,21,1,7,35,1,0,21,71,0.26,0.311,0.391,0.702,131,3,5,0,2,0,6,0.309,98,93,58
Defensive Positions,as DH,1,,4,4,2,2,0,0,1,2,0,0,0,1,0.5,0.5,1.25,1.75,5,0,0,0,0,0,0,0.5,376,348,1
Defensive Positions,as PH,13,,13,12,2,3,0,0,0,3,0,0,1,4,0.25,0.308,0.25,0.558,3,0,0,0,0,0,2,0.375,62,77,3
Defensive Positions,Other,1,,1,0,,0,0,0,0,1,0,0,0,0,,0.0,,,0,0,0,0,1,0,0,0.0,,,0
Leading Off Inning,Leadoff Inn.,63,,94,88,,22,5,0,3,3,,,4,18,0.25,0.29,0.409,0.699,36,0,1,0,0,0,4,0.284,96,99,14
