Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,9,199.0,181,28.0,49,14,2,11,2,0,14,35,2.5,0.271,0.332,0.553,0.884,100.0,5.0,3.0,0,1,0,0,0.279,100,144,22
Season Totals,Last 7 days,2,47.0,41,7.0,12,3,1,4,1,0,5,5,1.0,0.293,0.383,0.707,1.09,29.0,1.0,1.0,0,0,0,0,0.25,143,212,4
Season Totals,Last 14 days,3,72.0,66,11.0,19,6,1,4,1,0,5,9,1.8,0.288,0.347,0.591,0.938,39.0,2.0,1.0,0,0,0,0,0.283,112,160,8
Season Totals,Last 28 days,6,134.0,120,24.0,38,10,1,9,2,0,11,21,1.91,0.317,0.381,0.642,1.022,77.0,4.0,2.0,0,1,0,0,0.319,131,176,18
Season Totals,Last 365 days,9,199.0,181,28.0,49,14,2,11,2,0,14,35,2.5,0.271,0.332,0.553,0.884,100.0,5.0,3.0,0,1,0,0,0.279,100,,22
Platoon Splits,vs RHB,9,107.0,99,11.0,27,6,1,6,1,0,5,20,4.0,0.273,0.327,0.535,0.863,53.0,3.0,3.0,0,0,0,0,0.288,95,141,14
Platoon Splits,vs LHB,9,92.0,82,17.0,22,8,1,5,1,0,9,15,1.67,0.268,0.337,0.573,0.91,47.0,2.0,0.0,0,1,0,0,0.27,105,148,8
Platoon Splits,vs RHB as RHP,9,107.0,99,11.0,27,6,1,6,1,0,5,20,4.0,0.273,0.327,0.535,0.863,53.0,3.0,3.0,0,0,0,0,0.288,95,146,14
Platoon Splits,vs LHB as RHP,9,92.0,82,17.0,22,8,1,5,1,0,9,15,1.67,0.268,0.337,0.573,0.91,47.0,2.0,0.0,0,1,0,0,0.27,105,143,8
Home or Away,Home,5,118.0,108,16.0,29,11,1,4,2,0,7,19,2.71,0.269,0.322,0.5,0.822,54.0,2.0,2.0,0,1,0,0,0.291,88,131,13
Home or Away,Away,4,81.0,73,12.0,20,3,1,7,0,0,7,16,2.29,0.274,0.346,0.63,0.976,46.0,3.0,1.0,0,0,0,0,0.26,118,164,9
First or Second Half,1st Half,3,65.0,61,4.0,11,4,1,2,0,0,3,14,4.67,0.18,0.231,0.377,0.608,23.0,1.0,1.0,0,0,0,0,0.2,38,69,4
First or Second Half,2nd Half,6,134.0,120,24.0,38,10,1,9,2,0,11,21,1.91,0.317,0.381,0.642,1.022,77.0,4.0,2.0,0,1,0,0,0.319,131,178,18
Months,April/March,3,65.0,61,4.0,11,4,1,2,0,0,3,14,4.67,0.18,0.231,0.377,0.608,23.0,1.0,1.0,0,0,0,0,0.2,38,72,4
Months,July,1,16.0,14,3.0,4,0,0,1,0,0,2,3,1.5,0.286,0.375,0.5,0.875,7.0,1.0,0.0,0,0,0,0,0.3,104,138,3
Months,August,5,118.0,106,21.0,34,10,1,8,2,0,9,18,2.0,0.321,0.381,0.66,1.042,70.0,3.0,2.0,0,1,0,0,0.321,134,183,15
Game Outcome for Pitcher,in Wins,3,71.0,69,6.0,16,6,1,1,0,0,1,14,14.0,0.232,0.254,0.391,0.645,27.0,2.0,1.0,0,0,0,0,0.278,47,144,8
Game Outcome for Pitcher,in Losses,3,67.0,57,14.0,21,5,1,6,1,0,7,12,1.71,0.368,0.448,0.807,1.255,46.0,2.0,2.0,0,1,0,0,0.375,181,153,9
Game Outcome for Pitcher,in No Dec.,3,61.0,55,8.0,12,3,0,4,1,0,6,9,1.5,0.218,0.295,0.491,0.786,27.0,1.0,0.0,0,0,0,0,0.191,78,122,5
Pitching Role,as Starter,9,199.0,181,28.0,49,14,2,11,2,0,14,35,2.5,0.271,0.332,0.553,0.884,100.0,5.0,3.0,0,1,0,0,0.279,100,141,22
Run Support,0-2 Runs Scored,3,67.0,57,14.0,21,5,1,6,1,0,7,12,1.71,0.368,0.448,0.807,1.255,46.0,2.0,2.0,0,1,0,0,0.375,181,228,9
Run Support,3-5 Runs Scored,3,69.0,64,6.0,14,5,1,3,1,0,4,13,3.25,0.219,0.275,0.469,0.744,30.0,1.0,1.0,0,0,0,0,0.229,68,105,5
Run Support,6+ Runs Scored,3,63.0,60,8.0,14,4,0,2,0,0,3,10,3.33,0.233,0.27,0.4,0.67,24.0,2.0,0.0,0,0,0,0,0.25,54,86,8
Batting Order Positions,Batting 1st,9,26.0,23,3.0,6,2,0,2,0,0,2,5,2.5,0.261,0.346,0.609,0.955,14.0,0.0,1.0,0,0,0,0,0.25,115,155,2
Batting Order Positions,Batting 2nd,9,25.0,25,5.0,8,4,0,1,0,0,0,7,,0.32,0.32,0.6,0.92,15.0,0.0,0.0,0,0,0,0,0.412,105,137,3
Batting Order Positions,Batting 3rd,9,25.0,23,2.0,8,1,2,1,1,0,1,5,5.0,0.348,0.4,0.696,1.096,16.0,1.0,1.0,0,0,0,0,0.412,147,175,4
Batting Order Positions,Batting 4th,9,24.0,22,4.0,5,3,0,1,0,0,1,4,4.0,0.227,0.25,0.5,0.75,11.0,3.0,0.0,0,1,0,0,0.222,66,97,1
Batting Order Positions,Batting 5th,9,22.0,21,6.0,8,1,0,4,0,0,1,4,4.0,0.381,0.409,1.0,1.409,21.0,0.0,0.0,0,0,0,0,0.308,204,276,3
Batting Order Positions,Batting 6th,9,22.0,21,5.0,4,1,0,1,0,0,1,1,1.0,0.191,0.227,0.381,0.608,8.0,0.0,0.0,0,0,0,0,0.158,37,74,2
Batting Order Positions,Batting 7th,9,20.0,18,2.0,3,1,0,0,0,0,2,2,1.0,0.167,0.25,0.222,0.472,4.0,1.0,0.0,0,0,0,0,0.188,16,40,2
Batting Order Positions,Batting 8th,9,18.0,13,1.0,4,1,0,1,1,0,5,4,0.8,0.308,0.5,0.615,1.115,8.0,0.0,0.0,0,0,0,0,0.375,162,239,2
Batting Order Positions,Batting 9th,9,17.0,15,0.0,3,0,0,0,0,0,1,3,3.0,0.2,0.294,0.2,0.494,3.0,0.0,1.0,0,0,0,0,0.25,25,63,3
Batting Order Positions,"Bat1-2,non-P",9,51.0,48,8.0,14,6,0,3,0,0,2,12,6.0,0.292,0.333,0.604,0.938,29.0,0.0,1.0,0,0,0,0,0.333,110,146,5
Batting Order Positions,"Bat3-6,non-P",9,93.0,87,17.0,25,6,2,7,1,0,4,14,3.5,0.287,0.323,0.644,0.966,56.0,4.0,1.0,0,1,0,0,0.269,114,156,10
Batting Order Positions,"Bat7-9,non-P",9,55.0,46,3.0,10,2,0,1,1,0,8,9,1.13,0.217,0.346,0.326,0.672,15.0,1.0,1.0,0,0,0,0,0.25,63,107,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,9,71.0,65,10.0,20,3,0,4,,,4,8,2.0,0.308,0.352,0.539,0.891,35.0,1.0,1.0,0,1,0,0,0.296,104,152,13
Swung or Took First Pitch of PA,Took 1st Pitch,9,128.0,116,18.0,29,11,2,7,,,10,27,2.7,0.25,0.32,0.56,0.881,65.0,4.0,2.0,0,0,0,0,0.268,98,142,9
Count/Balls-Strikes,First Pitch,8,30.0,29,6.0,10,2,0,2,,,0,0,,0.345,0.333,0.621,0.954,18.0,1.0,0.0,0,1,0,0,0.286,113,108,6
Count/Balls-Strikes,1-0 Count,7,12.0,12,1.0,2,1,0,0,,,0,0,,0.167,0.167,0.25,0.417,3.0,1.0,0.0,0,0,0,0,0.167,-4,-8,1
Count/Balls-Strikes,2-0 Count,2,2.0,2,0.0,2,2,0,0,,,0,0,,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0,0,0,0,1.0,564,514,0
Count/Balls-Strikes,3-0 Count,1,2.0,1,0.0,0,0,0,0,,,1,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,51,-47,0
Count/Balls-Strikes,0-1 Count,8,13.0,13,3.0,4,1,1,1,,,0,0,,0.308,0.308,0.769,1.077,10.0,0.0,0.0,0,0,0,0,0.25,132,143,1
Count/Balls-Strikes,1-1 Count,8,15.0,14,0.0,6,3,0,0,,,0,0,,0.429,0.467,0.643,1.11,9.0,0.0,1.0,0,0,0,0,0.429,157,166,3
Count/Balls-Strikes,2-1 Count,7,14.0,14,3.0,2,1,0,1,,,0,0,,0.143,0.143,0.429,0.572,6.0,0.0,0.0,0,0,0,0,0.077,21,15,0
