Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,42,38,175,145,27,33,8,0,11,31,0,0,23,51,0.228,0.331,0.51,0.842,74,1,2,0,5,2,0,0.25,100,133,14
Season Totals,Last 7 days,2,2,8,6,3,2,0,0,2,3,0,0,2,1,0.333,0.5,1.333,1.833,8,0,0,0,0,0,0,0.0,312,406,0
Season Totals,Last 14 days,2,2,8,6,3,2,0,0,2,3,0,0,2,1,0.333,0.5,1.333,1.833,8,0,0,0,0,0,0,0.0,312,386,0
Season Totals,Last 28 days,2,2,8,6,3,2,0,0,2,3,0,0,2,1,0.333,0.5,1.333,1.833,8,0,0,0,0,0,0,0.0,312,378,0
Season Totals,Last 365 days,76,72,330,279,54,68,16,1,18,59,0,0,40,89,0.244,0.336,0.502,0.838,140,3,3,0,8,2,0,0.278,100,,33
Platoon Splits,vs RHP,41,,129,107,20,27,6,0,9,27,0,0,18,38,0.252,0.349,0.561,0.91,60,0,0,0,4,2,0,0.281,115,153,12
Platoon Splits,vs LHP,29,,46,38,7,6,2,0,2,4,0,0,5,13,0.158,0.283,0.368,0.651,14,1,2,0,1,0,0,0.167,58,81,2
Platoon Splits,vs RHP as LHB,41,,129,107,,27,6,0,9,27,0,0,18,38,0.252,0.349,0.561,0.91,60,0,0,0,4,2,0,0.281,115,144,12
Platoon Splits,vs LHP as LHB,29,,46,38,,6,2,0,2,4,0,0,5,13,0.158,0.283,0.368,0.651,14,1,2,0,1,0,0,0.167,58,93,2
Platoon Splits,vs RH Starter,31,31,139,114,22,25,6,0,10,26,0,0,19,41,0.219,0.324,0.535,0.859,61,1,1,0,5,2,0,0.221,103,138,9
Platoon Splits,vs LH Starter,11,7,36,31,5,8,2,0,1,5,0,0,4,10,0.258,0.361,0.419,0.781,13,0,1,0,0,0,0,0.35,91,119,5
Home or Away,Home,24,21,95,80,19,22,5,0,9,22,0,0,11,26,0.275,0.358,0.675,1.033,54,0,1,0,3,2,0,0.271,141,179,8
Home or Away,Away,18,17,80,65,8,11,3,0,2,9,0,0,12,25,0.169,0.3,0.308,0.608,20,1,1,0,2,0,0,0.225,51,75,6
First or Second Half,1st Half,40,36,167,139,24,31,8,0,9,28,0,0,21,50,0.223,0.323,0.475,0.798,66,1,2,0,5,2,0,0.259,91,123,14
First or Second Half,2nd Half,2,2,8,6,3,2,0,0,2,3,0,0,2,1,0.333,0.5,1.333,1.833,8,0,0,0,0,0,0,0.0,312,383,0
Months,April/March,29,25,120,99,17,24,7,0,5,18,0,0,16,36,0.242,0.35,0.465,0.815,46,0,2,0,3,1,0,0.312,97,132,12
