Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,101,92,349,297,47,70,9,0,6,28,11,1,41,88,0.236,0.333,0.327,0.66,97,6,4,4,3,0,3,0.311,100,88,55
Season Totals,Last 7 days,5,5,19,15,1,1,0,0,0,0,0,0,3,4,0.067,0.222,0.067,0.289,1,1,0,1,0,0,1,0.091,-13,-10,1
Season Totals,Last 14 days,10,9,33,24,2,2,0,0,0,0,0,0,7,9,0.083,0.313,0.083,0.396,2,1,1,1,0,0,1,0.133,19,20,2
Season Totals,Last 28 days,22,21,77,66,3,10,0,0,0,2,2,0,9,18,0.152,0.263,0.152,0.415,10,3,1,1,0,0,1,0.208,26,20,10
Season Totals,Last 365 days,101,92,349,297,47,70,9,0,6,28,11,1,41,88,0.236,0.333,0.327,0.66,97,6,4,4,3,0,3,0.311,100,,55
Platoon Splits,vs RHP,90,,263,225,31,56,5,0,4,16,11,1,30,71,0.249,0.345,0.324,0.669,73,4,4,2,2,0,3,0.342,103,92,47
Platoon Splits,vs LHP,49,,86,72,16,14,4,0,2,12,0,0,11,17,0.194,0.298,0.333,0.631,24,2,0,2,1,0,0,0.222,91,77,8
Platoon Splits,vs RHP as RHB,90,,263,225,,56,5,0,4,16,0,0,30,71,0.249,0.345,0.324,0.669,73,4,4,2,2,0,3,0.342,103,97,47
Platoon Splits,vs LHP as RHB,49,,86,72,,14,4,0,2,12,0,0,11,17,0.194,0.298,0.333,0.631,24,2,0,2,1,0,0,0.222,91,73,8
Platoon Splits,vs RH Starter,78,69,265,225,33,56,7,0,4,20,9,1,31,73,0.249,0.345,0.333,0.678,75,3,3,4,2,0,2,0.347,105,94,45
Platoon Splits,vs LH Starter,23,23,84,72,14,14,2,0,2,8,2,0,10,15,0.194,0.298,0.306,0.603,22,3,1,0,1,0,1,0.214,83,71,10
Home or Away,Home,52,44,171,144,26,36,6,0,4,18,4,0,22,39,0.25,0.351,0.375,0.726,54,2,1,3,1,0,2,0.314,120,103,26
Home or Away,Away,49,48,178,153,21,34,3,0,2,10,7,1,19,49,0.222,0.316,0.281,0.597,43,4,3,1,2,0,1,0.308,81,74,29
First or Second Half,1st Half,74,66,254,216,36,53,7,0,5,20,9,1,29,66,0.245,0.339,0.347,0.686,75,3,3,3,3,0,2,0.324,108,96,41
First or Second Half,2nd Half,27,26,95,81,11,17,2,0,1,8,2,0,12,22,0.21,0.319,0.272,0.591,22,3,1,1,0,0,1,0.276,79,68,14
Months,April/March,14,9,28,24,3,3,0,0,1,2,1,0,2,7,0.125,0.214,0.25,0.464,6,1,1,0,1,0,0,0.118,41,33,2
Months,May,25,22,91,81,12,22,4,0,2,8,2,0,8,22,0.272,0.344,0.395,0.74,32,1,1,1,0,0,2,0.351,124,114,16
Months,June,23,23,89,74,11,15,3,0,0,5,2,0,12,27,0.203,0.307,0.243,0.55,18,1,0,1,2,0,0,0.306,67,58,12
