Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,108,451,394,57,100,23,2,16,47,2,1,52,138,0.254,0.342,0.444,0.786,175,6,2,0,3,1,2,0.346,100,120,59
Season Totals,Last 7 days,6,6,23,21,2,4,0,1,0,2,0,0,2,6,0.191,0.261,0.286,0.547,6,0,0,0,0,0,0,0.267,41,61,3
Season Totals,Last 14 days,11,10,41,36,2,6,1,1,0,2,0,0,5,11,0.167,0.268,0.25,0.518,9,1,0,0,0,0,0,0.24,35,49,4
Season Totals,Last 28 days,24,20,87,77,10,17,2,1,4,10,0,0,10,23,0.221,0.31,0.429,0.739,33,1,0,0,0,0,0,0.26,88,102,10
Season Totals,Last 365 days,133,113,478,418,60,103,23,2,18,50,2,1,54,147,0.246,0.333,0.44,0.773,184,6,2,0,4,1,2,0.331,97,,60
Platoon Splits,vs RHP,118,,383,332,46,84,18,1,15,42,2,1,46,119,0.253,0.345,0.449,0.793,149,6,2,0,3,1,2,0.343,102,123,50
Platoon Splits,vs LHP,52,,68,62,11,16,5,1,1,5,0,0,6,19,0.258,0.324,0.419,0.743,26,0,0,0,0,0,0,0.357,89,107,9
Platoon Splits,vs RHP as LHB,118,,383,332,,84,18,1,15,42,0,0,46,119,0.253,0.345,0.449,0.793,149,6,2,0,3,1,2,0.343,102,116,50
Platoon Splits,vs LHP as LHB,52,,68,62,,16,5,1,1,5,0,0,6,19,0.258,0.324,0.419,0.743,26,0,0,0,0,0,0,0.357,89,121,9
Platoon Splits,vs RH Starter,102,99,402,352,52,89,19,2,16,45,2,1,45,125,0.253,0.338,0.455,0.793,160,6,2,0,3,1,2,0.341,102,122,52
Platoon Splits,vs LH Starter,20,9,49,42,5,11,4,0,0,2,0,0,7,13,0.262,0.367,0.357,0.724,15,0,0,0,0,0,0,0.379,88,106,7
Home or Away,Home,60,54,211,187,26,45,11,2,7,23,1,0,21,69,0.241,0.318,0.433,0.751,81,1,1,0,2,0,1,0.336,91,107,25
Home or Away,Away,62,54,240,207,31,55,12,0,9,24,1,1,31,69,0.266,0.363,0.454,0.817,94,5,1,0,1,1,1,0.354,109,133,34
First or Second Half,1st Half,91,81,336,292,46,79,19,1,12,36,1,1,39,104,0.271,0.357,0.466,0.823,136,5,2,0,3,1,2,0.374,110,132,47
First or Second Half,2nd Half,31,27,115,102,11,21,4,1,4,11,1,0,13,34,0.206,0.296,0.382,0.678,39,1,0,0,0,0,0,0.266,73,87,12
Months,April/March,28,26,108,94,15,25,4,0,6,17,0,0,10,35,0.266,0.333,0.5,0.833,47,0,1,0,3,0,0,0.339,110,136,15
Months,May,26,21,86,72,13,15,4,1,2,6,1,1,13,32,0.208,0.337,0.375,0.712,27,1,1,0,0,1,2,0.342,83,106,8
Months,June,25,22,87,74,7,22,5,0,2,7,0,0,13,26,0.297,0.402,0.446,0.848,33,0,0,0,0,0,0,0.435,118,138,15
Months,July,24,22,101,92,15,24,9,0,3,10,1,0,9,27,0.261,0.327,0.457,0.783,42,4,0,0,0,0,0,0.339,99,113,12
Months,August,19,17,69,62,7,14,1,1,3,7,0,0,7,18,0.226,0.304,0.419,0.724,26,1,0,0,0,0,0,0.268,84,100,9
Game Outcome for Team,in Wins,60,54,237,210,40,60,11,2,11,34,2,0,23,68,0.286,0.354,0.514,0.869,108,3,1,0,3,1,1,0.366,120,107,36
Game Outcome for Team,in Losses,62,54,214,184,17,40,12,0,5,13,0,1,29,70,0.217,0.327,0.364,0.691,67,3,1,0,0,0,1,0.321,78,136,23
Starter or Substitute,as Starter,108,108,435,381,56,97,22,2,16,46,2,1,49,133,0.255,0.34,0.449,0.789,171,6,2,0,3,1,2,0.345,101,120,57
Starter or Substitute,as Sub,14,0,16,13,1,3,1,0,0,1,0,0,3,5,0.231,0.375,0.308,0.683,4,0,0,0,0,0,0,0.375,79,110,2
Defensive Positions,as 1B,108,,424,372,54,92,21,2,16,46,2,1,47,130,0.247,0.333,0.444,0.776,165,6,2,0,3,1,2,0.332,98,113,53
Defensive Positions,as 2B,3,,9,8,1,2,0,0,0,0,0,0,1,3,0.25,0.333,0.25,0.583,2,0,0,0,0,0,0,0.4,54,75,2
Defensive Positions,as 3B,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,419,473,1
Defensive Positions,as DH,2,,8,7,2,4,2,0,0,1,0,0,1,1,0.571,0.625,0.857,1.482,6,0,0,0,0,0,0,0.667,276,295,2
Defensive Positions,as PH,10,,10,7,,1,0,0,0,0,0,0,3,4,0.143,0.4,0.143,0.543,1,0,0,0,0,0,0,0.333,50,77,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,62,,78,70,,18,5,1,4,4,,,8,25,0.257,0.333,0.529,0.862,37,0,0,0,0,0,1,0.342,117,143,8
Batting Order Positions,Batting 2nd,49,47,198,177,23,44,11,1,7,19,1,0,21,55,0.249,0.328,0.441,0.769,78,5,0,0,0,0,0,0.322,96,102,25
Batting Order Positions,Batting 3rd,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,5,5,20,19,1,2,0,0,0,3,0,0,0,11,0.105,0.1,0.105,0.205,2,0,0,0,1,0,0,0.222,-47,-44,2
Batting Order Positions,Batting 5th,20,18,81,68,13,18,4,1,2,7,0,0,11,25,0.265,0.37,0.441,0.812,30,0,1,0,1,0,0,0.381,108,126,11
Batting Order Positions,Batting 6th,22,20,79,71,12,19,5,0,4,10,1,0,7,25,0.268,0.329,0.507,0.836,36,1,0,0,1,0,1,0.349,111,141,10
Batting Order Positions,Batting 7th,15,15,55,46,7,14,1,0,3,8,0,1,8,17,0.304,0.418,0.522,0.94,24,0,1,0,0,1,1,0.423,140,173,10
Batting Order Positions,Batting 8th,4,2,10,7,1,3,2,0,0,0,0,0,3,2,0.429,0.6,0.714,1.314,5,0,0,0,0,0,0,0.6,237,300,1
Batting Order Positions,Batting 9th,5,1,7,5,0,0,0,0,0,0,0,0,2,3,0.0,0.286,0.0,0.286,0,0,0,0,0,0,0,0.0,-16,1,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,83,,137,130,,42,8,2,9,18,,,7,35,0.323,0.358,0.623,0.981,81,3,0,0,0,0,0,0.384,145,174,23
Swung or Took First Pitch of PA,Took 1st Pitch,116,,314,264,,58,15,0,7,29,,,45,103,0.22,0.334,0.356,0.691,94,3,2,0,3,1,2,0.325,78,94,36
Count/Balls-Strikes,First Pitch,39,,48,46,12,25,3,1,5,13,0,1,0,0,0.544,0.563,0.978,1.541,45,2,2,0,0,0,0,0.488,285,239,16
Count/Balls-Strikes,1-0 Count,16,,17,17,9,5,2,0,0,1,0,0,0,0,0.294,0.294,0.412,0.706,7,1,0,0,0,0,0,0.294,79,58,3
Count/Balls-Strikes,2-0 Count,12,,12,12,1,4,0,0,0,2,0,0,0,0,0.333,0.333,0.333,0.667,4,0,0,0,0,0,0,0.333,73,50,4
Count/Balls-Strikes,3-0 Count,8,,9,1,,0,0,0,0,1,0,0,8,0,0.0,0.889,0.0,0.889,0,0,0,0,0,1,0,0.0,161,-6,0
Count/Balls-Strikes,0-1 Count,21,,22,22,2,7,4,1,0,0,2,0,0,0,0.318,0.318,0.591,0.909,13,1,0,0,0,0,0,0.318,126,111,2
Count/Balls-Strikes,1-1 Count,27,,29,28,2,9,3,0,0,1,0,0,0,0,0.321,0.31,0.429,0.739,12,1,0,0,1,0,1,0.31,88,77,6
Count/Balls-Strikes,2-1 Count,19,,20,20,3,11,3,0,1,4,0,0,0,0,0.55,0.55,0.85,1.4,17,0,0,0,0,0,0,0.526,253,206,7
Count/Balls-Strikes,3-1 Count,12,,12,7,3,2,1,0,0,1,0,0,5,0,0.286,0.583,0.429,1.012,3,0,0,0,0,0,0,0.286,168,51,1
Count/Balls-Strikes,0-2 Count,34,,38,38,4,4,0,0,1,2,0,0,0,22,0.105,0.105,0.184,0.29,7,1,0,0,0,0,0,0.2,-28,49,3
Count/Balls-Strikes,1-2 Count,52,,68,68,5,10,1,0,1,6,0,0,0,39,0.147,0.147,0.206,0.353,14,0,0,0,0,0,0,0.321,-11,71,8
Count/Balls-Strikes,2-2 Count,56,,75,73,12,13,3,0,5,13,0,0,0,42,0.178,0.173,0.425,0.598,31,0,0,0,2,0,0,0.286,47,154,5
Count/Balls-Strikes,Full Count,71,,101,62,4,10,3,0,3,3,0,0,39,35,0.161,0.485,0.355,0.84,22,0,0,0,0,0,1,0.292,122,114,4
Count/Balls-Strikes,After 1-0,98,,180,141,,30,9,0,4,15,,,37,49,0.213,0.372,0.362,0.734,51,2,0,0,2,1,2,0.289,91,84,17
Count/Balls-Strikes,After 2-0,53,,60,39,,7,1,0,1,5,,,21,10,0.18,0.467,0.282,0.749,11,0,0,0,0,1,1,0.214,101,55,5
Count/Balls-Strikes,After 3-0,19,,20,6,,0,0,0,0,1,,,14,1,0.0,0.7,0.0,0.7,0,0,0,0,0,1,0,0.0,105,-5,0
Count/Balls-Strikes,After 0-1,106,,223,207,,45,11,1,7,19,,,15,89,0.217,0.269,0.382,0.651,79,2,0,0,1,0,0,0.339,65,114,26
Count/Balls-Strikes,After 1-1,110,,214,184,,45,12,0,8,21,,,28,79,0.245,0.341,0.44,0.781,81,1,0,0,2,0,1,0.374,99,135,25
Count/Balls-Strikes,After 2-1,82,,118,91,,20,5,0,4,9,,,26,39,0.22,0.39,0.407,0.796,37,0,0,0,1,0,1,0.327,106,103,11
Count/Balls-Strikes,After 3-1,40,,43,24,,4,2,0,1,2,,,19,8,0.167,0.535,0.375,0.91,9,0,0,0,0,0,0,0.2,141,76,1
Count/Balls-Strikes,After 0-2,65,,90,86,,11,1,0,2,7,,,3,49,0.128,0.156,0.209,0.365,18,1,0,0,1,0,0,0.25,-7,61,8
Count/Balls-Strikes,After 1-2,88,,147,134,,26,6,0,6,18,,,12,76,0.194,0.259,0.373,0.632,50,0,0,0,1,0,0,0.377,60,153,14
Count/Balls-Strikes,After 2-2,91,,145,118,,21,5,0,7,15,,,25,69,0.178,0.317,0.398,0.716,47,0,0,0,2,0,1,0.318,83,146,9
Count/Balls-Strikes,Zero Balls,78,,108,106,18,36,7,2,6,15,2,1,0,22,0.34,0.352,0.613,0.965,65,4,2,0,0,0,0,0.385,141,166,21
Count/Balls-Strikes,Zero Strikes,66,,86,76,22,34,5,1,5,17,0,1,8,0,0.447,0.512,0.737,1.248,56,3,2,0,0,1,0,0.409,216,160,23
Count/Balls-Strikes,Three Balls,80,,122,70,7,12,4,0,3,5,0,0,52,35,0.171,0.525,0.357,0.882,25,0,0,0,0,1,1,0.281,134,88,5
Count/Balls-Strikes,Two Strikes,115,,282,241,25,37,7,0,10,24,0,0,39,138,0.154,0.27,0.307,0.577,74,1,0,0,2,0,1,0.284,48,126,20
Count/Balls-Strikes,Batter Ahead,98,,171,119,20,32,9,0,4,12,0,0,52,35,0.269,0.491,0.445,0.937,53,1,0,0,0,1,1,0.35,144,96,19
