Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,104,90,384,342,40,81,23,3,14,53,0,1,36,95,0.237,0.315,0.444,0.76,152,11,4,0,2,1,1,0.285,100,112,41
Season Totals,Last 7 days,6,4,17,17,2,4,1,0,2,3,0,0,0,7,0.235,0.235,0.647,0.882,11,1,0,0,0,0,0,0.25,120,148,1
Season Totals,Last 14 days,11,8,34,31,3,7,1,1,2,3,0,0,2,15,0.226,0.294,0.516,0.81,16,2,1,0,0,0,0,0.357,110,125,3
Season Totals,Last 28 days,24,20,85,72,11,20,6,1,4,13,0,0,9,23,0.278,0.377,0.556,0.932,40,6,3,0,1,0,0,0.348,145,154,9
Season Totals,Last 365 days,118,101,428,378,43,85,25,3,14,56,0,1,42,104,0.225,0.308,0.418,0.726,158,13,5,0,3,1,1,0.27,92,,43
Platoon Splits,vs RHP,102,,297,264,28,57,18,3,9,36,0,0,27,71,0.216,0.296,0.409,0.705,108,9,4,0,2,1,1,0.258,86,97,27
Platoon Splits,vs LHP,50,,87,78,12,24,5,0,5,17,0,1,9,24,0.308,0.379,0.564,0.943,44,2,0,0,0,0,0,0.388,147,161,14
Platoon Splits,vs RHP as LHB,102,,297,264,,57,18,3,9,36,0,0,27,71,0.216,0.296,0.409,0.705,108,9,4,0,2,1,1,0.258,86,91,27
Platoon Splits,vs LHP as LHB,50,,87,78,,24,5,0,5,17,0,0,9,24,0.308,0.379,0.564,0.943,44,2,0,0,0,0,0,0.388,147,179,14
Platoon Splits,vs RH Starter,73,73,293,261,28,59,17,3,10,41,0,1,27,67,0.226,0.307,0.429,0.736,112,8,4,0,1,1,0,0.265,94,105,29
Platoon Splits,vs LH Starter,31,17,91,81,12,22,6,0,4,12,0,0,9,28,0.272,0.341,0.494,0.835,40,3,0,0,1,0,1,0.36,120,132,12
Home or Away,Home,48,41,172,152,10,33,9,2,2,13,0,0,16,39,0.217,0.297,0.342,0.639,52,5,2,0,2,0,1,0.274,71,78,20
Home or Away,Away,56,49,212,190,30,48,14,1,12,40,0,1,20,56,0.253,0.33,0.526,0.857,100,6,2,0,0,1,0,0.295,123,140,21
First or Second Half,1st Half,73,65,277,249,27,59,16,2,10,39,0,1,26,65,0.237,0.311,0.438,0.748,109,5,1,0,1,1,1,0.28,97,110,31
First or Second Half,2nd Half,31,25,107,93,13,22,7,1,4,14,0,0,10,30,0.237,0.327,0.462,0.79,43,6,3,0,1,0,0,0.3,108,117,10
Months,April/March,28,28,115,109,15,29,6,0,5,16,0,1,6,25,0.266,0.304,0.459,0.763,50,2,0,0,0,0,1,0.304,100,116,18
Months,May,10,9,39,34,4,11,1,1,2,4,0,0,5,7,0.324,0.41,0.588,0.999,20,2,0,0,0,0,0,0.36,163,185,7
Months,June,23,18,78,70,4,10,3,1,2,9,0,0,7,22,0.143,0.218,0.3,0.518,21,0,0,0,1,0,0,0.17,37,43,4
Months,July,24,19,83,70,7,13,8,0,1,11,0,0,11,23,0.186,0.313,0.343,0.656,24,2,2,0,0,1,0,0.261,77,81,4
Months,August,19,16,69,59,10,18,5,1,4,13,0,0,7,18,0.305,0.391,0.627,1.018,37,5,2,0,1,0,0,0.368,165,178,8
Game Outcome for Team,in Wins,49,46,193,169,23,45,14,1,6,29,0,0,20,43,0.266,0.347,0.468,0.815,79,6,2,0,2,1,0,0.32,115,96,24
Game Outcome for Team,in Losses,55,44,191,173,17,36,9,2,8,24,0,1,16,52,0.208,0.283,0.422,0.705,73,5,2,0,0,0,1,0.248,85,138,17
Starter or Substitute,as Starter,90,90,364,324,37,76,21,3,13,49,0,1,35,90,0.235,0.316,0.438,0.754,142,11,4,0,1,1,1,0.284,99,110,39
Starter or Substitute,as Sub,14,0,20,18,3,5,2,0,1,4,0,0,1,5,0.278,0.3,0.556,0.856,10,0,0,0,1,0,0,0.308,121,155,2
Defensive Positions,as LF,91,,356,317,38,77,23,3,12,49,0,1,35,85,0.243,0.323,0.448,0.771,142,11,3,0,1,1,1,0.294,103,116,39
Defensive Positions,as DH,5,,16,14,1,3,0,0,1,2,0,0,1,6,0.214,0.313,0.429,0.741,6,0,1,0,0,0,0,0.286,96,98,2
Defensive Positions,as PH,13,,13,12,1,1,0,0,1,2,0,0,0,5,0.083,0.077,0.333,0.41,4,0,0,0,1,0,0,0.0,-1,22,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,68,,101,94,,22,6,1,4,4,,,6,22,0.234,0.287,0.447,0.734,42,0,1,0,0,0,0,0.265,92,107,11
Batting Order Positions,Batting 1st,3,0,6,6,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,2,0,0,0,0,0,0,0.333,81,84,2
Batting Order Positions,Batting 2nd,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 3rd,9,8,36,30,4,9,2,0,1,5,0,0,6,11,0.3,0.417,0.467,0.883,14,4,0,0,0,0,1,0.444,138,129,6
Batting Order Positions,Batting 4th,35,35,144,132,10,28,5,2,3,15,0,1,10,29,0.212,0.271,0.349,0.619,46,5,1,0,1,0,0,0.248,64,68,18
Batting Order Positions,Batting 5th,21,19,81,74,5,11,5,0,1,6,0,0,6,24,0.149,0.222,0.257,0.479,19,0,1,0,0,0,0,0.204,28,34,5
Batting Order Positions,Batting 6th,21,19,76,62,12,19,8,1,6,21,0,0,12,17,0.307,0.434,0.758,1.192,47,1,2,0,0,1,0,0.333,209,241,4
Batting Order Positions,Batting 7th,10,8,32,30,6,9,1,0,3,5,0,0,1,11,0.3,0.313,0.633,0.946,19,1,0,0,1,0,0,0.353,142,168,5
Batting Order Positions,Batting 8th,1,1,4,3,1,2,1,0,0,0,0,0,1,1,0.667,0.75,1.0,1.75,3,0,0,0,0,0,0,1.0,363,429,1
Batting Order Positions,Batting 9th,2,0,3,3,1,1,1,0,0,1,0,0,0,2,0.333,0.333,0.667,1.0,2,0,0,0,0,0,0,1.0,156,214,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,71,,102,97,,23,7,1,5,20,,,5,22,0.237,0.275,0.485,0.759,47,3,0,0,0,0,0,0.257,97,112,10
Swung or Took First Pitch of PA,Took 1st Pitch,102,,282,245,,58,16,2,9,33,,,31,73,0.237,0.33,0.429,0.758,105,8,4,0,2,1,1,0.297,101,112,31
Count/Balls-Strikes,First Pitch,33,,37,36,8,9,5,0,3,9,0,0,0,0,0.25,0.27,0.639,0.909,23,1,1,0,0,0,0,0.182,130,93,1
Count/Balls-Strikes,1-0 Count,18,,20,19,3,8,2,0,2,3,0,0,0,0,0.421,0.45,0.842,1.292,16,0,1,0,0,0,0,0.353,233,179,4
Count/Balls-Strikes,2-0 Count,9,,9,9,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,7,,7,0,,0,0,0,0,0,0,0,7,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,31,,33,33,3,13,5,0,1,7,0,0,0,0,0.394,0.394,0.636,1.03,21,2,0,0,0,0,0,0.375,168,143,7
Count/Balls-Strikes,1-1 Count,27,,31,30,7,10,2,1,3,9,0,0,0,0,0.333,0.323,0.767,1.089,23,3,0,0,1,0,0,0.25,175,145,4
Count/Balls-Strikes,2-1 Count,15,,15,15,3,3,0,0,1,1,0,0,0,0,0.2,0.2,0.4,0.6,6,1,0,0,0,0,1,0.143,54,27,2
Count/Balls-Strikes,3-1 Count,15,,16,9,3,5,1,0,1,4,0,0,7,0,0.556,0.75,1.0,1.75,9,1,0,0,0,0,0,0.5,363,164,3
Count/Balls-Strikes,0-2 Count,28,,34,34,5,7,4,0,0,4,0,0,0,19,0.206,0.206,0.324,0.529,11,0,0,0,0,0,0,0.467,38,175,3
Count/Balls-Strikes,1-2 Count,46,,61,61,3,9,1,1,1,1,0,0,0,31,0.148,0.148,0.246,0.393,15,1,0,0,0,0,0,0.276,2,88,6
Count/Balls-Strikes,2-2 Count,51,,57,54,2,9,2,0,0,7,0,1,0,26,0.167,0.193,0.204,0.397,11,0,2,0,1,0,0,0.31,7,84,7
Count/Balls-Strikes,Full Count,49,,64,42,3,8,1,1,2,8,0,0,22,19,0.191,0.469,0.405,0.874,17,2,0,0,0,0,0,0.286,140,125,4
Count/Balls-Strikes,After 1-0,89,,157,128,,25,4,2,5,16,,,25,37,0.195,0.338,0.375,0.713,48,3,3,0,1,1,1,0.23,92,78,14
Count/Balls-Strikes,After 2-0,45,,52,33,,6,1,0,2,4,,,19,4,0.182,0.481,0.394,0.875,13,1,0,0,0,1,0,0.148,141,82,3
Count/Balls-Strikes,After 3-0,22,,22,9,,2,0,0,1,2,,,13,2,0.222,0.682,0.556,1.237,5,1,0,0,0,1,0,0.167,242,102,1
Count/Balls-Strikes,After 0-1,93,,190,178,,47,14,1,6,28,,,11,58,0.264,0.305,0.455,0.76,81,7,0,0,1,0,0,0.357,99,149,26
Count/Balls-Strikes,After 1-1,90,,167,149,,33,5,2,4,21,,,14,51,0.222,0.293,0.362,0.656,54,5,2,0,2,0,1,0.302,75,97,22
Count/Balls-Strikes,After 2-1,60,,80,63,,13,3,0,1,9,,,16,17,0.206,0.363,0.302,0.664,19,2,0,0,1,0,1,0.261,83,70,9
Count/Balls-Strikes,After 3-1,31,,39,24,,7,2,0,1,4,,,15,7,0.292,0.564,0.5,1.064,12,1,0,0,0,0,0,0.375,192,110,4
Count/Balls-Strikes,After 0-2,55,,75,72,,12,5,1,2,9,,,3,40,0.167,0.2,0.347,0.547,25,2,0,0,0,0,0,0.333,42,137,4
Count/Balls-Strikes,After 1-2,75,,118,109,,19,2,2,3,10,,,7,57,0.174,0.237,0.312,0.549,34,2,2,0,0,0,0,0.327,46,120,12
Count/Balls-Strikes,After 2-2,68,,98,81,,15,2,1,2,15,,,14,38,0.185,0.316,0.309,0.625,25,2,2,0,1,0,0,0.31,70,115,10
Count/Balls-Strikes,Zero Balls,74,,104,103,16,29,14,0,4,20,0,0,0,19,0.282,0.289,0.534,0.823,55,3,1,0,0,0,0,0.313,112,125,11
Count/Balls-Strikes,Zero Strikes,53,,73,64,11,17,7,0,5,12,0,0,7,0,0.266,0.356,0.609,0.966,39,1,2,0,0,1,0,0.203,150,98,5
Count/Balls-Strikes,Three Balls,62,,87,51,6,13,2,1,3,12,0,0,36,19,0.255,0.563,0.51,1.073,26,3,0,0,0,1,0,0.345,194,134,7
Count/Balls-Strikes,Two Strikes,95,,216,191,13,33,8,2,3,20,0,1,22,95,0.173,0.264,0.283,0.547,54,3,2,0,1,0,0,0.319,48,114,20
Count/Balls-Strikes,Batter Ahead,81,,131,94,12,24,4,1,6,16,0,0,36,19,0.255,0.466,0.511,0.976,48,4,1,0,0,1,1,0.261,163,104,13
Count/Balls-Strikes,Even Count,81,,125,120,17,28,9,1,6,25,0,1,0,26,0.233,0.248,0.475,0.723,57,4,3,0,2,0,0,0.244,86,103,12
Count/Balls-Strikes,Pitcher Ahead,76,,128,128,11,29,10,1,2,12,0,0,0,50,0.227,0.227,0.367,0.594,47,3,0,0,0,0,0,0.355,55,127,16
Number of Outs in Inning,0 outs,88,,142,128,14,30,7,1,6,10,0,0,11,30,0.234,0.296,0.445,0.741,57,4,1,0,2,0,0,0.255,94,103,16
Number of Outs in Inning,1 out,78,,124,106,13,25,7,1,5,23,0,1,16,32,0.236,0.347,0.462,0.809,49,7,2,0,0,1,0,0.29,114,125,12
Number of Outs in Inning,2 outs,74,,118,108,13,26,9,1,3,20,0,0,9,33,0.241,0.305,0.426,0.731,46,0,1,0,0,0,1,0.319,93,108,13
Bases Occupied,RISP,63,,91,78,27,18,4,0,2,31,0,0,11,21,0.231,0.319,0.359,0.678,28,5,0,0,2,1,1,0.281,82,82,12
Bases Occupied,---,101,,212,191,8,38,9,3,8,8,0,0,17,59,0.199,0.278,0.403,0.681,77,0,4,0,0,0,0,0.242,79,96,18
Bases Occupied,Men On,82,,172,151,32,43,14,0,6,45,0,1,19,36,0.285,0.361,0.497,0.857,75,11,0,0,2,1,1,0.333,126,129,23
Bases Occupied,1--,62,,81,73,5,25,10,0,4,14,0,1,8,15,0.343,0.407,0.644,1.051,47,6,0,0,0,0,0,0.389,174,179,11
Bases Occupied,-2-,22,,19,16,7,2,1,0,0,2,0,0,3,6,0.125,0.263,0.188,0.451,3,0,0,0,0,1,0,0.2,26,25,1
Bases Occupied,--3,11,,12,10,2,1,0,0,0,2,0,0,2,3,0.1,0.25,0.1,0.35,1,0,0,0,0,0,1,0.143,2,-4,1
Bases Occupied,12-,27,,32,28,4,7,2,0,1,10,0,0,4,6,0.25,0.344,0.429,0.772,12,3,0,0,0,0,0,0.286,106,116,4
Bases Occupied,1-3,14,,12,9,3,3,0,0,0,5,0,0,1,2,0.333,0.333,0.333,0.667,3,1,0,0,2,0,0,0.333,81,69,3
Bases Occupied,-23,7,,7,6,5,2,0,0,0,4,0,0,1,2,0.333,0.429,0.333,0.762,2,0,0,0,0,0,0,0.5,111,95,2
Bases Occupied,123,9,,9,9,6,3,1,0,1,8,0,0,0,2,0.333,0.333,0.778,1.111,7,1,0,0,0,0,0,0.333,181,188,1
Bases Occupied,"on 1st,",58,,80,66,12,22,6,0,4,22,0,1,12,12,0.333,0.425,0.606,1.031,40,11,0,0,2,0,0,0.346,171,171,12
Bases Occupied,"on 3rd,",19,,21,16,11,5,1,0,1,13,0,0,3,3,0.313,0.381,0.563,0.944,9,2,0,0,2,0,0,0.286,148,121,3
Bases Occupied,"on 3rd, 2 out",17,,19,18,5,4,0,0,0,6,0,0,1,6,0.222,0.263,0.222,0.485,4,0,0,0,0,0,1,0.333,34,38,4
Bases Occupied,"0 out, ---",73,,109,102,6,25,6,1,6,6,0,0,6,26,0.245,0.294,0.5,0.794,51,0,1,0,0,0,0,0.271,106,122,12
Bases Occupied,"0 out, 1--",15,,16,12,1,3,1,0,0,0,0,0,4,2,0.25,0.438,0.333,0.771,4,2,0,0,0,0,0,0.3,114,109,2
Bases Occupied,"0 out, -2-",6,,5,5,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, --3",,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"0 out, 12-",8,,7,6,1,2,0,0,0,2,0,0,1,1,0.333,0.429,0.333,0.762,2,2,0,0,0,0,0,0.4,111,109,2
Bases Occupied,"0 out, 1-3",3,,3,1,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, -23",,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"0 out, 123",2,,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, ---",47,,58,50,1,6,2,1,1,1,0,0,6,19,0.12,0.241,0.26,0.501,13,0,2,0,0,0,0,0.167,35,48,2
Bases Occupied,"1 out, 1--",30,,29,26,3,12,2,0,3,7,0,1,3,6,0.462,0.517,0.885,1.402,23,4,0,0,0,0,0,0.529,264,271,7
