Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,73,73,306,286,34,72,10,2,6,27,8,4,17,69,0.252,0.297,0.364,0.661,104,5,2,0,1,1,4,0.311,100,86,54
Season Totals,Last 7 days,6,6,28,26,4,7,1,0,1,7,0,0,2,10,0.269,0.321,0.423,0.745,11,1,0,0,0,0,0,0.4,124,114,5
Season Totals,Last 14 days,6,6,28,26,4,7,1,0,1,7,0,0,2,10,0.269,0.321,0.423,0.745,11,1,0,0,0,0,0,0.4,124,106,5
Season Totals,Last 28 days,6,6,28,26,4,7,1,0,1,7,0,0,2,10,0.269,0.321,0.423,0.745,11,1,0,0,0,0,0,0.4,124,103,5
Season Totals,Last 365 days,111,111,466,443,57,120,24,2,13,47,11,6,18,99,0.271,0.305,0.422,0.727,187,6,4,0,1,1,4,0.322,119,,81
Platoon Splits,vs RHP,68,,208,191,23,48,6,2,5,17,8,4,15,46,0.251,0.308,0.382,0.69,73,5,1,0,1,1,3,0.305,109,95,35
Platoon Splits,vs LHP,45,,98,95,11,24,4,0,1,10,0,0,2,23,0.253,0.276,0.326,0.602,31,0,1,0,0,0,1,0.324,83,68,19
Platoon Splits,vs RHP as LHB,68,,208,191,,48,6,2,5,17,0,0,15,46,0.251,0.308,0.382,0.69,73,5,1,0,1,1,3,0.305,109,88,35
Platoon Splits,vs LHP as LHB,45,,98,95,,24,4,0,1,10,0,0,2,23,0.253,0.276,0.326,0.602,31,0,1,0,0,0,1,0.324,83,79,19
Platoon Splits,vs RH Starter,48,48,204,187,21,46,6,2,4,17,4,4,15,45,0.246,0.304,0.364,0.668,68,4,1,0,1,1,3,0.302,102,89,34
Platoon Splits,vs LH Starter,25,25,102,99,13,26,4,0,2,10,4,0,2,24,0.263,0.284,0.364,0.648,36,1,1,0,0,0,1,0.329,96,81,20
