Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,68,60,250,234,36,63,11,2,10,35,0,0,8,36,0.269,0.294,0.462,0.756,108,7,2,2,4,1,3,0.276,100,109,40
Season Totals,Last 7 days,5,4,17,16,2,7,0,0,0,0,0,0,1,0,0.438,0.471,0.438,0.908,7,0,0,0,0,0,0,0.438,155,170,7
Season Totals,Last 14 days,8,7,31,30,2,9,1,0,0,1,0,0,1,3,0.3,0.323,0.333,0.656,10,0,0,0,0,0,0,0.333,82,88,8
Season Totals,Last 28 days,19,16,72,65,12,19,3,1,2,6,0,0,5,10,0.292,0.347,0.462,0.809,30,1,1,0,1,0,0,0.315,118,122,13
Season Totals,Last 365 days,96,84,351,330,50,86,16,2,15,47,0,0,12,56,0.261,0.289,0.458,0.747,151,7,3,2,4,1,4,0.27,97,,53
Platoon Splits,vs RHP,66,,202,191,29,52,10,1,8,26,0,0,7,24,0.272,0.297,0.461,0.758,88,7,1,0,3,1,3,0.272,101,111,33
Platoon Splits,vs LHP,30,,48,43,7,11,1,1,2,9,0,0,1,12,0.256,0.283,0.465,0.748,20,0,1,2,1,0,0,0.3,97,106,7
Platoon Splits,vs RHP as LHB,66,,202,191,,52,10,1,8,26,0,0,7,24,0.272,0.297,0.461,0.758,88,7,1,0,3,1,3,0.272,101,104,33
Platoon Splits,vs LHP as LHB,30,,48,43,,11,1,1,2,9,0,0,1,12,0.256,0.283,0.465,0.748,20,0,1,2,1,0,0,0.3,97,120,7
Platoon Splits,vs RH Starter,57,53,217,205,31,55,10,1,10,33,0,0,5,31,0.268,0.287,0.473,0.76,97,6,2,1,4,0,3,0.268,100,110,34
Platoon Splits,vs LH Starter,11,7,33,29,5,8,1,1,0,2,0,0,3,5,0.276,0.344,0.379,0.723,11,1,0,1,0,1,0,0.333,99,104,6
Home or Away,Home,40,36,148,135,25,40,8,2,6,18,0,0,7,19,0.296,0.327,0.519,0.845,70,3,1,1,4,1,1,0.298,124,131,24
Home or Away,Away,28,24,102,99,11,23,3,0,4,17,0,0,1,17,0.232,0.248,0.384,0.631,38,4,1,1,0,0,2,0.244,68,78,16
First or Second Half,1st Half,43,39,156,147,22,40,7,0,8,26,0,0,3,22,0.272,0.286,0.483,0.769,71,5,1,2,3,1,3,0.267,102,113,25
First or Second Half,2nd Half,25,21,94,87,14,23,4,2,2,9,0,0,5,14,0.264,0.309,0.425,0.734,37,2,1,0,1,0,0,0.292,97,102,15
Months,April/March,10,9,33,33,5,7,1,0,1,5,0,0,0,3,0.212,0.212,0.333,0.545,11,1,0,0,0,0,1,0.207,44,54,5
Months,May,19,19,77,69,12,23,5,0,5,18,0,0,3,13,0.333,0.347,0.623,0.97,43,3,0,2,3,1,1,0.333,153,174,13
Months,June,5,4,15,14,2,4,1,0,1,1,0,0,0,5,0.286,0.333,0.571,0.905,8,1,1,0,0,0,0,0.375,137,147,2
Months,July,19,15,67,64,8,11,1,1,2,6,0,0,3,7,0.172,0.209,0.313,0.522,20,1,0,0,0,0,1,0.164,39,41,7
Months,August,15,13,58,54,9,18,3,1,1,5,0,0,2,8,0.333,0.362,0.482,0.844,26,1,1,0,1,0,0,0.37,127,133,13
Game Outcome for Team,in Wins,42,38,158,145,22,38,5,1,7,26,0,0,6,24,0.262,0.295,0.455,0.75,66,5,2,2,3,1,0,0.265,99,78,25
Game Outcome for Team,in Losses,26,22,92,89,14,25,6,1,3,9,0,0,2,12,0.281,0.294,0.472,0.765,42,2,0,0,1,0,3,0.293,102,157,15
Starter or Substitute,as Starter,60,60,238,223,36,62,11,2,10,35,0,0,7,33,0.278,0.301,0.48,0.781,107,7,2,2,4,1,3,0.283,106,116,39
Starter or Substitute,as Sub,8,0,12,11,0,1,0,0,0,0,0,0,1,3,0.091,0.167,0.091,0.258,1,0,0,0,0,0,0,0.125,-24,-19,1
Defensive Positions,as 2B,52,,199,187,32,55,9,2,8,31,0,0,7,27,0.294,0.32,0.492,0.812,92,6,1,2,2,1,3,0.305,115,136,36
Defensive Positions,as DH,11,,42,39,4,7,2,0,2,4,0,0,0,7,0.18,0.191,0.385,0.575,15,1,1,0,2,0,0,0.156,48,49,3
Defensive Positions,as PH,8,,8,7,,1,0,0,0,0,0,0,1,2,0.143,0.25,0.143,0.393,1,0,0,0,0,0,0,0.2,16,26,1
Defensive Positions,Other,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,12,,12,11,,2,0,0,0,0,,,1,3,0.182,0.25,0.182,0.432,2,0,0,0,0,0,0,0.25,24,26,2
Leading Off Inning,Leadoff Inn.,41,,65,62,,12,3,0,3,3,,,3,10,0.194,0.231,0.387,0.618,24,0,0,0,0,0,3,0.184,62,74,6
Batting Order Positions,Batting 1st,13,12,54,49,8,12,1,0,2,6,0,0,4,9,0.245,0.296,0.388,0.684,19,0,0,0,1,0,0,0.256,85,86,9
Batting Order Positions,Batting 4th,2,1,5,3,0,1,0,0,0,2,0,0,0,0,0.333,0.2,0.333,0.533,1,0,0,0,2,0,0,0.2,40,42,1
Batting Order Positions,Batting 5th,32,32,126,122,18,36,7,1,8,21,0,0,1,18,0.295,0.304,0.566,0.87,69,5,1,1,1,0,2,0.289,126,136,20
Batting Order Positions,Batting 6th,8,6,26,25,4,6,2,1,0,3,0,0,0,7,0.24,0.269,0.4,0.669,10,1,1,0,0,0,0,0.333,78,93,3
Batting Order Positions,Batting 7th,5,5,17,17,3,6,1,0,0,2,0,0,0,0,0.353,0.353,0.412,0.765,7,0,0,0,0,0,1,0.353,109,123,5
Batting Order Positions,Batting 8th,6,4,18,15,3,2,0,0,0,1,0,0,2,1,0.133,0.235,0.133,0.369,2,1,0,1,0,1,0,0.143,9,17,2
Batting Order Positions,Batting 9th,2,0,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-15,-12,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,39,,53,48,,11,1,0,1,14,,,0,8,0.229,0.216,0.313,0.528,15,3,0,2,3,0,1,0.238,41,50,9
Swung or Took First Pitch of PA,Took 1st Pitch,67,,197,186,,52,10,2,9,21,,,8,28,0.28,0.315,0.5,0.815,93,4,2,0,1,1,2,0.287,115,125,31
Count/Balls-Strikes,First Pitch,22,,25,22,6,6,0,0,1,6,0,0,0,0,0.273,0.25,0.409,0.659,9,2,0,1,2,0,0,0.217,74,46,5
Count/Balls-Strikes,1-0 Count,26,,31,31,2,12,3,1,0,2,0,0,0,0,0.387,0.387,0.548,0.936,17,0,0,0,0,0,0,0.387,150,109,8
Count/Balls-Strikes,2-0 Count,2,,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,178,126,1
Count/Balls-Strikes,3-0 Count,1,,2,0,1,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,28,,30,30,2,11,3,0,1,7,0,0,0,0,0.367,0.367,0.567,0.933,17,1,0,0,0,0,0,0.345,148,122,7
Count/Balls-Strikes,1-1 Count,24,,28,26,3,6,0,0,1,5,0,0,0,0,0.231,0.259,0.346,0.606,9,1,1,1,0,0,0,0.2,63,46,5
Count/Balls-Strikes,2-1 Count,12,,12,11,4,5,1,0,1,4,0,0,0,0,0.455,0.417,0.818,1.235,9,0,0,0,1,0,0,0.364,219,162,3
Count/Balls-Strikes,3-1 Count,4,,4,2,,2,0,1,0,0,0,0,2,0,1.0,1.0,2.0,3.0,4,0,0,0,0,0,0,1.0,673,357,1
Count/Balls-Strikes,0-2 Count,20,,23,23,1,1,0,0,0,0,0,0,0,11,0.044,0.044,0.044,0.087,1,1,0,0,0,0,0,0.083,-76,-54,1
Count/Balls-Strikes,1-2 Count,26,,41,40,5,7,1,0,2,5,0,0,0,18,0.175,0.171,0.35,0.521,14,1,0,0,1,0,0,0.238,34,143,4
Count/Balls-Strikes,2-2 Count,29,,31,30,6,7,3,0,2,4,0,0,0,4,0.233,0.258,0.533,0.791,16,1,1,0,0,0,1,0.208,103,242,2
Count/Balls-Strikes,Full Count,20,,21,17,5,5,0,0,2,2,0,0,4,3,0.294,0.429,0.647,1.076,11,0,0,0,0,0,2,0.25,186,189,3
Count/Balls-Strikes,After 1-0,49,,85,77,,25,5,1,2,10,,,6,5,0.325,0.377,0.494,0.87,38,0,1,0,1,1,0,0.324,135,116,17
Count/Balls-Strikes,After 2-0,13,,16,10,,5,0,0,1,1,,,6,1,0.5,0.688,0.8,1.488,8,0,0,0,0,1,0,0.5,307,211,4
Count/Balls-Strikes,After 3-0,5,,6,2,,2,0,0,0,0,,,4,0,1.0,1.0,1.0,2.0,2,0,0,0,0,1,0,1.0,457,232,2
Count/Balls-Strikes,After 0-1,65,,140,135,,32,6,1,7,19,,,2,31,0.237,0.252,0.452,0.704,61,5,1,1,1,0,3,0.255,84,128,18
Count/Balls-Strikes,After 1-1,53,,86,82,,18,3,1,3,13,,,0,12,0.22,0.235,0.39,0.626,32,1,2,1,1,0,1,0.221,64,86,11
Count/Balls-Strikes,After 2-1,22,,33,30,,8,1,1,1,4,,,2,2,0.267,0.303,0.467,0.77,14,0,0,0,1,0,1,0.25,104,95,5
Count/Balls-Strikes,After 3-1,6,,6,4,,4,0,1,0,0,,,2,0,1.0,1.0,1.5,2.5,6,0,0,0,0,0,0,1.0,565,410,3
Count/Balls-Strikes,After 0-2,43,,62,59,,11,2,0,4,6,,,2,23,0.186,0.21,0.424,0.633,25,3,0,0,1,0,2,0.212,63,173,5
Count/Balls-Strikes,After 1-2,44,,72,68,,16,4,0,6,11,,,2,23,0.235,0.264,0.559,0.823,38,2,1,0,1,0,2,0.25,111,224,6
Count/Balls-Strikes,After 2-2,42,,50,45,,10,3,0,4,6,,,4,7,0.222,0.3,0.556,0.856,25,1,1,0,0,0,3,0.177,122,194,3
Count/Balls-Strikes,Zero Balls,51,,78,75,9,18,3,0,2,13,0,0,0,11,0.24,0.234,0.36,0.594,27,4,0,1,2,0,0,0.25,58,66,13
Count/Balls-Strikes,Zero Strikes,43,,60,55,10,19,3,1,1,8,0,0,2,0,0.346,0.356,0.491,0.847,27,2,0,1,2,1,0,0.321,127,77,14
Count/Balls-Strikes,Three Balls,24,,27,19,6,7,0,1,2,2,0,0,8,3,0.368,0.556,0.79,1.345,15,0,0,0,0,1,2,0.357,260,205,4
Count/Balls-Strikes,Two Strikes,62,,116,110,17,20,4,0,6,11,0,0,4,36,0.182,0.216,0.382,0.597,42,3,1,0,1,0,3,0.203,56,132,10
Count/Balls-Strikes,Batter Ahead,44,,72,63,13,25,4,2,3,8,0,0,8,3,0.397,0.458,0.667,1.125,42,0,0,0,1,1,2,0.379,200,134,16
Count/Balls-Strikes,Even Count,53,,84,78,15,19,3,0,4,15,0,0,0,4,0.244,0.256,0.436,0.692,34,4,2,2,2,0,1,0.208,81,97,12
Count/Balls-Strikes,Pitcher Ahead,58,,94,93,8,19,4,0,3,12,0,0,0,29,0.204,0.202,0.344,0.546,32,3,0,0,1,0,0,0.258,43,108,12
Number of Outs in Inning,0 outs,52,,90,84,8,22,4,0,5,10,0,0,3,10,0.262,0.284,0.488,0.772,41,4,0,2,1,0,3,0.243,102,110,13
Number of Outs in Inning,1 out,52,,75,69,11,16,4,0,1,7,0,0,3,12,0.232,0.253,0.333,0.587,23,3,0,0,3,1,0,0.254,58,63,11
Number of Outs in Inning,2 outs,52,,85,81,17,25,3,2,4,18,0,0,2,14,0.309,0.341,0.543,0.884,44,0,2,0,0,0,0,0.333,134,149,16
Bases Occupied,RISP,39,,53,45,27,11,1,0,2,23,0,0,3,10,0.244,0.269,0.4,0.669,18,0,0,1,4,1,0,0.243,78,77,8
Bases Occupied,---,64,,151,146,6,38,9,1,6,6,0,0,5,20,0.26,0.285,0.459,0.744,67,0,0,0,0,0,3,0.267,96,113,22
Bases Occupied,Men On,57,,99,88,30,25,2,1,4,29,0,0,3,16,0.284,0.309,0.466,0.775,41,7,2,2,4,1,0,0.292,106,106,18
