Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,83,80,321,282,45,62,9,3,20,45,6,1,35,99,0.22,0.305,0.486,0.791,137,5,1,0,3,2,1,0.253,100,119,30
Season Totals,Last 7 days,6,6,24,18,3,4,1,0,1,2,0,1,6,6,0.222,0.417,0.444,0.861,8,0,0,0,0,1,0,0.273,128,154,2
Season Totals,Last 14 days,12,12,49,39,8,12,5,0,1,4,1,1,10,11,0.308,0.449,0.513,0.962,20,0,0,0,0,1,0,0.407,153,174,6
Season Totals,Last 28 days,25,25,100,83,14,20,5,1,4,8,2,1,17,29,0.241,0.37,0.47,0.84,39,1,0,0,0,1,0,0.32,118,131,10
Season Totals,Last 365 days,89,85,341,302,48,65,10,3,21,46,6,1,35,104,0.215,0.296,0.477,0.773,144,5,1,0,3,2,1,0.244,95,,31
Platoon Splits,vs RHP,77,,207,182,30,39,4,3,11,26,5,0,22,67,0.214,0.3,0.451,0.75,82,3,1,0,2,2,0,0.264,91,109,21
Platoon Splits,vs LHP,59,,114,100,15,23,5,0,9,19,1,1,13,32,0.23,0.316,0.55,0.866,55,2,0,0,1,0,1,0.233,117,137,9
Platoon Splits,vs RHP as LHB,77,,207,182,,39,4,3,11,26,0,0,22,67,0.214,0.3,0.451,0.75,82,3,1,0,2,2,0,0.264,91,102,21
Platoon Splits,vs LHP as RHB,59,,114,100,,23,5,0,9,19,0,0,13,32,0.23,0.316,0.55,0.866,55,2,0,0,1,0,1,0.233,117,131,9
Platoon Splits,vs RH Starter,53,50,198,175,26,37,4,3,10,26,3,0,21,62,0.211,0.298,0.44,0.738,77,3,1,0,1,2,0,0.26,88,105,20
Platoon Splits,vs LH Starter,30,30,123,107,19,25,5,0,10,19,3,1,14,37,0.234,0.317,0.561,0.878,60,2,0,0,2,0,1,0.242,119,141,10
