Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,91,81,279,253,22,57,8,1,7,31,0,0,17,53,0.225,0.28,0.348,0.628,88,3,3,4,2,0,3,0.256,100,77,41
Season Totals,Last 7 days,5,5,17,17,4,5,0,0,2,7,0,0,0,1,0.294,0.294,0.647,0.941,11,0,0,0,0,0,1,0.214,191,167,3
Season Totals,Last 14 days,9,9,31,31,6,10,2,0,3,10,0,0,0,2,0.323,0.323,0.677,1.0,21,0,0,0,0,0,1,0.269,210,174,5
Season Totals,Last 28 days,18,18,60,57,8,14,3,0,4,13,0,0,1,9,0.246,0.259,0.509,0.767,29,0,0,2,0,0,1,0.227,139,105,7
Season Totals,Last 365 days,105,91,314,285,25,61,8,1,8,32,0,0,20,64,0.214,0.271,0.333,0.604,95,3,3,4,2,0,3,0.247,93,,44
Platoon Splits,vs RHP,78,,215,195,20,48,6,0,6,22,0,0,14,42,0.246,0.305,0.369,0.674,72,2,3,2,1,0,2,0.284,115,90,36
Platoon Splits,vs LHP,42,,64,58,2,9,2,1,1,9,0,0,3,11,0.155,0.194,0.276,0.469,16,1,0,2,1,0,1,0.17,49,30,5
Platoon Splits,vs RHP as RHB,78,,215,195,,48,6,0,6,22,0,0,14,42,0.246,0.305,0.369,0.674,72,2,3,2,1,0,2,0.284,115,96,36
Platoon Splits,vs LHP as RHB,42,,64,58,,9,2,1,1,9,0,0,3,11,0.155,0.194,0.276,0.469,16,1,0,2,1,0,1,0.17,49,27,5
Platoon Splits,vs RH Starter,73,66,223,202,20,45,5,0,6,18,0,0,14,39,0.223,0.282,0.337,0.618,68,2,3,3,1,0,3,0.247,98,74,34
Platoon Splits,vs LH Starter,18,15,56,51,2,12,3,1,1,13,0,0,3,14,0.235,0.273,0.392,0.665,20,1,0,1,1,0,0,0.297,110,85,7
Home or Away,Home,46,42,146,132,11,29,2,0,4,17,0,0,10,27,0.22,0.278,0.326,0.604,43,1,1,2,1,0,2,0.245,93,68,23
Home or Away,Away,45,39,133,121,11,28,6,1,3,14,0,0,7,26,0.231,0.282,0.372,0.654,45,2,2,2,1,0,1,0.269,108,86,18
