Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,71,70,303,286,31,81,14,1,4,30,3,2,13,41,0.283,0.32,0.381,0.701,109,9,3,0,1,0,2,0.318,100,97,62
Season Totals,Last 7 days,6,6,27,24,3,6,2,0,0,1,0,0,3,4,0.25,0.333,0.333,0.667,8,0,0,0,0,0,0,0.3,92,95,4
Season Totals,Last 14 days,10,10,44,39,4,7,2,0,0,2,0,0,5,4,0.18,0.273,0.231,0.504,9,1,0,0,0,0,0,0.2,46,44,5
Season Totals,Last 28 days,22,22,95,86,6,21,3,1,0,5,1,1,6,10,0.244,0.316,0.302,0.618,26,2,3,0,0,0,2,0.276,78,72,17
Season Totals,Last 365 days,88,83,360,339,38,97,20,1,6,42,5,2,17,49,0.286,0.325,0.404,0.729,137,10,3,0,1,0,3,0.319,108,,70
Platoon Splits,vs RHP,69,,246,234,21,60,10,1,3,16,3,1,8,35,0.256,0.289,0.346,0.635,81,6,3,0,1,0,2,0.289,81,79,46
Platoon Splits,vs LHP,27,,57,52,10,21,4,0,1,14,0,1,5,6,0.404,0.456,0.539,0.995,28,3,0,0,0,0,0,0.444,184,178,16
Platoon Splits,vs RHP as RHB,69,,246,234,,60,10,1,3,16,0,0,8,35,0.256,0.289,0.346,0.635,81,6,3,0,1,0,2,0.289,81,85,46
Platoon Splits,vs LHP as RHB,27,,57,52,,21,4,0,1,14,0,0,5,6,0.404,0.456,0.539,0.995,28,3,0,0,0,0,0,0.444,184,172,16
Platoon Splits,vs RH Starter,59,58,245,235,23,64,12,1,3,20,3,1,8,33,0.272,0.298,0.37,0.668,87,7,1,0,1,0,2,0.305,90,88,48
Platoon Splits,vs LH Starter,12,12,58,51,8,17,2,0,1,10,0,1,5,8,0.333,0.414,0.431,0.845,22,2,2,0,0,0,0,0.381,143,139,14
Home or Away,Home,35,35,145,142,11,45,7,1,2,16,1,0,2,21,0.317,0.331,0.423,0.754,60,4,1,0,0,0,1,0.361,115,109,35
Home or Away,Away,36,35,158,144,20,36,7,0,2,14,2,2,11,20,0.25,0.31,0.34,0.65,49,5,2,0,1,0,1,0.276,86,87,27
First or Second Half,1st Half,44,43,186,178,21,50,9,0,3,21,2,1,7,30,0.281,0.307,0.382,0.689,68,5,0,0,1,0,0,0.322,96,94,38
First or Second Half,2nd Half,27,27,117,108,10,31,5,1,1,9,1,1,6,11,0.287,0.342,0.38,0.722,41,4,3,0,0,0,2,0.313,107,101,24
Months,May,6,6,25,24,3,9,2,0,1,8,1,0,0,2,0.375,0.36,0.583,0.943,14,2,0,0,1,0,0,0.364,166,168,6
Months,June,26,26,110,104,11,30,4,0,1,6,0,1,6,17,0.289,0.327,0.356,0.683,37,2,0,0,0,0,0,0.337,96,92,25
Months,July,24,23,104,100,12,27,6,0,2,13,1,1,2,14,0.27,0.298,0.39,0.688,39,4,2,0,0,0,1,0.298,96,88,19
Months,August,15,15,64,58,5,15,2,1,0,3,1,0,5,8,0.259,0.328,0.328,0.656,19,1,1,0,0,0,1,0.3,89,85,12
Game Outcome for Team,in Wins,31,31,136,128,18,32,5,1,2,19,1,1,6,20,0.25,0.294,0.352,0.646,45,6,2,0,0,0,0,0.283,84,57,24
Game Outcome for Team,in Losses,40,39,167,158,13,49,9,0,2,11,2,1,7,21,0.31,0.341,0.405,0.746,64,3,1,0,1,0,2,0.346,113,154,38
Starter or Substitute,as Starter,70,70,301,284,31,80,13,1,4,29,3,2,13,40,0.282,0.319,0.377,0.696,107,9,3,0,1,0,2,0.315,99,96,62
Starter or Substitute,as Sub,1,0,2,2,0,1,1,0,0,1,0,0,0,1,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,1.0,319,350,0
Defensive Positions,as LF,68,,288,272,28,77,13,1,4,29,3,2,12,40,0.283,0.319,0.382,0.702,104,8,3,0,1,0,2,0.319,100,99,59
Defensive Positions,as DH,3,,14,13,3,4,1,0,0,1,0,0,1,0,0.308,0.357,0.385,0.742,5,1,0,0,0,0,0,0.308,113,101,3
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,43,,59,56,,14,5,0,0,0,,,3,6,0.25,0.288,0.339,0.627,19,0,0,0,0,0,1,0.28,79,80,9
Batting Order Positions,Batting 1st,1,0,2,2,0,1,1,0,0,1,0,0,0,1,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,1.0,319,299,0
Batting Order Positions,Batting 2nd,43,43,186,175,19,43,7,1,3,17,2,1,8,27,0.246,0.29,0.349,0.639,61,6,3,0,0,0,2,0.276,82,69,32
Batting Order Positions,Batting 3rd,11,11,47,45,4,15,1,0,0,2,0,0,2,6,0.333,0.362,0.356,0.717,16,1,0,0,0,0,0,0.385,107,88,14
Batting Order Positions,Batting 4th,16,16,68,64,8,22,5,0,1,10,1,1,3,7,0.344,0.368,0.469,0.836,30,2,0,0,1,0,0,0.368,138,128,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,60,,89,87,,23,4,0,1,8,,,1,10,0.264,0.281,0.345,0.626,30,4,1,0,0,0,1,0.29,78,81,18
Swung or Took First Pitch of PA,Took 1st Pitch,71,,214,199,,58,10,1,3,22,,,12,31,0.292,0.336,0.397,0.733,79,5,2,0,1,0,1,0.331,109,105,44
Count/Balls-Strikes,First Pitch,36,,39,39,8,13,3,0,0,5,0,0,0,0,0.333,0.333,0.41,0.744,16,2,0,0,0,0,1,0.333,112,70,10
Count/Balls-Strikes,1-0 Count,14,,16,16,3,4,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5,4,2,0,0,0,0,1,0.25,44,17,4
Count/Balls-Strikes,2-0 Count,14,,14,14,3,9,5,0,0,3,0,0,0,0,0.643,0.643,1.0,1.643,14,1,0,0,0,0,0,0.643,363,248,4
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,31,,39,37,4,14,1,0,2,6,0,0,0,0,0.378,0.41,0.568,0.978,21,1,2,0,0,0,0,0.343,177,135,11
Count/Balls-Strikes,1-1 Count,27,,30,30,4,13,2,0,0,2,1,0,0,0,0.433,0.433,0.5,0.933,15,0,0,0,0,0,0,0.433,167,129,11
Count/Balls-Strikes,2-1 Count,12,,12,12,1,3,0,1,0,1,1,0,0,0,0.25,0.25,0.417,0.667,5,0,0,0,0,0,0,0.25,88,44,2
Count/Balls-Strikes,3-1 Count,8,,8,5,1,1,0,0,0,0,0,0,3,0,0.2,0.5,0.2,0.7,1,0,0,0,0,0,0,0.2,109,3,1
Count/Balls-Strikes,0-2 Count,17,,19,19,,2,1,0,0,0,0,0,0,7,0.105,0.105,0.158,0.263,3,1,0,0,0,0,0,0.167,-26,37,1
Count/Balls-Strikes,1-2 Count,34,,52,52,4,9,0,0,1,7,1,1,0,16,0.173,0.173,0.231,0.404,12,1,0,0,0,0,0,0.229,15,96,8
Count/Balls-Strikes,2-2 Count,36,,44,43,2,8,1,0,1,4,0,1,0,16,0.186,0.182,0.279,0.461,12,1,0,0,1,0,0,0.259,30,105,6
Count/Balls-Strikes,Full Count,25,,27,19,1,5,1,0,0,1,0,0,7,2,0.263,0.482,0.316,0.797,6,0,1,0,0,0,0,0.294,133,101,4
Count/Balls-Strikes,After 1-0,61,,112,101,,33,8,1,1,13,,,10,16,0.327,0.384,0.455,0.839,46,3,0,0,1,0,1,0.377,139,109,23
Count/Balls-Strikes,After 2-0,36,,48,39,,17,6,1,0,5,,,8,4,0.436,0.521,0.641,1.162,25,1,0,0,1,0,0,0.472,231,143,10
Count/Balls-Strikes,After 3-0,8,,9,3,,1,0,0,0,0,,,6,1,0.333,0.778,0.333,1.111,1,0,0,0,0,0,0,0.5,231,71,1
Count/Balls-Strikes,After 0-1,67,,152,146,,35,3,0,3,12,,,3,25,0.24,0.27,0.322,0.592,47,4,3,0,0,0,0,0.271,69,97,29
Count/Balls-Strikes,After 1-1,57,,106,100,,25,3,0,1,11,,,5,19,0.25,0.293,0.31,0.603,31,1,1,0,0,0,0,0.3,73,83,21
Count/Balls-Strikes,After 2-1,39,,51,44,,11,1,1,0,4,,,6,9,0.25,0.333,0.318,0.652,14,0,0,0,1,0,0,0.306,88,66,9
Count/Balls-Strikes,After 3-1,15,,16,8,,2,1,0,0,0,,,8,1,0.25,0.625,0.375,1.0,3,0,0,0,0,0,0,0.286,194,92,1
Count/Balls-Strikes,After 0-2,41,,55,55,,8,1,0,1,2,,,0,18,0.146,0.146,0.218,0.364,12,2,0,0,0,0,0,0.194,3,59,6
Count/Balls-Strikes,After 1-2,50,,86,84,,14,1,0,2,9,,,1,24,0.167,0.186,0.25,0.436,21,2,1,0,0,0,0,0.207,24,75,11
Count/Balls-Strikes,After 2-2,45,,63,59,,12,1,0,1,5,,,2,17,0.203,0.238,0.271,0.509,16,1,1,0,1,0,0,0.262,46,75,10
Count/Balls-Strikes,Zero Balls,60,,97,95,12,29,5,0,2,11,0,0,0,7,0.305,0.32,0.421,0.741,40,4,2,0,0,0,1,0.314,111,110,22
Count/Balls-Strikes,Zero Strikes,51,,72,69,14,26,8,0,0,9,0,0,3,0,0.377,0.403,0.493,0.896,34,5,0,0,0,0,2,0.377,155,90,18
Count/Balls-Strikes,Three Balls,34,,38,24,2,6,1,0,0,1,0,0,13,2,0.25,0.526,0.292,0.818,7,0,1,0,0,0,0,0.273,141,71,5
Count/Balls-Strikes,Two Strikes,65,,142,133,7,24,3,0,2,12,1,2,7,41,0.181,0.225,0.248,0.474,33,3,1,0,1,0,0,0.242,35,85,19
Count/Balls-Strikes,Batter Ahead,56,,80,66,9,22,6,1,0,6,1,0,13,2,0.333,0.45,0.455,0.905,30,3,1,0,0,0,1,0.344,160,89,15
Count/Balls-Strikes,Even Count,61,,113,112,14,34,6,0,1,11,1,1,0,16,0.304,0.301,0.384,0.685,43,3,0,0,1,0,1,0.344,95,102,27
Count/Balls-Strikes,Pitcher Ahead,60,,110,108,8,25,2,0,3,13,1,1,0,23,0.232,0.246,0.333,0.579,36,3,2,0,0,0,0,0.268,64,124,20
Number of Outs in Inning,0 outs,59,,101,96,5,23,6,1,0,5,0,0,5,11,0.24,0.277,0.323,0.6,31,6,0,0,0,0,1,0.271,71,68,16
Number of Outs in Inning,1 out,65,,109,104,12,33,5,0,2,14,1,1,1,14,0.317,0.339,0.423,0.763,44,3,3,0,1,0,0,0.348,117,113,26
Number of Outs in Inning,2 outs,57,,93,86,14,25,3,0,2,11,2,1,7,16,0.291,0.344,0.395,0.739,34,0,0,0,0,0,1,0.338,111,112,20
Bases Occupied,RISP,43,,68,62,25,22,4,0,2,26,2,0,4,8,0.355,0.397,0.516,0.913,32,2,1,0,1,0,0,0.377,160,144,16
Bases Occupied,---,70,,181,172,2,44,9,0,2,2,0,0,7,27,0.256,0.293,0.343,0.636,59,0,2,0,0,0,2,0.294,82,86,33
Bases Occupied,Men On,58,,122,114,29,37,5,1,2,28,3,2,6,14,0.325,0.361,0.439,0.799,50,9,1,0,1,0,0,0.354,128,115,29
Bases Occupied,1--,41,,54,52,4,15,1,1,0,2,1,2,2,6,0.289,0.315,0.346,0.661,18,7,0,0,0,0,0,0.326,89,80,13
Bases Occupied,-2-,18,,22,19,3,4,2,0,0,3,0,0,2,1,0.211,0.318,0.316,0.634,6,0,1,0,0,0,0,0.222,82,74,2
Bases Occupied,--3,10,,10,8,1,2,0,0,0,3,0,0,1,1,0.25,0.3,0.25,0.55,2,0,0,0,1,0,0,0.25,59,46,2
Bases Occupied,12-,18,,21,20,6,9,1,0,1,9,2,0,1,1,0.45,0.476,0.65,1.126,13,1,0,0,0,0,0,0.444,219,213,7
Bases Occupied,1-3,10,,10,10,10,5,0,0,1,8,0,0,0,3,0.5,0.5,0.8,1.3,8,0,0,0,0,0,0,0.667,266,215,4
Bases Occupied,-23,2,,2,2,1,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,1.0,188,152,1
Bases Occupied,123,3,,3,3,4,1,1,0,0,2,0,0,0,1,0.333,0.333,0.667,1.0,2,1,0,0,0,0,0,0.5,179,166,0
Bases Occupied,"on 1st,",40,,53,52,12,17,2,1,1,12,1,1,1,6,0.327,0.34,0.462,0.801,24,9,0,0,0,0,0,0.356,128,112,13
Bases Occupied,"on 3rd,",15,,16,15,9,5,1,0,1,10,0,0,0,5,0.333,0.313,0.6,0.913,9,1,0,0,1,0,0,0.4,155,109,3
