Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,78,63,247,230,27,65,19,0,3,26,7,2,14,25,0.283,0.325,0.404,0.73,93,6,1,1,1,0,0,0.305,100,105,43
Season Totals,Last 7 days,6,5,19,18,3,8,1,0,0,3,1,1,1,0,0.444,0.474,0.5,0.974,9,1,0,0,0,0,0,0.444,170,184,7
Season Totals,Last 14 days,11,10,40,38,5,13,2,0,0,5,2,1,2,3,0.342,0.375,0.395,0.77,15,1,0,0,0,0,0,0.371,113,116,11
Season Totals,Last 28 days,11,10,40,38,5,13,2,0,0,5,2,1,2,3,0.342,0.375,0.395,0.77,15,1,0,0,0,0,0,0.371,113,113,11
Season Totals,Last 365 days,108,91,349,323,40,93,22,1,5,34,8,4,19,37,0.288,0.332,0.409,0.741,132,9,3,3,1,0,0,0.312,103,,65
Platoon Splits,vs RHP,60,,164,153,21,45,13,0,1,15,3,2,8,17,0.294,0.331,0.399,0.73,61,3,1,1,1,0,0,0.324,101,106,31
Platoon Splits,vs LHP,41,,83,77,6,20,6,0,2,11,4,0,6,8,0.26,0.313,0.416,0.729,32,3,0,0,0,0,0,0.269,99,103,12
Platoon Splits,vs RHP as RHB,60,,164,153,,45,13,0,1,15,0,0,8,17,0.294,0.331,0.399,0.73,61,3,1,1,1,0,0,0.324,101,112,31
Platoon Splits,vs LHP as RHB,41,,83,77,,20,6,0,2,11,0,0,6,8,0.26,0.313,0.416,0.729,32,3,0,0,0,0,0,0.269,99,98,12
Platoon Splits,vs RH Starter,44,30,124,117,12,27,9,0,0,7,3,2,6,13,0.231,0.274,0.308,0.582,36,4,1,0,0,0,0,0.26,61,65,18
Platoon Splits,vs LH Starter,34,33,123,113,15,38,10,0,3,19,4,0,8,12,0.336,0.377,0.504,0.881,57,2,0,1,1,0,0,0.354,141,146,25
Home or Away,Home,37,28,105,98,11,20,6,0,3,8,2,0,6,10,0.204,0.25,0.357,0.607,35,4,0,1,0,0,0,0.2,65,67,11
Home or Away,Away,41,35,142,132,16,45,13,0,0,18,5,2,8,15,0.341,0.38,0.439,0.82,58,2,1,0,1,0,0,0.381,126,134,32
First or Second Half,1st Half,64,50,198,183,22,52,17,0,3,21,5,1,12,20,0.284,0.33,0.426,0.756,78,4,1,1,1,0,0,0.304,107,113,32
First or Second Half,2nd Half,14,13,49,47,5,13,2,0,0,5,2,1,2,5,0.277,0.306,0.319,0.625,15,2,0,0,0,0,0,0.31,73,75,11
Months,April/March,20,14,50,45,7,12,3,0,2,5,1,0,5,5,0.267,0.34,0.467,0.807,21,0,0,0,0,0,0,0.263,120,130,7
Months,May,14,10,40,38,5,11,5,0,0,4,1,0,2,3,0.29,0.325,0.421,0.746,16,2,0,0,0,0,0,0.314,104,114,6
Months,June,19,16,70,65,9,21,5,0,1,10,1,0,3,7,0.323,0.357,0.446,0.803,29,2,1,0,1,0,0,0.345,120,124,15
Months,July,14,13,47,44,1,8,4,0,0,2,2,1,2,7,0.182,0.217,0.273,0.49,12,1,0,1,0,0,0,0.216,34,34,4
Months,August,11,10,40,38,5,13,2,0,0,5,2,1,2,3,0.342,0.375,0.395,0.77,15,1,0,0,0,0,0,0.371,113,116,11
Game Outcome for Team,in Wins,52,43,176,166,24,54,15,0,3,22,5,0,7,16,0.325,0.354,0.47,0.824,78,6,1,1,1,0,0,0.345,125,98,36
Game Outcome for Team,in Losses,26,20,71,64,3,11,4,0,0,4,2,2,7,9,0.172,0.254,0.234,0.488,15,0,0,0,0,0,0,0.2,36,68,7
Starter or Substitute,as Starter,63,63,232,216,25,62,18,0,3,24,7,2,13,23,0.287,0.329,0.412,0.741,89,5,1,1,1,0,0,0.309,103,108,41
Starter or Substitute,as Sub,15,0,15,14,2,3,1,0,0,2,0,0,1,2,0.214,0.267,0.286,0.552,4,1,0,0,0,0,0,0.25,53,70,2
Defensive Positions,as 2B,12,,40,38,3,11,3,0,1,7,2,0,2,0,0.29,0.325,0.447,0.772,17,2,0,0,0,0,0,0.27,111,125,7
Defensive Positions,as 3B,9,,27,24,1,5,0,0,0,1,0,0,3,3,0.208,0.296,0.208,0.505,5,2,0,0,0,0,0,0.238,43,48,5
Defensive Positions,as SS,50,,170,158,23,47,16,0,2,17,5,2,9,21,0.298,0.337,0.437,0.774,69,1,1,1,1,0,0,0.331,112,110,29
Defensive Positions,as PH,10,,10,10,,2,0,0,0,1,0,0,0,1,0.2,0.2,0.2,0.4,2,1,0,0,0,0,0,0.222,11,26,2
Leading Off Inning,Leadoff Inn.,40,,55,51,,16,5,0,0,0,,,4,5,0.314,0.364,0.412,0.775,21,0,0,0,0,0,0,0.348,114,124,11
Batting Order Positions,Batting 1st,5,0,6,5,2,2,1,0,0,1,0,0,1,1,0.4,0.5,0.6,1.1,3,0,0,0,0,0,0,0.5,202,200,1
Batting Order Positions,Batting 3rd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 5th,7,5,22,22,1,8,1,0,0,4,0,0,0,4,0.364,0.364,0.409,0.773,9,1,0,0,0,0,0,0.444,113,116,7
Batting Order Positions,Batting 6th,20,19,73,67,3,13,3,0,0,5,3,2,4,8,0.194,0.25,0.239,0.489,16,1,1,1,0,0,0,0.22,36,45,10
Batting Order Positions,Batting 7th,16,14,58,53,12,23,8,0,1,9,3,0,4,4,0.434,0.466,0.642,1.107,34,1,0,0,1,0,0,0.449,202,220,14
Batting Order Positions,Batting 8th,15,14,47,44,4,11,4,0,0,3,0,0,3,3,0.25,0.298,0.341,0.639,15,1,0,0,0,0,0,0.268,76,95,7
Batting Order Positions,Batting 9th,14,11,40,38,5,8,2,0,2,4,1,0,2,4,0.211,0.25,0.421,0.671,16,2,0,0,0,0,0,0.188,81,113,4
Swung or Took First Pitch of PA,Swung at 1st Pitch,43,,57,54,,16,4,0,1,10,,,2,2,0.296,0.316,0.426,0.742,23,0,0,0,1,0,0,0.289,103,113,11
