Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,110,93,359,325,41,77,12,9,9,39,3,2,27,96,0.237,0.305,0.412,0.717,134,5,5,1,1,1,1,0.308,100,100,47
Season Totals,Last 7 days,6,5,19,17,0,2,1,0,0,1,0,1,1,4,0.118,0.211,0.177,0.387,3,0,1,0,0,0,0,0.154,12,16,1
Season Totals,Last 14 days,12,11,41,38,3,7,1,0,0,1,1,1,2,10,0.184,0.244,0.211,0.454,8,1,1,0,0,0,0,0.25,32,32,6
Season Totals,Last 28 days,24,22,84,79,8,16,3,3,1,6,1,2,3,19,0.203,0.238,0.354,0.593,28,2,1,0,1,0,0,0.25,64,61,9
Season Totals,Last 365 days,139,116,455,402,52,95,18,9,13,50,4,2,43,121,0.236,0.319,0.423,0.742,170,8,7,1,2,1,1,0.304,108,,55
Platoon Splits,vs RHP,103,,278,254,30,58,9,6,9,32,1,1,21,69,0.228,0.289,0.417,0.706,106,3,1,1,1,1,1,0.277,96,97,34
Platoon Splits,vs LHP,42,,81,71,11,19,3,3,0,7,2,1,6,27,0.268,0.358,0.394,0.752,28,2,4,0,0,0,0,0.432,113,112,13
Platoon Splits,vs RHP as LHB,103,,278,254,,58,9,6,9,32,0,0,21,69,0.228,0.289,0.417,0.706,106,3,1,1,1,1,1,0.277,96,91,34
Platoon Splits,vs LHP as LHB,42,,81,71,,19,3,3,0,7,0,0,6,27,0.268,0.358,0.394,0.752,28,2,4,0,0,0,0,0.432,113,126,13
Platoon Splits,vs RH Starter,78,78,277,254,29,64,9,8,8,34,1,1,18,66,0.252,0.308,0.445,0.753,113,3,3,1,1,1,1,0.309,109,110,39
Platoon Splits,vs LH Starter,32,15,82,71,12,13,3,1,1,5,2,1,9,30,0.183,0.293,0.296,0.589,21,2,2,0,0,0,0,0.3,68,67,8
Home or Away,Home,55,47,184,167,21,46,9,4,4,21,1,0,14,36,0.275,0.333,0.449,0.782,75,3,1,1,1,1,0,0.328,119,116,29
Home or Away,Away,55,46,175,158,20,31,3,5,5,18,2,2,13,60,0.196,0.274,0.373,0.648,59,2,4,0,0,0,1,0.28,81,83,18
First or Second Half,1st Half,78,63,245,220,29,53,9,5,8,31,1,0,21,68,0.241,0.316,0.436,0.752,96,2,3,1,0,1,1,0.313,110,111,31
First or Second Half,2nd Half,32,30,114,105,12,24,3,4,1,8,2,2,6,28,0.229,0.281,0.362,0.643,38,3,2,0,1,0,0,0.299,80,78,16
Months,April/March,22,18,65,57,7,13,0,0,2,10,0,0,6,19,0.228,0.313,0.333,0.646,19,0,1,1,0,1,0,0.306,84,86,11
Months,May,27,22,95,89,11,19,5,2,3,11,0,0,6,29,0.214,0.263,0.416,0.679,37,0,0,0,0,0,1,0.281,88,93,9
Months,June,18,14,55,46,8,11,1,2,2,7,1,0,8,12,0.239,0.364,0.478,0.842,22,2,1,0,0,0,0,0.281,136,134,6
