Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,578.0,546,84.0,156,41,4,20,7,1,22,96,4.36,0.286,0.314,0.485,0.799,265.0,16.0,3.0,0,6,0,1,0.312,100,121,91
Season Totals,Last 7 days,1,24.0,24,5.0,7,1,0,2,0,0,0,7,,0.292,0.292,0.583,0.875,14.0,0.0,0.0,0,0,0,0,0.333,113,145,4
Season Totals,Last 14 days,2,44.0,43,10.0,15,2,1,2,0,0,0,10,,0.349,0.341,0.581,0.922,25.0,0.0,0.0,0,1,0,0,0.406,128,152,10
Season Totals,Last 28 days,4,91.0,86,17.0,30,7,2,2,0,0,3,16,5.33,0.349,0.363,0.547,0.909,47.0,1.0,0.0,0,2,0,0,0.4,128,147,19
Season Totals,Last 365 days,33,788.0,745,115.0,215,58,6,30,10,3,30,126,4.2,0.289,0.316,0.503,0.819,375.0,18.0,3.0,1,8,0,3,0.31,104,,121
Platoon Splits,vs RHB,25,309.0,294,40.0,84,21,0,11,5,0,10,48,4.8,0.286,0.312,0.469,0.781,138.0,7.0,2.0,0,2,0,1,0.308,96,119,52
Platoon Splits,vs LHB,25,269.0,252,35.0,72,20,4,9,2,1,12,48,4.0,0.286,0.316,0.504,0.82,127.0,9.0,1.0,0,4,0,0,0.317,105,124,39
Platoon Splits,vs RHB as RHP,25,309.0,294,40.0,84,21,0,11,5,0,10,48,4.8,0.286,0.312,0.469,0.781,138.0,7.0,2.0,0,2,0,1,0.308,96,124,52
Platoon Splits,vs LHB as RHP,25,269.0,252,35.0,72,20,4,9,2,1,12,48,4.0,0.286,0.316,0.504,0.82,127.0,9.0,1.0,0,4,0,0,0.317,105,120,39
Home or Away,Home,11,261.0,246,45.0,71,20,3,12,6,1,10,43,4.3,0.289,0.319,0.541,0.86,133.0,4.0,2.0,0,2,0,1,0.306,113,141,36
Home or Away,Away,14,317.0,300,39.0,85,21,1,8,1,0,12,53,4.42,0.283,0.309,0.44,0.749,132.0,12.0,1.0,0,4,0,0,0.317,89,106,55
First or Second Half,1st Half,20,464.0,438,65.0,119,33,2,17,7,1,18,77,4.28,0.272,0.302,0.473,0.775,207.0,12.0,3.0,0,4,0,1,0.293,94,116,67
First or Second Half,2nd Half,5,114.0,108,19.0,37,8,2,3,0,0,4,19,4.75,0.343,0.36,0.537,0.897,58.0,4.0,0.0,0,2,0,0,0.386,125,144,24
Months,April/March,6,139.0,129,21.0,40,13,0,6,1,0,7,25,3.57,0.31,0.345,0.55,0.896,71.0,4.0,1.0,0,2,0,0,0.34,123,153,21
Months,May,6,136.0,127,19.0,32,8,0,4,2,0,7,25,3.57,0.252,0.296,0.409,0.706,52.0,5.0,1.0,0,0,0,1,0.286,79,102,20
