Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,107,95,381,342,40,73,12,0,12,44,0,0,36,110,0.214,0.291,0.354,0.645,121,8,2,0,1,0,2,0.276,100,82,49
Season Totals,Last 7 days,4,3,12,12,3,5,0,0,1,1,0,0,0,3,0.417,0.417,0.667,1.083,8,0,0,0,0,0,0,0.5,232,213,4
Season Totals,Last 14 days,8,6,25,25,3,7,0,0,1,3,0,0,0,8,0.28,0.28,0.4,0.68,10,0,0,0,0,0,0,0.375,109,91,6
Season Totals,Last 28 days,20,17,69,63,10,16,2,0,3,9,0,0,5,21,0.254,0.319,0.429,0.747,27,1,1,0,0,0,1,0.333,131,105,11
Season Totals,Last 365 days,128,112,450,405,47,83,16,1,14,50,0,0,42,133,0.205,0.282,0.353,0.635,143,13,2,0,1,0,3,0.266,97,,52
Platoon Splits,vs RHP,93,,251,221,27,51,11,0,9,34,0,0,27,71,0.231,0.319,0.403,0.721,89,4,2,0,1,0,0,0.296,124,103,31
Platoon Splits,vs LHP,60,,130,121,13,22,1,0,3,10,0,0,9,39,0.182,0.239,0.265,0.503,32,4,0,0,0,0,2,0.241,56,41,18
Platoon Splits,vs RHP as RHB,93,,251,221,,51,11,0,9,34,0,0,27,71,0.231,0.319,0.403,0.721,89,4,2,0,1,0,0,0.296,124,109,31
Platoon Splits,vs LHP as RHB,60,,130,121,,22,1,0,3,10,0,0,9,39,0.182,0.239,0.265,0.503,32,4,0,0,0,0,2,0.241,56,38,18
Platoon Splits,vs RH Starter,73,61,250,223,31,51,11,0,12,35,0,0,25,72,0.229,0.308,0.44,0.748,98,5,1,0,1,0,0,0.279,130,108,28
Platoon Splits,vs LH Starter,34,34,131,119,9,22,1,0,0,9,0,0,11,38,0.185,0.26,0.193,0.453,23,3,1,0,0,0,2,0.272,44,31,21
Home or Away,Home,58,53,205,183,26,46,7,0,9,29,0,0,21,66,0.251,0.332,0.437,0.769,80,4,1,0,0,0,1,0.343,138,112,30
Home or Away,Away,49,42,176,159,14,27,5,0,3,15,0,0,15,44,0.17,0.244,0.258,0.502,41,4,1,0,1,0,1,0.212,57,44,19
First or Second Half,1st Half,82,73,294,265,27,55,10,0,8,34,0,0,27,82,0.208,0.282,0.336,0.618,89,6,1,0,1,0,1,0.267,92,75,37
First or Second Half,2nd Half,25,22,87,77,13,18,2,0,4,10,0,0,9,28,0.234,0.322,0.416,0.737,32,2,1,0,0,0,1,0.311,128,104,12
Months,April/March,28,27,110,101,12,23,4,0,4,18,0,0,9,33,0.228,0.291,0.386,0.677,39,2,0,0,0,0,1,0.297,109,93,15
Months,May,27,24,99,91,6,19,3,0,2,6,0,0,7,25,0.209,0.263,0.308,0.57,28,1,0,0,1,0,0,0.262,77,65,14
Months,June,20,17,66,57,6,11,3,0,1,7,0,0,8,17,0.193,0.303,0.298,0.601,17,3,1,0,0,0,0,0.256,88,70,7
Months,July,17,14,55,44,8,7,1,0,2,4,0,0,10,18,0.159,0.327,0.318,0.646,14,1,1,0,0,0,1,0.208,102,80,4
Months,August,15,13,51,49,8,13,1,0,3,9,0,0,2,17,0.265,0.294,0.469,0.764,23,1,0,0,0,0,0,0.345,134,109,9
Game Outcome for Team,in Wins,55,50,207,180,25,42,6,0,5,27,0,0,24,55,0.233,0.329,0.35,0.679,63,5,2,0,1,0,1,0.306,112,66,31
Game Outcome for Team,in Losses,52,45,174,162,15,31,6,0,7,17,0,0,12,55,0.191,0.247,0.358,0.605,58,3,0,0,0,0,1,0.24,86,104,18
Starter or Substitute,as Starter,95,95,366,328,39,71,12,0,11,41,0,0,35,105,0.217,0.295,0.354,0.649,116,8,2,0,1,0,2,0.282,101,82,48
Starter or Substitute,as Sub,12,0,15,14,1,2,0,0,1,3,0,0,1,5,0.143,0.2,0.357,0.557,5,0,0,0,0,0,0,0.125,70,66,1
Defensive Positions,as RF,77,,293,263,30,51,7,0,9,34,0,0,28,83,0.194,0.273,0.323,0.596,85,6,1,0,1,0,2,0.244,85,64,35
