Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,27,462.0,423,58.0,112,26,2,15,10,6,34,87,2.56,0.265,0.323,0.442,0.765,187.0,8.0,3.0,0,2,0,2,0.3,100,113,69
Season Totals,Last 7 days,1,16.0,12,5.0,4,1,0,1,0,0,3,1,0.33,0.333,0.5,0.667,1.167,8.0,0.0,1.0,0,0,0,0,0.3,206,235,2
Season Totals,Last 14 days,2,40.0,36,7.0,12,2,0,2,0,0,3,3,1.0,0.333,0.4,0.556,0.956,20.0,0.0,1.0,0,0,0,0,0.323,150,164,8
Season Totals,Last 28 days,4,87.0,78,10.0,20,5,0,3,1,1,8,12,1.5,0.256,0.333,0.436,0.769,34.0,0.0,1.0,0,0,0,0,0.27,102,110,12
Season Totals,Last 365 days,27,462.0,423,58.0,112,26,2,15,10,6,34,87,2.56,0.265,0.323,0.442,0.765,187.0,8.0,3.0,0,2,0,2,0.3,100,,69
Platoon Splits,vs RHB,27,254.0,232,31.0,61,10,1,9,4,3,20,39,1.95,0.263,0.323,0.431,0.754,100.0,6.0,1.0,0,1,0,1,0.281,98,113,41
Platoon Splits,vs LHB,27,208.0,191,22.0,51,16,1,6,6,3,14,48,3.43,0.267,0.322,0.456,0.778,87.0,2.0,2.0,0,1,0,1,0.326,103,113,28
Platoon Splits,vs RHB as RHP,27,254.0,232,31.0,61,10,1,9,4,3,20,39,1.95,0.263,0.323,0.431,0.754,100.0,6.0,1.0,0,1,0,1,0.281,98,118,41
Platoon Splits,vs LHB as RHP,27,208.0,191,22.0,51,16,1,6,6,3,14,48,3.43,0.267,0.322,0.456,0.778,87.0,2.0,2.0,0,1,0,1,0.326,103,110,28
Home or Away,Home,14,255.0,235,28.0,63,15,1,5,9,5,18,52,2.89,0.268,0.318,0.404,0.722,95.0,5.0,0.0,0,2,0,2,0.322,90,106,42
Home or Away,Away,13,207.0,188,30.0,49,11,1,10,1,1,16,35,2.19,0.261,0.329,0.489,0.818,92.0,3.0,3.0,0,0,0,0,0.273,113,124,27
First or Second Half,1st Half,22,351.0,325,46.0,87,19,2,12,6,5,23,72,3.13,0.268,0.319,0.449,0.768,146.0,7.0,2.0,0,1,0,1,0.31,100,115,54
First or Second Half,2nd Half,5,111.0,98,12.0,25,7,0,3,4,1,11,15,1.36,0.255,0.333,0.418,0.752,41.0,1.0,1.0,0,1,0,1,0.272,98,108,15
Months,April/March,8,71.0,65,7.0,12,3,0,1,1,2,5,16,3.2,0.185,0.254,0.277,0.53,18.0,2.0,1.0,0,0,0,0,0.229,41,53,8
Months,May,6,83.0,76,9.0,20,5,0,2,2,2,7,18,2.57,0.263,0.325,0.408,0.733,31.0,0.0,0.0,0,0,0,0,0.321,93,111,13
Months,June,5,126.0,121,18.0,37,10,1,4,2,1,4,22,5.5,0.306,0.333,0.504,0.837,61.0,5.0,1.0,0,0,0,0,0.347,117,130,22
Months,July,5,118.0,104,15.0,26,5,1,6,4,0,12,22,1.83,0.25,0.322,0.49,0.812,51.0,1.0,0.0,0,2,0,2,0.256,111,119,14
Months,August,3,64.0,57,9.0,17,3,0,2,1,1,6,9,1.5,0.298,0.375,0.456,0.831,26.0,0.0,1.0,0,0,0,0,0.326,119,131,12
Game Outcome for Pitcher,in Wins,7,116.0,106,6.0,20,4,0,1,4,0,8,20,2.5,0.189,0.241,0.255,0.496,27.0,2.0,0.0,0,2,0,1,0.218,32,89,15
Game Outcome for Pitcher,in Losses,8,172.0,159,27.0,48,12,1,7,2,1,12,32,2.67,0.302,0.355,0.522,0.877,83.0,2.0,1.0,0,0,0,1,0.342,128,80,28
Game Outcome for Pitcher,in No Dec.,12,174.0,158,25.0,44,10,1,7,4,5,14,35,2.5,0.279,0.345,0.487,0.832,77.0,4.0,2.0,0,0,0,0,0.319,117,136,26
Game Outcome for Pitcher,in Sv Situ,1,3.0,3,0.0,1,0,0,0,0,1,0,0,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.333,78,103,1
Game Outcome for Pitcher,in non-Sv,10,96.0,88,13.0,20,6,0,2,2,3,7,22,3.14,0.227,0.292,0.364,0.655,32.0,2.0,1.0,0,0,0,0,0.281,73,85,12
Pitching Role,as Starter,16,363.0,332,45.0,91,20,2,13,8,2,27,65,2.41,0.274,0.331,0.464,0.795,154.0,6.0,2.0,0,2,0,2,0.305,108,119,56
Pitching Role,as Reliever,11,99.0,91,13.0,21,6,0,2,2,4,7,22,3.14,0.231,0.293,0.363,0.656,33.0,2.0,1.0,0,0,0,0,0.284,73,88,13
Run Support,0-2 Runs Scored,4,93.0,88,7.0,24,6,0,3,1,1,5,19,3.8,0.273,0.312,0.443,0.755,39.0,0.0,0.0,0,0,0,0,0.318,97,101,15
Run Support,3-5 Runs Scored,9,207.0,191,30.0,52,11,2,9,3,1,15,37,2.47,0.272,0.329,0.492,0.821,94.0,5.0,1.0,0,0,0,1,0.297,113,129,30
Run Support,6+ Runs Scored,3,63.0,53,8.0,15,3,0,1,4,0,7,9,1.29,0.283,0.365,0.396,0.761,21.0,1.0,1.0,0,2,0,1,0.311,103,116,11
Batting Order Positions,Batting 1st,26,59.0,53,6.0,17,3,1,2,2,1,4,7,1.75,0.321,0.356,0.528,0.884,28.0,1.0,0.0,0,2,0,0,0.326,130,139,11
Batting Order Positions,Batting 2nd,25,56.0,54,7.0,12,4,0,2,1,1,2,13,6.5,0.222,0.25,0.407,0.657,22.0,2.0,0.0,0,0,0,0,0.256,70,70,6
Batting Order Positions,Batting 3rd,25,54.0,49,5.0,15,1,0,1,1,1,5,10,2.0,0.306,0.37,0.388,0.758,19.0,0.0,0.0,0,0,0,0,0.368,102,97,13
Batting Order Positions,Batting 4th,24,52.0,49,8.0,16,5,0,2,1,1,3,8,2.67,0.327,0.365,0.551,0.916,27.0,1.0,0.0,0,0,0,0,0.359,138,146,9
Batting Order Positions,Batting 5th,24,52.0,48,6.0,15,2,0,2,0,0,4,12,3.0,0.313,0.365,0.479,0.845,23.0,1.0,0.0,0,0,0,1,0.382,121,134,11
Batting Order Positions,Batting 6th,25,51.0,45,8.0,15,4,0,3,0,0,5,4,0.8,0.333,0.412,0.622,1.034,28.0,2.0,1.0,0,0,0,1,0.316,168,198,8
Batting Order Positions,Batting 7th,24,47.0,43,5.0,7,3,1,1,3,2,3,9,3.0,0.163,0.234,0.349,0.583,15.0,0.0,1.0,0,0,0,0,0.182,51,68,2
Batting Order Positions,Batting 8th,25,46.0,43,7.0,6,2,0,2,0,0,3,12,4.0,0.14,0.196,0.326,0.521,14.0,1.0,0.0,0,0,0,0,0.138,34,56,2
Batting Order Positions,Batting 9th,26,45.0,39,1.0,9,2,0,0,2,0,5,12,2.4,0.231,0.333,0.282,0.615,11.0,0.0,1.0,0,0,0,0,0.333,67,101,7
Batting Order Positions,"Bat1-2,non-P",26,115.0,107,13.0,29,7,1,4,3,2,6,20,3.33,0.271,0.304,0.467,0.772,50.0,3.0,0.0,0,2,0,0,0.294,100,104,17
Batting Order Positions,"Bat3-6,non-P",27,209.0,191,27.0,61,12,0,8,2,2,17,34,2.0,0.319,0.378,0.508,0.886,97.0,4.0,1.0,0,0,0,2,0.356,132,141,41
Batting Order Positions,"Bat7-9,non-P",26,138.0,125,13.0,22,7,1,3,5,2,11,33,3.0,0.176,0.254,0.32,0.574,40.0,1.0,2.0,0,0,0,0,0.214,51,75,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,27,150.0,146,22.0,41,10,1,5,,,3,25,8.33,0.281,0.293,0.466,0.759,68.0,2.0,0.0,0,1,0,0,0.308,96,114,25
Swung or Took First Pitch of PA,Took 1st Pitch,27,312.0,277,30.0,71,16,1,10,,,31,62,2.0,0.256,0.337,0.43,0.766,119.0,6.0,3.0,0,1,0,2,0.296,102,114,44
Count/Balls-Strikes,First Pitch,20,57.0,55,5.0,17,3,1,2,,,0,0,,0.309,0.333,0.509,0.842,28.0,1.0,2.0,0,0,0,0,0.283,118,88,11
Count/Balls-Strikes,1-0 Count,20,32.0,32,3.0,15,1,0,2,,,0,0,,0.469,0.469,0.688,1.156,22.0,0.0,0.0,0,0,0,0,0.433,201,158,12
Count/Balls-Strikes,2-0 Count,8,9.0,8,1.0,1,0,0,0,,,0,0,,0.125,0.111,0.125,0.236,1.0,0.0,0.0,0,1,0,0,0.111,-37,-48,1
