Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,22,489.0,454,64.0,116,22,2,16,4,1,31,98,3.16,0.256,0.303,0.419,0.722,190.0,6.0,1.0,1,2,0,3,0.292,100,101,76
Season Totals,Last 7 days,1,21.0,19,9.0,10,1,1,2,0,0,2,6,3.0,0.526,0.571,1.0,1.571,19.0,0.0,0.0,0,0,0,0,0.727,327,344,6
Season Totals,Last 14 days,2,49.0,47,11.0,18,1,1,3,0,1,2,11,5.5,0.383,0.408,0.638,1.047,30.0,0.0,0.0,0,0,0,1,0.455,187,186,13
Season Totals,Last 28 days,5,110.0,99,19.0,32,6,1,4,0,1,10,22,2.2,0.323,0.385,0.525,0.911,52.0,2.0,0.0,1,0,0,1,0.384,152,148,21
Season Totals,Last 365 days,22,489.0,454,64.0,116,22,2,16,4,1,31,98,3.16,0.256,0.303,0.419,0.722,190.0,6.0,1.0,1,2,0,3,0.292,100,,76
Platoon Splits,vs RHB,22,365.0,335,48.0,81,16,1,15,3,1,26,70,2.69,0.242,0.297,0.43,0.727,144.0,5.0,1.0,1,2,0,2,0.262,101,104,49
Platoon Splits,vs LHB,20,124.0,119,13.0,35,6,1,1,1,0,5,28,5.6,0.294,0.323,0.387,0.709,46.0,1.0,0.0,0,0,0,1,0.378,99,97,27
Platoon Splits,vs RHB as LHP,22,365.0,335,48.0,81,16,1,15,3,1,26,70,2.69,0.242,0.297,0.43,0.727,144.0,5.0,1.0,1,2,0,2,0.262,101,96,49
Platoon Splits,vs LHB as LHP,20,124.0,119,13.0,35,6,1,1,1,0,5,28,5.6,0.294,0.323,0.387,0.709,46.0,1.0,0.0,0,0,0,1,0.378,99,111,27
Home or Away,Home,10,240.0,229,23.0,53,9,0,10,0,1,9,48,5.33,0.231,0.264,0.402,0.665,92.0,2.0,1.0,1,0,0,2,0.252,83,88,34
