Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,23,541.0,501,57.0,116,19,1,18,12,0,30,128,4.27,0.232,0.281,0.381,0.662,191.0,8.0,6.0,0,4,0,0,0.273,100,85,78
Season Totals,Last 7 days,2,53.0,51,7.0,13,1,0,1,2,0,1,11,11.0,0.255,0.264,0.333,0.598,17.0,0.0,0.0,0,1,0,0,0.3,81,75,11
Season Totals,Last 14 days,3,70.0,66,10.0,19,2,0,1,2,0,3,15,5.0,0.288,0.314,0.364,0.678,24.0,0.0,0.0,0,1,0,0,0.353,107,93,16
Season Totals,Last 28 days,5,118.0,112,18.0,32,5,0,4,2,0,4,24,6.0,0.286,0.314,0.438,0.751,49.0,0.0,1.0,0,1,0,0,0.329,127,106,23
Season Totals,Last 365 days,29,639.0,584,78.0,142,22,1,25,13,0,43,149,3.47,0.243,0.302,0.413,0.715,241.0,11.0,8.0,0,4,0,0,0.283,116,,94
Platoon Splits,vs RHB,23,271.0,248,19.0,52,5,1,8,11,0,15,66,4.4,0.21,0.266,0.335,0.6,83.0,5.0,5.0,0,3,0,0,0.249,83,71,38
Platoon Splits,vs LHB,23,270.0,253,32.0,64,14,0,10,1,0,15,62,4.13,0.253,0.296,0.427,0.723,108.0,3.0,1.0,0,1,0,0,0.297,117,99,40
Platoon Splits,vs RHB as RHP,23,271.0,248,19.0,52,5,1,8,11,0,15,66,4.4,0.21,0.266,0.335,0.6,83.0,5.0,5.0,0,3,0,0,0.249,83,74,38
Platoon Splits,vs LHB as RHP,23,270.0,253,32.0,64,14,0,10,1,0,15,62,4.13,0.253,0.296,0.427,0.723,108.0,3.0,1.0,0,1,0,0,0.297,117,95,40
Home or Away,Home,14,318.0,302,30.0,59,12,1,12,5,0,13,83,6.38,0.195,0.23,0.361,0.591,109.0,3.0,1.0,0,2,0,0,0.225,77,66,34
Home or Away,Away,9,223.0,199,27.0,57,7,0,6,7,0,17,45,2.65,0.286,0.354,0.412,0.766,82.0,5.0,5.0,0,2,0,0,0.34,134,113,44
First or Second Half,1st Half,16,375.0,341,31.0,72,13,1,10,10,0,26,92,3.54,0.211,0.275,0.343,0.618,117.0,8.0,5.0,0,3,0,0,0.256,88,75,48
First or Second Half,2nd Half,7,166.0,160,26.0,44,6,0,8,2,0,4,36,9.0,0.275,0.295,0.463,0.758,74.0,0.0,1.0,0,1,0,0,0.308,127,107,30
Months,April/March,6,148.0,126,12.0,27,7,1,3,7,0,17,36,2.12,0.214,0.318,0.357,0.675,45.0,5.0,3.0,0,2,0,0,0.27,107,94,16
Months,May,2,34.0,31,2.0,7,4,0,0,1,0,2,10,5.0,0.226,0.265,0.355,0.62,11.0,0.0,0.0,0,1,0,0,0.318,88,78,3
