Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,31,710.0,661,74.0,162,44,0,24,8,5,39,162,4.15,0.245,0.29,0.421,0.71,278.0,10.0,4.0,2,4,0,4,0.288,100,99,94
Season Totals,Last 14 days,1,24.0,21,0.0,4,1,0,0,0,0,3,6,2.0,0.191,0.292,0.238,0.53,5.0,1.0,0.0,0,0,0,0,0.267,57,56,3
Season Totals,Last 28 days,3,58.0,51,1.0,7,2,0,1,1,0,7,18,2.57,0.137,0.241,0.235,0.477,12.0,2.0,0.0,0,0,0,0,0.188,39,39,4
Season Totals,Last 365 days,31,710.0,661,74.0,162,44,0,24,8,5,39,162,4.15,0.245,0.29,0.421,0.71,278.0,10.0,4.0,2,4,0,4,0.288,100,,94
Platoon Splits,vs RHB,31,557.0,519,57.0,133,39,0,22,8,5,30,120,4.0,0.256,0.301,0.459,0.76,238.0,8.0,4.0,2,2,0,3,0.293,113,114,72
Platoon Splits,vs LHB,28,153.0,142,11.0,29,5,0,2,0,0,9,42,4.67,0.204,0.248,0.282,0.53,40.0,2.0,0.0,0,2,0,1,0.27,53,48,22
Platoon Splits,vs RHB as LHP,31,557.0,519,57.0,133,39,0,22,8,5,30,120,4.0,0.256,0.301,0.459,0.76,238.0,8.0,4.0,2,2,0,3,0.293,113,107,72
Platoon Splits,vs LHB as LHP,28,153.0,142,11.0,29,5,0,2,0,0,9,42,4.67,0.204,0.248,0.282,0.53,40.0,2.0,0.0,0,2,0,1,0.27,53,59,22
Home or Away,Home,15,349.0,332,32.0,76,15,0,12,5,2,14,83,5.93,0.229,0.262,0.383,0.644,127.0,8.0,1.0,1,1,0,1,0.269,81,82,49
Home or Away,Away,16,361.0,329,42.0,86,29,0,12,3,3,25,79,3.16,0.261,0.317,0.459,0.776,151.0,2.0,3.0,1,3,0,3,0.307,118,114,45
First or Second Half,1st Half,20,468.0,440,48.0,107,27,0,16,5,4,22,110,5.0,0.243,0.283,0.414,0.696,182.0,4.0,3.0,1,2,0,3,0.288,96,95,64
First or Second Half,2nd Half,11,242.0,221,26.0,55,17,0,8,3,1,17,52,3.06,0.249,0.303,0.434,0.737,96.0,6.0,1.0,1,2,0,1,0.288,108,105,30
Months,April/March,7,172.0,163,18.0,39,7,0,5,2,2,7,37,5.29,0.239,0.275,0.374,0.649,61.0,0.0,1.0,1,0,0,2,0.281,84,85,27
Months,May,5,112.0,104,9.0,21,5,0,3,2,1,8,30,3.75,0.202,0.259,0.337,0.595,35.0,1.0,0.0,0,0,0,1,0.254,69,71,13
Months,June,6,139.0,133,15.0,37,10,0,6,0,1,4,31,7.75,0.278,0.302,0.489,0.791,65.0,3.0,1.0,0,1,0,0,0.32,120,117,21
Months,July,5,114.0,100,19.0,30,11,0,6,3,0,9,24,2.67,0.3,0.36,0.59,0.95,59.0,1.0,2.0,0,3,0,0,0.329,164,155,13
Months,August,4,94.0,90,7.0,19,6,0,2,0,0,3,20,6.67,0.211,0.237,0.344,0.581,31.0,3.0,0.0,1,0,0,1,0.25,63,59,11
Months,Sept/Oct,4,79.0,71,6.0,16,5,0,2,1,1,8,20,2.5,0.225,0.304,0.38,0.684,27.0,2.0,0.0,0,0,0,0,0.286,95,97,9
Game Outcome for Pitcher,in Wins,9,202.0,192,5.0,28,6,0,2,2,1,9,51,5.67,0.146,0.184,0.208,0.392,40.0,2.0,0.0,1,0,0,2,0.187,13,50,20
Game Outcome for Pitcher,in Losses,10,237.0,219,41.0,69,21,0,13,4,1,14,39,2.79,0.315,0.359,0.589,0.948,129.0,5.0,2.0,0,2,0,0,0.331,164,93,35
Game Outcome for Pitcher,in No Dec.,12,271.0,250,28.0,65,17,0,9,2,3,16,72,4.5,0.26,0.307,0.436,0.743,109.0,3.0,2.0,1,2,0,2,0.328,109,112,39
Game Outcome for Pitcher,in non-Sv,1,14.0,13,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0,0,0,0,0.0,-76,-78,0
Pitching Role,as Starter,30,696.0,648,74.0,162,44,0,24,8,5,38,159,4.18,0.25,0.294,0.429,0.723,278.0,10.0,4.0,2,4,0,4,0.294,103,99,94
Pitching Role,as Reliever,1,14.0,13,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0,0,0,0,0.0,-76,-77,0
Run Support,0-2 Runs Scored,9,220.0,202,24.0,52,11,0,9,4,1,15,48,3.2,0.257,0.311,0.446,0.756,90.0,3.0,1.0,1,1,0,0,0.295,113,103,32
Run Support,3-5 Runs Scored,13,300.0,283,31.0,69,21,0,9,3,1,14,69,4.93,0.244,0.281,0.413,0.694,117.0,5.0,1.0,1,1,0,2,0.291,95,94,39
Run Support,6+ Runs Scored,8,176.0,163,19.0,41,12,0,6,1,3,9,42,4.67,0.252,0.296,0.436,0.731,71.0,2.0,2.0,0,2,0,2,0.299,105,102,23
Batting Order Positions,Batting 1st,31,93.0,86,9.0,20,6,0,4,0,1,5,21,4.2,0.233,0.272,0.442,0.714,38.0,0.0,0.0,1,1,0,0,0.258,99,91,10
Batting Order Positions,Batting 2nd,31,91.0,87,16.0,30,3,0,5,2,0,3,23,7.67,0.345,0.374,0.552,0.925,48.0,1.0,1.0,0,0,0,1,0.424,160,143,22
Batting Order Positions,Batting 3rd,31,86.0,80,8.0,18,4,0,2,0,0,6,18,3.0,0.225,0.279,0.35,0.629,28.0,1.0,0.0,0,0,0,0,0.267,79,63,12
Batting Order Positions,Batting 4th,31,84.0,76,7.0,18,8,0,2,2,1,8,19,2.38,0.237,0.31,0.421,0.731,32.0,1.0,0.0,0,0,0,0,0.291,107,98,8
Batting Order Positions,Batting 5th,31,78.0,71,6.0,11,6,0,1,0,1,5,12,2.4,0.155,0.218,0.282,0.5,20.0,2.0,1.0,0,1,0,0,0.17,42,40,4
Batting Order Positions,Batting 6th,31,73.0,65,7.0,19,7,0,2,0,0,5,13,2.6,0.292,0.343,0.492,0.835,32.0,1.0,1.0,0,2,0,1,0.327,135,140,10
Batting Order Positions,Batting 7th,31,70.0,68,7.0,17,3,0,3,1,0,1,16,16.0,0.25,0.261,0.427,0.687,29.0,3.0,0.0,1,0,0,1,0.286,91,96,11
Batting Order Positions,Batting 8th,31,69.0,65,3.0,14,3,0,2,1,2,3,20,6.67,0.215,0.261,0.354,0.615,23.0,1.0,1.0,0,0,0,0,0.279,74,87,9
Batting Order Positions,Batting 9th,31,66.0,63,5.0,15,4,0,3,2,0,3,20,6.67,0.238,0.273,0.444,0.717,28.0,0.0,0.0,0,0,0,1,0.3,100,129,8
Batting Order Positions,"Bat1-2,non-P",31,184.0,173,25.0,50,9,0,9,2,1,8,44,5.5,0.289,0.322,0.497,0.82,86.0,1.0,1.0,1,1,0,1,0.339,129,117,32
Batting Order Positions,"Bat3-6,non-P",31,321.0,292,28.0,66,25,0,7,2,2,24,62,2.58,0.226,0.287,0.384,0.67,112.0,5.0,2.0,0,3,0,1,0.261,90,83,34
Batting Order Positions,"Bat7-9,non-P",31,205.0,196,15.0,46,10,0,8,4,2,7,56,8.0,0.235,0.265,0.408,0.673,80.0,4.0,1.0,1,0,0,2,0.288,88,103,28
Swung or Took First Pitch of PA,Swung at 1st Pitch,31,212.0,203,24.0,49,15,0,8,,,4,36,9.0,0.241,0.262,0.434,0.695,88.0,6.0,2.0,2,1,0,1,0.256,93,95,26
Swung or Took First Pitch of PA,Took 1st Pitch,31,498.0,458,44.0,113,29,0,16,,,35,126,3.6,0.247,0.301,0.415,0.716,190.0,4.0,2.0,0,3,0,3,0.304,102,100,68
