Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,128,128,528,487,59,121,26,3,16,65,5,2,32,109,0.249,0.303,0.413,0.716,201,11,7,0,2,2,5,0.289,100,100,76
Season Totals,Last 7 days,6,6,23,22,1,6,1,0,0,4,0,0,1,5,0.273,0.304,0.318,0.623,7,0,0,0,0,0,0,0.353,77,84,5
Season Totals,Last 14 days,12,12,47,45,4,13,3,0,1,7,1,0,2,8,0.289,0.319,0.422,0.741,19,0,0,0,0,0,0,0.333,108,109,9
Season Totals,Last 28 days,25,25,99,91,13,26,6,1,2,12,2,0,5,14,0.286,0.343,0.44,0.783,40,0,3,0,0,1,0,0.32,120,115,17
Season Totals,Last 365 days,161,161,666,612,73,153,33,4,24,93,9,2,42,145,0.25,0.305,0.435,0.739,266,16,8,0,4,2,5,0.289,106,,92
Platoon Splits,vs RHP,127,,391,361,40,86,21,3,8,36,4,2,23,78,0.238,0.294,0.38,0.674,137,8,6,0,1,0,4,0.283,89,90,54
Platoon Splits,vs LHP,70,,137,126,19,35,5,0,8,29,1,0,9,31,0.278,0.329,0.508,0.836,64,3,1,0,1,2,1,0.307,131,131,22
Platoon Splits,vs RHP as RHB,127,,391,361,,86,21,3,8,36,0,0,23,78,0.238,0.294,0.38,0.674,137,8,6,0,1,0,4,0.283,89,95,54
Platoon Splits,vs LHP as RHB,70,,137,126,,35,5,0,8,29,0,0,9,31,0.278,0.329,0.508,0.836,64,3,1,0,1,2,1,0.307,131,125,22
Platoon Splits,vs RH Starter,78,78,314,291,32,73,20,3,4,29,3,1,19,68,0.251,0.306,0.381,0.687,111,5,4,0,0,0,4,0.315,93,93,46
Platoon Splits,vs LH Starter,50,50,214,196,27,48,6,0,12,36,2,1,13,41,0.245,0.299,0.459,0.758,90,6,3,0,2,2,1,0.248,110,110,30
Home or Away,Home,65,65,259,239,28,64,14,1,7,41,4,1,17,48,0.268,0.317,0.423,0.739,101,4,1,0,2,1,3,0.307,107,104,42
Home or Away,Away,63,63,269,248,31,57,12,2,9,24,1,1,15,61,0.23,0.29,0.403,0.693,100,7,6,0,0,1,2,0.27,93,96,34
First or Second Half,1st Half,96,96,401,369,44,86,15,2,13,47,3,2,27,91,0.233,0.289,0.39,0.68,144,11,3,0,2,1,5,0.273,90,91,56
First or Second Half,2nd Half,32,32,127,118,15,35,11,1,3,18,2,0,5,18,0.297,0.347,0.483,0.83,57,0,4,0,0,1,0,0.33,131,128,20
Months,April/March,31,31,124,114,11,22,0,1,2,9,0,1,10,28,0.193,0.258,0.263,0.521,30,3,0,0,0,0,3,0.238,49,51,19
Months,May,27,27,115,105,18,24,5,0,5,15,1,1,7,26,0.229,0.287,0.419,0.706,44,4,2,0,1,0,2,0.253,96,102,14
Months,June,26,26,114,105,11,29,8,1,4,18,2,0,7,25,0.276,0.325,0.486,0.81,51,3,1,0,1,0,0,0.325,125,123,16
Months,July,24,24,95,91,9,25,7,0,4,15,0,0,3,18,0.275,0.305,0.484,0.789,44,1,1,0,0,1,0,0.304,118,112,14
Months,August,20,20,80,72,10,21,6,1,1,8,2,0,5,12,0.292,0.363,0.444,0.807,32,0,3,0,0,1,0,0.339,127,125,13
Game Outcome for Team,in Wins,74,74,310,282,45,79,17,1,12,46,5,1,22,54,0.28,0.342,0.475,0.817,134,4,5,0,1,2,5,0.309,128,96,49
Game Outcome for Team,in Losses,54,54,218,205,14,42,9,2,4,19,0,1,10,55,0.205,0.248,0.327,0.575,67,7,2,0,1,0,0,0.259,61,95,27
Starter or Substitute,as Starter,128,128,528,487,59,121,26,3,16,65,5,2,32,109,0.249,0.303,0.413,0.716,201,11,7,0,2,2,5,0.289,100,100,76
Defensive Positions,as RF,124,,511,472,58,118,25,3,15,64,4,1,30,104,0.25,0.303,0.411,0.714,194,11,7,0,2,2,5,0.29,100,95,75
Defensive Positions,as DH,4,,17,15,1,3,1,0,1,1,1,1,2,5,0.2,0.294,0.467,0.761,7,0,0,0,0,0,0,0.222,110,101,1
Leading Off Inning,Leadoff Inn.,75,,103,95,,20,3,0,3,3,,,7,28,0.211,0.272,0.337,0.609,32,0,1,0,0,0,3,0.266,71,75,14
