Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,84,75,247,230,17,50,10,0,3,21,0,1,6,31,0.217,0.244,0.3,0.544,69,5,3,5,3,0,0,0.236,100,53,37
Season Totals,Last 7 days,6,5,18,15,1,3,1,0,1,3,0,0,1,3,0.2,0.222,0.467,0.689,7,1,0,0,2,0,0,0.154,147,96,1
Season Totals,Last 14 days,6,5,18,15,1,3,1,0,1,3,0,0,1,3,0.2,0.222,0.467,0.689,7,1,0,0,2,0,0,0.154,147,89,1
Season Totals,Last 28 days,11,10,37,32,4,11,3,0,1,5,0,0,1,4,0.344,0.351,0.531,0.883,17,1,1,0,3,0,0,0.333,221,140,7
Season Totals,Last 365 days,103,90,305,279,24,58,14,0,4,26,1,1,10,41,0.208,0.248,0.301,0.549,84,7,6,6,4,0,2,0.227,102,,40
Platoon Splits,vs RHP,67,,180,164,13,37,5,0,3,17,0,1,5,23,0.226,0.257,0.311,0.568,51,4,3,5,3,0,0,0.241,109,60,29
Platoon Splits,vs LHP,36,,67,66,4,13,5,0,0,4,0,0,1,8,0.197,0.209,0.273,0.482,18,1,0,0,0,0,0,0.224,77,34,8
Platoon Splits,vs RHP as RHB,67,,180,164,,37,5,0,3,17,0,0,5,23,0.226,0.257,0.311,0.568,51,4,3,5,3,0,0,0.241,109,65,29
Platoon Splits,vs LHP as RHB,36,,67,66,,13,5,0,0,4,0,0,1,8,0.197,0.209,0.273,0.482,18,1,0,0,0,0,0,0.224,77,31,8
Platoon Splits,vs RH Starter,57,52,174,159,16,36,6,0,3,18,0,1,4,21,0.226,0.254,0.321,0.575,51,4,3,5,3,0,0,0.239,111,62,27
Platoon Splits,vs LH Starter,27,23,73,71,1,14,4,0,0,3,0,0,2,10,0.197,0.219,0.254,0.473,18,1,0,0,0,0,0,0.23,74,33,10
Home or Away,Home,46,39,126,114,7,24,3,0,2,10,0,0,5,15,0.211,0.26,0.29,0.55,33,4,3,3,1,0,0,0.225,103,53,19
Home or Away,Away,38,36,121,116,10,26,7,0,1,11,0,1,1,16,0.224,0.227,0.31,0.537,36,1,0,2,2,0,0,0.248,96,52,18
First or Second Half,1st Half,68,60,192,184,11,34,7,0,2,15,0,1,4,24,0.185,0.211,0.255,0.466,47,4,2,2,0,0,0,0.203,72,32,25
First or Second Half,2nd Half,16,15,55,46,6,16,3,0,1,6,0,0,2,7,0.348,0.365,0.478,0.844,22,1,1,3,3,0,0,0.366,209,133,12
Months,April/March,22,19,60,56,2,7,2,0,0,3,0,1,2,7,0.125,0.17,0.161,0.33,9,0,1,1,0,0,0,0.143,23,-4,5
Months,May,19,16,50,48,7,11,1,0,2,7,0,0,2,6,0.229,0.26,0.375,0.635,18,2,0,0,0,0,0,0.225,132,81,8
Months,June,18,17,50,49,1,7,2,0,0,3,0,0,0,8,0.143,0.16,0.184,0.344,9,2,1,0,0,0,0,0.171,27,-4,5
Months,July,16,15,58,53,4,19,4,0,0,4,0,0,1,6,0.359,0.37,0.434,0.804,23,0,0,4,0,0,0,0.404,196,121,15
Months,August,9,8,29,24,3,6,1,0,1,4,0,0,1,4,0.25,0.276,0.417,0.693,10,1,1,0,3,0,0,0.227,152,90,4
Game Outcome for Team,in Wins,29,27,94,84,14,25,5,0,1,12,0,1,5,11,0.298,0.333,0.393,0.726,33,1,0,4,1,0,0,0.329,168,76,19
Game Outcome for Team,in Losses,55,48,153,146,3,25,5,0,2,9,0,0,1,20,0.171,0.191,0.247,0.437,36,4,3,1,2,0,0,0.183,61,48,18
