Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,34,393.0,373,38.0,92,23,2,8,9,2,10,79,7.9,0.247,0.273,0.383,0.656,143.0,6.0,4.0,3,2,0,4,0.292,100,82,59
Season Totals,Last 7 days,1,26.0,24,3.0,8,2,0,1,0,0,0,4,,0.333,0.333,0.542,0.875,13.0,0.0,0.0,2,0,0,0,0.368,164,148,5
Season Totals,Last 14 days,2,48.0,45,3.0,9,2,0,1,0,1,0,11,,0.2,0.217,0.311,0.529,14.0,0.0,1.0,2,0,0,0,0.242,61,45,6
Season Totals,Last 28 days,6,97.0,92,4.0,20,4,0,2,2,1,1,23,23.0,0.217,0.242,0.326,0.568,30.0,1.0,2.0,2,0,0,1,0.269,74,55,14
Season Totals,Last 365 days,45,485.0,455,41.0,110,26,2,8,11,2,18,104,5.78,0.242,0.277,0.36,0.638,164.0,8.0,5.0,3,2,0,4,0.296,96,,74
Platoon Splits,vs RHB,34,198.0,190,15.0,47,16,0,3,3,1,5,40,8.0,0.247,0.273,0.379,0.652,72.0,3.0,2.0,0,1,0,1,0.297,99,84,28
Platoon Splits,vs LHB,33,195.0,183,29.0,45,7,2,5,6,1,5,39,7.8,0.246,0.272,0.388,0.66,71.0,3.0,2.0,3,1,0,3,0.286,101,81,31
Platoon Splits,vs RHB as RHP,34,198.0,190,15.0,47,16,0,3,3,1,5,40,8.0,0.247,0.273,0.379,0.652,72.0,3.0,2.0,0,1,0,1,0.297,99,88,28
Platoon Splits,vs LHB as RHP,33,195.0,183,29.0,45,7,2,5,6,1,5,39,7.8,0.246,0.272,0.388,0.66,71.0,3.0,2.0,3,1,0,3,0.286,101,79,31
Home or Away,Home,19,234.0,220,27.0,67,17,2,5,6,1,7,46,6.57,0.305,0.329,0.468,0.797,103.0,5.0,2.0,3,2,0,1,0.363,143,125,43
Home or Away,Away,15,159.0,153,11.0,25,6,0,3,3,1,3,33,11.0,0.163,0.19,0.261,0.451,40.0,1.0,2.0,0,0,0,3,0.188,38,24,16
First or Second Half,1st Half,28,296.0,281,34.0,72,19,2,6,7,1,9,56,6.22,0.256,0.282,0.402,0.684,113.0,5.0,2.0,1,2,0,3,0.299,109,92,45
First or Second Half,2nd Half,6,97.0,92,4.0,20,4,0,2,2,1,1,23,23.0,0.217,0.242,0.326,0.568,30.0,1.0,2.0,2,0,0,1,0.269,74,56,14
Months,April/March,6,126.0,118,19.0,36,7,1,2,5,1,3,20,6.67,0.305,0.331,0.432,0.763,51.0,1.0,2.0,1,1,0,1,0.351,135,118,26
Months,May,6,73.0,69,6.0,14,5,1,1,0,0,3,14,4.67,0.203,0.233,0.348,0.581,24.0,2.0,0.0,0,1,0,1,0.236,77,66,7
Months,June,10,56.0,54,6.0,11,3,0,2,1,0,2,14,7.0,0.204,0.232,0.37,0.603,20.0,0.0,0.0,0,0,0,1,0.237,82,65,6
Months,July,8,65.0,63,3.0,16,6,0,1,2,0,2,13,6.5,0.254,0.277,0.397,0.674,25.0,2.0,0.0,0,0,0,0,0.306,106,83,9
Months,August,4,73.0,69,4.0,15,2,0,2,1,1,0,18,,0.217,0.239,0.333,0.573,23.0,1.0,2.0,2,0,0,1,0.265,75,57,11
Game Outcome for Pitcher,in Wins,6,79.0,77,0.0,12,4,0,0,2,0,1,20,20.0,0.156,0.177,0.208,0.385,16.0,2.0,1.0,0,0,0,2,0.211,19,46,8
Game Outcome for Pitcher,in Losses,6,112.0,105,22.0,38,11,1,4,1,1,3,15,5.0,0.362,0.376,0.6,0.976,63.0,2.0,0.0,2,1,0,1,0.391,195,99,22
Game Outcome for Pitcher,in No Dec.,22,202.0,191,16.0,42,8,1,4,6,1,6,44,7.33,0.22,0.254,0.335,0.589,64.0,2.0,3.0,1,1,0,1,0.264,81,68,29
Game Outcome for Pitcher,in Sv Situ,7,54.0,54,2.0,8,3,0,1,0,0,0,10,,0.148,0.148,0.259,0.407,14.0,0.0,0.0,0,0,0,0,0.163,22,21,4
Game Outcome for Pitcher,in non-Sv,19,150.0,143,10.0,32,9,1,3,3,0,6,36,6.0,0.224,0.253,0.364,0.617,52.0,3.0,0.0,0,1,0,2,0.276,88,72,19
Pitching Role,as Starter,8,189.0,176,26.0,52,11,1,4,6,2,4,33,8.25,0.296,0.324,0.438,0.762,77.0,3.0,4.0,3,1,0,2,0.343,134,111,36
Pitching Role,as Reliever,26,204.0,197,12.0,40,12,1,4,3,0,6,46,7.67,0.203,0.226,0.335,0.561,66.0,3.0,0.0,0,1,0,2,0.243,70,59,23
Run Support,0-2 Runs Scored,3,75.0,71,8.0,20,4,1,2,1,2,0,14,,0.282,0.288,0.451,0.738,32.0,1.0,1.0,2,1,0,0,0.321,124,96,13
Run Support,3-5 Runs Scored,2,46.0,43,10.0,14,5,0,1,0,0,2,5,2.5,0.326,0.356,0.512,0.867,22.0,1.0,0.0,0,0,0,1,0.351,165,142,8
Run Support,6+ Runs Scored,3,68.0,62,8.0,18,2,0,1,5,0,2,14,7.0,0.29,0.343,0.371,0.714,23.0,1.0,3.0,1,0,0,1,0.362,123,103,15
Batting Order Positions,Batting 1st,30,49.0,46,9.0,13,3,0,3,1,0,1,5,5.0,0.283,0.292,0.544,0.835,25.0,0.0,0.0,1,1,0,1,0.256,149,123,7
Batting Order Positions,Batting 2nd,28,46.0,45,8.0,15,3,1,3,1,0,1,10,10.0,0.333,0.348,0.644,0.992,29.0,1.0,0.0,0,0,0,0,0.375,196,155,8
Batting Order Positions,Batting 3rd,27,43.0,38,4.0,9,2,0,1,1,0,2,10,5.0,0.237,0.31,0.368,0.678,14.0,2.0,2.0,0,0,0,1,0.296,110,75,6
Batting Order Positions,Batting 4th,25,42.0,41,7.0,14,4,0,1,0,1,1,11,11.0,0.342,0.357,0.512,0.869,21.0,0.0,0.0,0,0,0,0,0.448,165,134,9
Batting Order Positions,Batting 5th,25,45.0,44,1.0,9,4,0,0,1,0,1,8,8.0,0.205,0.222,0.296,0.518,13.0,1.0,0.0,0,0,0,1,0.25,59,43,5
Batting Order Positions,Batting 6th,26,43.0,42,6.0,9,2,0,0,2,1,0,7,,0.214,0.209,0.262,0.471,11.0,1.0,0.0,0,1,0,1,0.25,45,37,7
Batting Order Positions,Batting 7th,27,43.0,40,3.0,6,1,0,0,2,0,1,10,10.0,0.15,0.191,0.175,0.366,7.0,1.0,1.0,1,0,0,0,0.2,16,8,5
Batting Order Positions,Batting 8th,27,40.0,37,3.0,7,0,1,0,1,0,3,13,4.33,0.189,0.25,0.243,0.493,9.0,0.0,0.0,0,0,0,0,0.292,55,52,6
Batting Order Positions,Batting 9th,30,42.0,40,3.0,10,4,0,0,0,0,0,5,,0.25,0.268,0.35,0.618,14.0,0.0,1.0,1,0,0,0,0.286,90,98,6
Batting Order Positions,"Bat1-2,non-P",31,95.0,91,17.0,28,6,1,6,2,0,2,15,7.5,0.308,0.319,0.593,0.913,54.0,1.0,0.0,1,1,0,1,0.31,172,139,15
Batting Order Positions,"Bat3-6,non-P",30,173.0,165,18.0,41,12,0,2,4,2,4,36,9.0,0.249,0.273,0.358,0.631,59.0,4.0,2.0,0,1,0,3,0.305,94,72,27
Batting Order Positions,"Bat7-9,non-P",32,125.0,117,9.0,23,5,1,0,3,0,4,28,7.0,0.197,0.236,0.256,0.492,30.0,1.0,2.0,2,0,0,0,0.258,54,51,17
Swung or Took First Pitch of PA,Swung at 1st Pitch,31,139.0,131,22.0,38,11,0,1,,,1,19,19.0,0.29,0.302,0.397,0.698,52.0,2.0,2.0,2,2,0,0,0.327,114,100,26
Swung or Took First Pitch of PA,Took 1st Pitch,34,254.0,242,22.0,54,12,2,7,,,9,60,6.67,0.223,0.257,0.376,0.633,91.0,4.0,2.0,1,0,0,4,0.269,93,75,33
Count/Balls-Strikes,First Pitch,27,60.0,56,11.0,17,5,0,0,,,0,0,,0.304,0.31,0.393,0.703,22.0,1.0,1.0,1,1,0,0,0.298,117,61,12
Count/Balls-Strikes,1-0 Count,16,21.0,20,5.0,6,1,0,2,,,0,0,,0.3,0.3,0.65,0.95,13.0,0.0,0.0,1,0,0,2,0.222,180,101,3
Count/Balls-Strikes,2-0 Count,8,9.0,9,0.0,3,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,3.0,0.0,0.0,0,0,0,0,0.333,109,50,3
Count/Balls-Strikes,3-0 Count,2,2.0,0,0.0,0,0,0,0,,,2,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,21,37.0,36,3.0,13,5,0,2,,,0,0,,0.361,0.361,0.667,1.028,24.0,1.0,0.0,1,0,0,0,0.324,207,140,6
Count/Balls-Strikes,1-1 Count,19,37.0,35,4.0,11,3,0,1,,,0,0,,0.314,0.351,0.486,0.837,17.0,0.0,2.0,0,0,0,0,0.294,156,101,7
Count/Balls-Strikes,2-1 Count,11,17.0,17,2.0,6,1,0,0,,,0,0,,0.353,0.353,0.412,0.765,7.0,1.0,0.0,0,0,0,0,0.353,137,73,5
Count/Balls-Strikes,3-1 Count,8,8.0,7,0.0,2,0,0,0,,,1,0,0.0,0.286,0.375,0.286,0.661,2.0,0.0,0.0,0,0,0,0,0.286,113,-1,2
Count/Balls-Strikes,0-2 Count,23,34.0,33,3.0,3,0,0,0,,,0,16,,0.091,0.088,0.091,0.179,3.0,1.0,0.0,0,1,0,0,0.167,-44,-4,3
Count/Balls-Strikes,1-2 Count,24,65.0,64,7.0,13,2,1,0,,,0,31,,0.203,0.215,0.266,0.481,17.0,1.0,1.0,0,0,0,2,0.394,49,135,10
Count/Balls-Strikes,2-2 Count,26,62.0,62,5.0,10,4,0,2,,,0,20,,0.161,0.161,0.323,0.484,20.0,1.0,0.0,0,0,0,0,0.2,44,109,4
Count/Balls-Strikes,Full Count,23,41.0,34,4.0,8,2,1,1,,,7,12,1.71,0.235,0.366,0.441,0.807,15.0,0.0,0.0,0,0,0,0,0.333,150,113,4
