Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,102,93,364,327,29,79,12,2,0,17,5,6,27,54,0.242,0.307,0.291,0.598,95,3,4,6,0,0,6,0.289,100,71,65
Season Totals,Last 7 days,5,4,18,18,1,4,0,0,0,0,0,0,0,5,0.222,0.222,0.222,0.444,4,0,0,0,0,0,0,0.308,49,30,4
Season Totals,Last 14 days,9,7,32,31,2,9,2,0,0,2,0,0,1,6,0.29,0.313,0.355,0.667,11,0,0,0,0,0,0,0.36,124,87,7
Season Totals,Last 28 days,18,16,66,60,5,16,2,1,0,3,1,0,5,9,0.267,0.333,0.333,0.667,20,1,1,0,0,0,1,0.314,123,85,13
Season Totals,Last 365 days,118,105,411,369,37,88,14,2,0,21,6,6,30,60,0.239,0.304,0.287,0.591,106,3,5,6,1,0,7,0.284,98,,72
Platoon Splits,vs RHP,98,,314,280,24,68,12,2,0,16,4,5,27,46,0.243,0.316,0.3,0.616,84,3,3,4,0,0,5,0.291,106,77,54
Platoon Splits,vs LHP,33,,50,47,5,11,0,0,0,1,1,1,0,8,0.234,0.25,0.234,0.484,11,0,1,2,0,0,1,0.282,62,37,11
Platoon Splits,vs RHP as LHB,98,,314,280,,68,12,2,0,16,0,0,27,46,0.243,0.316,0.3,0.616,84,3,3,4,0,0,5,0.291,106,71,54
Platoon Splits,vs LHP as LHB,33,,50,47,,11,0,0,0,1,0,0,0,8,0.234,0.25,0.234,0.484,11,0,1,2,0,0,1,0.282,62,46,11
Platoon Splits,vs RH Starter,87,87,331,294,29,75,12,2,0,16,5,6,27,48,0.255,0.326,0.31,0.636,91,2,4,6,0,0,6,0.305,113,82,61
