Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,120,118,514,464,64,117,25,1,5,37,23,3,36,56,0.252,0.319,0.343,0.662,159,6,11,0,3,1,4,0.276,100,88,86
Season Totals,Last 7 days,6,6,22,22,2,4,1,0,0,1,1,0,0,4,0.182,0.182,0.227,0.409,5,0,0,0,0,0,0,0.222,23,20,3
Season Totals,Last 14 days,11,11,44,42,5,9,3,0,0,2,3,0,2,4,0.214,0.25,0.286,0.536,12,0,0,0,0,0,0,0.237,62,53,6
Season Totals,Last 28 days,24,24,101,98,14,24,5,0,1,7,9,1,3,12,0.245,0.267,0.327,0.594,32,0,0,0,0,0,0,0.271,79,64,18
Season Totals,Last 365 days,153,151,663,592,88,156,30,1,5,44,33,5,49,67,0.264,0.334,0.343,0.677,203,8,16,1,5,1,5,0.288,105,,120
Platoon Splits,vs RHP,116,,415,374,47,91,19,1,4,28,18,3,29,44,0.243,0.311,0.332,0.642,124,5,9,0,3,0,4,0.264,94,83,67
Platoon Splits,vs LHP,56,,99,90,17,26,6,0,1,9,5,0,7,12,0.289,0.354,0.389,0.742,35,1,2,0,0,1,0,0.325,124,109,19
Platoon Splits,vs RHP as RHB,116,,415,374,,91,19,1,4,28,0,0,29,44,0.243,0.311,0.332,0.642,124,5,9,0,3,0,4,0.264,94,88,67
Platoon Splits,vs LHP as RHB,56,,99,90,,26,6,0,1,9,0,0,7,12,0.289,0.354,0.389,0.742,35,1,2,0,0,1,0,0.325,124,104,19
Platoon Splits,vs RH Starter,98,97,418,377,48,89,18,0,4,29,15,2,29,45,0.236,0.304,0.316,0.619,119,6,9,0,3,1,4,0.257,87,76,67
Platoon Splits,vs LH Starter,22,21,96,87,16,28,7,1,1,8,8,1,7,11,0.322,0.385,0.46,0.845,40,0,2,0,0,0,0,0.36,155,138,19
Home or Away,Home,61,61,260,240,30,59,14,0,1,16,7,0,15,30,0.246,0.3,0.317,0.617,76,2,4,0,1,0,2,0.276,87,73,44
Home or Away,Away,59,57,254,224,34,58,11,1,4,21,16,3,21,26,0.259,0.339,0.371,0.709,83,4,7,0,2,1,2,0.276,114,104,42
First or Second Half,1st Half,89,87,381,336,48,86,17,1,4,29,14,2,31,41,0.256,0.336,0.348,0.684,117,6,11,0,3,1,4,0.279,107,95,64
First or Second Half,2nd Half,31,31,133,128,16,31,8,0,1,8,9,1,5,15,0.242,0.271,0.328,0.599,42,0,0,0,0,0,0,0.268,81,66,22
Months,April/March,29,29,125,111,18,29,7,1,0,7,1,2,10,12,0.261,0.336,0.342,0.678,38,2,3,0,1,0,1,0.29,105,96,21
Months,May,22,22,97,84,10,21,6,0,2,8,5,0,11,10,0.25,0.351,0.393,0.743,33,3,2,0,0,1,2,0.264,125,116,13
Months,June,25,23,98,87,12,20,1,0,2,6,8,0,8,14,0.23,0.316,0.31,0.627,27,1,3,0,0,0,1,0.254,89,77,17
Months,July,25,25,116,107,12,28,8,0,0,13,3,0,4,12,0.262,0.302,0.336,0.638,36,0,3,0,2,0,0,0.289,93,76,20
Months,August,19,19,78,75,12,19,3,0,1,3,6,1,3,8,0.253,0.282,0.333,0.615,25,0,0,0,0,0,0,0.273,86,72,15
Game Outcome for Team,in Wins,61,61,270,245,39,62,13,0,3,27,13,2,17,26,0.253,0.311,0.343,0.654,84,3,5,0,3,0,2,0.269,98,60,46
Game Outcome for Team,in Losses,59,57,244,219,25,55,12,1,2,10,10,1,19,30,0.251,0.328,0.343,0.67,75,3,6,0,0,1,2,0.283,103,129,40
Starter or Substitute,as Starter,118,118,514,464,64,117,25,1,5,37,23,3,36,56,0.252,0.319,0.343,0.662,159,6,11,0,3,1,4,0.276,100,87,86
Starter or Substitute,as Sub,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
