Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,6,6,21,18,2,1,0,0,1,3,1,0,3,11,0.056,0.191,0.222,0.413,4,0,0,0,0,0,0,0,100,16,0
Season Totals,Last 7 days,5,5,17,15,2,1,0,0,1,3,1,0,2,9,0.067,0.177,0.267,0.443,4,0,0,0,0,0,0,0,113,28,0
Season Totals,Last 14 days,6,6,21,18,2,1,0,0,1,3,1,0,3,11,0.056,0.191,0.222,0.413,4,0,0,0,0,0,0,0,100,17,0
Season Totals,Last 28 days,6,6,21,18,2,1,0,0,1,3,1,0,3,11,0.056,0.191,0.222,0.413,4,0,0,0,0,0,0,0,100,14,0
Season Totals,Last 365 days,6,6,21,18,2,1,0,0,1,3,1,0,3,11,0.056,0.191,0.222,0.413,4,0,0,0,0,0,0,0,100,,0
Platoon Splits,vs RHP,6,,18,15,2,1,0,0,1,3,1,0,3,11,0.067,0.222,0.267,0.489,4,0,0,0,0,0,0,0,137,38,0
Platoon Splits,vs LHP,1,,3,3,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-100,-100,0
Platoon Splits,vs RHP as LHB,6,,18,15,,1,0,0,1,3,0,0,3,11,0.067,0.222,0.267,0.489,4,0,0,0,0,0,0,0,137,34,0
Platoon Splits,vs LHP as LHB,1,,3,3,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-100,-100,0
Platoon Splits,vs RH Starter,6,6,21,18,2,1,0,0,1,3,1,0,3,11,0.056,0.191,0.222,0.413,4,0,0,0,0,0,0,0,100,16,0
Home or Away,Home,2,2,6,5,0,0,0,0,0,0,0,0,1,4,0.0,0.167,0.0,0.167,0,0,0,0,0,0,0,0,-12,-47,0
Home or Away,Away,4,4,15,13,2,1,0,0,1,3,1,0,2,7,0.077,0.2,0.308,0.508,4,0,0,0,0,0,0,0,144,43,0
First or Second Half,2nd Half,6,6,21,18,2,1,0,0,1,3,1,0,3,11,0.056,0.191,0.222,0.413,4,0,0,0,0,0,0,0,100,15,0
