Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,41,39,156,148,18,28,7,0,3,13,4,1,4,49,0.189,0.224,0.297,0.522,44,0,3,0,1,0,0,0.258,100,46,18
Season Totals,Last 7 days,4,4,14,14,2,4,0,0,0,1,0,0,0,3,0.286,0.286,0.286,0.571,4,0,0,0,0,0,0,0.364,124,67,4
Season Totals,Last 14 days,10,10,37,37,2,8,2,0,0,2,0,0,0,11,0.216,0.216,0.27,0.487,10,0,0,0,0,0,0,0.308,87,35,6
Season Totals,Last 28 days,20,19,73,70,6,14,5,0,1,6,2,1,2,23,0.2,0.233,0.314,0.547,22,0,1,0,0,0,0,0.283,110,49,8
Season Totals,Last 365 days,74,69,275,258,33,63,13,0,6,28,9,3,12,73,0.244,0.287,0.364,0.652,94,1,4,0,1,0,0,0.317,151,,44
Platoon Splits,vs RHP,38,,123,116,11,21,5,0,2,10,2,1,3,35,0.181,0.22,0.276,0.495,32,0,3,0,1,0,0,0.238,91,40,14
Platoon Splits,vs LHP,19,,33,32,7,7,2,0,1,3,2,0,1,14,0.219,0.242,0.375,0.617,12,0,0,0,0,0,0,0.353,134,70,4
Platoon Splits,vs RHP as RHB,38,,123,116,,21,5,0,2,10,0,0,3,35,0.181,0.22,0.276,0.495,32,0,3,0,1,0,0,0.238,91,44,14
Platoon Splits,vs LHP as RHB,19,,33,32,,7,2,0,1,3,0,0,1,14,0.219,0.242,0.375,0.617,12,0,0,0,0,0,0,0.353,134,66,4
Platoon Splits,vs RH Starter,30,29,118,112,13,23,6,0,2,10,3,1,2,32,0.205,0.237,0.313,0.55,35,0,3,0,1,0,0,0.266,111,54,15
Platoon Splits,vs LH Starter,11,10,38,36,5,5,1,0,1,3,1,0,2,17,0.139,0.184,0.25,0.434,9,0,0,0,0,0,0,0.222,66,21,3
Home or Away,Home,19,17,65,60,8,10,2,0,0,2,1,0,2,25,0.167,0.215,0.2,0.415,12,0,2,0,1,0,0,0.278,63,17,8
Home or Away,Away,22,22,91,88,10,18,5,0,3,11,3,1,2,24,0.205,0.231,0.364,0.594,32,0,1,0,0,0,0,0.246,126,67,10
First or Second Half,1st Half,17,16,67,63,10,11,2,0,1,6,2,0,1,22,0.175,0.209,0.254,0.463,16,0,2,0,1,0,0,0.244,79,31,8
First or Second Half,2nd Half,24,23,89,85,8,17,5,0,2,7,2,1,3,27,0.2,0.236,0.329,0.565,28,0,1,0,0,0,0,0.268,116,55,10
Months,June,4,4,17,17,4,3,1,0,0,2,2,0,0,4,0.177,0.177,0.235,0.412,4,0,0,0,0,0,0,0.231,58,14,2
Months,July,23,21,87,79,9,14,3,0,2,7,2,1,4,28,0.177,0.241,0.291,0.533,23,0,3,0,1,0,0,0.24,106,46,9
Months,August,14,14,52,52,5,11,3,0,1,4,0,0,0,17,0.212,0.212,0.327,0.538,17,0,0,0,0,0,0,0.294,105,47,7
Game Outcome for Team,in Wins,22,22,93,88,14,15,4,0,2,10,3,0,2,29,0.171,0.204,0.284,0.488,25,0,2,0,1,0,0,0.224,87,17,9
Game Outcome for Team,in Losses,19,17,63,60,4,13,3,0,1,3,1,1,2,20,0.217,0.254,0.317,0.571,19,0,1,0,0,0,0,0.308,120,94,9
Starter or Substitute,as Starter,39,39,154,147,18,28,7,0,3,13,4,1,3,49,0.191,0.221,0.299,0.52,44,0,3,0,1,0,0,0.26,99,45,18
Starter or Substitute,as Sub,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,123,66,0
Defensive Positions,as 2B,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 3B,36,,140,135,17,27,7,0,3,12,4,1,3,44,0.2,0.229,0.319,0.547,43,0,2,0,0,0,0,0.273,110,54,17
Defensive Positions,as DH,3,,13,11,1,1,0,0,0,1,0,0,0,5,0.091,0.154,0.091,0.245,1,0,1,0,1,0,0,0.143,-1,-31,1
Defensive Positions,as PH,2,,2,1,,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,123,70,0
Leading Off Inning,Leadoff Inn.,24,,32,30,,4,2,0,0,0,,,2,7,0.133,0.188,0.2,0.388,6,0,0,0,0,0,0,0.174,51,12,2
Batting Order Positions,Batting 1st,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Batting Order Positions,Batting 5th,5,5,22,22,4,3,1,0,0,3,2,0,0,7,0.136,0.136,0.182,0.318,4,0,0,0,0,0,0,0.2,22,-12,2
Batting Order Positions,Batting 6th,5,5,20,18,3,2,0,0,2,4,0,0,0,7,0.111,0.15,0.444,0.594,8,0,1,0,1,0,0,0.0,117,66,0
Batting Order Positions,Batting 7th,14,14,57,54,5,12,3,0,0,2,0,0,2,21,0.222,0.263,0.278,0.541,15,0,1,0,0,0,0,0.364,111,59,9
Batting Order Positions,Batting 8th,8,8,29,27,1,6,2,0,0,2,2,1,1,7,0.222,0.276,0.296,0.572,8,0,1,0,0,0,0,0.3,123,75,4
Batting Order Positions,Batting 9th,8,7,27,27,5,5,1,0,1,2,0,0,0,7,0.185,0.185,0.333,0.519,9,0,0,0,0,0,0,0.211,95,64,3
Swung or Took First Pitch of PA,Swung at 1st Pitch,33,,66,65,,15,6,0,1,8,,,0,16,0.231,0.242,0.369,0.612,24,0,1,0,0,0,0,0.292,132,73,8
Swung or Took First Pitch of PA,Took 1st Pitch,39,,90,83,,13,1,0,2,5,,,4,33,0.157,0.211,0.241,0.452,20,0,2,0,1,0,0,0.225,75,27,10
Count/Balls-Strikes,First Pitch,18,,23,21,5,6,2,0,0,0,1,0,0,0,0.286,0.348,0.381,0.729,8,0,2,0,0,0,0,0.286,184,70,4
Count/Balls-Strikes,1-0 Count,11,,14,14,2,4,0,0,0,0,0,1,0,0,0.286,0.286,0.286,0.571,4,0,0,0,0,0,0,0.286,124,34,4
Count/Balls-Strikes,2-0 Count,1,,1,0,,0,0,0,0,1,0,0,0,0,,0.0,,,0,0,0,0,1,0,0,0.0,,,0
Count/Balls-Strikes,3-0 Count,3,,3,2,,1,1,0,0,0,0,0,1,0,0.5,0.667,1.0,1.667,2,0,0,0,0,0,0,0.5,535,83,0
Count/Balls-Strikes,0-1 Count,12,,12,12,3,5,1,0,1,5,1,0,0,0,0.417,0.417,0.75,1.167,9,0,0,0,0,0,0,0.364,339,173,3
Count/Balls-Strikes,1-1 Count,7,,7,7,2,4,1,0,1,1,0,0,0,0,0.571,0.571,1.143,1.714,8,0,0,0,0,0,0,0.5,540,293,2
Count/Balls-Strikes,2-1 Count,3,,3,3,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-1 Count,4,,4,3,0,0,0,0,0,0,1,0,1,0,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,12,-64,0
Count/Balls-Strikes,0-2 Count,16,,19,19,0,1,0,0,0,0,1,0,0,14,0.053,0.053,0.053,0.105,1,0,0,0,0,0,0,0.2,-59,-43,1
Count/Balls-Strikes,1-2 Count,22,,29,29,3,3,1,0,1,4,0,0,0,15,0.103,0.103,0.241,0.345,7,0,0,0,0,0,0,0.154,27,59,1
Count/Balls-Strikes,2-2 Count,24,,31,30,2,2,1,0,0,1,0,0,0,18,0.067,0.097,0.1,0.197,3,0,1,0,0,0,0,0.167,-23,-9,1
Count/Balls-Strikes,Full Count,9,,10,8,1,2,0,0,0,1,0,0,2,2,0.25,0.4,0.25,0.65,2,0,0,0,0,0,0,0.333,163,63,2
Count/Balls-Strikes,After 1-0,31,,54,49,,9,1,0,1,3,,,4,15,0.184,0.241,0.265,0.506,13,0,0,0,1,0,0,0.235,97,26,7
Count/Balls-Strikes,After 2-0,17,,22,18,,3,1,0,0,1,,,3,6,0.167,0.273,0.222,0.495,4,0,0,0,1,0,0,0.231,97,3,2
Count/Balls-Strikes,After 3-0,8,,8,6,,1,1,0,0,0,,,2,2,0.167,0.375,0.333,0.708,2,0,0,0,0,0,0,0.25,180,16,0
Count/Balls-Strikes,After 0-1,36,,79,78,,13,4,0,2,10,,,0,34,0.167,0.177,0.295,0.472,23,0,1,0,0,0,0,0.262,78,54,7
Count/Balls-Strikes,After 1-1,32,,44,42,,6,1,0,2,4,,,1,17,0.143,0.182,0.31,0.491,13,0,1,0,0,0,0,0.174,86,46,3
