Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,121,121,507,462,54,125,19,0,14,60,2,1,35,70,0.271,0.324,0.403,0.727,186,10,4,0,5,0,2,0.29,100,104,92
Season Totals,Last 7 days,6,6,27,26,4,8,2,0,2,6,0,0,1,4,0.308,0.333,0.615,0.949,16,1,0,0,0,0,0,0.3,155,171,4
Season Totals,Last 14 days,11,11,47,44,7,12,2,0,3,9,0,0,3,6,0.273,0.319,0.523,0.842,23,1,0,0,0,0,0,0.257,128,134,7
Season Totals,Last 28 days,24,24,99,93,13,27,5,0,3,15,1,0,6,12,0.29,0.333,0.441,0.774,41,3,0,0,0,0,0,0.308,112,112,19
Season Totals,Last 365 days,143,143,600,548,65,140,21,0,14,66,3,1,41,82,0.256,0.309,0.37,0.679,203,12,4,0,6,1,3,0.275,87,,105
Platoon Splits,vs RHP,119,,379,342,40,97,13,0,10,44,1,1,30,58,0.284,0.344,0.409,0.753,140,7,3,0,3,0,1,0.314,108,113,74
Platoon Splits,vs LHP,64,,128,120,14,28,6,0,4,16,1,0,5,12,0.233,0.266,0.383,0.649,46,3,1,0,2,0,1,0.226,77,80,18
Platoon Splits,vs RHP as RHB,119,,379,342,,97,13,0,10,44,0,0,30,58,0.284,0.344,0.409,0.753,140,7,3,0,3,0,1,0.314,108,119,74
Platoon Splits,vs LHP as RHB,64,,128,120,,28,6,0,4,16,0,0,5,12,0.233,0.266,0.383,0.649,46,3,1,0,2,0,1,0.226,77,75,18
Platoon Splits,vs RH Starter,83,83,348,315,39,83,11,0,11,41,2,1,27,53,0.264,0.326,0.403,0.729,127,5,3,0,2,0,2,0.285,101,105,61
Platoon Splits,vs LH Starter,38,38,159,147,15,42,8,0,3,19,0,0,8,17,0.286,0.321,0.401,0.722,59,5,1,0,3,0,0,0.3,99,102,31
Home or Away,Home,60,60,242,219,25,68,12,0,6,34,1,0,20,31,0.311,0.364,0.448,0.811,98,7,0,0,3,0,1,0.335,123,125,50
Home or Away,Away,61,61,265,243,29,57,7,0,8,26,1,1,15,39,0.235,0.288,0.362,0.65,88,3,4,0,2,0,1,0.248,79,85,42
First or Second Half,1st Half,90,90,379,344,37,93,14,0,8,40,1,1,25,56,0.27,0.323,0.381,0.704,131,7,4,0,5,0,2,0.298,94,100,71
First or Second Half,2nd Half,31,31,128,118,17,32,5,0,6,20,1,0,10,14,0.271,0.328,0.466,0.794,55,3,0,0,0,0,0,0.265,117,118,21
Months,April/March,30,30,128,114,13,31,6,0,1,13,0,1,10,20,0.272,0.336,0.351,0.687,40,3,2,0,2,0,0,0.316,91,98,24
Months,May,23,23,98,92,9,22,4,0,4,13,0,0,5,16,0.239,0.276,0.413,0.689,38,2,0,0,1,0,1,0.247,88,96,14
Months,June,24,24,98,88,7,24,3,0,2,8,1,0,6,17,0.273,0.327,0.375,0.702,33,1,2,0,2,0,1,0.31,94,97,19
Months,July,24,24,99,90,15,24,1,0,4,11,0,0,8,8,0.267,0.327,0.411,0.738,37,2,0,0,0,0,0,0.256,103,102,19
Months,August,20,20,84,78,10,24,5,0,3,15,1,0,6,9,0.308,0.357,0.487,0.844,38,2,0,0,0,0,0,0.318,131,133,16
Game Outcome for Team,in Wins,58,58,249,231,34,71,11,0,7,34,0,0,14,32,0.307,0.351,0.446,0.797,103,6,2,0,1,0,1,0.332,119,92,53
Game Outcome for Team,in Losses,63,63,258,231,20,54,8,0,7,26,2,1,21,38,0.234,0.298,0.359,0.658,83,4,2,0,4,0,1,0.247,81,123,39
Starter or Substitute,as Starter,121,121,507,462,54,125,19,0,14,60,2,1,35,70,0.271,0.324,0.403,0.727,186,10,4,0,5,0,2,0.29,100,104,92
Defensive Positions,as 3B,117,,490,446,52,123,19,0,14,60,2,1,34,64,0.276,0.329,0.413,0.742,184,10,4,0,5,0,2,0.292,104,110,90
Defensive Positions,as DH,4,,17,16,2,2,0,0,0,0,0,0,1,6,0.125,0.177,0.125,0.302,2,0,0,0,0,0,0,0.2,-15,-16,2
Leading Off Inning,Leadoff Inn.,90,,137,125,,39,8,0,6,6,,,9,23,0.312,0.372,0.52,0.892,65,0,3,0,0,0,1,0.344,144,154,25
Batting Order Positions,Batting 3rd,7,7,27,26,2,8,2,0,0,2,0,0,1,5,0.308,0.333,0.385,0.718,10,1,0,0,0,0,0,0.381,98,86,6
Batting Order Positions,Batting 4th,64,64,274,247,28,65,11,0,5,32,1,1,19,39,0.263,0.318,0.368,0.686,91,6,3,0,5,0,1,0.289,90,88,49
Batting Order Positions,Batting 5th,36,36,149,136,18,39,6,0,7,20,1,0,12,18,0.287,0.349,0.485,0.834,66,1,1,0,0,0,0,0.288,128,130,26
Batting Order Positions,Batting 6th,14,14,57,53,6,13,0,0,2,6,0,0,3,8,0.245,0.286,0.359,0.644,19,2,0,0,0,0,1,0.256,77,88,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,89,,131,126,,37,6,0,7,20,,,3,8,0.294,0.313,0.508,0.821,64,6,1,0,1,0,0,0.268,123,131,24
Swung or Took First Pitch of PA,Took 1st Pitch,120,,376,336,,88,13,0,7,40,,,32,62,0.262,0.328,0.363,0.691,122,4,3,0,4,0,2,0.299,91,94,68
Count/Balls-Strikes,First Pitch,51,,61,58,7,18,3,0,3,8,0,0,0,0,0.31,0.328,0.517,0.845,30,1,2,0,1,0,0,0.268,130,88,12
Count/Balls-Strikes,1-0 Count,24,,29,28,7,11,2,0,2,6,0,0,0,0,0.393,0.379,0.679,1.058,19,1,0,0,1,0,0,0.333,186,129,7
Count/Balls-Strikes,2-0 Count,13,,13,13,1,3,0,0,0,1,0,0,0,0,0.231,0.231,0.231,0.462,3,1,0,0,0,0,0,0.231,29,4,3
Count/Balls-Strikes,3-0 Count,6,,6,3,,0,0,0,0,0,0,0,3,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,54,-47,0
Count/Balls-Strikes,0-1 Count,43,,50,47,3,14,4,0,0,4,0,0,0,0,0.298,0.306,0.383,0.689,18,2,1,0,1,0,1,0.292,90,67,10
Count/Balls-Strikes,1-1 Count,40,,44,42,7,11,1,0,3,11,0,0,0,0,0.262,0.25,0.5,0.75,21,0,0,0,2,0,0,0.195,101,72,7
