Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,53,51,206,178,19,36,8,1,3,15,3,3,25,66,0.202,0.302,0.309,0.611,55,5,1,1,1,2,2,0.3,100,74,24
Season Totals,Last 7 days,4,4,15,15,0,3,1,0,0,1,0,0,0,3,0.2,0.2,0.267,0.467,4,1,0,0,0,0,0,0.25,53,36,2
Season Totals,Last 14 days,4,4,15,15,0,3,1,0,0,1,0,0,0,3,0.2,0.2,0.267,0.467,4,1,0,0,0,0,0,0.25,53,32,2
Season Totals,Last 28 days,4,4,15,15,0,3,1,0,0,1,0,0,0,3,0.2,0.2,0.267,0.467,4,1,0,0,0,0,0,0.25,53,28,2
Season Totals,Last 365 days,89,87,362,308,45,80,16,4,11,41,15,6,49,102,0.26,0.366,0.445,0.811,137,5,3,1,1,4,3,0.352,165,,49
Platoon Splits,vs RHP,45,,135,113,15,23,6,1,2,12,1,3,20,39,0.204,0.321,0.327,0.648,37,4,0,1,1,2,2,0.288,112,85,14
Platoon Splits,vs LHP,31,,71,65,4,13,2,0,1,3,2,0,5,27,0.2,0.268,0.277,0.545,18,1,1,0,0,0,0,0.324,78,54,10
Platoon Splits,vs RHP as LHB,45,,135,113,,23,6,1,2,12,0,0,20,39,0.204,0.321,0.327,0.648,37,4,0,1,1,2,2,0.288,112,79,14
Platoon Splits,vs LHP as LHB,31,,71,65,,13,2,0,1,3,0,0,5,27,0.2,0.268,0.277,0.545,18,1,1,0,0,0,0,0.324,78,64,10
Platoon Splits,vs RH Starter,32,31,122,100,14,21,5,0,2,9,2,3,20,40,0.21,0.339,0.32,0.659,32,3,0,1,1,1,1,0.322,116,89,14
Platoon Splits,vs LH Starter,21,20,84,78,5,15,3,1,1,6,1,0,5,26,0.192,0.25,0.295,0.545,23,2,1,0,0,1,1,0.275,78,53,10
Home or Away,Home,28,27,110,90,11,20,3,0,1,8,2,1,17,32,0.222,0.349,0.289,0.638,26,1,1,1,1,1,1,0.328,109,82,16
Home or Away,Away,25,24,96,88,8,16,5,1,2,7,1,2,8,34,0.182,0.25,0.33,0.58,29,4,0,0,0,1,1,0.269,90,65,8
First or Second Half,1st Half,49,47,191,163,19,33,7,1,3,14,3,3,25,63,0.203,0.311,0.313,0.623,51,4,1,1,1,2,2,0.306,104,79,22
First or Second Half,2nd Half,4,4,15,15,0,3,1,0,0,1,0,0,0,3,0.2,0.2,0.267,0.467,4,1,0,0,0,0,0,0.25,53,29,2
Months,April/March,26,25,103,94,11,16,5,1,1,7,2,1,9,37,0.17,0.243,0.277,0.519,26,2,0,0,0,1,2,0.268,70,49,9
Months,June,14,13,54,42,6,9,1,0,2,5,1,0,11,18,0.214,0.37,0.381,0.751,16,1,0,0,1,0,0,0.304,146,112,6
