Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,120,114,501,427,54,108,16,0,12,41,4,1,57,84,0.253,0.348,0.375,0.723,160,10,8,3,5,0,2,0.286,100,105,80
Season Totals,Last 7 days,7,7,30,26,4,10,3,0,0,0,0,0,3,6,0.385,0.467,0.5,0.967,13,0,1,0,0,0,0,0.5,168,185,7
Season Totals,Last 14 days,12,12,52,43,7,12,4,0,0,0,0,0,8,9,0.279,0.404,0.372,0.776,16,0,1,0,0,0,0,0.353,115,124,8
Season Totals,Last 28 days,24,24,107,89,17,25,5,0,2,5,0,1,16,18,0.281,0.402,0.405,0.806,36,1,2,0,0,0,0,0.333,123,125,18
Season Totals,Last 365 days,143,137,607,517,68,131,19,0,13,46,4,1,70,101,0.253,0.352,0.366,0.717,189,11,11,3,5,1,2,0.289,99,,99
Platoon Splits,vs RHP,116,,381,326,45,85,12,0,9,29,4,0,44,58,0.261,0.356,0.38,0.737,124,7,6,1,3,0,2,0.29,104,110,64
Platoon Splits,vs LHP,63,,120,101,9,23,4,0,3,12,0,1,13,26,0.228,0.322,0.356,0.678,36,3,2,2,2,0,0,0.27,88,91,16
Platoon Splits,vs RHP as LHB,116,,381,326,,85,12,0,9,29,0,0,44,58,0.261,0.356,0.38,0.737,124,7,6,1,3,0,2,0.29,104,103,64
Platoon Splits,vs LHP as LHB,63,,120,101,,23,4,0,3,12,0,0,13,26,0.228,0.322,0.356,0.678,36,3,2,2,2,0,0,0.27,88,104,16
Platoon Splits,vs RH Starter,96,92,398,341,42,92,13,0,8,33,4,0,44,65,0.27,0.36,0.378,0.738,129,8,6,2,4,0,2,0.309,104,109,71
Platoon Splits,vs LH Starter,24,22,103,86,12,16,3,0,4,8,0,1,13,19,0.186,0.304,0.361,0.664,31,2,2,1,1,0,0,0.188,83,87,9
Home or Away,Home,64,63,271,234,26,56,11,0,6,22,3,1,28,48,0.239,0.327,0.363,0.69,85,3,4,2,3,0,1,0.273,91,93,39
Home or Away,Away,56,51,230,193,28,52,5,0,6,19,1,0,29,36,0.269,0.373,0.389,0.761,75,7,4,1,2,0,1,0.301,111,119,41
First or Second Half,1st Half,88,83,366,315,32,75,11,0,8,32,4,0,36,59,0.238,0.323,0.349,0.672,110,8,6,3,5,0,2,0.265,86,91,56
