Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,120,119,459,422,34,95,19,0,11,34,0,0,28,93,0.225,0.273,0.348,0.621,147,14,2,1,6,1,4,0.259,100,74,65
Season Totals,Last 7 days,6,6,24,20,1,3,0,0,0,1,0,0,4,1,0.15,0.292,0.15,0.442,3,0,0,0,0,0,0,0.158,50,34,3
Season Totals,Last 14 days,13,13,55,51,2,12,0,0,0,1,0,0,4,8,0.235,0.291,0.235,0.526,12,1,0,0,0,0,0,0.279,74,50,12
Season Totals,Last 28 days,26,26,106,92,7,25,1,0,4,8,0,0,13,16,0.272,0.362,0.413,0.775,38,3,0,1,0,0,1,0.292,151,114,20
Season Totals,Last 365 days,157,154,601,550,49,124,27,0,14,52,0,0,39,121,0.226,0.277,0.351,0.628,193,15,3,1,8,1,5,0.26,102,,83
Platoon Splits,vs RHP,116,,342,320,25,76,13,0,11,28,0,0,16,61,0.238,0.276,0.381,0.657,122,10,2,1,3,0,3,0.259,111,84,52
Platoon Splits,vs LHP,59,,117,102,9,19,6,0,0,6,0,0,12,32,0.186,0.265,0.245,0.51,25,4,0,0,3,1,1,0.26,68,45,13
Platoon Splits,vs RHP as RHB,116,,342,320,,76,13,0,11,28,0,0,16,61,0.238,0.276,0.381,0.657,122,10,2,1,3,0,3,0.259,111,89,52
Platoon Splits,vs LHP as RHB,59,,117,102,,19,6,0,0,6,0,0,12,32,0.186,0.265,0.245,0.51,25,4,0,0,3,1,1,0.26,68,42,13
Platoon Splits,vs RH Starter,85,84,317,295,23,69,11,0,9,25,0,0,17,62,0.234,0.275,0.363,0.638,107,11,1,1,3,0,4,0.264,105,79,49
Platoon Splits,vs LH Starter,35,35,142,127,11,26,8,0,2,9,0,0,11,31,0.205,0.268,0.315,0.583,40,3,1,0,3,1,0,0.247,89,64,16
Home or Away,Home,56,56,216,197,14,39,4,0,4,10,0,0,16,46,0.198,0.259,0.279,0.539,55,8,1,0,2,1,1,0.235,75,51,31
Home or Away,Away,64,63,243,225,20,56,15,0,7,24,0,0,12,47,0.249,0.285,0.409,0.694,92,6,1,1,4,0,3,0.28,122,96,34
First or Second Half,1st Half,90,89,340,318,27,67,18,0,7,25,0,0,14,74,0.211,0.244,0.333,0.577,106,11,2,0,6,1,3,0.247,85,62,42
First or Second Half,2nd Half,30,30,119,104,7,28,1,0,4,9,0,0,14,19,0.269,0.356,0.394,0.75,41,3,0,1,0,0,1,0.296,144,109,23
Months,April/March,28,27,112,105,12,29,9,0,2,9,0,0,4,19,0.276,0.304,0.419,0.723,44,2,1,0,2,0,0,0.314,132,106,18
Months,May,27,27,102,96,8,18,5,0,3,11,0,0,3,22,0.188,0.206,0.333,0.539,32,4,0,0,3,0,2,0.203,71,53,10
Months,June,25,25,92,84,4,13,4,0,1,3,0,0,6,23,0.155,0.217,0.238,0.456,20,5,1,0,1,0,0,0.197,48,28,8
Months,July,22,22,79,72,6,20,1,0,3,7,0,0,6,17,0.278,0.333,0.417,0.75,30,1,0,1,0,1,2,0.327,142,105,16
Months,August,18,18,74,65,4,15,0,0,2,4,0,0,9,12,0.231,0.324,0.323,0.647,21,2,0,0,0,0,0,0.255,112,82,13
Game Outcome for Team,in Wins,65,64,256,237,25,55,15,0,9,25,0,0,13,40,0.232,0.273,0.409,0.683,97,10,2,0,4,1,4,0.24,118,63,31
Game Outcome for Team,in Losses,55,55,203,185,9,40,4,0,2,9,0,0,15,53,0.216,0.272,0.27,0.543,50,4,0,1,2,0,0,0.288,77,86,34
Starter or Substitute,as Starter,119,119,458,421,33,94,19,0,11,33,0,0,28,93,0.223,0.271,0.347,0.618,146,14,2,1,6,1,4,0.257,99,73,64
Starter or Substitute,as Sub,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,554,516,1
Defensive Positions,as SS,120,,459,422,34,95,19,0,11,34,0,0,28,93,0.225,0.273,0.348,0.621,147,14,2,1,6,1,4,0.259,100,68,65
Leading Off Inning,Leadoff Inn.,77,,102,95,,19,6,0,2,2,,,6,26,0.2,0.248,0.326,0.574,31,0,0,1,0,0,0,0.254,85,64,11
Batting Order Positions,Batting 2nd,3,3,13,13,0,2,1,0,0,0,0,0,0,3,0.154,0.154,0.231,0.385,3,0,0,0,0,0,0,0.2,23,0,1
Batting Order Positions,Batting 5th,15,15,62,54,5,13,0,0,2,4,0,0,8,16,0.241,0.339,0.352,0.691,19,2,0,0,0,0,0,0.306,125,94,11
Batting Order Positions,Batting 6th,22,22,86,81,5,14,3,0,2,7,0,0,2,18,0.173,0.186,0.284,0.47,23,2,0,0,3,0,0,0.188,50,36,9
Batting Order Positions,Batting 7th,19,19,76,71,5,18,6,0,1,5,0,0,3,10,0.254,0.29,0.38,0.67,27,4,1,0,1,0,2,0.279,115,94,11
Batting Order Positions,Batting 8th,28,28,111,97,13,26,7,0,4,10,0,0,12,20,0.268,0.342,0.464,0.806,45,3,0,0,2,1,1,0.293,159,144,15
Batting Order Positions,Batting 9th,33,32,111,106,6,22,2,0,2,8,0,0,3,26,0.208,0.236,0.283,0.519,30,3,1,1,0,0,1,0.256,68,67,18
Swung or Took First Pitch of PA,Swung at 1st Pitch,91,,138,133,,37,4,0,3,9,,,3,20,0.278,0.292,0.376,0.668,50,3,0,1,1,0,3,0.306,115,92,30
Swung or Took First Pitch of PA,Took 1st Pitch,119,,321,289,,58,15,0,8,25,,,25,73,0.201,0.265,0.336,0.6,97,11,2,0,5,1,1,0.235,94,67,35
