Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,169,1
Season Totals,Last 7 days,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,177,1
Season Totals,Last 14 days,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,166,1
Season Totals,Last 28 days,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,162,1
Season Totals,Last 365 days,36,35,134,128,11,26,7,0,3,9,0,2,5,37,0.203,0.239,0.328,0.567,42,0,1,0,0,0,1,0.261,30,,16
Platoon Splits,vs RHP,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Platoon Splits,vs LHP,3,,6,6,1,2,0,0,1,1,0,0,0,2,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.333,133,213,1
Platoon Splits,vs RHP as RHB,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Platoon Splits,vs LHP as RHB,3,,6,6,,2,0,0,1,1,0,0,0,2,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.333,133,205,1
Platoon Splits,vs RH Starter,1,1,3,3,1,1,0,0,1,1,0,0,0,1,0.333,0.333,1.333,1.667,4,0,0,0,0,0,0,0.0,203,340,0
Platoon Splits,vs LH Starter,2,2,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,22,42,1
Home or Away,Home,1,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,1.0,145,181,1
Home or Away,Away,2,2,5,5,1,1,0,0,1,1,0,0,0,2,0.2,0.2,0.8,1.0,4,0,0,0,0,0,0,0.0,82,168,0
First or Second Half,2nd Half,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,164,1
Months,August,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,165,1
Game Outcome for Team,in Wins,1,1,3,3,1,1,0,0,1,1,0,0,0,1,0.333,0.333,1.333,1.667,4,0,0,0,0,0,0,0.0,203,272,0
Game Outcome for Team,in Losses,2,2,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,22,71,1
Starter or Substitute,as Starter,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,169,1
Defensive Positions,as 3B,3,,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,172,1
Batting Order Positions,Batting 9th,3,3,7,7,1,2,0,0,1,1,0,0,0,3,0.286,0.286,0.714,1.0,5,0,0,0,0,0,0,0.333,100,212,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,3,,5,5,,2,0,0,1,1,,,0,2,0.4,0.4,1.0,1.4,5,0,0,0,0,0,0,0.5,180,278,1
Swung or Took First Pitch of PA,Took 1st Pitch,1,,2,2,,0,0,0,0,0,,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,First Pitch,1,,1,1,1,1,0,0,1,1,0,0,0,0,1.0,1.0,4.0,5.0,4,0,0,0,0,0,0,,810,907,0
Count/Balls-Strikes,1-1 Count,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,390,398,1
Count/Balls-Strikes,0-2 Count,2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Count/Balls-Strikes,1-2 Count,1,,2,2,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
