Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,91,71,288,266,40,66,9,0,8,35,4,2,17,53,0.248,0.293,0.372,0.665,99,6,1,1,3,0,4,0.279,100,86,49
Season Totals,Last 7 days,3,1,8,8,1,2,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,2,1,0,0,0,0,0,0.25,53,46,2
Season Totals,Last 14 days,7,3,20,20,4,7,1,0,1,2,1,0,0,1,0.35,0.35,0.55,0.9,11,1,0,0,0,0,0,0.333,167,147,5
Season Totals,Last 28 days,13,7,41,39,8,11,2,0,3,6,1,0,2,4,0.282,0.317,0.564,0.881,22,1,0,0,0,0,1,0.25,160,136,6
Season Totals,Last 365 days,120,97,391,358,47,86,12,0,9,41,5,2,26,74,0.24,0.291,0.349,0.64,125,6,1,3,3,0,4,0.277,93,,65
Platoon Splits,vs RHP,77,,213,195,34,52,5,0,8,28,4,2,13,36,0.267,0.311,0.415,0.727,81,5,1,1,3,0,2,0.286,118,104,39
Platoon Splits,vs LHP,50,,75,71,6,14,4,0,0,7,0,0,4,17,0.197,0.24,0.254,0.494,18,1,0,0,0,0,2,0.259,50,39,10
Platoon Splits,vs RHP as LHB,77,,213,195,,52,5,0,8,28,0,0,13,36,0.267,0.311,0.415,0.727,81,5,1,1,3,0,2,0.286,118,97,39
Platoon Splits,vs LHP as RHB,42,,63,59,,10,3,0,0,5,0,0,4,12,0.17,0.222,0.22,0.443,13,1,0,0,0,0,2,0.213,35,22,7
Platoon Splits,vs LHP as LHB,10,,12,12,,4,1,0,0,2,0,0,0,5,0.333,0.333,0.417,0.75,5,0,0,0,0,0,0,0.571,126,124,3
Platoon Splits,vs RH Starter,73,59,237,219,31,56,5,0,6,29,4,1,14,42,0.256,0.301,0.361,0.662,79,5,1,1,2,0,2,0.289,100,86,45
Platoon Splits,vs LH Starter,18,12,51,47,9,10,4,0,2,6,0,1,3,11,0.213,0.255,0.426,0.68,20,1,0,0,1,0,2,0.229,102,88,4
Home or Away,Home,41,30,119,110,18,26,2,0,3,11,1,2,7,23,0.236,0.28,0.336,0.616,37,1,0,1,1,0,2,0.271,86,71,21
Home or Away,Away,50,41,169,156,22,40,7,0,5,24,3,0,10,30,0.256,0.302,0.397,0.699,62,5,1,0,2,0,2,0.285,110,99,28
First or Second Half,1st Half,73,61,234,214,30,51,7,0,5,27,2,2,15,47,0.238,0.288,0.341,0.629,73,4,1,1,3,0,2,0.279,90,78,39
First or Second Half,2nd Half,18,10,54,52,10,15,2,0,3,8,2,0,2,6,0.289,0.315,0.5,0.815,26,2,0,0,0,0,2,0.279,142,121,10
