Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,598.0,541,94.0,168,34,7,19,20,6,45,99,2.2,0.311,0.361,0.505,0.865,273.0,14.0,2.0,2,8,1,2,0.346,100,141,108
Season Totals,Last 7 days,1,21.0,19,2.0,7,1,0,0,3,0,2,2,1.0,0.368,0.429,0.421,0.85,8.0,1.0,0.0,0,0,0,0,0.412,102,148,6
Season Totals,Last 14 days,2,43.0,37,6.0,15,2,0,1,4,0,5,4,0.8,0.405,0.465,0.541,1.006,20.0,1.0,0.0,0,1,0,0,0.424,136,182,12
Season Totals,Last 28 days,5,117.0,106,24.0,39,8,0,4,6,0,9,20,2.22,0.368,0.41,0.557,0.967,59.0,3.0,0.0,0,2,0,0,0.417,124,164,27
Season Totals,Last 365 days,32,759.0,682,123.0,212,43,8,27,29,9,58,126,2.17,0.311,0.362,0.516,0.878,352.0,17.0,3.0,4,12,1,2,0.342,103,,134
Platoon Splits,vs RHB,25,476.0,435,73.0,141,25,7,17,15,6,30,77,2.57,0.324,0.365,0.531,0.896,231.0,11.0,2.0,2,7,0,2,0.356,106,152,92
Platoon Splits,vs LHB,22,122.0,106,13.0,27,9,0,2,5,0,15,22,1.47,0.255,0.344,0.396,0.741,42.0,3.0,0.0,0,1,1,0,0.301,74,106,16
Platoon Splits,vs RHB as LHP,25,476.0,435,73.0,141,25,7,17,15,6,30,77,2.57,0.324,0.365,0.531,0.896,231.0,11.0,2.0,2,7,0,2,0.356,106,142,92
Platoon Splits,vs LHB as LHP,22,122.0,106,13.0,27,9,0,2,5,0,15,22,1.47,0.255,0.344,0.396,0.741,42.0,3.0,0.0,0,1,1,0,0.301,74,121,16
Home or Away,Home,12,291.0,259,41.0,69,13,3,11,9,2,26,53,2.04,0.266,0.328,0.467,0.795,121.0,7.0,0.0,1,5,0,2,0.29,83,125,42
Home or Away,Away,13,307.0,282,53.0,99,21,4,8,11,4,19,46,2.42,0.351,0.392,0.539,0.931,152.0,7.0,2.0,1,3,1,0,0.394,115,156,66
First or Second Half,1st Half,19,459.0,413,69.0,126,26,7,15,11,6,36,73,2.03,0.305,0.359,0.511,0.87,211.0,11.0,2.0,2,6,1,1,0.335,101,144,78
First or Second Half,2nd Half,6,139.0,128,25.0,42,8,0,4,9,0,9,26,2.89,0.328,0.367,0.484,0.851,62.0,3.0,0.0,0,2,0,1,0.38,98,134,30
Months,April/March,6,148.0,133,27.0,47,10,3,4,5,5,13,22,1.69,0.353,0.405,0.564,0.969,75.0,2.0,0.0,0,2,1,1,0.395,124,176,30
Months,May,6,150.0,134,20.0,38,9,2,5,5,1,13,19,1.46,0.284,0.345,0.493,0.837,66.0,2.0,0.0,2,1,0,0,0.297,93,139,22
Months,June,5,116.0,105,15.0,27,4,2,5,1,0,7,24,3.43,0.257,0.31,0.476,0.787,50.0,5.0,2.0,0,2,0,0,0.282,80,116,16
Months,July,5,116.0,108,22.0,34,8,0,2,5,0,6,24,4.0,0.315,0.345,0.444,0.789,48.0,3.0,0.0,0,2,0,1,0.381,84,115,24
Months,August,3,68.0,61,10.0,22,3,0,3,4,0,6,10,1.67,0.361,0.412,0.557,0.969,34.0,2.0,0.0,0,1,0,0,0.388,124,167,16
Game Outcome for Pitcher,in Wins,2,44.0,43,2.0,10,2,0,0,3,0,1,10,10.0,0.233,0.25,0.279,0.529,12.0,0.0,0.0,0,0,0,1,0.303,25,102,8
