Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,106,414,382,46,91,17,0,21,50,2,1,19,128,0.238,0.287,0.448,0.735,171,8,9,0,4,0,2,0.295,100,104,53
Season Totals,Last 7 days,4,4,17,16,2,5,2,0,1,4,0,0,1,6,0.313,0.353,0.625,0.978,10,0,0,0,0,0,1,0.444,163,181,2
Season Totals,Last 14 days,8,7,30,27,5,10,3,0,2,5,0,0,3,10,0.37,0.433,0.704,1.137,19,0,0,0,0,0,1,0.533,208,217,5
Season Totals,Last 28 days,18,15,63,56,9,18,4,0,4,12,0,0,5,16,0.321,0.381,0.607,0.988,34,0,1,0,1,0,2,0.378,168,168,10
Season Totals,Last 365 days,134,118,459,426,47,97,19,0,21,51,2,1,19,143,0.228,0.272,0.42,0.693,179,9,9,0,5,0,2,0.285,89,,57
Platoon Splits,vs RHP,104,,312,289,36,73,14,0,18,41,2,1,13,93,0.253,0.301,0.488,0.789,141,5,8,0,2,0,2,0.306,114,119,41
Platoon Splits,vs LHP,58,,102,93,10,18,3,0,3,9,0,0,6,35,0.194,0.245,0.323,0.568,30,3,1,0,2,0,0,0.263,58,58,12
Platoon Splits,vs RHP as RHB,104,,312,289,,73,14,0,18,41,0,0,13,93,0.253,0.301,0.488,0.789,141,5,8,0,2,0,2,0.306,114,125,41
Platoon Splits,vs LHP as RHB,58,,102,93,,18,3,0,3,9,0,0,6,35,0.194,0.245,0.323,0.568,30,3,1,0,2,0,0,0.263,58,54,12
Platoon Splits,vs RH Starter,91,81,316,289,38,75,15,0,19,43,2,1,16,97,0.26,0.313,0.509,0.822,147,4,8,0,3,0,1,0.318,123,127,41
Platoon Splits,vs LH Starter,26,25,98,93,8,16,2,0,2,7,0,0,3,31,0.172,0.204,0.258,0.462,24,4,1,0,1,0,1,0.23,29,29,12
Home or Away,Home,58,53,204,193,21,48,11,0,9,26,1,0,7,64,0.249,0.284,0.446,0.73,86,5,3,0,1,0,0,0.322,99,100,28
Home or Away,Away,59,53,210,189,25,43,6,0,12,24,1,1,12,64,0.228,0.291,0.45,0.74,85,3,6,0,3,0,2,0.267,102,108,25
First or Second Half,1st Half,91,85,329,305,36,69,12,0,16,37,2,1,13,104,0.226,0.274,0.423,0.697,129,8,8,0,3,0,0,0.282,90,94,41
First or Second Half,2nd Half,26,21,85,77,10,22,5,0,5,13,0,0,6,24,0.286,0.341,0.546,0.887,42,0,1,0,1,0,2,0.347,141,141,12
Months,April/March,25,21,76,71,6,15,5,0,3,6,0,0,3,30,0.211,0.263,0.409,0.672,29,2,2,0,0,0,0,0.316,83,90,7
Months,May,27,26,100,92,14,23,4,0,5,12,2,0,4,32,0.25,0.3,0.457,0.757,42,4,3,0,1,0,0,0.321,107,116,14
Months,June,28,27,110,104,13,25,3,0,7,16,0,1,2,29,0.24,0.273,0.471,0.744,49,2,3,0,1,0,0,0.261,100,103,15
Months,July,23,21,81,73,7,15,2,0,3,7,0,0,6,21,0.206,0.272,0.356,0.628,26,0,1,0,1,0,1,0.24,74,71,10
Months,August,14,11,47,42,6,13,3,0,3,9,0,0,4,16,0.31,0.362,0.595,0.957,25,0,0,0,1,0,1,0.417,159,161,7
Game Outcome for Team,in Wins,34,33,130,122,25,42,6,0,8,24,1,0,6,41,0.344,0.369,0.59,0.959,72,1,0,0,2,0,2,0.453,160,127,28
Game Outcome for Team,in Losses,83,73,284,260,21,49,11,0,13,26,1,1,13,87,0.189,0.25,0.381,0.631,99,7,9,0,2,0,0,0.222,72,112,25
Starter or Substitute,as Starter,106,106,402,371,45,88,16,0,20,49,2,1,18,124,0.237,0.286,0.442,0.728,164,8,9,0,4,0,2,0.294,98,101,52
Starter or Substitute,as Sub,11,0,12,11,1,3,1,0,1,1,0,0,1,4,0.273,0.333,0.636,0.97,7,0,0,0,0,0,0,0.333,158,189,1
Defensive Positions,as 3B,21,,81,74,10,20,4,0,5,14,0,0,4,22,0.27,0.309,0.527,0.836,39,0,1,0,2,0,2,0.306,125,132,11
Defensive Positions,as SS,85,,316,292,35,68,12,0,15,35,2,1,14,101,0.233,0.285,0.428,0.713,125,8,8,0,2,0,0,0.298,95,91,41
Defensive Positions,as DH,2,,7,7,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,10,,10,9,1,3,1,0,1,1,0,0,1,4,0.333,0.4,0.778,1.178,7,0,0,0,0,0,0,0.5,213,260,1
