Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,122,527,483,59,109,19,0,19,49,8,0,39,145,0.226,0.286,0.383,0.669,185,16,2,0,0,1,6,0.282,100,87,71
Season Totals,Last 7 days,5,5,21,20,0,2,0,0,0,0,1,0,1,7,0.1,0.143,0.1,0.243,2,1,0,0,0,0,0,0.154,-24,-27,2
Season Totals,Last 14 days,10,10,41,37,3,6,1,0,2,4,1,0,3,9,0.162,0.225,0.351,0.576,13,2,0,0,0,0,0,0.154,70,61,3
Season Totals,Last 28 days,23,23,94,85,10,18,3,0,4,9,2,0,8,20,0.212,0.28,0.388,0.668,33,5,0,0,0,0,0,0.23,99,83,11
Season Totals,Last 365 days,152,152,655,590,75,133,25,0,24,63,9,0,59,184,0.225,0.298,0.39,0.687,230,17,2,0,1,4,6,0.285,106,,84
Platoon Splits,vs RHP,120,,386,358,37,73,11,0,15,37,5,0,26,119,0.204,0.26,0.36,0.62,129,15,1,0,0,0,5,0.259,85,74,47
Platoon Splits,vs LHP,66,,141,125,22,36,8,0,4,12,3,0,13,26,0.288,0.36,0.448,0.808,56,1,1,0,0,1,1,0.337,143,126,24
Platoon Splits,vs RHP as RHB,120,,386,358,,73,11,0,15,37,0,0,26,119,0.204,0.26,0.36,0.62,129,15,1,0,0,0,5,0.259,85,79,47
Platoon Splits,vs LHP as RHB,66,,141,125,,36,8,0,4,12,0,0,13,26,0.288,0.36,0.448,0.808,56,1,1,0,0,1,1,0.337,143,120,24
Platoon Splits,vs RH Starter,84,84,364,333,38,71,11,0,13,37,6,0,28,113,0.213,0.276,0.363,0.64,121,11,1,0,0,1,2,0.28,91,79,47
Platoon Splits,vs LH Starter,38,38,163,150,21,38,8,0,6,12,2,0,11,32,0.253,0.309,0.427,0.735,64,5,1,0,0,0,4,0.286,120,105,24
Home or Away,Home,59,59,246,232,28,48,7,0,10,28,3,0,13,66,0.207,0.252,0.366,0.618,85,5,1,0,0,0,2,0.244,84,70,31
Home or Away,Away,63,63,281,251,31,61,12,0,9,21,5,0,26,79,0.243,0.317,0.398,0.715,100,11,1,0,0,1,4,0.319,115,104,40
First or Second Half,1st Half,92,92,404,370,47,85,14,0,13,37,6,0,30,114,0.23,0.291,0.373,0.664,138,9,2,0,0,1,6,0.296,99,87,58
First or Second Half,2nd Half,30,30,123,113,12,24,5,0,6,12,2,0,9,31,0.212,0.271,0.416,0.686,47,7,0,0,0,0,0,0.237,103,87,13
Months,April/March,29,29,126,110,14,26,3,0,2,11,1,0,13,37,0.236,0.323,0.318,0.641,35,3,1,0,0,1,1,0.338,96,86,21
Months,May,24,24,109,98,14,20,4,0,5,11,2,0,10,33,0.204,0.284,0.398,0.682,39,2,1,0,0,0,1,0.25,103,95,11
Months,June,27,27,114,108,11,25,3,0,4,11,1,0,6,30,0.232,0.272,0.37,0.642,40,1,0,0,0,0,2,0.284,92,78,18
Months,July,24,24,103,100,14,26,6,0,5,8,2,0,3,28,0.26,0.282,0.47,0.752,47,6,0,0,0,0,2,0.313,121,102,15
Months,August,18,18,75,67,6,12,3,0,3,8,2,0,7,17,0.179,0.257,0.358,0.615,24,4,0,0,0,0,0,0.192,83,70,6
Game Outcome for Team,in Wins,60,60,266,244,38,61,10,0,9,26,6,0,19,76,0.25,0.309,0.402,0.711,98,8,2,0,0,1,5,0.327,113,71,42
Game Outcome for Team,in Losses,62,62,261,239,21,48,9,0,10,23,2,0,20,69,0.201,0.263,0.364,0.627,87,8,0,0,0,0,1,0.238,87,112,29
Starter or Substitute,as Starter,122,122,527,483,59,109,19,0,19,49,8,0,39,145,0.226,0.286,0.383,0.669,185,16,2,0,0,1,6,0.282,100,87,71
Defensive Positions,as 1B,119,,511,468,58,108,19,0,19,49,8,0,38,141,0.231,0.291,0.393,0.685,184,15,2,0,0,1,6,0.289,104,87,70
Defensive Positions,as DH,4,,16,15,1,1,0,0,0,0,0,0,1,4,0.067,0.125,0.067,0.192,1,1,0,0,0,0,0,0.091,-39,-46,1
Leading Off Inning,Leadoff Inn.,67,,88,81,,24,6,0,6,6,,,7,19,0.296,0.352,0.593,0.945,48,0,0,0,0,0,1,0.321,178,166,12
Batting Order Positions,Batting 2nd,20,20,88,75,6,13,0,0,1,8,0,0,10,25,0.173,0.279,0.213,0.492,16,3,1,0,0,1,1,0.245,53,35,12
Batting Order Positions,Batting 3rd,46,46,204,190,24,45,7,0,9,21,2,0,13,60,0.237,0.289,0.416,0.705,79,2,1,0,0,0,3,0.298,110,79,29
Batting Order Positions,Batting 4th,26,26,111,103,12,19,6,0,3,7,3,0,8,29,0.185,0.243,0.33,0.573,34,4,0,0,0,0,2,0.225,71,55,10
Batting Order Positions,Batting 5th,16,16,67,62,13,22,5,0,4,8,1,0,5,14,0.355,0.403,0.629,1.032,39,3,0,0,0,0,0,0.409,205,183,13
Batting Order Positions,Batting 6th,5,5,21,18,2,4,1,0,1,4,1,0,2,3,0.222,0.3,0.444,0.744,8,2,0,0,0,0,0,0.214,121,115,2
Batting Order Positions,Batting 7th,9,9,36,35,2,6,0,0,1,1,1,0,1,14,0.171,0.194,0.257,0.452,9,2,0,0,0,0,0,0.25,35,31,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,94,,153,149,,31,5,0,8,18,,,4,41,0.208,0.229,0.403,0.632,60,8,0,0,0,0,2,0.23,85,76,18
Swung or Took First Pitch of PA,Took 1st Pitch,121,,374,334,,78,14,0,11,31,,,35,104,0.234,0.31,0.374,0.684,125,8,2,0,0,1,4,0.306,106,91,53
Count/Balls-Strikes,First Pitch,38,,44,43,13,14,3,0,4,9,1,0,0,0,0.326,0.341,0.674,1.015,29,5,1,0,0,0,1,0.256,195,120,7
Count/Balls-Strikes,1-0 Count,25,,28,28,4,10,3,0,3,4,1,0,0,0,0.357,0.357,0.786,1.143,22,1,0,0,0,0,0,0.28,230,142,4
Count/Balls-Strikes,2-0 Count,7,,7,7,3,5,1,0,1,3,2,0,0,0,0.714,0.714,1.286,2.0,9,0,0,0,0,0,0,0.667,485,315,3
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,30,,32,32,5,11,1,0,2,5,1,0,0,0,0.344,0.344,0.563,0.906,18,0,0,0,0,0,0,0.3,167,114,8
Count/Balls-Strikes,1-1 Count,33,,33,33,6,11,2,0,0,4,1,0,0,0,0.333,0.333,0.394,0.727,13,0,0,0,0,0,0,0.333,119,77,9
Count/Balls-Strikes,2-1 Count,21,,22,21,2,8,0,0,0,4,1,0,0,0,0.381,0.381,0.381,0.762,8,0,0,0,0,0,1,0.381,133,77,8
Count/Balls-Strikes,3-1 Count,18,,18,6,2,3,0,0,2,3,0,0,12,0,0.5,0.833,1.5,2.333,9,0,0,0,0,0,0,0.25,583,255,1
Count/Balls-Strikes,0-2 Count,48,,57,57,3,8,1,0,1,2,1,0,0,29,0.14,0.14,0.211,0.351,12,1,0,0,0,0,1,0.259,4,83,6
Count/Balls-Strikes,1-2 Count,72,,100,99,7,18,2,0,2,5,0,0,0,43,0.182,0.182,0.263,0.444,26,3,0,0,0,0,1,0.296,32,114,14
Count/Balls-Strikes,2-2 Count,76,,100,99,8,15,4,0,2,7,0,0,0,42,0.152,0.152,0.253,0.404,25,3,0,0,0,0,2,0.236,19,79,9
Count/Balls-Strikes,Full Count,64,,83,58,6,6,2,0,2,3,0,0,24,31,0.103,0.374,0.241,0.615,14,3,1,0,0,0,0,0.16,93,55,2
Count/Balls-Strikes,After 1-0,110,,193,162,,42,8,0,7,20,,,30,43,0.259,0.375,0.438,0.813,71,6,0,0,0,1,2,0.313,146,102,27
Count/Balls-Strikes,After 2-0,55,,65,45,,13,4,0,1,6,,,20,15,0.289,0.508,0.444,0.952,20,2,0,0,0,1,0,0.414,194,98,8
Count/Balls-Strikes,After 3-0,17,,18,6,,2,1,0,0,0,,,12,3,0.333,0.778,0.5,1.278,3,1,0,0,0,1,0,0.667,303,104,1
Count/Balls-Strikes,After 0-1,118,,288,277,,53,8,0,8,20,,,8,102,0.191,0.217,0.307,0.524,85,5,1,0,0,0,3,0.27,56,72,37
Count/Balls-Strikes,After 1-1,109,,206,189,,35,4,0,5,18,,,15,62,0.185,0.245,0.286,0.531,54,4,0,0,0,0,3,0.246,60,61,26
Count/Balls-Strikes,After 2-1,80,,112,91,,18,3,0,4,12,,,20,31,0.198,0.342,0.363,0.705,33,2,0,0,0,0,1,0.25,114,79,11
Count/Balls-Strikes,After 3-1,39,,44,22,,6,2,0,2,3,,,22,8,0.273,0.636,0.636,1.273,14,1,0,0,0,0,0,0.333,288,153,2
Count/Balls-Strikes,After 0-2,93,,150,145,,26,4,0,4,7,,,3,68,0.179,0.201,0.29,0.491,42,4,1,0,0,0,2,0.301,46,115,18
Count/Balls-Strikes,After 1-2,101,,194,185,,30,4,0,4,10,,,6,82,0.162,0.193,0.249,0.441,46,6,1,0,0,0,3,0.263,33,78,22
Count/Balls-Strikes,After 2-2,94,,155,140,,18,4,0,4,10,,,13,65,0.129,0.208,0.243,0.451,34,5,1,0,0,0,2,0.197,36,55,10
Count/Balls-Strikes,Zero Balls,91,,133,132,21,33,5,0,7,16,3,0,0,29,0.25,0.256,0.447,0.703,59,6,1,0,0,0,2,0.271,106,93,21
Count/Balls-Strikes,Zero Strikes,62,,82,78,20,29,7,0,8,16,4,0,3,0,0.372,0.402,0.769,1.172,60,6,1,0,0,1,1,0.3,241,138,14
Count/Balls-Strikes,Three Balls,77,,104,64,8,9,2,0,4,6,0,0,39,31,0.141,0.471,0.359,0.831,23,3,1,0,0,1,0,0.172,158,79,3
Count/Balls-Strikes,Two Strikes,120,,340,313,24,47,9,0,7,17,1,0,24,145,0.15,0.213,0.246,0.459,77,10,1,0,0,0,4,0.248,39,79,31
Count/Balls-Strikes,Batter Ahead,100,,161,120,17,32,6,0,8,17,4,0,39,31,0.267,0.45,0.517,0.967,62,4,1,0,0,1,1,0.296,192,102,18
Count/Balls-Strikes,Even Count,105,,177,175,27,40,9,0,6,20,2,0,0,42,0.229,0.233,0.383,0.616,67,8,1,0,0,0,3,0.268,82,76,25
Count/Balls-Strikes,Pitcher Ahead,104,,189,188,15,37,4,0,5,12,2,0,0,72,0.197,0.197,0.298,0.495,56,4,0,0,0,0,2,0.288,47,90,28
Number of Outs in Inning,0 outs,94,,149,134,13,30,7,0,7,10,0,0,15,39,0.224,0.302,0.433,0.735,58,6,0,0,0,0,1,0.261,119,102,16
Number of Outs in Inning,1 out,102,,200,189,22,41,7,0,6,22,5,0,10,61,0.217,0.26,0.349,0.609,66,10,1,0,0,0,2,0.287,82,69,28
Number of Outs in Inning,2 outs,99,,178,160,24,38,5,0,6,17,3,0,14,45,0.238,0.303,0.381,0.684,61,0,1,0,0,1,3,0.294,105,95,27
Bases Occupied,RISP,83,,133,116,37,19,1,0,2,26,3,0,14,41,0.164,0.26,0.224,0.484,26,4,1,0,0,1,0,0.233,49,32,16
Bases Occupied,---,119,,290,273,11,71,15,0,11,11,0,0,15,79,0.26,0.301,0.436,0.737,119,0,1,0,0,0,4,0.328,119,112,45
Bases Occupied,Men On,112,,237,210,48,38,4,0,8,38,8,0,24,66,0.181,0.268,0.314,0.582,66,16,1,0,0,1,2,0.221,76,57,26
Bases Occupied,1--,85,,104,94,11,19,3,0,6,12,5,0,10,25,0.202,0.279,0.426,0.704,40,12,0,0,0,0,2,0.206,109,88,10
Bases Occupied,-2-,38,,42,35,7,5,0,0,0,2,0,0,6,12,0.143,0.268,0.143,0.411,5,0,0,0,0,1,0,0.217,31,15,5
Bases Occupied,--3,13,,14,13,3,5,0,0,2,8,0,0,1,4,0.385,0.429,0.846,1.275,11,0,0,0,0,0,0,0.429,271,223,3
Bases Occupied,12-,36,,41,37,11,5,0,0,0,3,2,0,4,14,0.135,0.22,0.135,0.355,5,3,0,0,0,0,0,0.217,12,4,5
Bases Occupied,1-3,14,,13,12,3,4,1,0,0,5,1,0,1,7,0.333,0.385,0.417,0.801,5,0,0,0,0,0,0,0.8,144,102,3
Bases Occupied,-23,10,,10,9,4,0,0,0,0,4,0,0,1,1,0.0,0.1,0.0,0.1,0,0,0,0,0,0,0,0.0,-65,-72,0
Bases Occupied,123,12,,13,10,9,0,0,0,0,4,0,0,1,3,0.0,0.167,0.0,0.167,0,1,1,0,0,0,0,0.0,-42,-44,0
Bases Occupied,"on 1st,",78,,117,106,22,20,2,0,6,19,5,0,10,39,0.189,0.265,0.377,0.642,40,16,1,0,0,0,0,0.23,91,69,12
Bases Occupied,"on 3rd,",25,,29,27,12,3,1,0,0,11,0,0,1,12,0.111,0.172,0.148,0.321,4,1,1,0,0,0,0,0.2,-1,-21,2
Bases Occupied,"on 3rd, 2 out",19,,21,17,7,6,0,0,2,10,1,0,3,3,0.353,0.45,0.706,1.156,12,0,0,0,0,0,0,0.333,242,219,4
Bases Occupied,"0 out, ---",72,,96,88,6,24,6,0,6,6,0,0,8,23,0.273,0.333,0.546,0.879,48,0,0,0,0,0,1,0.305,159,147,12
Bases Occupied,"0 out, 1--",28,,28,23,3,4,1,0,1,2,0,0,5,5,0.174,0.321,0.348,0.669,8,5,0,0,0,0,0,0.177,103,77,2
Bases Occupied,"0 out, -2-",9,,8,7,1,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,0,0,0,0,0,0,0,0.0,-56,-64,0
Bases Occupied,"0 out, 12-",10,,10,9,1,1,0,0,0,0,0,0,1,5,0.111,0.2,0.111,0.311,1,1,0,0,0,0,0,0.25,-1,-13,1
Bases Occupied,"0 out, 1-3",5,,6,6,,1,0,0,0,1,0,0,0,4,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.5,2,-23,1
Bases Occupied,"0 out, -23",1,,1,1,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 123",,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"1 out, ---",71,,101,97,1,23,6,0,1,1,0,0,4,29,0.237,0.267,0.33,0.597,32,0,0,0,0,0,2,0.328,80,75,16
Bases Occupied,"1 out, 1--",40,,45,43,6,11,0,0,5,10,3,0,2,14,0.256,0.289,0.605,0.894,26,7,0,0,0,0,0,0.25,159,134,6
Bases Occupied,"1 out, -2-",16,,16,14,1,3,0,0,0,0,0,0,2,4,0.214,0.313,0.214,0.527,3,0,0,0,0,0,0,0.3,65,49,3
Bases Occupied,"1 out, --3",4,,5,5,1,1,0,0,0,2,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.333,22,-6,1
Bases Occupied,"1 out, 12-",15,,16,15,4,2,0,0,0,2,2,0,1,6,0.133,0.188,0.133,0.321,2,2,0,0,0,0,0,0.222,1,-7,2
Bases Occupied,"1 out, 1-3",8,,5,4,3,1,1,0,0,2,0,0,1,3,0.25,0.4,0.5,0.9,2,0,0,0,0,0,0,1.0,170,110,0
Bases Occupied,"1 out, -23",5,,5,5,2,0,0,0,0,3,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 123",6,,7,6,4,0,0,0,0,2,0,0,0,2,0.0,0.143,0.0,0.143,0,1,1,0,0,0,0,0.0,-50,-49,0
Bases Occupied,"2 out, ---",69,,93,88,4,24,3,0,4,4,0,0,3,27,0.273,0.304,0.443,0.748,39,0,1,0,0,0,1,0.351,122,120,17
Bases Occupied,"2 out, 1--",35,,31,28,2,4,2,0,0,0,2,0,3,6,0.143,0.226,0.214,0.44,6,0,0,0,0,0,2,0.182,35,24,2
Bases Occupied,"2 out, -2-",18,,18,14,5,2,0,0,0,2,0,0,3,6,0.143,0.294,0.143,0.437,2,0,0,0,0,1,0,0.25,40,21,2
Bases Occupied,"2 out, --3",9,,9,8,2,4,0,0,2,6,0,0,1,2,0.5,0.556,1.25,1.806,10,0,0,0,0,0,0,0.5,421,411,2
Bases Occupied,"2 out, 12-",14,,15,13,6,2,0,0,0,1,0,0,2,3,0.154,0.267,0.154,0.421,2,0,0,0,0,0,0,0.2,34,26,2
Bases Occupied,"2 out, 1-3",2,,2,2,0,2,0,0,0,2,1,0,0,0,1.0,1.0,1.0,2.0,2,0,0,0,0,0,0,1.0,511,449,2
Bases Occupied,"2 out, -23",4,,4,3,1,0,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-13,-27,0
Bases Occupied,"2 out, 123",6,,6,4,4,0,0,0,0,2,0,0,1,1,0.0,0.2,0.0,0.2,0,0,0,0,0,0,0,0.0,-30,-34,0
Clutch Stats,"2 outs, RISP",45,,54,44,18,10,0,0,2,13,1,0,8,12,0.227,0.346,0.364,0.71,16,0,0,0,0,1,0,0.267,116,98,8
Clutch Stats,Late & Close,64,,82,78,9,19,3,0,2,6,1,0,3,21,0.244,0.281,0.359,0.64,28,3,1,0,0,0,2,0.309,92,87,14
Clutch Stats,Tie Game,96,,163,149,19,37,2,0,8,20,1,0,12,47,0.248,0.309,0.423,0.731,63,5,1,0,0,0,2,0.309,119,105,27
Clutch Stats,Within 1 R,116,,271,250,25,60,9,0,10,28,2,0,17,81,0.24,0.294,0.396,0.69,99,7,2,0,0,0,3,0.315,106,92,41
Clutch Stats,Within 2 R,120,,373,345,42,83,13,0,13,34,6,0,24,102,0.241,0.294,0.391,0.685,135,9,2,0,0,0,4,0.304,105,91,57
Clutch Stats,Within 3 R,120,,439,404,48,88,13,0,15,42,7,0,30,127,0.218,0.275,0.361,0.637,146,10,2,0,0,1,5,0.279,90,78,60
Clutch Stats,Within 4 R,121,,469,431,52,95,14,0,17,45,7,0,33,136,0.22,0.279,0.371,0.65,160,11,2,0,0,1,5,0.281,94,82,64
Clutch Stats,Margin > 4 R,38,,58,52,7,14,5,0,2,4,1,0,6,9,0.269,0.345,0.481,0.826,25,5,0,0,0,0,1,0.293,146,130,7
Clutch Stats,Ahead,76,,171,156,19,32,9,0,2,11,7,0,12,57,0.205,0.266,0.301,0.568,47,5,1,0,0,1,2,0.309,72,55,21
Clutch Stats,Behind,76,,193,178,21,40,8,0,9,18,0,0,15,41,0.225,0.285,0.421,0.706,75,6,0,0,0,0,2,0.242,110,104,23
Leverage,High Lvrge,70,,111,101,24,22,2,0,4,21,2,0,9,32,0.218,0.288,0.356,0.645,36,8,1,0,0,0,1,0.277,94,80,16
Leverage,Medium Lvrge,99,,163,147,19,31,5,0,7,18,3,0,14,40,0.211,0.28,0.388,0.667,57,2,0,0,0,0,2,0.24,99,85,19
Leverage,Low Lvrge,113,,253,235,16,56,12,0,8,10,3,0,16,73,0.238,0.29,0.392,0.681,92,6,1,0,0,1,3,0.312,104,92,36
Times Facing Opponent in Game,vs. SP,122,,333,305,32,75,13,0,15,37,4,0,25,97,0.246,0.305,0.436,0.741,133,7,1,0,0,0,2,0.311,121,104,47
