Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,126,124,544,479,72,116,28,0,27,69,3,0,55,125,0.242,0.329,0.47,0.799,225,13,8,0,2,4,1,0.271,100,122,61
Season Totals,Last 7 days,7,7,29,24,5,7,2,0,2,4,0,0,5,7,0.292,0.414,0.625,1.039,15,0,0,0,0,0,0,0.333,159,196,3
Season Totals,Last 14 days,13,13,56,49,8,12,2,0,4,10,1,0,7,20,0.245,0.339,0.531,0.87,26,0,0,0,0,0,0,0.32,116,138,6
Season Totals,Last 28 days,26,26,111,94,16,22,5,0,8,18,1,0,15,38,0.234,0.351,0.543,0.894,51,1,2,0,0,1,1,0.292,122,141,9
Season Totals,Last 365 days,163,161,706,618,92,143,36,0,34,93,3,0,70,170,0.231,0.322,0.455,0.776,281,14,14,0,4,9,3,0.261,95,,73
Platoon Splits,vs RHP,119,,411,363,50,87,20,0,18,48,2,0,42,95,0.24,0.324,0.444,0.767,161,13,4,0,2,3,0,0.274,93,115,49
Platoon Splits,vs LHP,61,,133,116,22,29,8,0,9,21,1,0,13,30,0.25,0.346,0.552,0.898,64,0,4,0,0,1,1,0.26,123,147,12
Platoon Splits,vs RHP as RHB,119,,411,363,,87,20,0,18,48,0,0,42,95,0.24,0.324,0.444,0.767,161,13,4,0,2,3,0,0.274,93,121,49
Platoon Splits,vs LHP as RHB,61,,133,116,,29,8,0,9,21,0,0,13,30,0.25,0.346,0.552,0.898,64,0,4,0,0,1,1,0.26,123,141,12
Platoon Splits,vs RH Starter,91,89,389,344,48,81,21,0,19,52,2,0,39,89,0.236,0.319,0.462,0.781,159,11,4,0,2,3,1,0.261,95,118,41
Platoon Splits,vs LH Starter,35,35,155,135,24,35,7,0,8,17,1,0,16,36,0.259,0.355,0.489,0.844,66,2,4,0,0,1,0,0.297,112,135,20
Home or Away,Home,67,66,280,243,39,60,15,0,15,40,2,0,30,63,0.247,0.339,0.494,0.833,120,4,5,0,2,3,1,0.27,108,129,30
Home or Away,Away,59,58,264,236,33,56,13,0,12,29,1,0,25,62,0.237,0.318,0.445,0.763,105,9,3,0,0,1,0,0.272,91,116,31
First or Second Half,1st Half,95,93,411,366,53,88,21,0,19,51,2,0,37,85,0.24,0.319,0.454,0.772,166,10,6,0,2,3,0,0.261,94,117,48
First or Second Half,2nd Half,31,31,133,113,19,28,7,0,8,18,1,0,18,40,0.248,0.361,0.522,0.883,59,3,2,0,0,1,1,0.308,121,142,13
Months,April/March,29,29,127,111,20,26,3,0,8,15,1,0,13,23,0.234,0.323,0.478,0.8,53,4,2,0,1,1,0,0.222,100,127,15
Months,May,28,26,116,107,11,25,10,0,4,12,0,0,7,24,0.234,0.293,0.439,0.732,47,4,2,0,0,1,0,0.266,83,109,11
Months,June,24,24,111,92,16,25,7,0,5,19,1,0,16,25,0.272,0.387,0.511,0.898,47,1,2,0,1,1,0,0.318,126,149,13
Months,July,27,27,113,104,14,24,6,0,5,11,0,0,8,26,0.231,0.292,0.433,0.725,45,3,1,0,0,1,1,0.26,81,96,13
Months,August,18,18,77,65,11,16,2,0,5,12,1,0,11,27,0.246,0.364,0.508,0.871,33,1,1,0,0,0,0,0.333,119,140,9
Game Outcome for Team,in Wins,65,63,285,247,46,61,15,0,15,41,1,0,32,66,0.247,0.34,0.49,0.83,121,6,4,0,2,2,1,0.274,108,98,31
Game Outcome for Team,in Losses,61,61,259,232,26,55,13,0,12,28,2,0,23,59,0.237,0.317,0.448,0.765,104,7,4,0,0,2,0,0.267,92,158,30
Starter or Substitute,as Starter,124,124,542,477,71,115,27,0,27,69,3,0,55,125,0.241,0.328,0.468,0.796,223,13,8,0,2,4,1,0.269,99,121,61
Starter or Substitute,as Sub,2,0,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,0.5,265,350,0
Defensive Positions,as 1B,124,,538,473,70,114,27,0,26,67,3,0,55,123,0.241,0.329,0.463,0.792,219,13,8,0,2,4,1,0.27,99,116,61
Defensive Positions,as DH,1,,5,5,1,1,0,0,1,2,0,0,0,2,0.2,0.2,0.8,1.0,4,0,0,0,0,0,0,0.0,131,150,0
Defensive Positions,as PH,1,,1,1,1,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,630,823,0
Leading Off Inning,Leadoff Inn.,87,,120,112,,33,11,0,8,8,,,8,31,0.295,0.342,0.607,0.949,68,0,0,0,0,0,0,0.343,133,166,14
Batting Order Positions,Batting 2nd,24,24,110,99,12,23,7,0,5,11,0,0,9,26,0.232,0.309,0.455,0.764,45,2,2,0,0,0,0,0.265,91,99,11
Batting Order Positions,Batting 3rd,13,13,57,49,7,8,0,0,3,5,1,0,6,14,0.163,0.263,0.347,0.61,17,0,1,0,1,1,0,0.152,54,56,5
Batting Order Positions,Batting 4th,80,80,346,305,47,78,19,0,17,49,2,0,35,75,0.256,0.341,0.485,0.826,148,11,5,0,1,3,1,0.285,107,123,42
Batting Order Positions,Batting 5th,7,7,29,24,5,6,1,0,2,4,0,0,5,10,0.25,0.379,0.542,0.921,13,0,0,0,0,0,0,0.333,131,154,3
Batting Order Positions,Batting 7th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 8th,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,630,788,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,93,,134,128,,37,9,0,13,33,,,3,22,0.289,0.321,0.664,0.985,85,4,3,0,0,0,0,0.258,139,170,15
Swung or Took First Pitch of PA,Took 1st Pitch,125,,410,351,,79,19,0,14,36,,,52,103,0.225,0.332,0.399,0.731,140,9,5,0,2,4,1,0.275,86,104,46
Count/Balls-Strikes,First Pitch,46,,55,54,17,16,2,0,7,17,1,0,0,0,0.296,0.309,0.722,1.031,39,2,1,0,0,0,0,0.192,148,119,7
Count/Balls-Strikes,1-0 Count,28,,31,30,7,14,6,0,3,6,2,0,0,0,0.467,0.484,0.967,1.451,29,0,1,0,0,0,0,0.407,253,211,5
Count/Balls-Strikes,2-0 Count,8,,8,8,1,1,1,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,2,0,0,0,0,0,0,0.125,-9,-23,0
Count/Balls-Strikes,3-0 Count,14,,16,1,,0,0,0,0,0,0,0,15,0,0.0,0.938,0.0,0.938,0,0,0,0,0,4,0,0.0,185,-1,0
Count/Balls-Strikes,0-1 Count,34,,39,38,9,17,1,0,6,12,0,0,0,0,0.447,0.436,0.947,1.383,36,1,0,0,1,0,0,0.333,234,217,10
Count/Balls-Strikes,1-1 Count,42,,48,48,9,14,2,0,1,10,0,0,0,0,0.292,0.292,0.396,0.688,19,4,0,0,0,0,0,0.277,73,65,11
Count/Balls-Strikes,2-1 Count,27,,28,28,3,5,0,0,3,7,0,0,0,0,0.179,0.179,0.5,0.679,14,2,0,0,0,0,0,0.08,61,38,2
Count/Balls-Strikes,3-1 Count,17,,17,4,1,1,0,0,0,0,0,0,13,0,0.25,0.824,0.25,1.074,1,0,0,0,0,0,0,0.25,204,57,1
