Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,90,76,278,255,23,55,9,6,6,28,23,1,13,61,0.216,0.261,0.369,0.63,94,2,3,6,1,1,0,0.259,100,76,34
Season Totals,Last 7 days,6,6,20,17,4,5,1,0,1,3,0,1,2,3,0.294,0.368,0.529,0.898,9,0,0,1,0,0,0,0.308,184,160,3
Season Totals,Last 14 days,11,11,37,32,6,7,1,0,3,5,0,1,3,5,0.219,0.286,0.531,0.817,17,0,0,2,0,1,0,0.167,154,126,3
Season Totals,Last 28 days,24,24,83,77,12,23,4,3,3,11,5,1,4,10,0.299,0.333,0.546,0.879,42,1,0,2,0,1,0,0.313,175,137,13
Season Totals,Last 365 days,103,79,297,269,26,55,9,6,6,29,25,3,16,68,0.205,0.256,0.349,0.606,94,2,3,8,1,1,0,0.25,93,,34
Platoon Splits,vs RHP,78,,229,209,19,45,8,5,6,24,19,0,12,52,0.215,0.263,0.388,0.651,81,2,2,5,1,1,0,0.257,106,82,26
Platoon Splits,vs LHP,34,,49,46,4,10,1,1,0,4,4,1,1,9,0.217,0.25,0.283,0.533,13,0,1,1,0,0,0,0.27,73,50,8
Platoon Splits,vs RHP as LHB,78,,229,209,,45,8,5,6,24,0,0,12,52,0.215,0.263,0.388,0.651,81,2,2,5,1,1,0,0.257,106,76,26
Platoon Splits,vs LHP as LHB,34,,49,46,,10,1,1,0,4,0,0,1,9,0.217,0.25,0.283,0.533,13,0,1,1,0,0,0,0.27,73,60,8
Platoon Splits,vs RH Starter,76,68,240,219,20,43,7,4,6,22,19,1,13,53,0.196,0.247,0.347,0.594,76,2,2,5,1,1,0,0.23,89,66,26
Platoon Splits,vs LH Starter,14,8,38,36,3,12,2,2,0,6,4,0,0,8,0.333,0.351,0.5,0.851,18,0,1,1,0,0,0,0.429,170,137,8
Home or Away,Home,43,36,127,116,10,22,5,2,2,11,12,1,8,27,0.19,0.242,0.319,0.561,37,1,0,3,0,1,0,0.23,79,55,13
Home or Away,Away,47,40,151,139,13,33,4,4,4,17,11,0,5,34,0.237,0.277,0.41,0.687,57,1,3,3,1,0,0,0.284,117,94,21
First or Second Half,1st Half,60,46,174,158,11,32,5,3,3,17,17,0,8,45,0.203,0.253,0.329,0.582,52,1,3,4,1,0,0,0.261,86,64,21
First or Second Half,2nd Half,30,30,104,97,12,23,4,3,3,11,6,1,5,16,0.237,0.275,0.433,0.708,42,1,0,2,0,1,0,0.256,123,93,13
Months,April/March,7,5,19,18,2,5,1,0,1,4,0,0,0,4,0.278,0.278,0.5,0.778,9,0,0,1,0,0,0,0.308,142,118,3
Months,May,18,14,50,43,3,10,1,1,0,5,5,0,3,10,0.233,0.306,0.302,0.608,13,0,2,1,1,0,0,0.294,99,78,8
Months,June,26,19,75,69,3,10,0,2,0,4,10,0,3,27,0.145,0.192,0.203,0.395,14,1,1,2,0,0,0,0.238,29,11,8
Months,July,20,19,69,66,6,13,4,1,2,7,5,0,3,13,0.197,0.232,0.379,0.611,25,0,0,0,0,0,0,0.216,92,64,6
Months,August,19,19,65,59,9,17,3,2,3,8,3,1,4,7,0.288,0.333,0.559,0.893,33,1,0,2,0,1,0,0.286,179,143,9
Game Outcome for Team,in Wins,43,40,151,134,17,38,3,4,5,20,16,1,9,29,0.284,0.336,0.478,0.813,64,1,2,5,1,1,0,0.327,158,95,26
Game Outcome for Team,in Losses,47,36,127,121,6,17,6,2,1,8,7,0,4,32,0.141,0.175,0.248,0.423,30,1,1,1,0,0,0,0.182,34,43,8
Starter or Substitute,as Starter,76,76,271,248,23,54,9,6,6,27,19,1,13,59,0.218,0.264,0.375,0.639,93,2,3,6,1,1,0,0.261,103,78,33
Starter or Substitute,as Sub,14,0,7,7,0,1,0,0,0,1,4,0,0,2,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,0.2,-7,-13,1
Defensive Positions,as CF,79,,274,251,23,55,9,6,6,27,19,1,13,60,0.219,0.265,0.375,0.639,94,2,3,6,1,1,0,0.263,103,83,34
Defensive Positions,as PH,4,,4,4,,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,0,,,,,,4,0,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,48,,65,61,,15,0,4,2,2,,,2,13,0.246,0.292,0.475,0.768,29,0,2,0,0,0,0,0.283,141,116,9
Batting Order Positions,Batting 1st,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 3rd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 5th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 6th,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 7th,6,2,9,9,0,1,0,0,0,0,1,0,0,1,0.111,0.111,0.111,0.222,1,0,0,0,0,0,0,0.125,-27,-35,1
Batting Order Positions,Batting 8th,52,52,189,174,17,40,6,4,4,20,15,1,9,44,0.23,0.276,0.379,0.655,66,2,2,4,0,1,0,0.286,109,98,26
Batting Order Positions,Batting 9th,26,22,79,71,6,14,3,2,2,8,5,0,4,15,0.197,0.247,0.38,0.627,27,0,1,2,1,0,0,0.218,98,99,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,68,,141,130,,30,5,3,2,17,,,4,30,0.231,0.259,0.362,0.621,47,2,1,6,0,0,0,0.286,97,77,20
Swung or Took First Pitch of PA,Took 1st Pitch,73,,137,125,,25,4,3,4,11,,,9,31,0.2,0.263,0.376,0.639,47,0,2,0,1,1,0,0.231,103,77,14
Count/Balls-Strikes,First Pitch,37,,41,35,7,10,1,0,1,7,11,0,0,0,0.286,0.324,0.4,0.724,14,0,2,4,0,0,0,0.265,133,66,8
Count/Balls-Strikes,1-0 Count,15,,19,19,4,6,2,0,1,2,3,0,0,0,0.316,0.316,0.579,0.895,11,0,0,0,0,0,0,0.278,178,94,3
Count/Balls-Strikes,2-0 Count,3,,3,3,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1,0,0,0,0,0,0,0.333,118,50,1
Count/Balls-Strikes,3-0 Count,1,,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,29,,36,34,2,11,1,1,1,4,2,1,0,0,0.324,0.324,0.5,0.824,17,2,0,2,0,0,0,0.303,160,95,8
Count/Balls-Strikes,1-1 Count,20,,23,23,1,5,1,1,1,3,1,0,0,0,0.217,0.217,0.478,0.696,11,0,0,0,0,0,0,0.182,113,58,2
Count/Balls-Strikes,2-1 Count,6,,6,6,2,4,2,1,0,1,0,0,0,0,0.667,0.667,1.333,2.0,8,0,0,0,0,0,0,0.667,517,323,1
Count/Balls-Strikes,3-1 Count,3,,3,2,1,1,0,0,0,1,0,0,1,0,0.5,0.667,0.5,1.167,1,0,0,0,0,0,0,0.5,291,74,1
Count/Balls-Strikes,0-2 Count,30,,41,40,1,6,0,1,1,1,2,0,0,22,0.15,0.171,0.275,0.446,11,0,1,0,0,0,0,0.294,40,131,4
Count/Balls-Strikes,1-2 Count,38,,45,45,1,2,0,1,0,2,2,0,0,21,0.044,0.044,0.089,0.133,4,0,0,0,0,0,0,0.083,-59,-38,1
Count/Balls-Strikes,2-2 Count,26,,29,29,0,3,0,1,0,2,1,0,0,12,0.103,0.103,0.172,0.276,5,0,0,0,0,0,0,0.177,-14,21,2
Count/Balls-Strikes,Full Count,29,,31,19,3,6,2,0,1,5,0,0,11,6,0.316,0.548,0.579,1.127,11,0,0,0,1,0,0,0.385,267,195,3
Count/Balls-Strikes,After 1-0,50,,77,69,,15,3,2,3,7,,,7,13,0.217,0.286,0.449,0.735,31,0,0,0,1,1,0,0.222,131,81,7
Count/Balls-Strikes,After 2-0,14,,15,11,,3,1,0,0,1,,,4,3,0.273,0.467,0.364,0.83,4,0,0,0,0,1,0,0.375,178,73,2
Count/Balls-Strikes,After 3-0,2,,2,1,,1,0,0,0,1,,,1,0,1.0,1.0,1.0,2.0,1,0,0,0,0,1,0,1.0,554,232,1
Count/Balls-Strikes,After 0-1,73,,159,150,,30,5,4,2,14,,,6,47,0.2,0.236,0.327,0.562,49,2,1,2,0,0,0,0.277,79,85,19
Count/Balls-Strikes,After 1-1,54,,86,78,,13,3,3,2,8,,,7,21,0.167,0.233,0.359,0.592,28,0,0,0,1,0,0,0.196,87,77,5
Count/Balls-Strikes,After 2-1,27,,32,24,,7,3,1,0,3,,,8,5,0.292,0.469,0.5,0.969,12,0,0,0,0,0,0,0.368,215,147,3
Count/Balls-Strikes,After 3-1,9,,9,7,,2,1,0,0,2,,,2,1,0.286,0.444,0.429,0.873,3,0,0,0,0,0,0,0.333,186,73,1
Count/Balls-Strikes,After 0-2,52,,80,77,,12,1,2,1,6,,,2,36,0.156,0.188,0.26,0.447,20,0,1,0,0,0,0,0.275,43,97,8
Count/Balls-Strikes,After 1-2,58,,80,75,,8,1,2,1,7,,,4,33,0.107,0.15,0.213,0.363,16,0,0,0,1,0,0,0.167,15,45,4
Count/Balls-Strikes,After 2-2,40,,54,43,,8,1,1,1,6,,,10,17,0.186,0.333,0.326,0.659,14,0,0,0,1,0,0,0.269,116,127,5
