Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,114,114,501,438,80,128,33,5,27,77,2,0,56,120,0.292,0.371,0.575,0.947,252,10,2,0,5,13,2,0.341,100,162,63
Season Totals,Last 7 days,6,6,26,25,2,5,1,0,1,2,0,0,1,8,0.2,0.231,0.36,0.591,9,0,0,0,0,0,0,0.25,25,71,3
Season Totals,Last 14 days,12,12,53,49,6,11,4,0,2,6,0,0,4,17,0.225,0.283,0.429,0.712,21,0,0,0,0,2,0,0.3,51,99,5
Season Totals,Last 28 days,24,24,109,100,15,28,11,1,4,13,0,0,9,28,0.28,0.339,0.53,0.869,53,0,0,0,0,4,0,0.353,84,136,12
Season Totals,Last 365 days,147,146,643,559,99,161,39,5,31,92,5,0,73,148,0.288,0.373,0.542,0.915,303,15,6,0,5,17,5,0.338,95,,86
Platoon Splits,vs RHP,108,,320,274,57,87,23,2,23,57,2,0,42,62,0.318,0.403,0.668,1.071,183,9,0,0,4,12,1,0.332,125,197,39
Platoon Splits,vs LHP,93,,181,164,23,41,10,3,4,20,0,0,14,58,0.25,0.315,0.421,0.736,69,1,2,0,1,1,1,0.359,58,105,24
Platoon Splits,vs RHP as LHB,108,,320,274,,87,23,2,23,57,0,0,42,62,0.318,0.403,0.668,1.071,183,9,0,0,4,12,1,0.332,125,187,39
Platoon Splits,vs LHP as LHB,93,,181,164,,41,10,3,4,20,0,0,14,58,0.25,0.315,0.421,0.736,69,1,2,0,1,1,1,0.359,58,119,24
Platoon Splits,vs RH Starter,80,80,352,308,61,97,25,2,24,63,2,0,40,77,0.315,0.392,0.643,1.035,198,8,1,0,3,11,1,0.348,118,186,46
Platoon Splits,vs LH Starter,34,34,149,130,19,31,8,3,3,14,0,0,16,43,0.239,0.322,0.415,0.738,54,2,1,0,2,2,1,0.326,59,106,17
Home or Away,Home,56,56,238,206,41,63,18,3,12,38,0,0,29,59,0.306,0.391,0.597,0.988,123,6,1,0,2,5,1,0.372,109,170,30
Home or Away,Away,58,58,263,232,39,65,15,2,15,39,2,0,27,61,0.28,0.354,0.556,0.91,129,4,1,0,3,8,1,0.315,92,156,33
First or Second Half,1st Half,83,83,360,312,62,92,18,4,23,61,2,0,42,86,0.295,0.378,0.599,0.977,187,10,2,0,4,8,1,0.333,106,172,47
First or Second Half,2nd Half,31,31,141,126,18,36,15,1,4,16,0,0,14,34,0.286,0.355,0.516,0.871,65,0,0,0,1,5,1,0.36,85,139,16
Months,April/March,19,19,86,71,10,20,4,0,3,7,0,0,14,16,0.282,0.407,0.465,0.872,33,4,1,0,0,1,1,0.327,91,150,13
Months,May,28,28,118,105,19,29,8,1,7,19,1,0,11,32,0.276,0.348,0.571,0.919,60,3,1,0,1,3,0,0.328,93,160,13
Months,June,24,24,103,90,20,27,4,2,8,19,0,0,10,23,0.3,0.359,0.656,1.015,59,3,0,0,3,1,0,0.307,111,176,13
Months,July,24,24,107,94,20,34,10,2,6,24,1,0,12,26,0.362,0.43,0.702,1.132,66,0,0,0,1,4,1,0.444,138,204,16
Months,August,19,19,87,78,11,18,7,0,3,8,0,0,9,23,0.231,0.31,0.436,0.746,34,0,0,0,0,4,0,0.289,59,106,8
Game Outcome for Team,in Wins,61,61,279,239,54,80,20,3,18,56,1,0,35,52,0.335,0.416,0.67,1.085,160,5,1,0,4,10,1,0.358,129,157,39
Game Outcome for Team,in Losses,53,53,222,199,26,48,13,2,9,21,1,0,21,68,0.241,0.315,0.462,0.778,92,5,1,0,1,3,1,0.317,65,162,24
Starter or Substitute,as Starter,114,114,501,438,80,128,33,5,27,77,2,0,56,120,0.292,0.371,0.575,0.947,252,10,2,0,5,13,2,0.341,100,162,63
Defensive Positions,as 3B,108,,475,413,74,116,30,5,25,73,2,0,55,111,0.281,0.364,0.559,0.924,231,9,2,0,5,13,2,0.323,95,158,56
Defensive Positions,as DH,6,,26,25,6,12,3,0,2,4,0,0,1,9,0.48,0.5,0.84,1.34,21,1,0,0,0,0,0,0.714,181,252,7
Leading Off Inning,Leadoff Inn.,85,,114,101,,33,7,1,5,6,,,13,21,0.327,0.404,0.564,0.968,57,0,0,0,0,0,0,0.373,107,175,20
Batting Order Positions,Batting 2nd,21,21,94,77,11,24,7,0,4,12,0,0,15,20,0.312,0.436,0.558,0.995,43,3,2,0,0,2,1,0.377,115,162,13
Batting Order Positions,Batting 3rd,3,3,14,12,2,2,0,0,0,0,0,0,2,3,0.167,0.286,0.167,0.452,2,1,0,0,0,0,0,0.222,6,23,2
