Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,66,44,183,165,24,37,9,0,7,16,4,2,11,61,0.224,0.295,0.406,0.701,67,3,6,0,1,0,2,0.306,100,96,21
Season Totals,Last 7 days,6,6,25,21,4,7,1,0,2,4,0,0,3,4,0.333,0.44,0.667,1.107,14,2,1,0,0,0,0,0.333,213,215,4
Season Totals,Last 14 days,12,11,42,38,8,13,1,0,4,6,0,0,3,10,0.342,0.405,0.684,1.089,26,2,1,0,0,0,0,0.375,206,197,8
Season Totals,Last 28 days,23,14,61,56,11,17,1,0,5,8,1,1,4,15,0.304,0.361,0.589,0.95,33,2,1,0,0,0,0,0.333,167,156,11
Season Totals,Last 365 days,96,71,304,267,42,64,15,1,10,27,7,3,25,92,0.24,0.326,0.416,0.741,111,6,10,0,2,0,3,0.323,113,,38
Platoon Splits,vs RHP,44,,117,103,14,20,5,0,3,6,2,1,9,39,0.194,0.291,0.33,0.621,34,1,5,0,0,0,1,0.279,80,76,12
Platoon Splits,vs LHP,36,,66,62,10,17,4,0,4,10,2,1,2,22,0.274,0.303,0.532,0.835,33,2,1,0,1,0,1,0.351,134,128,9
Platoon Splits,vs RHP as RHB,44,,117,103,,20,5,0,3,6,0,0,9,39,0.194,0.291,0.33,0.621,34,1,5,0,0,0,1,0.279,80,81,12
Platoon Splits,vs LHP as RHB,36,,66,62,,17,4,0,4,10,0,0,2,22,0.274,0.303,0.532,0.835,33,2,1,0,1,0,1,0.351,134,123,9
Platoon Splits,vs RH Starter,48,27,119,105,15,19,3,0,3,7,3,1,7,40,0.181,0.269,0.295,0.564,31,3,6,0,1,0,1,0.254,64,60,13
Platoon Splits,vs LH Starter,18,17,64,60,9,18,6,0,4,9,1,1,4,21,0.3,0.344,0.6,0.944,36,0,0,0,0,0,1,0.4,164,159,8
Home or Away,Home,29,16,72,65,9,12,3,0,2,3,2,1,5,31,0.185,0.264,0.323,0.587,21,0,2,0,0,0,1,0.313,69,63,7
Home or Away,Away,37,28,111,100,15,25,6,0,5,13,2,1,6,30,0.25,0.315,0.46,0.775,46,3,4,0,1,0,1,0.303,120,119,14
First or Second Half,1st Half,42,29,118,105,12,19,7,0,2,8,3,1,7,43,0.181,0.263,0.305,0.568,32,1,5,0,1,0,2,0.279,64,61,10
First or Second Half,2nd Half,24,15,65,60,12,18,2,0,5,8,1,1,4,18,0.3,0.354,0.583,0.937,35,2,1,0,0,0,0,0.351,164,154,11
Months,April/March,20,15,64,52,5,8,3,0,0,3,3,1,6,22,0.154,0.297,0.212,0.508,11,1,5,0,1,0,1,0.258,53,50,5
Months,May,11,5,19,18,2,2,0,0,1,1,0,0,1,10,0.111,0.158,0.278,0.436,5,0,0,0,0,0,0,0.143,22,23,1
Months,June,11,9,35,35,5,9,4,0,1,4,0,0,0,11,0.257,0.257,0.457,0.714,16,0,0,0,0,0,1,0.348,100,94,4
Months,July,8,4,21,20,3,5,1,0,1,2,1,1,1,8,0.25,0.286,0.45,0.736,9,0,0,0,0,0,0,0.364,108,98,3
Months,August,16,11,44,40,9,13,1,0,4,6,0,0,3,10,0.325,0.386,0.65,1.036,26,2,1,0,0,0,0,0.346,191,182,8
Game Outcome for Team,in Wins,39,27,109,97,17,25,6,0,6,14,1,1,8,32,0.258,0.33,0.505,0.836,49,0,3,0,1,0,1,0.317,136,99,13
Game Outcome for Team,in Losses,27,17,74,68,7,12,3,0,1,2,3,1,3,29,0.177,0.243,0.265,0.508,18,3,3,0,0,0,1,0.29,48,73,8
Starter or Substitute,as Starter,44,44,166,150,22,35,8,0,7,15,4,2,10,54,0.233,0.307,0.427,0.734,64,2,6,0,0,0,2,0.315,109,104,20
Starter or Substitute,as Sub,22,0,17,15,2,2,1,0,0,1,0,0,1,7,0.133,0.177,0.2,0.377,3,1,0,0,1,0,0,0.222,9,15,1
Defensive Positions,as CF,11,,33,30,5,6,0,0,2,3,0,0,2,13,0.2,0.273,0.4,0.673,12,0,1,0,0,0,0,0.267,91,92,4
Defensive Positions,as RF,39,,138,125,18,31,9,0,5,12,4,2,8,42,0.248,0.319,0.44,0.759,55,2,5,0,0,0,2,0.333,117,107,17
Defensive Positions,as PH,12,,12,10,,0,0,0,0,1,0,0,1,6,0.0,0.083,0.0,0.083,0,1,0,0,1,0,0,0.0,-72,-72,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,34,,44,40,,10,1,0,4,4,,,2,13,0.25,0.318,0.575,0.893,23,0,2,0,0,0,2,0.261,149,150,5
Batting Order Positions,Batting 1st,8,0,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.333,17,10,1
Batting Order Positions,Batting 2nd,2,1,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,46,34,1
Batting Order Positions,Batting 3rd,2,2,7,6,0,1,1,0,0,0,1,0,1,2,0.167,0.286,0.333,0.619,2,0,0,0,0,0,0,0.25,79,60,0
Batting Order Positions,Batting 5th,9,5,23,20,2,4,1,0,2,4,0,1,1,9,0.2,0.261,0.55,0.811,11,0,1,0,1,0,0,0.2,124,118,1
Batting Order Positions,Batting 6th,16,11,48,41,4,8,2,0,2,4,0,0,6,16,0.195,0.313,0.39,0.703,16,1,1,0,0,0,0,0.261,102,105,4
Batting Order Positions,Batting 7th,15,13,53,47,10,9,0,0,2,6,2,0,2,17,0.192,0.283,0.319,0.602,15,0,4,0,0,0,1,0.25,75,76,7
Batting Order Positions,Batting 8th,11,9,32,31,5,10,5,0,0,1,1,1,1,9,0.323,0.344,0.484,0.828,15,2,0,0,0,0,0,0.455,136,150,5
Batting Order Positions,Batting 9th,3,3,11,11,2,3,0,0,1,1,0,0,0,4,0.273,0.273,0.546,0.818,6,0,0,0,0,0,1,0.333,127,157,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,39,,61,57,,17,3,0,7,10,,,3,18,0.298,0.328,0.719,1.047,41,1,0,0,1,0,1,0.303,188,186,7
Swung or Took First Pitch of PA,Took 1st Pitch,54,,122,108,,20,6,0,0,6,,,8,43,0.185,0.279,0.241,0.519,26,2,6,0,0,0,1,0.308,54,47,14
Count/Balls-Strikes,First Pitch,15,,19,17,8,6,1,0,5,7,2,0,0,0,0.353,0.421,1.294,1.715,22,0,2,0,0,0,1,0.083,361,254,0
Count/Balls-Strikes,1-0 Count,7,,7,6,1,0,0,0,0,0,1,1,0,0,0.0,0.143,0.0,0.143,0,0,1,0,0,0,0,0.0,-52,-58,0
Count/Balls-Strikes,2-0 Count,4,,4,4,2,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,2,,2,0,,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,19,,21,20,1,7,2,0,0,2,0,0,0,0,0.35,0.381,0.45,0.831,9,1,1,0,0,0,1,0.35,140,103,5
Count/Balls-Strikes,1-1 Count,11,,12,12,2,4,2,0,0,1,0,0,0,0,0.333,0.333,0.5,0.833,6,0,0,0,0,0,0,0.333,136,98,2
Count/Balls-Strikes,2-1 Count,6,,6,6,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,2,0,0,0,0,0,0,0.333,95,54,2
Count/Balls-Strikes,3-1 Count,10,,11,7,2,5,1,0,0,1,0,0,3,0,0.714,0.818,0.857,1.675,6,0,1,0,0,0,0,0.714,388,152,4
Count/Balls-Strikes,0-2 Count,23,,24,24,2,3,0,0,0,0,0,0,0,16,0.125,0.125,0.125,0.25,3,1,0,0,0,0,0,0.375,-27,34,3
Count/Balls-Strikes,1-2 Count,24,,31,29,2,4,1,0,1,2,0,1,0,19,0.138,0.161,0.276,0.437,8,1,1,0,1,0,0,0.3,23,107,2
Count/Balls-Strikes,2-2 Count,17,,19,19,2,3,1,0,1,2,0,0,0,13,0.158,0.158,0.368,0.526,7,0,0,0,0,0,0,0.4,44,124,1
Count/Balls-Strikes,Full Count,21,,27,21,1,3,1,0,0,1,0,0,6,13,0.143,0.333,0.191,0.524,4,0,0,0,0,0,0,0.375,60,30,2
Count/Balls-Strikes,After 1-0,38,,55,49,,9,2,0,0,1,,,5,17,0.184,0.273,0.225,0.497,11,1,1,0,0,0,0,0.281,48,25,7
Count/Balls-Strikes,After 2-0,18,,21,16,,2,0,0,0,1,,,5,5,0.125,0.333,0.125,0.458,2,0,0,0,0,0,0,0.182,44,-6,2
Count/Balls-Strikes,After 3-0,5,,6,3,,1,0,0,0,1,,,3,2,0.333,0.667,0.333,1.0,1,0,0,0,0,0,0,1.0,208,56,1
Count/Balls-Strikes,After 0-1,53,,109,99,,22,6,0,2,8,,,6,44,0.222,0.284,0.343,0.628,34,2,3,0,1,0,1,0.37,81,108,14
Count/Balls-Strikes,After 1-1,42,,64,58,,13,5,0,0,2,,,5,29,0.224,0.297,0.31,0.607,18,1,1,0,0,0,0,0.448,77,84,8
Count/Balls-Strikes,After 2-1,25,,32,26,,7,1,0,0,0,,,5,9,0.269,0.406,0.308,0.714,8,0,1,0,0,0,0,0.412,114,82,6
Count/Balls-Strikes,After 3-1,14,,15,11,,6,1,0,0,1,,,3,2,0.546,0.667,0.636,1.303,7,0,1,0,0,0,0,0.667,283,158,5
Count/Balls-Strikes,After 0-2,37,,51,48,,9,1,0,2,4,,,1,27,0.188,0.216,0.333,0.549,16,1,1,0,1,0,0,0.35,55,140,6
Count/Balls-Strikes,After 1-2,43,,58,53,,9,3,0,2,5,,,3,34,0.17,0.224,0.34,0.564,18,1,1,0,1,0,0,0.389,60,125,4
Count/Balls-Strikes,After 2-2,34,,42,36,,5,2,0,1,3,,,6,24,0.139,0.262,0.278,0.54,10,0,0,0,0,0,0,0.364,57,85,2
Count/Balls-Strikes,Zero Balls,43,,64,61,11,16,3,0,5,9,2,0,0,16,0.262,0.297,0.557,0.854,34,2,3,0,0,0,2,0.275,138,133,8
Count/Balls-Strikes,Zero Strikes,29,,32,27,11,6,1,0,5,7,4,1,2,0,0.222,0.344,0.815,1.159,22,0,3,0,0,0,1,0.046,217,131,0
Count/Balls-Strikes,Three Balls,30,,40,28,3,8,2,0,0,2,0,0,11,13,0.286,0.5,0.357,0.857,10,0,1,0,0,0,0,0.533,157,83,6
Count/Balls-Strikes,Two Strikes,55,,101,93,7,13,3,0,2,5,0,1,6,61,0.14,0.198,0.237,0.435,22,2,1,0,1,0,0,0.355,26,70,8
Count/Balls-Strikes,Batter Ahead,39,,57,44,7,10,2,0,0,2,2,1,11,13,0.227,0.404,0.273,0.676,12,0,2,0,0,0,0,0.323,104,42,8
Count/Balls-Strikes,Even Count,33,,50,48,12,13,4,0,6,10,2,0,0,13,0.271,0.3,0.729,1.029,35,0,2,0,0,0,1,0.241,181,182,3
Count/Balls-Strikes,Pitcher Ahead,46,,76,73,5,14,3,0,1,4,0,1,0,35,0.192,0.211,0.274,0.485,20,3,2,0,1,0,1,0.342,39,89,10
Number of Outs in Inning,0 outs,39,,59,52,7,14,2,0,5,7,0,0,4,17,0.269,0.356,0.596,0.952,31,2,3,0,0,0,2,0.3,168,160,7
Number of Outs in Inning,1 out,40,,57,52,9,14,1,0,1,5,1,1,4,19,0.269,0.316,0.346,0.662,18,1,0,0,1,0,0,0.394,92,86,12
Number of Outs in Inning,2 outs,43,,67,61,8,9,6,0,1,4,3,1,3,25,0.148,0.224,0.295,0.519,18,0,3,0,0,0,0,0.229,49,48,2
Bases Occupied,RISP,33,,46,39,15,7,2,0,1,9,2,2,5,14,0.18,0.283,0.308,0.59,12,0,1,0,1,0,0,0.24,72,60,4
Bases Occupied,---,51,,112,102,5,22,5,0,5,5,0,0,6,41,0.216,0.286,0.412,0.698,42,0,4,0,0,0,2,0.304,98,101,12
Bases Occupied,Men On,41,,71,63,19,15,4,0,2,11,4,2,5,20,0.238,0.31,0.397,0.707,25,3,2,0,1,0,0,0.31,103,90,9
Bases Occupied,1--,21,,25,24,4,8,2,0,1,2,2,0,0,6,0.333,0.36,0.542,0.902,13,3,1,0,0,0,0,0.412,156,141,5
Bases Occupied,-2-,13,,12,11,3,2,1,0,1,3,1,1,1,3,0.182,0.25,0.546,0.796,6,0,0,0,0,0,0,0.143,119,113,0
Bases Occupied,--3,3,,3,2,2,1,0,0,0,1,0,1,1,0,0.5,0.667,0.5,1.167,1,0,0,0,0,0,0,0.5,249,211,1
Bases Occupied,12-,14,,18,15,2,2,1,0,0,1,1,0,2,5,0.133,0.278,0.2,0.478,3,0,1,0,0,0,0,0.2,44,38,1
Bases Occupied,1-3,7,,5,5,3,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,-23,5,,5,3,2,1,0,0,0,2,0,0,1,1,0.333,0.4,0.333,0.733,1,0,0,0,1,0,0,0.333,118,86,1
Bases Occupied,123,3,,3,3,3,1,0,0,0,2,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0,0,0.5,95,89,1
Bases Occupied,"on 1st,",22,,26,23,8,9,1,0,1,4,1,0,2,5,0.391,0.462,0.565,1.027,13,3,1,0,0,0,0,0.471,196,173,7
