Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,86,61,250,225,28,55,8,2,8,28,1,1,21,45,0.244,0.316,0.404,0.72,91,0,3,0,1,0,1,0.272,100,102,37
Season Totals,Last 7 days,7,7,23,20,4,5,1,1,1,3,1,0,3,4,0.25,0.348,0.55,0.898,11,0,0,0,0,0,0,0.267,146,159,2
Season Totals,Last 14 days,13,11,42,37,6,11,1,1,3,10,1,0,4,9,0.297,0.357,0.622,0.979,23,0,0,0,1,0,0,0.308,167,171,6
Season Totals,Last 28 days,26,19,77,68,9,18,1,1,4,14,1,1,8,16,0.265,0.338,0.485,0.823,33,0,0,0,1,0,0,0.286,127,125,12
Season Totals,Last 365 days,114,79,326,293,37,75,9,3,8,33,1,1,27,65,0.256,0.328,0.389,0.717,114,1,5,0,1,0,1,0.303,100,,55
Platoon Splits,vs RHP,74,,179,159,18,39,4,2,6,20,1,1,18,32,0.245,0.324,0.409,0.733,65,0,1,0,1,0,0,0.271,104,106,27
Platoon Splits,vs LHP,45,,71,66,10,16,4,0,2,8,0,0,3,13,0.242,0.296,0.394,0.69,26,0,2,0,0,0,1,0.275,91,92,10
Platoon Splits,vs RHP as RHB,74,,179,159,,39,4,2,6,20,0,0,18,32,0.245,0.324,0.409,0.733,65,0,1,0,1,0,0,0.271,104,112,27
Platoon Splits,vs LHP as RHB,45,,71,66,,16,4,0,2,8,0,0,3,13,0.242,0.296,0.394,0.69,26,0,2,0,0,0,1,0.275,91,87,10
Platoon Splits,vs RH Starter,64,50,199,180,19,43,4,2,6,20,1,1,17,38,0.239,0.312,0.383,0.695,69,0,2,0,0,0,0,0.272,94,96,31
Platoon Splits,vs LH Starter,22,11,51,45,9,12,4,0,2,8,0,0,4,7,0.267,0.333,0.489,0.822,22,0,1,0,1,0,1,0.27,126,128,6
Home or Away,Home,45,32,123,111,9,26,1,2,4,14,1,1,9,21,0.234,0.301,0.387,0.688,43,0,2,0,1,0,1,0.253,91,90,19
Home or Away,Away,41,29,127,114,19,29,7,0,4,14,0,0,12,24,0.254,0.331,0.421,0.752,48,0,1,0,0,0,0,0.291,109,114,18
First or Second Half,1st Half,56,40,161,146,18,34,7,1,4,12,0,0,12,23,0.233,0.304,0.377,0.681,55,0,3,0,0,0,1,0.252,90,92,22
First or Second Half,2nd Half,30,21,89,79,10,21,1,1,4,16,1,1,9,22,0.266,0.337,0.456,0.793,36,0,0,0,1,0,0,0.315,120,118,15
Months,April/March,17,11,47,46,5,8,1,0,1,3,0,0,1,7,0.174,0.192,0.261,0.452,12,0,0,0,0,0,1,0.184,25,29,6
Months,May,10,8,25,22,6,7,1,0,1,2,0,0,1,4,0.318,0.4,0.5,0.9,11,0,2,0,0,0,0,0.353,150,159,5
Months,June,21,15,66,61,5,13,4,0,2,5,0,0,4,11,0.213,0.273,0.377,0.65,23,0,1,0,0,0,0,0.229,80,80,7
Months,July,18,12,54,44,4,15,1,1,1,8,0,1,10,10,0.341,0.463,0.477,0.94,21,0,0,0,0,0,0,0.424,165,161,12
Months,August,20,15,58,52,8,12,1,1,3,10,1,0,5,13,0.231,0.293,0.462,0.755,24,0,0,0,1,0,0,0.243,107,107,7
Game Outcome for Team,in Wins,48,35,150,135,21,36,6,1,5,18,1,1,13,24,0.267,0.34,0.437,0.777,59,0,2,0,0,0,1,0.293,116,87,24
Game Outcome for Team,in Losses,38,26,100,90,7,19,2,1,3,10,0,0,8,21,0.211,0.28,0.356,0.636,32,0,1,0,1,0,0,0.239,77,116,13
Starter or Substitute,as Starter,61,61,224,201,27,45,7,2,7,26,1,1,20,37,0.224,0.299,0.383,0.682,77,0,2,0,1,0,1,0.241,89,91,29
Starter or Substitute,as Sub,25,0,26,24,1,10,1,0,1,2,0,0,1,8,0.417,0.462,0.583,1.045,14,0,1,0,0,0,0,0.6,191,216,8
Defensive Positions,as 1B,1,,4,4,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 3B,73,,239,214,28,51,7,2,8,27,1,1,21,43,0.238,0.314,0.402,0.716,86,0,3,0,1,0,1,0.262,99,102,34
Defensive Positions,as DH,3,,3,3,,3,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,3,0,0,0,0,0,0,1.0,464,444,3
Defensive Positions,as PH,7,,7,7,,4,1,0,0,1,0,0,0,2,0.571,0.571,0.714,1.286,5,0,0,0,0,0,0,0.8,257,299,3
Defensive Positions,as PH for DH,3,,3,3,,3,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,3,0,0,0,0,0,0,1.0,464,420,3
Leading Off Inning,Leadoff Inn.,49,,60,56,,12,2,0,2,2,,,3,14,0.214,0.267,0.357,0.624,20,0,1,0,0,0,1,0.25,73,78,8
Batting Order Positions,Batting 1st,2,0,4,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,2,0,0,0,0,0,0,0.667,182,176,2
Batting Order Positions,Batting 3rd,3,0,2,2,0,2,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,2,0,0,0,0,0,0,1.0,464,422,2
Batting Order Positions,Batting 4th,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,464,453,1
Batting Order Positions,Batting 5th,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 6th,4,1,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-21,-18,0
