Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,123,117,510,431,61,91,24,0,16,42,18,8,61,130,0.211,0.328,0.378,0.706,163,5,15,0,3,0,1,0.26,100,99,51
Season Totals,Last 7 days,5,5,23,19,2,1,0,0,0,0,2,0,3,9,0.053,0.217,0.053,0.27,1,0,1,0,0,0,0,0.1,-20,-15,1
Season Totals,Last 14 days,11,11,48,38,5,5,1,0,0,3,2,1,7,17,0.132,0.313,0.158,0.47,6,0,3,0,0,0,0,0.238,38,41,4
Season Totals,Last 28 days,23,23,101,81,16,17,5,0,1,5,2,1,16,29,0.21,0.366,0.309,0.675,25,2,4,0,0,0,0,0.314,94,91,11
Season Totals,Last 365 days,152,146,638,539,78,116,30,1,19,53,25,9,78,161,0.215,0.332,0.38,0.713,205,8,18,0,3,1,3,0.268,102,,66
Platoon Splits,vs RHP,116,,374,316,41,64,16,0,10,27,13,6,42,99,0.203,0.318,0.348,0.666,110,4,13,0,3,0,0,0.257,89,89,38
Platoon Splits,vs LHP,61,,136,115,20,27,8,0,6,15,5,2,19,31,0.235,0.353,0.461,0.814,53,1,2,0,0,0,1,0.269,130,127,13
Platoon Splits,vs RHP as RHB,116,,374,316,,64,16,0,10,27,0,0,42,99,0.203,0.318,0.348,0.666,110,4,13,0,3,0,0,0.257,89,95,38
Platoon Splits,vs LHP as RHB,61,,136,115,,27,8,0,6,15,0,0,19,31,0.235,0.353,0.461,0.814,53,1,2,0,0,0,1,0.269,130,121,13
Platoon Splits,vs RH Starter,90,84,368,316,36,55,15,0,9,24,13,6,40,105,0.174,0.285,0.307,0.592,97,5,10,0,2,0,0,0.226,68,68,31
Platoon Splits,vs LH Starter,33,33,142,115,25,36,9,0,7,18,5,2,21,25,0.313,0.437,0.574,1.011,66,0,5,0,1,0,1,0.345,186,183,20
Home or Away,Home,62,58,244,211,31,44,10,0,9,23,10,6,29,55,0.209,0.312,0.384,0.695,81,4,3,0,1,0,1,0.237,97,93,25
Home or Away,Away,61,59,266,220,30,47,14,0,7,19,8,2,32,75,0.214,0.342,0.373,0.715,82,1,12,0,2,0,0,0.286,103,105,26
First or Second Half,1st Half,93,87,379,326,39,66,16,0,12,31,14,7,42,93,0.203,0.309,0.362,0.671,118,3,9,0,2,0,1,0.242,90,90,38
First or Second Half,2nd Half,30,30,131,105,22,25,8,0,4,11,4,1,19,37,0.238,0.382,0.429,0.81,45,2,6,0,1,0,0,0.323,130,126,13
Months,April/March,30,28,123,112,12,16,2,0,3,9,4,0,11,36,0.143,0.22,0.241,0.461,27,2,0,0,0,0,0,0.178,31,33,11
Months,May,26,24,107,90,13,16,5,0,5,10,3,4,14,30,0.178,0.299,0.4,0.699,36,1,2,0,1,0,1,0.196,97,101,6
Months,June,25,23,99,79,10,23,5,0,3,9,3,2,13,17,0.291,0.424,0.468,0.893,37,0,6,0,1,0,0,0.333,154,151,15
Months,July,24,24,103,88,15,25,8,0,5,11,6,1,10,23,0.284,0.379,0.546,0.924,48,0,4,0,1,0,0,0.328,160,150,12
Months,August,18,18,78,62,11,11,4,0,0,3,2,1,13,24,0.177,0.346,0.242,0.588,15,2,3,0,0,0,0,0.29,70,70,7
Game Outcome for Team,in Wins,60,58,263,215,44,56,15,0,11,30,13,7,37,63,0.261,0.384,0.484,0.868,104,1,8,0,3,0,1,0.313,146,110,30
Game Outcome for Team,in Losses,63,59,247,216,17,35,9,0,5,12,5,1,24,67,0.162,0.267,0.273,0.54,59,4,7,0,0,0,0,0.208,54,85,21
Starter or Substitute,as Starter,117,117,504,426,61,91,24,0,16,42,18,8,60,130,0.214,0.329,0.383,0.712,163,5,15,0,3,0,1,0.265,102,100,51
Starter or Substitute,as Sub,6,0,6,5,0,0,0,0,0,0,0,0,1,0,0.0,0.167,0.0,0.167,0,0,0,0,0,0,0,0.0,-49,-45,0
Defensive Positions,as LF,108,,458,386,57,84,22,0,14,37,16,8,55,116,0.218,0.334,0.383,0.718,148,4,14,0,3,0,1,0.27,104,103,48
Defensive Positions,as CF,7,,26,23,3,4,1,0,1,3,0,0,3,8,0.174,0.269,0.348,0.617,8,1,0,0,0,0,0,0.214,74,77,2
Defensive Positions,as DH,5,,20,17,1,3,1,0,1,2,2,0,2,6,0.177,0.3,0.412,0.712,7,0,1,0,0,0,0,0.2,101,90,1
Defensive Positions,as PH,6,,6,5,,0,0,0,0,0,0,0,1,0,0.0,0.167,0.0,0.167,0,0,0,0,0,0,0,0.0,-49,-43,0
Leading Off Inning,Leadoff Inn.,68,,87,71,,13,5,0,1,1,,,13,20,0.183,0.333,0.296,0.629,21,0,3,0,0,0,0,0.24,80,84,7
Batting Order Positions,Batting 2nd,48,47,209,171,29,38,13,0,5,16,3,4,30,50,0.222,0.359,0.386,0.745,66,2,7,0,1,0,1,0.282,112,99,20
Batting Order Positions,Batting 3rd,36,36,149,132,12,24,2,0,4,11,7,1,15,45,0.182,0.269,0.288,0.556,38,2,1,0,1,0,0,0.238,58,44,18
Batting Order Positions,Batting 4th,17,16,73,60,14,14,5,0,5,9,5,0,9,20,0.233,0.356,0.567,0.923,34,1,3,0,1,0,0,0.25,159,147,4
Batting Order Positions,Batting 5th,15,15,64,54,6,13,3,0,2,6,3,2,6,12,0.241,0.359,0.407,0.767,22,0,4,0,0,0,0,0.275,118,114,8
Batting Order Positions,Batting 6th,4,3,12,12,0,2,1,0,0,0,0,1,0,3,0.167,0.167,0.25,0.417,3,0,0,0,0,0,0,0.222,17,20,1
Batting Order Positions,Batting 7th,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Batting Order Positions,Batting 9th,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,89,,132,116,,26,10,0,7,15,,,9,36,0.224,0.311,0.491,0.802,57,2,6,0,1,0,0,0.257,125,126,9
Swung or Took First Pitch of PA,Took 1st Pitch,121,,378,315,,65,14,0,9,27,,,52,94,0.206,0.333,0.337,0.67,106,3,9,0,2,0,1,0.262,91,89,42
Count/Balls-Strikes,First Pitch,31,,34,29,13,9,4,0,3,10,3,1,0,0,0.31,0.412,0.759,1.17,22,1,5,0,0,0,0,0.231,227,156,2
Count/Balls-Strikes,1-0 Count,21,,25,24,4,7,1,0,0,1,1,1,0,0,0.292,0.28,0.333,0.613,8,0,0,0,1,0,0,0.28,74,40,6
Count/Balls-Strikes,2-0 Count,8,,8,8,0,1,0,0,0,0,1,1,0,0,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.125,-29,-44,1
Count/Balls-Strikes,3-0 Count,13,,14,2,,1,0,0,0,1,0,0,12,0,0.5,0.929,0.5,1.429,1,0,0,0,0,0,0,0.5,316,54,1
Count/Balls-Strikes,0-1 Count,32,,37,34,8,8,2,0,2,2,2,1,0,0,0.235,0.297,0.471,0.768,16,1,3,0,0,0,0,0.188,115,82,4
Count/Balls-Strikes,1-1 Count,30,,33,33,8,8,2,0,3,4,3,1,0,0,0.242,0.242,0.576,0.818,19,1,0,0,0,0,0,0.167,126,84,3
Count/Balls-Strikes,2-1 Count,19,,20,18,4,6,1,0,3,6,0,0,0,0,0.333,0.4,0.889,1.289,16,0,2,0,0,0,0,0.2,258,169,2
Count/Balls-Strikes,3-1 Count,18,,19,10,2,5,2,0,2,2,1,1,9,0,0.5,0.737,1.3,2.037,13,1,0,0,0,0,0,0.375,469,210,1
Count/Balls-Strikes,0-2 Count,40,,49,48,3,6,1,0,0,3,0,0,0,26,0.125,0.122,0.146,0.268,7,1,0,0,1,0,1,0.261,-24,42,5
