Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,101,98,408,355,45,77,11,0,21,64,3,0,40,109,0.217,0.302,0.425,0.728,151,10,6,0,6,1,1,0.242,100,103,45
Season Totals,Last 7 days,5,5,21,17,4,1,0,0,1,4,0,0,3,4,0.059,0.191,0.235,0.426,4,1,0,0,1,0,1,0.0,18,24,0
Season Totals,Last 14 days,11,11,44,38,5,4,0,0,2,6,0,0,5,13,0.105,0.205,0.263,0.468,10,1,0,0,1,0,1,0.083,30,32,2
Season Totals,Last 28 days,22,22,92,80,13,18,2,0,5,15,1,0,9,23,0.225,0.294,0.438,0.731,35,1,0,0,3,0,1,0.236,100,99,11
Season Totals,Last 365 days,101,98,408,355,45,77,11,0,21,64,3,0,40,109,0.217,0.302,0.425,0.728,151,10,6,0,6,1,1,0.242,100,,45
Platoon Splits,vs RHP,97,,313,274,33,59,10,0,15,47,3,0,29,83,0.215,0.298,0.416,0.714,114,7,5,0,4,0,1,0.244,97,100,34
Platoon Splits,vs LHP,46,,95,81,12,18,1,0,6,17,0,0,11,26,0.222,0.316,0.457,0.773,37,3,1,0,2,1,0,0.235,112,114,11
Platoon Splits,vs RHP as RHB,97,,313,274,,59,10,0,15,47,0,0,29,83,0.215,0.298,0.416,0.714,114,7,5,0,4,0,1,0.244,97,106,34
Platoon Splits,vs LHP as RHB,46,,95,81,,18,1,0,6,17,0,0,11,26,0.222,0.316,0.457,0.773,37,3,1,0,2,1,0,0.235,112,109,11
Platoon Splits,vs RH Starter,72,69,289,252,35,54,9,0,15,49,3,0,30,78,0.214,0.302,0.429,0.731,108,7,3,0,3,1,1,0.241,101,104,30
Platoon Splits,vs LH Starter,29,29,119,103,10,23,2,0,6,15,0,0,10,31,0.223,0.303,0.418,0.72,43,3,3,0,3,0,0,0.246,98,101,15
Home or Away,Home,48,47,182,158,20,36,3,0,10,29,1,0,18,57,0.228,0.313,0.437,0.75,69,2,3,0,3,1,0,0.277,107,106,23
Home or Away,Away,53,51,226,197,25,41,8,0,11,35,2,0,22,52,0.208,0.293,0.416,0.71,82,8,3,0,3,0,1,0.219,95,100,22
First or Second Half,1st Half,73,71,296,256,30,55,9,0,14,46,2,0,30,80,0.215,0.309,0.414,0.723,106,9,6,0,3,1,0,0.249,99,103,32
First or Second Half,2nd Half,28,27,112,99,15,22,2,0,7,18,1,0,10,29,0.222,0.286,0.455,0.74,45,1,0,0,3,0,1,0.227,102,102,13
Months,April/March,27,26,114,97,13,23,4,0,6,18,1,0,12,23,0.237,0.342,0.464,0.806,45,5,4,0,1,0,0,0.246,122,129,13
Months,May,12,12,47,41,4,10,1,0,3,9,0,0,6,12,0.244,0.34,0.488,0.828,20,0,0,0,0,0,0,0.269,127,137,6
Months,June,23,23,91,80,8,17,2,0,2,9,1,0,9,30,0.213,0.289,0.313,0.601,25,2,0,0,1,1,0,0.306,69,69,13
Months,July,22,20,84,73,11,14,2,0,7,19,0,0,6,26,0.192,0.262,0.507,0.769,37,2,2,0,3,0,0,0.163,106,104,5
Months,August,17,17,72,64,9,13,2,0,3,9,1,0,7,18,0.203,0.278,0.375,0.653,24,1,0,0,1,0,1,0.227,80,81,8
