Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,79,54,272,239,29,70,15,1,9,34,2,2,26,67,0.293,0.373,0.477,0.85,114,5,5,0,1,2,0,0.372,100,138,45
Season Totals,Last 7 days,6,4,21,21,2,5,0,0,2,2,0,0,0,5,0.238,0.238,0.524,0.762,11,1,0,0,0,0,0,0.214,74,116,3
Season Totals,Last 14 days,11,7,36,35,3,9,0,0,2,5,0,0,1,9,0.257,0.278,0.429,0.706,15,1,0,0,0,0,0,0.292,65,98,7
Season Totals,Last 28 days,19,12,63,59,7,14,1,0,5,9,1,0,4,17,0.237,0.286,0.509,0.794,30,1,0,0,0,1,0,0.243,83,114,8
Season Totals,Last 365 days,94,60,309,271,36,77,18,1,9,36,2,2,31,71,0.284,0.367,0.458,0.825,124,8,5,0,1,2,1,0.354,94,,49
Platoon Splits,vs RHP,58,,148,132,17,37,9,1,3,17,1,2,12,37,0.28,0.347,0.432,0.779,57,3,2,0,1,0,0,0.366,84,120,24
Platoon Splits,vs LHP,66,,124,107,12,33,6,0,6,17,1,0,14,30,0.308,0.403,0.533,0.936,57,2,3,0,0,2,0,0.38,120,160,21
Platoon Splits,vs RHP as RHB,58,,148,132,,37,9,1,3,17,0,0,12,37,0.28,0.347,0.432,0.779,57,3,2,0,1,0,0,0.366,84,126,24
Platoon Splits,vs LHP as RHB,66,,124,107,,33,6,0,6,17,0,0,14,30,0.308,0.403,0.533,0.936,57,2,3,0,0,2,0,0.38,120,154,21
Platoon Splits,vs RH Starter,50,27,153,138,15,42,10,1,4,20,0,2,11,39,0.304,0.366,0.478,0.844,66,2,3,0,1,2,0,0.396,98,137,27
Platoon Splits,vs LH Starter,29,27,119,101,14,28,5,0,5,14,2,0,15,28,0.277,0.381,0.475,0.857,48,3,2,0,0,0,0,0.338,102,140,18
Home or Away,Home,40,24,123,103,13,27,3,0,3,13,0,1,17,34,0.262,0.374,0.379,0.753,39,1,2,0,1,1,0,0.358,80,112,21
Home or Away,Away,39,30,149,136,16,43,12,1,6,21,2,1,9,33,0.316,0.372,0.552,0.923,75,4,3,0,0,1,0,0.381,115,160,24
First or Second Half,1st Half,56,38,190,162,19,49,12,1,4,21,1,2,21,46,0.303,0.397,0.463,0.86,75,3,5,0,1,1,0,0.398,104,144,32
First or Second Half,2nd Half,23,16,82,77,10,21,3,0,5,13,1,0,5,21,0.273,0.317,0.507,0.824,39,2,0,0,0,1,0,0.314,91,124,13
Months,April/March,10,7,36,29,6,11,4,1,1,6,1,1,5,7,0.379,0.486,0.69,1.175,20,0,1,0,0,0,0,0.476,175,234,5
Months,May,21,13,64,58,5,18,4,0,1,8,0,0,5,14,0.31,0.375,0.431,0.806,25,2,1,0,0,0,0,0.395,91,133,13
Months,June,17,13,67,56,6,17,4,0,1,6,0,1,8,20,0.304,0.403,0.429,0.832,24,1,2,0,1,1,0,0.444,98,134,12
Months,July,15,11,52,47,6,11,2,0,2,6,0,0,4,13,0.234,0.308,0.404,0.712,19,1,1,0,0,0,0,0.281,67,94,7
Months,August,16,10,53,49,6,13,1,0,4,8,1,0,4,13,0.265,0.321,0.531,0.851,26,1,0,0,0,1,0,0.281,97,132,8
Game Outcome for Team,in Wins,42,31,161,140,18,41,12,0,3,23,1,1,16,38,0.293,0.381,0.443,0.824,62,2,4,0,0,2,0,0.384,95,100,26
Game Outcome for Team,in Losses,37,23,111,99,11,29,3,1,6,11,1,1,10,29,0.293,0.36,0.525,0.886,52,3,1,0,1,0,0,0.354,107,198,19
Starter or Substitute,as Starter,54,54,237,212,26,63,14,1,8,30,2,2,20,59,0.297,0.364,0.486,0.85,103,5,3,0,1,0,0,0.377,100,137,40
Starter or Substitute,as Sub,25,0,35,27,3,7,1,0,1,4,0,0,6,8,0.259,0.429,0.407,0.836,11,0,2,0,0,2,0,0.333,100,156,5
Defensive Positions,as LF,36,,120,111,11,30,3,1,3,16,0,0,8,34,0.27,0.325,0.396,0.721,44,3,1,0,0,0,0,0.365,70,104,23
