Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,16,350.0,304,57.0,77,15,2,22,6,3,38,67,1.76,0.253,0.34,0.533,0.873,162.0,4.0,4.0,0,4,0,5,0.251,100,142,38
Season Totals,Last 7 days,1,19.0,16,5.0,5,0,1,1,0,0,3,5,1.67,0.313,0.421,0.625,1.046,10.0,0.0,0.0,0,0,0,1,0.4,141,198,3
Season Totals,Last 14 days,2,40.0,36,8.0,11,2,1,1,0,0,3,8,2.67,0.306,0.375,0.5,0.875,18.0,0.0,1.0,0,0,0,1,0.37,104,142,7
Season Totals,Last 28 days,5,104.0,93,22.0,28,4,2,7,2,1,9,20,2.22,0.301,0.365,0.613,0.978,57.0,1.0,1.0,0,1,0,3,0.313,122,163,15
Season Totals,Last 365 days,16,350.0,304,57.0,77,15,2,22,6,3,38,67,1.76,0.253,0.34,0.533,0.873,162.0,4.0,4.0,0,4,0,5,0.251,100,,38
Platoon Splits,vs RHB,16,185.0,163,22.0,36,5,1,8,4,1,20,37,1.85,0.221,0.308,0.411,0.719,67.0,2.0,1.0,0,1,0,0,0.235,68,103,22
Platoon Splits,vs LHB,16,165.0,141,34.0,41,10,1,14,2,2,18,30,1.67,0.291,0.376,0.674,1.05,95.0,2.0,3.0,0,3,0,5,0.27,137,184,16
Platoon Splits,vs RHB as RHP,16,185.0,163,22.0,36,5,1,8,4,1,20,37,1.85,0.221,0.308,0.411,0.719,67.0,2.0,1.0,0,1,0,0,0.235,68,108,22
Platoon Splits,vs LHB as RHP,16,165.0,141,34.0,41,10,1,14,2,2,18,30,1.67,0.291,0.376,0.674,1.05,95.0,2.0,3.0,0,3,0,5,0.27,137,180,16
Home or Away,Home,8,172.0,149,30.0,42,9,0,10,2,2,20,28,1.4,0.282,0.372,0.544,0.916,81.0,1.0,2.0,0,1,0,3,0.286,112,159,23
Home or Away,Away,8,178.0,155,27.0,35,6,2,12,4,1,18,39,2.17,0.226,0.309,0.523,0.832,81.0,3.0,2.0,0,3,0,2,0.215,89,126,15
First or Second Half,1st Half,10,225.0,194,34.0,46,10,0,15,4,2,26,42,1.62,0.237,0.329,0.521,0.85,101.0,3.0,2.0,0,3,0,2,0.221,95,137,21
First or Second Half,2nd Half,6,125.0,110,23.0,31,5,2,7,2,1,12,25,2.08,0.282,0.36,0.555,0.915,61.0,1.0,2.0,0,1,0,3,0.304,110,149,17
Months,April/March,1,18.0,17,2.0,2,0,0,2,0,0,1,7,7.0,0.118,0.167,0.471,0.637,8.0,0.0,0.0,0,0,0,0,0.0,38,76,0
Months,May,2,48.0,42,7.0,10,1,0,4,1,0,6,12,2.0,0.238,0.333,0.548,0.881,23.0,0.0,0.0,0,0,0,0,0.231,101,150,5
Months,June,5,109.0,94,17.0,25,4,0,9,2,2,13,19,1.46,0.266,0.358,0.596,0.954,56.0,3.0,1.0,0,1,0,1,0.239,117,161,12
Months,July,5,113.0,97,17.0,22,7,1,4,2,1,12,19,1.58,0.227,0.319,0.443,0.762,43.0,1.0,2.0,0,2,0,2,0.237,77,107,10
Months,August,3,62.0,54,14.0,18,3,1,3,1,0,6,10,1.67,0.333,0.403,0.593,0.996,32.0,0.0,1.0,0,1,0,2,0.357,130,173,11
Game Outcome for Pitcher,in Wins,2,42.0,39,3.0,7,2,1,1,1,0,3,14,4.67,0.18,0.238,0.359,0.597,14.0,1.0,0.0,0,0,0,0,0.25,37,125,3
Game Outcome for Pitcher,in Losses,7,163.0,135,32.0,38,7,1,12,2,1,23,26,1.13,0.282,0.387,0.615,1.001,83.0,2.0,2.0,0,3,0,3,0.26,129,105,18
Game Outcome for Pitcher,in No Dec.,7,145.0,130,22.0,32,6,0,9,3,2,12,27,2.25,0.246,0.317,0.5,0.817,65.0,1.0,2.0,0,1,0,2,0.242,87,131,17
Game Outcome for Pitcher,in non-Sv,1,20.0,16,2.0,4,2,0,0,1,0,4,2,0.5,0.25,0.4,0.375,0.775,6.0,0.0,0.0,0,0,0,0,0.286,88,121,2
Pitching Role,as Starter,15,330.0,288,55.0,73,13,2,22,5,3,34,65,1.91,0.254,0.336,0.542,0.878,156.0,4.0,4.0,0,4,0,5,0.249,101,140,36
Pitching Role,as Reliever,1,20.0,16,2.0,4,2,0,0,1,0,4,2,0.5,0.25,0.4,0.375,0.775,6.0,0.0,0.0,0,0,0,0,0.286,88,125,2
Run Support,0-2 Runs Scored,4,86.0,72,9.0,15,3,0,5,1,2,12,17,1.42,0.208,0.337,0.458,0.796,33.0,3.0,2.0,0,0,0,0,0.2,85,113,7
Run Support,3-5 Runs Scored,7,158.0,136,28.0,34,6,1,10,3,0,17,32,1.88,0.25,0.329,0.529,0.859,72.0,0.0,1.0,0,4,0,3,0.245,96,138,17
Run Support,6+ Runs Scored,4,86.0,80,18.0,24,4,1,7,1,1,5,16,3.2,0.3,0.349,0.638,0.986,51.0,1.0,1.0,0,0,0,2,0.298,122,171,12
Batting Order Positions,Batting 1st,16,47.0,42,5.0,13,0,1,2,1,1,4,5,1.25,0.31,0.383,0.5,0.883,21.0,0.0,1.0,0,0,0,1,0.314,107,140,10
Batting Order Positions,Batting 2nd,16,43.0,38,8.0,11,3,0,4,0,1,5,7,1.4,0.29,0.372,0.684,1.056,26.0,1.0,0.0,0,0,0,2,0.259,138,171,4
Batting Order Positions,Batting 3rd,16,43.0,35,9.0,9,3,0,6,0,1,6,3,0.5,0.257,0.372,0.857,1.229,30.0,2.0,1.0,0,1,0,1,0.111,170,202,0
Batting Order Positions,Batting 4th,16,39.0,35,7.0,8,2,0,1,3,0,2,10,5.0,0.229,0.256,0.371,0.628,13.0,0.0,0.0,0,2,0,1,0.269,45,69,5
Batting Order Positions,Batting 5th,16,38.0,34,1.0,7,0,0,0,0,0,3,12,4.0,0.206,0.29,0.206,0.495,7.0,1.0,1.0,0,0,0,0,0.318,24,42,7
Batting Order Positions,Batting 6th,16,36.0,28,5.0,5,1,0,2,1,0,7,7,1.0,0.179,0.333,0.429,0.762,12.0,0.0,0.0,0,1,0,0,0.15,78,122,2
Batting Order Positions,Batting 7th,16,36.0,32,5.0,8,2,1,1,1,0,4,5,1.25,0.25,0.333,0.469,0.802,15.0,0.0,0.0,0,0,0,0,0.269,86,132,4
Batting Order Positions,Batting 8th,16,34.0,31,6.0,7,2,0,3,0,0,3,10,3.33,0.226,0.294,0.581,0.875,18.0,0.0,0.0,0,0,0,0,0.222,96,159,2
Batting Order Positions,Batting 9th,16,34.0,29,10.0,9,2,0,3,0,0,4,8,2.0,0.31,0.412,0.69,1.102,20.0,0.0,1.0,0,0,0,0,0.333,151,249,4
