Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,50,46,200,176,31,47,10,0,15,38,0,0,20,43,0.267,0.335,0.58,0.915,102,3,0,0,4,2,0,0.262,100,152,22
Season Totals,Last 7 days,6,5,22,20,2,4,0,0,0,3,0,0,0,7,0.2,0.182,0.2,0.382,4,0,0,0,2,0,0,0.267,-11,13,4
Season Totals,Last 14 days,13,11,49,45,6,11,2,0,1,6,0,0,2,10,0.244,0.265,0.356,0.621,16,0,0,0,2,0,0,0.278,41,75,8
Season Totals,Last 28 days,25,22,96,82,13,20,5,0,5,20,0,0,11,25,0.244,0.323,0.488,0.811,40,1,0,0,3,1,0,0.273,81,120,10
Season Totals,Last 365 days,75,71,310,271,53,76,13,0,25,71,4,1,35,64,0.28,0.358,0.605,0.963,164,6,0,0,4,2,0,0.274,111,,38
Platoon Splits,vs RHP,44,,133,120,22,30,7,0,11,26,0,0,11,31,0.25,0.308,0.583,0.892,70,2,0,0,2,0,0,0.238,93,145,12
Platoon Splits,vs LHP,33,,67,56,9,17,3,0,4,12,0,0,9,12,0.304,0.388,0.571,0.96,32,1,0,0,2,2,0,0.31,114,165,10
Platoon Splits,vs RHP as RHB,44,,133,120,,30,7,0,11,26,0,0,11,31,0.25,0.308,0.583,0.892,70,2,0,0,2,0,0,0.238,93,152,12
Platoon Splits,vs LHP as RHB,33,,67,56,,17,3,0,4,12,0,0,9,12,0.304,0.388,0.571,0.96,32,1,0,0,2,2,0,0.31,114,159,10
Platoon Splits,vs RH Starter,32,28,128,111,19,27,4,0,9,23,0,0,14,27,0.243,0.32,0.523,0.843,58,0,0,0,3,2,0,0.231,86,133,14
Platoon Splits,vs LH Starter,18,18,72,65,12,20,6,0,6,15,0,0,6,16,0.308,0.361,0.677,1.038,44,3,0,0,1,0,0,0.318,125,184,8
