Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,97,84,375,329,47,78,18,0,20,59,3,0,26,75,0.237,0.316,0.474,0.79,156,8,14,1,5,0,3,0.243,100,120,40
Season Totals,Last 7 days,4,3,12,11,3,6,0,0,2,5,0,0,1,1,0.546,0.583,1.091,1.674,12,0,0,0,0,0,0,0.5,315,379,4
Season Totals,Last 14 days,8,7,27,25,6,9,0,0,3,6,0,0,1,6,0.36,0.407,0.72,1.127,18,0,1,0,0,0,0,0.375,181,212,6
Season Totals,Last 28 days,17,15,61,56,10,14,0,0,6,12,1,0,3,12,0.25,0.295,0.571,0.867,32,1,1,0,1,0,0,0.205,114,132,8
Season Totals,Last 365 days,120,103,465,407,62,99,21,1,25,76,3,1,34,97,0.243,0.321,0.484,0.805,197,8,16,1,7,1,4,0.253,104,,52
Platoon Splits,vs RHP,92,,263,226,33,51,12,0,12,43,3,0,22,49,0.226,0.317,0.438,0.755,99,6,10,1,4,0,3,0.231,93,111,27
Platoon Splits,vs LHP,57,,112,103,14,27,6,0,8,16,0,0,4,26,0.262,0.313,0.553,0.866,57,2,4,0,1,0,0,0.271,116,137,13
Platoon Splits,vs RHP as RHB,92,,263,226,,51,12,0,12,43,0,0,22,49,0.226,0.317,0.438,0.755,99,6,10,1,4,0,3,0.231,93,118,27
Platoon Splits,vs LHP as RHB,57,,112,103,,27,6,0,8,16,0,0,4,26,0.262,0.313,0.553,0.866,57,2,4,0,1,0,0,0.271,116,131,13
Platoon Splits,vs RH Starter,65,52,240,206,29,49,10,0,12,42,2,0,19,45,0.238,0.326,0.461,0.788,95,4,10,1,4,0,2,0.242,100,119,27
Platoon Splits,vs LH Starter,32,32,135,123,18,29,8,0,8,17,1,0,7,30,0.236,0.296,0.496,0.792,61,4,4,0,1,0,1,0.244,98,118,13
Home or Away,Home,45,37,163,144,22,37,7,0,11,26,1,0,11,33,0.257,0.319,0.535,0.854,77,0,4,0,4,0,1,0.25,114,132,19
Home or Away,Away,52,47,212,185,25,41,11,0,9,33,2,0,15,42,0.222,0.313,0.427,0.74,79,8,10,1,1,0,2,0.237,89,110,21
First or Second Half,1st Half,75,66,297,257,36,61,17,0,14,47,2,0,22,61,0.237,0.324,0.467,0.791,120,7,13,1,4,0,3,0.253,101,122,30
First or Second Half,2nd Half,22,18,78,72,11,17,1,0,6,12,1,0,4,14,0.236,0.282,0.5,0.782,36,1,1,0,1,0,0,0.208,95,112,10
Months,April/March,26,23,105,88,15,26,8,0,5,18,1,0,8,18,0.296,0.391,0.557,0.947,49,1,7,0,2,0,2,0.313,141,169,13
Months,May,25,21,95,84,10,18,6,0,7,18,1,0,7,29,0.214,0.295,0.536,0.83,45,2,3,0,1,0,0,0.225,106,134,5
