Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,120,516,449,58,110,24,0,16,55,4,5,59,147,0.245,0.335,0.405,0.74,182,8,3,0,3,3,0,0.325,100,108,70
Season Totals,Last 7 days,5,5,20,18,1,3,0,0,0,1,0,0,2,4,0.167,0.25,0.167,0.417,3,0,0,0,0,0,0,0.214,16,26,3
Season Totals,Last 14 days,10,10,42,38,4,6,1,0,0,3,0,0,4,14,0.158,0.238,0.184,0.422,7,0,0,0,0,0,0,0.25,17,23,5
Season Totals,Last 28 days,22,21,87,74,8,10,3,0,1,8,1,0,11,27,0.135,0.253,0.216,0.469,16,1,1,0,1,0,0,0.192,29,33,6
Season Totals,Last 365 days,153,148,634,555,67,130,30,0,18,60,4,6,70,189,0.234,0.321,0.386,0.707,214,11,3,0,4,3,0,0.318,91,,82
Platoon Splits,vs RHP,115,,349,298,42,71,17,0,10,40,4,3,45,92,0.238,0.337,0.396,0.733,118,6,1,0,3,3,0,0.307,98,107,44
Platoon Splits,vs LHP,83,,167,151,16,39,7,0,6,15,0,2,14,55,0.258,0.329,0.424,0.753,64,2,2,0,0,0,0,0.367,103,110,26
Platoon Splits,vs RHP as LHB,115,,349,298,,71,17,0,10,40,0,0,45,92,0.238,0.337,0.396,0.733,118,6,1,0,3,3,0,0.307,98,101,44
Platoon Splits,vs LHP as LHB,83,,167,151,,39,7,0,6,15,0,0,14,55,0.258,0.329,0.424,0.753,64,2,2,0,0,0,0,0.367,103,124,26
Platoon Splits,vs RH Starter,85,85,357,310,41,73,22,0,12,44,3,2,42,100,0.236,0.327,0.423,0.749,131,5,1,0,2,1,0,0.305,102,110,39
Platoon Splits,vs LH Starter,37,35,159,139,17,37,2,0,4,11,1,3,17,47,0.266,0.352,0.367,0.719,51,3,2,0,1,2,0,0.371,96,104,31
Home or Away,Home,57,56,244,211,31,55,10,0,8,32,2,2,30,73,0.261,0.354,0.422,0.776,89,2,1,0,1,2,0,0.359,110,116,37
Home or Away,Away,65,64,272,238,27,55,14,0,8,23,2,3,29,74,0.231,0.317,0.391,0.708,93,6,2,0,2,1,0,0.298,91,102,33
First or Second Half,1st Half,95,94,408,360,48,98,21,0,14,45,3,5,42,115,0.272,0.35,0.447,0.797,161,7,2,0,2,2,0,0.361,115,125,63
First or Second Half,2nd Half,27,26,108,89,10,12,3,0,2,10,1,0,17,32,0.135,0.278,0.236,0.514,21,1,1,0,1,1,0,0.179,41,46,7
Months,April/March,29,29,127,109,12,35,7,0,4,18,0,2,15,35,0.321,0.397,0.495,0.892,54,1,0,0,2,1,0,0.431,141,155,24
Months,May,27,26,115,100,17,24,3,0,6,16,0,2,13,28,0.24,0.333,0.45,0.783,45,2,1,0,0,0,0,0.273,111,124,15
Months,June,25,25,107,98,15,24,7,0,4,8,3,0,9,36,0.245,0.308,0.439,0.747,43,4,0,0,0,1,0,0.345,100,106,13
Months,July,24,23,97,82,7,19,5,0,2,8,0,1,14,25,0.232,0.351,0.366,0.716,30,1,1,0,0,1,0,0.309,95,99,12
Months,August,17,17,70,60,7,8,2,0,0,5,1,0,8,23,0.133,0.243,0.167,0.41,10,0,1,0,1,0,0,0.211,14,19,6
Game Outcome for Team,in Wins,46,45,202,180,35,59,13,0,8,32,3,1,18,54,0.328,0.388,0.533,0.921,96,3,1,0,2,3,0,0.425,147,121,38
Game Outcome for Team,in Losses,76,75,314,269,23,51,11,0,8,23,1,4,41,93,0.19,0.3,0.32,0.62,86,5,2,0,1,0,0,0.254,69,112,32
Starter or Substitute,as Starter,120,120,514,448,58,110,24,0,16,55,4,5,58,147,0.246,0.334,0.406,0.74,182,7,3,0,3,3,0,0.326,100,108,70
Starter or Substitute,as Sub,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,1,0,0,0,0,0,0.0,49,65,0
Defensive Positions,as 3B,120,,511,444,58,108,23,0,16,55,4,5,59,146,0.243,0.334,0.403,0.737,179,7,3,0,3,3,0,0.323,99,109,69
Defensive Positions,as DH,1,,4,4,,2,1,0,0,0,0,0,0,1,0.5,0.5,0.75,1.25,3,0,0,0,0,0,0,0.667,234,231,1
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,76,,108,97,,26,6,0,5,5,,,9,30,0.268,0.343,0.485,0.827,47,0,2,0,0,0,0,0.339,122,135,15
Batting Order Positions,Batting 2nd,4,4,19,13,3,4,3,0,0,2,0,1,6,4,0.308,0.526,0.539,1.065,7,0,0,0,0,0,0,0.444,190,185,1
Batting Order Positions,Batting 3rd,80,80,347,305,39,79,13,0,11,36,2,4,37,97,0.259,0.342,0.41,0.752,125,3,2,0,1,2,0,0.343,103,94,55
Batting Order Positions,Batting 4th,29,29,119,106,13,15,6,0,3,10,2,0,11,42,0.142,0.227,0.283,0.51,30,4,1,0,1,1,0,0.194,38,39,6
Batting Order Positions,Batting 5th,7,7,29,24,3,12,2,0,2,7,0,0,4,4,0.5,0.552,0.833,1.385,20,0,0,0,1,0,0,0.526,271,280,8
Batting Order Positions,Batting 8th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 9th,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,101,,166,152,,38,11,0,5,25,,,10,41,0.25,0.297,0.421,0.718,64,4,1,0,2,0,0,0.306,93,105,22
Swung or Took First Pitch of PA,Took 1st Pitch,121,,350,297,,72,13,0,11,30,,,49,106,0.242,0.352,0.397,0.75,118,4,2,0,1,3,0,0.337,103,110,48
Count/Balls-Strikes,First Pitch,41,,48,45,16,20,4,0,4,18,1,0,0,0,0.444,0.447,0.8,1.247,36,1,1,0,1,0,0,0.381,231,174,12
Count/Balls-Strikes,1-0 Count,21,,23,22,5,9,1,0,2,5,0,0,0,0,0.409,0.435,0.727,1.162,16,0,1,0,0,0,0,0.35,209,154,6
Count/Balls-Strikes,2-0 Count,7,,7,7,3,5,0,0,2,2,0,0,0,0,0.714,0.714,1.571,2.286,11,0,0,0,0,0,0,0.6,501,361,3
Count/Balls-Strikes,3-0 Count,10,,10,2,,0,0,0,0,0,0,0,8,0,0.0,0.8,0.0,0.8,0,0,0,0,0,3,0,0.0,139,-15,0
Count/Balls-Strikes,0-1 Count,35,,43,43,9,16,6,0,2,6,0,0,0,0,0.372,0.372,0.651,1.023,28,1,0,0,0,0,0,0.342,172,139,8
Count/Balls-Strikes,1-1 Count,28,,29,27,6,8,1,0,2,7,0,1,0,0,0.296,0.286,0.556,0.841,15,1,0,0,1,0,0,0.231,123,94,5
Count/Balls-Strikes,2-1 Count,18,,19,19,3,8,2,0,0,0,0,1,0,0,0.421,0.421,0.526,0.947,10,2,0,0,0,0,0,0.421,156,113,6
Count/Balls-Strikes,3-1 Count,15,,15,5,1,1,0,0,0,1,0,0,10,0,0.2,0.733,0.2,0.933,1,0,0,0,0,0,0,0.2,168,36,1
Count/Balls-Strikes,0-2 Count,38,,45,45,3,9,2,0,0,0,2,1,0,24,0.2,0.2,0.244,0.444,11,1,0,0,0,0,0,0.429,20,136,7
Count/Balls-Strikes,1-2 Count,64,,88,87,2,12,3,0,0,3,0,1,0,47,0.138,0.136,0.172,0.309,15,1,0,0,1,0,0,0.293,-17,50,9
Count/Balls-Strikes,2-2 Count,59,,82,82,4,13,1,0,2,5,1,1,0,43,0.159,0.159,0.244,0.402,20,0,0,0,0,0,0,0.297,8,79,10
