Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,111,92,391,346,50,94,15,3,12,48,3,1,40,48,0.272,0.348,0.436,0.784,151,4,2,0,3,2,3,0.284,100,120,64
Season Totals,Last 7 days,6,4,17,16,1,2,0,0,0,0,0,0,1,1,0.125,0.177,0.125,0.302,2,0,0,0,0,0,0,0.133,-21,-9,2
Season Totals,Last 14 days,12,6,27,25,3,6,0,0,0,0,0,0,2,1,0.24,0.296,0.24,0.536,6,0,0,0,0,0,0,0.25,40,56,6
Season Totals,Last 28 days,26,19,79,65,8,16,3,1,0,9,0,1,12,13,0.246,0.354,0.323,0.678,21,0,0,0,2,0,0,0.296,76,90,12
Season Totals,Last 365 days,143,119,505,456,66,123,21,3,16,68,4,1,42,71,0.27,0.333,0.434,0.768,198,5,3,1,3,3,3,0.288,95,,83
Platoon Splits,vs RHP,110,,361,318,48,87,14,3,12,45,3,1,38,45,0.274,0.352,0.45,0.802,143,4,2,0,3,2,3,0.284,104,126,58
Platoon Splits,vs LHP,25,,30,28,2,7,1,0,0,3,0,0,2,3,0.25,0.3,0.286,0.586,8,0,0,0,0,0,0,0.28,52,66,6
Platoon Splits,vs RHP as LHB,110,,361,318,,87,14,3,12,45,0,0,38,45,0.274,0.352,0.45,0.802,143,4,2,0,3,2,3,0.284,104,118,58
Platoon Splits,vs LHP as LHB,25,,30,28,,7,1,0,0,3,0,0,2,3,0.25,0.3,0.286,0.586,8,0,0,0,0,0,0,0.28,52,77,6
Platoon Splits,vs RH Starter,93,91,368,326,45,85,13,3,11,44,3,1,37,44,0.261,0.337,0.42,0.757,137,4,2,0,3,2,3,0.27,93,113,58
Platoon Splits,vs LH Starter,18,1,23,20,5,9,2,0,1,4,0,0,3,4,0.45,0.522,0.7,1.222,14,0,0,0,0,0,0,0.533,211,241,6
Home or Away,Home,60,50,206,184,26,48,3,2,5,18,0,1,20,24,0.261,0.33,0.38,0.711,70,2,0,0,2,2,3,0.274,82,98,38
Home or Away,Away,51,42,185,162,24,46,12,1,7,30,3,0,20,24,0.284,0.368,0.5,0.868,81,2,2,0,1,0,0,0.296,120,146,26
First or Second Half,1st Half,78,67,284,259,36,71,10,2,11,37,3,0,24,30,0.274,0.335,0.456,0.79,118,3,0,0,1,2,3,0.274,101,122,48
First or Second Half,2nd Half,33,25,107,87,14,23,5,1,1,11,0,1,16,18,0.264,0.383,0.379,0.763,33,1,2,0,2,0,0,0.314,97,114,16
Months,April/March,21,18,75,67,12,20,3,1,4,9,0,0,8,7,0.299,0.373,0.552,0.926,37,0,0,0,0,0,0,0.286,134,162,12
Months,May,22,20,83,77,7,18,1,0,3,9,0,0,6,9,0.234,0.289,0.364,0.653,28,1,0,0,0,2,1,0.231,67,88,14
Months,June,25,21,93,84,12,27,4,0,3,16,3,0,8,9,0.321,0.376,0.476,0.853,40,1,0,0,1,0,2,0.329,117,137,20
Months,July,23,20,86,72,13,17,5,2,2,10,0,1,10,17,0.236,0.337,0.444,0.782,32,2,2,0,2,0,0,0.273,99,113,8
Months,August,20,13,54,46,6,12,2,0,0,4,0,0,8,6,0.261,0.37,0.304,0.675,14,0,0,0,0,0,0,0.3,76,93,10
