Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,18,374.0,336,40.0,68,10,2,11,5,3,32,99,3.09,0.202,0.278,0.342,0.62,115.0,5.0,4.0,0,2,0,3,0.25,100,74,45
Season Totals,Last 7 days,1,22.0,21,2.0,5,0,0,0,0,1,1,5,5.0,0.238,0.273,0.238,0.511,5.0,1.0,0.0,0,0,0,2,0.313,68,51,5
Season Totals,Last 14 days,1,22.0,21,2.0,5,0,0,0,0,1,1,5,5.0,0.238,0.273,0.238,0.511,5.0,1.0,0.0,0,0,0,2,0.313,68,45,5
Season Totals,Last 28 days,1,22.0,21,2.0,5,0,0,0,0,1,1,5,5.0,0.238,0.273,0.238,0.511,5.0,1.0,0.0,0,0,0,2,0.313,68,44,5
Season Totals,Last 365 days,25,514.0,470,49.0,92,16,2,18,6,4,36,132,3.67,0.196,0.261,0.353,0.614,166.0,6.0,6.0,0,2,0,4,0.23,97,,56
Platoon Splits,vs RHB,17,170.0,156,17.0,32,4,0,5,3,3,11,43,3.91,0.205,0.259,0.327,0.586,51.0,1.0,1.0,0,2,0,1,0.246,89,66,23
Platoon Splits,vs LHB,18,204.0,180,16.0,36,6,2,6,2,0,21,56,2.67,0.2,0.294,0.356,0.65,64.0,4.0,3.0,0,0,0,2,0.254,110,80,22
Platoon Splits,vs RHB as RHP,17,170.0,156,17.0,32,4,0,5,3,3,11,43,3.91,0.205,0.259,0.327,0.586,51.0,1.0,1.0,0,2,0,1,0.246,89,70,23
Platoon Splits,vs LHB as RHP,18,204.0,180,16.0,36,6,2,6,2,0,21,56,2.67,0.2,0.294,0.356,0.65,64.0,4.0,3.0,0,0,0,2,0.254,110,78,22
Home or Away,Home,12,252.0,225,28.0,44,6,1,7,5,2,22,66,3.0,0.196,0.274,0.324,0.598,73.0,4.0,3.0,0,2,0,3,0.24,93,71,30
Home or Away,Away,6,122.0,111,12.0,24,4,1,4,0,1,10,33,3.3,0.216,0.287,0.378,0.665,42.0,1.0,1.0,0,0,0,0,0.27,114,84,15
First or Second Half,1st Half,17,352.0,315,38.0,63,10,2,11,5,2,31,94,3.03,0.2,0.278,0.349,0.628,110.0,4.0,4.0,0,2,0,1,0.245,102,77,40
First or Second Half,2nd Half,1,22.0,21,2.0,5,0,0,0,0,1,1,5,5.0,0.238,0.273,0.238,0.511,5.0,1.0,0.0,0,0,0,2,0.313,68,45,5
Months,April/March,6,130.0,119,12.0,20,5,0,4,3,2,10,38,3.8,0.168,0.231,0.311,0.542,37.0,1.0,0.0,0,1,0,0,0.205,74,54,11
Months,May,3,50.0,41,8.0,8,1,1,1,0,0,6,13,2.17,0.195,0.32,0.342,0.662,14.0,1.0,2.0,0,1,0,0,0.25,115,92,5
Months,June,5,109.0,99,15.0,25,3,1,6,0,0,9,32,3.56,0.253,0.321,0.485,0.806,48.0,1.0,1.0,0,0,0,0,0.312,157,122,15
Months,July,3,63.0,56,3.0,10,1,0,0,2,0,6,11,1.83,0.179,0.27,0.196,0.466,11.0,1.0,1.0,0,0,0,1,0.222,54,32,9
Months,August,1,22.0,21,2.0,5,0,0,0,0,1,1,5,5.0,0.238,0.273,0.238,0.511,5.0,1.0,0.0,0,0,0,2,0.313,68,45,5
Game Outcome for Pitcher,in Wins,6,132.0,124,5.0,20,2,1,1,4,1,6,44,7.33,0.161,0.205,0.218,0.422,27.0,1.0,1.0,0,1,0,1,0.238,38,62,16
Game Outcome for Pitcher,in Losses,5,111.0,100,21.0,28,4,0,8,1,0,11,22,2.0,0.28,0.351,0.56,0.911,56.0,2.0,0.0,0,0,0,0,0.286,190,86,16
Game Outcome for Pitcher,in No Dec.,7,131.0,112,14.0,20,4,1,2,0,2,15,33,2.2,0.179,0.29,0.286,0.576,32.0,2.0,3.0,0,1,0,2,0.231,88,67,13
Pitching Role,as Starter,18,374.0,336,40.0,68,10,2,11,5,3,32,99,3.09,0.202,0.278,0.342,0.62,115.0,5.0,4.0,0,2,0,3,0.25,100,72,45
Run Support,0-2 Runs Scored,9,192.0,176,18.0,35,7,0,8,4,1,14,49,3.5,0.199,0.26,0.375,0.635,66.0,3.0,1.0,0,1,0,1,0.225,103,69,20
Run Support,3-5 Runs Scored,6,129.0,114,14.0,21,2,1,1,1,2,13,36,2.77,0.184,0.271,0.246,0.517,28.0,2.0,1.0,0,1,0,2,0.256,69,49,17
Run Support,6+ Runs Scored,3,53.0,46,8.0,12,1,1,2,0,0,5,14,2.8,0.261,0.359,0.457,0.815,21.0,0.0,2.0,0,0,0,0,0.333,162,129,8
Batting Order Positions,Batting 1st,18,50.0,46,4.0,9,3,0,3,0,0,3,11,3.67,0.196,0.26,0.457,0.717,21.0,0.0,1.0,0,0,0,2,0.188,127,92,3
Batting Order Positions,Batting 2nd,18,49.0,40,4.0,11,1,1,2,1,0,8,12,1.5,0.275,0.408,0.5,0.908,20.0,0.0,1.0,0,0,0,0,0.346,193,140,7
Batting Order Positions,Batting 3rd,18,46.0,43,8.0,13,2,0,2,0,1,3,11,3.67,0.302,0.348,0.488,0.836,21.0,0.0,0.0,0,0,0,0,0.367,168,113,9
Batting Order Positions,Batting 4th,18,43.0,35,5.0,6,1,1,1,3,0,6,8,1.33,0.171,0.279,0.343,0.622,12.0,1.0,0.0,0,2,0,0,0.179,101,70,3
Batting Order Positions,Batting 5th,18,40.0,36,6.0,7,0,0,1,0,0,3,9,3.0,0.194,0.275,0.278,0.553,10.0,2.0,1.0,0,0,0,0,0.231,80,56,6
Batting Order Positions,Batting 6th,18,39.0,37,3.0,6,0,0,1,0,0,2,11,5.5,0.162,0.205,0.243,0.448,9.0,1.0,0.0,0,0,0,0,0.2,45,31,5
Batting Order Positions,Batting 7th,18,36.0,32,0.0,5,1,0,0,1,1,4,14,3.5,0.156,0.25,0.188,0.438,6.0,0.0,0.0,0,0,0,1,0.278,45,31,4
Batting Order Positions,Batting 8th,18,36.0,35,1.0,4,2,0,0,0,0,0,13,,0.114,0.139,0.171,0.31,6.0,0.0,1.0,0,0,0,0,0.182,0,-6,2
Batting Order Positions,Batting 9th,18,35.0,32,2.0,7,0,0,1,0,1,3,10,3.33,0.219,0.286,0.313,0.598,10.0,1.0,0.0,0,0,0,0,0.286,94,93,6
Batting Order Positions,"Bat1-2,non-P",18,99.0,86,8.0,20,4,1,5,1,0,11,23,2.09,0.233,0.333,0.477,0.81,41.0,0.0,2.0,0,0,0,2,0.259,159,115,10
Batting Order Positions,"Bat3-6,non-P",18,168.0,151,22.0,32,3,1,5,3,1,14,39,2.79,0.212,0.28,0.344,0.624,52.0,4.0,1.0,0,2,0,0,0.248,101,71,23
Batting Order Positions,"Bat7-9,non-P",18,107.0,99,3.0,16,3,0,1,1,2,7,37,5.29,0.162,0.224,0.222,0.447,22.0,1.0,1.0,0,0,0,1,0.246,46,37,12
Swung or Took First Pitch of PA,Swung at 1st Pitch,18,116.0,109,9.0,20,6,0,1,,,6,32,5.33,0.184,0.233,0.266,0.499,29.0,1.0,1.0,0,0,0,1,0.25,62,45,13
Swung or Took First Pitch of PA,Took 1st Pitch,18,258.0,227,24.0,48,4,2,10,,,26,67,2.58,0.212,0.298,0.379,0.677,86.0,4.0,3.0,0,2,0,2,0.25,118,89,32
Count/Balls-Strikes,First Pitch,17,43.0,42,5.0,6,3,0,1,,,0,0,,0.143,0.163,0.286,0.449,12.0,1.0,1.0,0,0,0,0,0.122,42,-1,2
