Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,124,512,464,51,128,23,0,23,88,0,0,35,103,0.276,0.334,0.474,0.808,220,15,8,0,5,9,1,0.306,100,125,82
Season Totals,Last 7 days,6,6,26,22,2,5,2,0,1,8,0,0,2,6,0.227,0.269,0.455,0.724,10,2,0,0,2,1,0,0.235,77,108,2
Season Totals,Last 14 days,11,11,47,42,4,10,3,0,3,12,0,0,3,12,0.238,0.277,0.524,0.8,22,2,0,0,2,1,0,0.241,94,121,4
Season Totals,Last 28 days,24,24,103,93,9,25,7,0,4,18,0,0,7,25,0.269,0.32,0.473,0.794,44,3,1,0,2,1,0,0.318,96,116,14
Season Totals,Last 365 days,150,149,618,563,60,154,25,0,27,111,0,0,36,130,0.274,0.323,0.462,0.785,260,16,9,0,8,9,1,0.307,94,,102
Platoon Splits,vs RHP,123,,396,359,37,96,20,0,17,71,0,0,28,81,0.267,0.328,0.465,0.794,167,13,6,0,3,5,1,0.299,96,122,59
Platoon Splits,vs LHP,62,,116,105,14,32,3,0,6,17,0,0,7,22,0.305,0.353,0.505,0.858,53,2,2,0,2,4,0,0.329,112,138,23
Platoon Splits,vs RHP as RHB,123,,396,359,,96,20,0,17,71,0,0,28,81,0.267,0.328,0.465,0.794,167,13,6,0,3,5,1,0.299,96,128,59
Platoon Splits,vs LHP as RHB,62,,116,105,,32,3,0,6,17,0,0,7,22,0.305,0.353,0.505,0.858,53,2,2,0,2,4,0,0.329,112,132,23
Platoon Splits,vs RH Starter,100,99,405,364,40,100,17,0,20,72,0,0,31,75,0.275,0.341,0.486,0.827,177,11,7,0,3,9,1,0.294,105,131,63
Platoon Splits,vs LH Starter,25,25,107,100,11,28,6,0,3,16,0,0,4,28,0.28,0.308,0.43,0.738,43,4,1,0,2,0,0,0.352,83,106,19
Home or Away,Home,66,66,269,241,26,65,10,0,12,51,0,0,23,59,0.27,0.342,0.461,0.803,111,9,4,0,1,7,1,0.31,100,122,43
Home or Away,Away,59,58,243,223,25,63,13,0,11,37,0,0,12,44,0.283,0.325,0.489,0.814,109,6,4,0,4,2,0,0.302,101,129,39
First or Second Half,1st Half,94,93,379,344,38,97,16,0,17,62,0,0,26,73,0.282,0.343,0.477,0.82,164,9,7,0,2,6,1,0.313,103,130,64
First or Second Half,2nd Half,31,31,133,120,13,31,7,0,6,26,0,0,9,30,0.258,0.308,0.467,0.775,56,6,1,0,3,3,0,0.287,91,112,18
Months,April/March,30,29,118,107,14,38,5,0,7,26,0,0,10,13,0.355,0.415,0.598,1.013,64,4,1,0,0,3,0,0.356,150,188,26
Months,May,27,27,113,102,10,29,9,0,3,15,0,0,6,24,0.284,0.354,0.461,0.815,47,4,5,0,0,2,0,0.347,103,134,17
Months,June,26,26,103,93,8,18,2,0,4,11,0,0,9,25,0.194,0.272,0.344,0.616,32,1,1,0,0,1,1,0.219,54,71,12
Months,July,23,23,97,90,11,24,1,0,5,21,0,0,4,21,0.267,0.289,0.444,0.733,40,4,0,0,3,2,0,0.284,80,98,18
Months,August,19,19,81,72,8,19,6,0,4,15,0,0,6,20,0.264,0.321,0.514,0.835,37,2,1,0,2,1,0,0.3,105,128,9
Game Outcome for Team,in Wins,69,69,294,261,39,83,11,0,17,67,0,0,21,46,0.318,0.378,0.556,0.933,145,10,7,0,5,7,0,0.325,131,123,55
Game Outcome for Team,in Losses,56,55,218,203,12,45,12,0,6,21,0,0,14,57,0.222,0.275,0.37,0.645,75,5,1,0,0,2,1,0.279,60,118,27
Starter or Substitute,as Starter,124,124,511,463,51,127,23,0,23,88,0,0,35,103,0.274,0.333,0.473,0.806,219,15,8,0,5,9,1,0.304,100,124,81
Starter or Substitute,as Sub,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,410,511,1
Defensive Positions,as C,74,,300,273,25,80,18,0,12,54,0,0,22,52,0.293,0.35,0.491,0.841,134,9,3,0,2,8,0,0.322,108,143,50
Defensive Positions,as 1B,31,,129,118,20,34,4,0,7,27,0,0,6,23,0.288,0.333,0.5,0.833,59,5,3,0,2,1,0,0.3,105,126,23
Defensive Positions,as DH,21,,83,73,6,14,1,0,4,7,0,0,7,28,0.192,0.277,0.37,0.647,27,1,2,0,1,0,1,0.238,61,73,9
Defensive Positions,as PH,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,410,527,1
Defensive Positions,as PH for DH,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,410,420,1
Leading Off Inning,Leadoff Inn.,92,,134,127,,31,6,0,5,6,,,7,33,0.244,0.284,0.409,0.693,52,0,0,0,0,0,1,0.292,71,97,20
Batting Order Positions,Batting 3rd,6,6,25,24,4,8,3,0,1,3,0,0,1,3,0.333,0.36,0.583,0.943,14,1,0,0,0,0,0,0.35,131,138,4
