Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,37,24,87,75,15,19,4,0,4,15,4,1,7,28,0.253,0.31,0.467,0.776,35,0,0,3,2,1,1,0.333,100,116,11
Season Totals,Last 7 days,1,1,3,3,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Season Totals,Last 14 days,7,6,22,21,3,7,3,0,1,7,0,0,1,9,0.333,0.364,0.619,0.983,13,0,0,0,0,0,0,0.546,150,169,3
Season Totals,Last 28 days,17,12,40,36,5,9,3,0,1,7,1,0,3,15,0.25,0.308,0.417,0.724,15,0,0,1,0,0,0,0.4,89,98,5
Season Totals,Last 365 days,37,24,87,75,15,19,4,0,4,15,4,1,7,28,0.253,0.31,0.467,0.776,35,0,0,3,2,1,1,0.333,100,,11
Platoon Splits,vs RHP,25,,63,54,12,13,2,0,3,7,4,1,7,18,0.241,0.328,0.444,0.772,24,0,0,2,0,1,1,0.303,101,116,8
Platoon Splits,vs LHP,14,,24,21,3,6,2,0,1,8,0,0,0,10,0.286,0.261,0.524,0.785,11,0,0,1,2,0,0,0.417,96,113,3
Platoon Splits,vs RHP as LHB,25,,63,54,,13,2,0,3,7,0,0,7,18,0.241,0.328,0.444,0.772,24,0,0,2,0,1,1,0.303,101,109,8
Platoon Splits,vs LHP as LHB,14,,24,21,,6,2,0,1,8,0,0,0,10,0.286,0.261,0.524,0.785,11,0,0,1,2,0,0,0.417,96,129,3
Platoon Splits,vs RH Starter,25,18,61,53,12,14,1,0,3,9,2,0,4,20,0.264,0.305,0.453,0.758,24,0,0,2,2,1,1,0.344,95,110,10
Platoon Splits,vs LH Starter,12,6,26,22,3,5,3,0,1,6,2,1,3,8,0.227,0.32,0.5,0.82,11,0,0,1,0,0,0,0.308,110,127,1
Home or Away,Home,18,10,40,35,9,11,2,0,2,11,1,1,2,10,0.314,0.333,0.543,0.876,19,0,0,1,2,1,1,0.36,124,139,7
Home or Away,Away,19,14,47,40,6,8,2,0,2,4,3,0,5,18,0.2,0.289,0.4,0.689,16,0,0,2,0,0,0,0.3,79,95,4
First or Second Half,1st Half,15,8,28,24,7,7,1,0,2,3,3,1,3,10,0.292,0.37,0.583,0.954,14,0,0,1,0,0,0,0.417,144,165,4
First or Second Half,2nd Half,22,16,59,51,8,12,3,0,2,12,1,0,4,18,0.235,0.281,0.412,0.693,21,0,0,2,2,1,1,0.303,79,89,7
Months,June,6,2,8,5,2,0,0,0,0,0,1,1,2,2,0.0,0.286,0.0,0.286,0,0,0,1,0,0,0,0.0,-8,-9,0
Months,July,18,13,48,41,9,10,1,0,3,8,2,0,4,13,0.244,0.298,0.488,0.786,20,0,0,1,2,1,1,0.259,101,111,6
Months,August,13,9,31,29,4,9,3,0,1,7,1,0,1,13,0.31,0.333,0.517,0.851,15,0,0,1,0,0,0,0.533,118,132,5
Game Outcome for Team,in Wins,18,9,39,32,10,11,0,0,3,9,3,1,2,10,0.344,0.361,0.625,0.986,20,0,0,3,2,1,1,0.381,150,133,8
Game Outcome for Team,in Losses,19,15,48,43,5,8,4,0,1,6,1,0,5,18,0.186,0.271,0.349,0.62,15,0,0,0,0,0,0,0.292,62,110,3
Starter or Substitute,as Starter,24,24,83,73,13,19,4,0,4,15,3,0,6,28,0.26,0.309,0.48,0.788,35,0,0,2,2,1,1,0.349,102,118,11
Starter or Substitute,as Sub,13,0,4,2,2,0,0,0,0,0,1,1,1,0,0.0,0.333,0.0,0.333,0,0,0,1,0,0,0,0.0,7,10,0
Defensive Positions,as LF,17,,56,49,8,15,3,0,2,9,3,0,4,17,0.306,0.352,0.49,0.842,24,0,0,2,1,1,1,0.419,119,136,10
Defensive Positions,as CF,6,,16,13,5,3,0,0,2,4,0,0,2,5,0.231,0.313,0.692,1.005,9,0,0,0,1,0,0,0.143,149,179,1
Defensive Positions,as RF,4,,12,12,,1,1,0,0,2,0,0,0,6,0.083,0.083,0.167,0.25,2,0,0,0,0,0,0,0.167,-38,-33,0
Defensive Positions,as DH,1,,2,0,1,0,0,0,0,0,1,0,1,0,,1.0,,,0,0,0,1,0,0,0,,,,0
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,1,,,,,,0,1,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,18,,23,21,,5,0,0,1,1,,,0,9,0.238,0.238,0.381,0.619,8,0,0,2,0,0,0,0.364,58,74,4
Batting Order Positions,Batting 1st,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 5th,2,0,2,0,1,0,0,0,0,0,1,1,1,0,,1.0,,,0,0,0,1,0,0,0,,,,0
Batting Order Positions,Batting 6th,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 7th,2,1,3,3,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 8th,9,6,24,21,2,6,1,0,1,3,0,0,2,8,0.286,0.348,0.476,0.824,10,0,0,1,0,1,0,0.417,114,149,4
Batting Order Positions,Batting 9th,19,17,58,51,11,13,3,0,3,11,3,0,4,19,0.255,0.298,0.49,0.788,25,0,0,1,2,0,1,0.323,101,149,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,16,,29,27,,8,1,0,3,8,,,0,9,0.296,0.286,0.667,0.952,18,0,0,1,1,0,0,0.313,135,158,4
Swung or Took First Pitch of PA,Took 1st Pitch,24,,58,48,,11,3,0,1,7,,,7,19,0.229,0.321,0.354,0.676,17,0,0,2,1,1,1,0.345,79,89,7
Count/Balls-Strikes,First Pitch,10,,10,8,4,4,1,0,1,3,0,0,0,0,0.5,0.444,1.0,1.444,8,0,0,1,1,0,0,0.375,257,208,2
Count/Balls-Strikes,1-0 Count,2,,2,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,2-0 Count,1,,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,4,,4,1,,0,0,0,0,0,0,0,3,0,0.0,0.75,0.0,0.75,0,0,0,0,0,1,0,0.0,142,-21,0
Count/Balls-Strikes,0-1 Count,2,,2,2,3,2,0,0,1,2,0,0,0,0,1.0,1.0,2.5,3.5,5,0,0,0,0,0,0,1.0,758,690,1
Count/Balls-Strikes,1-1 Count,6,,6,5,1,1,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,1,0,0,1,0,0,0,0.2,7,-1,1
Count/Balls-Strikes,2-1 Count,4,,4,4,2,2,1,0,1,2,0,0,0,0,0.5,0.5,1.5,2.0,6,0,0,0,0,0,0,0.333,383,301,0
Count/Balls-Strikes,3-1 Count,1,,1,1,,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,651,357,0
Count/Balls-Strikes,0-2 Count,4,,5,5,0,1,0,0,0,0,1,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,1,0.333,7,115,1
Count/Balls-Strikes,1-2 Count,11,,14,14,1,2,0,0,0,0,1,0,0,11,0.143,0.143,0.143,0.286,2,0,0,0,0,0,0,0.667,-23,43,2
Count/Balls-Strikes,2-2 Count,17,,22,21,1,3,1,0,0,4,0,0,0,12,0.143,0.136,0.191,0.327,4,0,0,0,1,0,0,0.3,-15,47,2
Count/Balls-Strikes,Full Count,13,,16,12,2,3,0,0,1,4,1,0,4,3,0.25,0.438,0.5,0.938,6,0,0,0,0,0,0,0.25,148,147,2
Count/Balls-Strikes,After 1-0,21,,40,31,,6,3,0,0,3,,,7,10,0.194,0.342,0.29,0.632,9,0,0,2,0,1,0,0.286,72,59,3
Count/Balls-Strikes,After 2-0,13,,16,11,,2,1,0,0,0,,,5,3,0.182,0.438,0.273,0.71,3,0,0,0,0,1,0,0.25,100,47,1
Count/Balls-Strikes,After 3-0,8,,8,5,,2,1,0,0,0,,,3,1,0.4,0.625,0.6,1.225,3,0,0,0,0,1,0,0.5,230,103,1
Count/Balls-Strikes,After 0-1,22,,37,36,,9,0,0,3,9,,,0,18,0.25,0.243,0.5,0.743,18,0,0,0,1,0,1,0.375,86,139,6
Count/Balls-Strikes,After 1-1,21,,36,33,,7,2,0,1,6,,,2,13,0.212,0.257,0.364,0.621,12,0,0,1,0,0,0,0.316,61,86,4
Count/Balls-Strikes,After 2-1,18,,21,18,,5,2,0,1,6,,,3,6,0.278,0.381,0.556,0.937,10,0,0,0,0,0,0,0.364,142,138,2
Count/Balls-Strikes,After 3-1,6,,8,6,,2,1,0,0,0,,,2,1,0.333,0.5,0.5,1.0,3,0,0,0,0,0,0,0.4,168,99,1
Count/Balls-Strikes,After 0-2,16,,21,20,,4,0,0,1,4,,,0,12,0.2,0.191,0.35,0.541,7,0,0,0,1,0,1,0.375,36,133,3
Count/Balls-Strikes,After 1-2,23,,32,30,,4,0,0,1,4,,,1,19,0.133,0.156,0.233,0.39,7,0,0,0,1,0,0,0.273,0,55,3
Count/Balls-Strikes,After 2-2,21,,31,28,,5,1,0,1,8,,,2,14,0.179,0.226,0.321,0.547,9,0,0,0,1,0,0,0.286,42,87,3
Count/Balls-Strikes,Zero Balls,14,,17,15,7,7,1,0,2,5,1,0,0,2,0.467,0.438,0.933,1.371,14,0,0,1,1,0,1,0.417,241,269,4
Count/Balls-Strikes,Zero Strikes,17,,17,11,5,4,1,0,1,3,0,1,3,0,0.364,0.467,0.727,1.194,8,0,0,2,1,1,0,0.273,206,147,2
Count/Balls-Strikes,Three Balls,16,,21,14,2,4,1,0,1,4,1,0,7,3,0.286,0.524,0.571,1.095,8,0,0,0,0,1,0,0.3,191,143,2
Count/Balls-Strikes,Two Strikes,26,,57,52,4,9,1,0,1,8,3,0,4,28,0.173,0.228,0.25,0.478,13,0,0,0,1,0,1,0.333,27,87,7
Count/Balls-Strikes,Batter Ahead,19,,28,20,5,6,2,0,2,6,1,1,7,3,0.3,0.482,0.7,1.182,14,0,0,1,0,1,0,0.267,205,146,2
Count/Balls-Strikes,Even Count,21,,38,34,6,8,2,0,1,7,1,0,0,12,0.235,0.222,0.382,0.605,13,0,0,2,2,0,0,0.304,53,72,5
Count/Balls-Strikes,Pitcher Ahead,14,,21,21,4,5,0,0,1,2,2,0,0,13,0.238,0.238,0.381,0.619,8,0,0,0,0,0,1,0.571,58,137,4
