Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,51,47,187,167,12,37,4,1,7,16,0,0,18,45,0.222,0.305,0.383,0.688,64,5,2,0,0,1,3,0.261,100,93,25
Season Totals,Last 7 days,5,4,18,16,1,3,0,0,1,3,0,0,2,4,0.188,0.278,0.375,0.653,6,0,0,0,0,0,0,0.182,89,87,2
Season Totals,Last 14 days,9,8,34,31,2,7,1,1,1,3,0,0,3,8,0.226,0.294,0.419,0.714,13,1,0,0,0,0,0,0.273,106,96,4
Season Totals,Last 28 days,16,15,60,53,4,14,1,1,2,4,0,0,7,14,0.264,0.35,0.434,0.784,23,1,0,0,0,0,1,0.324,128,115,10
Season Totals,Last 365 days,71,67,267,234,22,47,7,1,8,20,0,0,28,60,0.201,0.3,0.342,0.642,80,8,5,0,0,1,4,0.235,88,,31
Platoon Splits,vs RHP,49,,138,123,8,29,2,1,5,11,0,0,14,28,0.236,0.319,0.39,0.709,48,5,1,0,0,0,3,0.267,106,100,21
Platoon Splits,vs LHP,26,,49,44,4,8,2,0,2,5,0,0,4,17,0.182,0.265,0.364,0.629,16,0,1,0,0,1,0,0.24,82,74,4
Platoon Splits,vs RHP as RHB,49,,138,123,,29,2,1,5,11,0,0,14,28,0.236,0.319,0.39,0.709,48,5,1,0,0,0,3,0.267,106,106,21
Platoon Splits,vs LHP as RHB,26,,49,44,,8,2,0,2,5,0,0,4,17,0.182,0.265,0.364,0.629,16,0,1,0,0,1,0,0.24,82,70,4
Platoon Splits,vs RH Starter,37,34,133,116,6,23,2,1,3,8,0,0,16,33,0.198,0.301,0.31,0.611,36,5,1,0,0,1,3,0.25,80,74,17
Platoon Splits,vs LH Starter,14,13,54,51,6,14,2,0,4,8,0,0,2,12,0.275,0.315,0.549,0.864,28,0,1,0,0,0,0,0.286,147,137,8
Home or Away,Home,23,22,82,74,6,18,2,0,3,7,0,0,8,23,0.243,0.317,0.392,0.709,29,3,0,0,0,0,1,0.313,106,97,13
Home or Away,Away,28,25,105,93,6,19,2,1,4,9,0,0,10,22,0.204,0.295,0.376,0.672,35,2,2,0,0,1,2,0.224,95,91,12
First or Second Half,1st Half,33,30,119,109,8,23,3,0,5,12,0,0,8,30,0.211,0.277,0.376,0.653,41,4,2,0,0,1,2,0.243,89,84,15
First or Second Half,2nd Half,18,17,68,58,4,14,1,1,2,4,0,0,10,15,0.241,0.353,0.397,0.75,23,1,0,0,0,0,1,0.293,119,109,10
Months,April/March,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,-100,-100,0
Months,May,4,4,14,13,1,2,0,0,0,1,0,0,1,4,0.154,0.214,0.154,0.368,2,1,0,0,0,0,0,0.222,10,9,2
Months,June,20,18,75,67,5,16,3,0,3,7,0,0,6,18,0.239,0.32,0.418,0.738,28,2,2,0,0,0,1,0.283,114,105,10
Months,July,14,13,52,46,4,10,0,0,3,5,0,0,6,12,0.217,0.308,0.413,0.721,19,1,0,0,0,1,1,0.226,109,96,7
Months,August,12,11,43,38,2,9,1,1,1,3,0,0,5,10,0.237,0.326,0.395,0.72,15,1,0,0,0,0,0,0.296,110,100,6
Game Outcome for Team,in Wins,28,26,104,92,9,23,2,0,4,11,0,0,10,24,0.25,0.337,0.402,0.739,37,2,2,0,0,1,1,0.297,116,79,17
Game Outcome for Team,in Losses,23,21,83,75,3,14,2,1,3,5,0,0,8,21,0.187,0.265,0.36,0.625,27,3,0,0,0,0,2,0.216,81,111,8
Starter or Substitute,as Starter,47,47,183,163,12,36,4,1,7,16,0,0,18,43,0.221,0.306,0.387,0.693,63,5,2,0,0,1,3,0.257,101,94,24
Starter or Substitute,as Sub,4,0,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,47,54,1
Defensive Positions,as C,48,,183,163,12,36,4,1,7,16,0,0,18,43,0.221,0.306,0.387,0.693,63,5,2,0,0,1,3,0.257,101,101,24
Defensive Positions,as PH,4,,4,4,,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,47,58,1
Leading Off Inning,Leadoff Inn.,28,,42,37,,9,0,0,1,1,,,5,9,0.243,0.333,0.324,0.658,12,0,0,0,0,0,0,0.296,94,91,8
Batting Order Positions,Batting 5th,6,5,22,21,1,5,0,0,1,3,0,0,1,7,0.238,0.273,0.381,0.654,8,0,0,0,0,0,0,0.308,89,80,4
Batting Order Positions,Batting 6th,14,14,57,51,2,11,2,1,1,1,0,0,5,12,0.216,0.298,0.353,0.651,18,3,1,0,0,0,1,0.263,90,90,7
Batting Order Positions,Batting 7th,15,14,51,46,5,12,1,0,2,4,0,0,5,16,0.261,0.333,0.413,0.746,19,1,0,0,0,0,2,0.357,117,117,9
Batting Order Positions,Batting 8th,14,14,55,47,4,8,1,0,3,8,0,0,7,10,0.17,0.291,0.383,0.674,18,1,1,0,0,1,0,0.147,95,104,4
Batting Order Positions,Batting 9th,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,195,224,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,39,,55,55,,13,1,1,2,3,,,0,9,0.236,0.236,0.4,0.636,22,3,0,0,0,0,0,0.25,82,78,9
Swung or Took First Pitch of PA,Took 1st Pitch,51,,132,112,,24,3,0,5,13,,,18,36,0.214,0.333,0.375,0.708,42,2,2,0,0,1,3,0.268,107,98,16
Count/Balls-Strikes,First Pitch,25,,26,26,2,7,1,0,1,1,0,0,0,0,0.269,0.269,0.423,0.692,11,2,0,0,0,0,0,0.24,99,54,5
Count/Balls-Strikes,1-0 Count,7,,9,9,,3,1,0,0,1,0,0,0,0,0.333,0.333,0.444,0.778,4,0,0,0,0,0,0,0.333,125,75,2
Count/Balls-Strikes,2-0 Count,1,,1,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,6,,6,1,,0,0,0,0,0,0,0,5,0,0.0,0.833,0.0,0.833,0,0,0,0,0,1,0,0.0,173,-12,0
Count/Balls-Strikes,0-1 Count,11,,13,13,,4,0,0,0,0,0,0,0,0,0.308,0.308,0.308,0.615,4,0,0,0,0,0,1,0.308,81,53,4
Count/Balls-Strikes,1-1 Count,9,,10,10,1,3,0,0,1,3,0,0,0,0,0.3,0.3,0.6,0.9,6,1,0,0,0,0,0,0.222,155,107,2
Count/Balls-Strikes,2-1 Count,8,,8,7,,3,0,1,0,1,0,0,0,0,0.429,0.5,0.714,1.214,5,0,1,0,0,0,0,0.429,250,168,2
Count/Balls-Strikes,3-1 Count,5,,5,2,,0,0,0,0,1,0,0,3,0,0.0,0.6,0.0,0.6,0,0,0,0,0,0,0,0.0,97,-14,0
Count/Balls-Strikes,0-2 Count,14,,17,17,1,3,0,0,1,2,0,0,0,6,0.177,0.177,0.353,0.529,6,1,0,0,0,0,1,0.2,50,168,2
Count/Balls-Strikes,1-2 Count,32,,43,42,3,8,1,0,3,5,0,0,0,22,0.191,0.209,0.429,0.638,18,0,1,0,0,0,1,0.294,81,198,4
Count/Balls-Strikes,2-2 Count,19,,24,24,2,6,1,0,1,2,0,0,0,9,0.25,0.25,0.417,0.667,10,1,0,0,0,0,0,0.357,91,194,4
Count/Balls-Strikes,Full Count,20,,25,15,1,0,0,0,0,0,0,0,10,8,0.0,0.4,0.0,0.4,0,0,0,0,0,0,0,0.0,31,-12,0
Count/Balls-Strikes,After 1-0,40,,65,49,,9,2,0,2,7,,,15,14,0.184,0.385,0.347,0.732,17,2,1,0,0,1,1,0.212,117,84,5
Count/Balls-Strikes,After 2-0,16,,20,10,,2,0,0,0,2,,,9,4,0.2,0.6,0.2,0.8,2,0,1,0,0,1,0,0.333,149,65,2
Count/Balls-Strikes,After 3-0,8,,8,3,,0,0,0,0,0,,,5,2,0.0,0.625,0.0,0.625,0,0,0,0,0,1,0,0.0,105,-15,0
Count/Balls-Strikes,After 0-1,45,,96,92,,21,1,1,4,8,,,3,31,0.228,0.26,0.391,0.652,36,1,1,0,0,0,2,0.298,87,113,15
Count/Balls-Strikes,After 1-1,47,,77,68,,10,1,1,3,7,,,9,22,0.147,0.247,0.324,0.57,22,2,0,0,0,0,1,0.163,66,71,5
Count/Balls-Strikes,After 2-1,30,,40,27,,4,0,1,0,3,,,12,8,0.148,0.425,0.222,0.647,6,1,1,0,0,0,0,0.211,97,66,3
Count/Balls-Strikes,After 3-1,15,,17,7,,0,0,0,0,1,,,10,3,0.0,0.588,0.0,0.588,0,0,0,0,0,0,0,0.0,93,1,0
Count/Balls-Strikes,After 0-2,28,,42,41,,11,1,0,3,5,,,0,19,0.268,0.286,0.512,0.798,21,1,1,0,0,0,1,0.421,128,246,7
Count/Balls-Strikes,After 1-2,39,,63,61,,13,2,0,4,6,,,1,29,0.213,0.238,0.443,0.681,27,0,1,0,0,0,1,0.321,94,169,7
Count/Balls-Strikes,After 2-2,28,,37,34,,6,1,0,1,2,,,3,14,0.177,0.243,0.294,0.537,10,1,0,0,0,0,0,0.263,56,84,4
Count/Balls-Strikes,Zero Balls,37,,56,56,3,14,1,0,2,3,0,0,0,6,0.25,0.25,0.375,0.625,21,3,0,0,0,0,2,0.25,80,75,11
Count/Balls-Strikes,Zero Strikes,31,,42,37,4,10,2,0,1,2,0,0,5,0,0.27,0.357,0.405,0.763,15,2,0,0,0,1,0,0.25,123,63,7
Count/Balls-Strikes,Three Balls,24,,36,18,1,0,0,0,0,1,0,0,18,8,0.0,0.5,0.0,0.5,0,0,0,0,0,1,0,0.0,64,-8,0
Count/Balls-Strikes,Two Strikes,48,,109,98,7,17,2,0,5,9,0,0,10,45,0.174,0.257,0.347,0.604,34,2,1,0,0,0,2,0.25,75,135,10
Count/Balls-Strikes,Batter Ahead,32,,54,35,3,6,1,1,0,3,0,0,18,8,0.171,0.463,0.257,0.72,9,0,1,0,0,1,0,0.222,119,52,4
Count/Balls-Strikes,Even Count,41,,60,60,5,16,2,0,3,6,0,0,0,9,0.267,0.267,0.45,0.717,27,4,0,0,0,0,0,0.271,105,104,11
Count/Balls-Strikes,Pitcher Ahead,41,,73,72,4,15,1,0,4,7,0,0,0,28,0.208,0.219,0.389,0.608,28,1,1,0,0,0,3,0.275,73,130,10
Number of Outs in Inning,0 outs,38,,60,52,3,14,0,0,3,8,0,0,8,13,0.269,0.367,0.442,0.809,23,2,0,0,0,0,0,0.306,136,126,11
