Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,102,101,444,394,54,105,20,5,16,56,10,5,40,121,0.267,0.34,0.465,0.805,183,2,6,0,4,1,0,0.341,100,125,64
Season Totals,Last 7 days,6,6,25,21,2,6,1,0,0,0,0,1,4,7,0.286,0.4,0.333,0.733,7,0,0,0,0,0,0,0.429,89,119,5
Season Totals,Last 14 days,11,11,48,42,4,10,1,1,0,2,0,1,5,13,0.238,0.313,0.31,0.622,13,0,0,0,1,0,0,0.333,59,79,8
Season Totals,Last 28 days,23,23,101,88,12,23,4,2,2,9,0,2,11,26,0.261,0.347,0.421,0.767,37,0,1,0,1,1,0,0.344,93,112,15
Season Totals,Last 365 days,137,136,596,529,77,152,33,8,23,86,11,6,56,148,0.287,0.359,0.51,0.87,270,3,6,0,5,3,0,0.355,116,,88
Platoon Splits,vs RHP,98,,338,302,41,83,16,4,13,44,5,4,27,99,0.275,0.34,0.483,0.824,146,2,5,0,4,0,0,0.361,104,130,50
Platoon Splits,vs LHP,61,,106,92,13,22,4,1,3,12,5,1,13,22,0.239,0.34,0.402,0.742,37,0,1,0,0,1,0,0.284,87,108,14
Platoon Splits,vs RHP as RHB,98,,338,302,,83,16,4,13,44,0,0,27,99,0.275,0.34,0.483,0.824,146,2,5,0,4,0,0,0.361,104,137,50
Platoon Splits,vs LHP as RHB,61,,106,92,,22,4,1,3,12,0,0,13,22,0.239,0.34,0.402,0.742,37,0,1,0,0,1,0,0.284,87,103,14
Platoon Splits,vs RH Starter,82,81,356,321,40,92,17,5,14,50,8,4,27,97,0.287,0.346,0.502,0.847,161,2,4,0,4,1,0,0.365,110,136,56
Platoon Splits,vs LH Starter,20,20,88,73,14,13,3,0,2,6,2,1,13,24,0.178,0.318,0.301,0.62,22,0,2,0,0,0,0,0.234,58,76,8
Home or Away,Home,50,50,210,178,22,43,6,2,7,28,4,2,24,64,0.242,0.343,0.416,0.759,74,1,5,0,3,0,0,0.327,91,111,28
Home or Away,Away,52,51,234,216,32,62,14,3,9,28,6,3,16,57,0.287,0.338,0.505,0.842,109,1,1,0,1,1,0,0.351,108,138,36
First or Second Half,1st Half,72,71,314,282,40,76,14,3,13,45,9,3,24,86,0.27,0.334,0.479,0.813,135,1,5,0,3,0,0,0.339,102,128,46
First or Second Half,2nd Half,30,30,130,112,14,29,6,2,3,11,1,2,16,35,0.259,0.354,0.429,0.782,48,1,1,0,1,1,0,0.347,97,117,18
Months,April/March,15,15,68,59,11,18,4,0,3,13,0,1,6,20,0.305,0.368,0.525,0.893,31,0,1,0,2,0,0,0.395,121,154,11
Months,May,18,17,80,73,9,16,2,0,2,6,2,0,3,16,0.219,0.275,0.329,0.604,24,0,3,0,1,0,0,0.25,52,74,12
Months,June,26,26,110,97,11,25,5,2,5,12,5,1,12,36,0.258,0.346,0.505,0.851,49,1,1,0,0,0,0,0.357,110,134,13
Months,July,25,25,109,97,15,29,7,1,5,21,3,1,11,29,0.299,0.376,0.546,0.923,53,1,1,0,0,1,0,0.381,128,150,16
Months,August,18,18,77,68,8,17,2,2,1,4,0,2,8,20,0.25,0.325,0.382,0.707,26,0,0,0,1,0,0,0.333,78,97,12
Game Outcome for Team,in Wins,50,50,224,200,35,61,13,4,9,39,5,4,20,55,0.305,0.371,0.545,0.916,109,1,2,0,2,1,0,0.377,127,119,35
