Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,90,68,282,261,22,58,9,0,10,29,4,1,19,84,0.222,0.28,0.372,0.652,97,5,2,0,0,0,1,0.287,100,82,39
Season Totals,Last 7 days,5,3,13,12,0,6,0,0,0,2,0,0,1,1,0.5,0.539,0.5,1.039,6,2,0,0,0,0,0,0.546,227,205,6
Season Totals,Last 14 days,7,5,23,21,1,7,1,0,0,5,0,0,1,4,0.333,0.391,0.381,0.772,8,2,1,0,0,0,0,0.412,142,118,6
Season Totals,Last 28 days,18,13,56,53,3,17,1,0,2,9,0,0,2,10,0.321,0.357,0.453,0.81,24,3,1,0,0,0,0,0.366,149,122,14
Season Totals,Last 365 days,124,94,386,357,32,80,16,0,13,40,5,1,26,109,0.224,0.282,0.378,0.661,135,6,3,0,0,1,1,0.285,102,,51
Platoon Splits,vs RHP,87,,266,245,22,55,9,0,10,27,4,1,19,76,0.225,0.286,0.384,0.669,94,5,2,0,0,0,1,0.283,105,88,36
Platoon Splits,vs LHP,16,,16,16,,3,0,0,0,2,0,0,0,8,0.188,0.188,0.188,0.375,3,0,0,0,0,0,0,0.375,18,6,3
Platoon Splits,vs RHP as LHB,87,,266,245,,55,9,0,10,27,0,0,19,76,0.225,0.286,0.384,0.669,94,5,2,0,0,0,1,0.283,105,82,36
Platoon Splits,vs LHP as LHB,16,,16,16,,3,0,0,0,2,0,0,0,8,0.188,0.188,0.188,0.375,3,0,0,0,0,0,0,0.375,18,13,3
Platoon Splits,vs RH Starter,72,68,261,243,21,51,9,0,10,28,3,1,16,80,0.21,0.264,0.37,0.635,90,4,2,0,0,0,1,0.268,94,77,32
Platoon Splits,vs LH Starter,18,0,21,18,1,7,0,0,0,1,1,0,3,4,0.389,0.476,0.389,0.865,7,1,0,0,0,0,0,0.5,175,148,7
Home or Away,Home,45,37,141,127,12,30,3,0,4,9,3,1,14,35,0.236,0.312,0.354,0.666,45,3,0,0,0,0,1,0.296,107,86,23
Home or Away,Away,45,31,141,134,10,28,6,0,6,20,1,0,5,49,0.209,0.248,0.388,0.636,52,2,2,0,0,0,0,0.279,93,79,16
First or Second Half,1st Half,67,50,209,193,16,39,7,0,7,19,4,1,15,69,0.202,0.263,0.347,0.61,67,2,1,0,0,0,1,0.274,87,72,25
First or Second Half,2nd Half,23,18,73,68,6,19,2,0,3,10,0,0,4,15,0.279,0.329,0.441,0.77,30,3,1,0,0,0,0,0.32,136,112,14
Months,April/March,28,20,89,83,3,16,3,0,2,6,1,1,6,31,0.193,0.247,0.301,0.548,25,1,0,0,0,0,0,0.28,69,57,11
Months,May,24,17,68,66,8,14,1,0,3,7,3,0,2,22,0.212,0.235,0.364,0.599,24,1,0,0,0,0,0,0.268,82,70,10
Months,June,11,10,38,31,2,4,2,0,0,2,0,0,7,13,0.129,0.29,0.194,0.483,6,0,0,0,0,0,1,0.222,55,40,2
Months,July,16,12,50,46,7,14,2,0,4,8,0,0,3,12,0.304,0.36,0.609,0.969,28,1,1,0,0,0,0,0.333,192,160,8
Months,August,11,9,37,35,2,10,1,0,1,6,0,0,1,6,0.286,0.324,0.4,0.724,14,2,1,0,0,0,0,0.321,123,101,8
Game Outcome for Team,in Wins,35,26,114,108,16,33,4,0,8,20,2,1,5,30,0.306,0.342,0.565,0.907,61,2,1,0,0,0,0,0.357,174,115,21
Game Outcome for Team,in Losses,55,42,168,153,6,25,5,0,2,9,2,0,14,54,0.163,0.238,0.235,0.473,36,3,1,0,0,0,1,0.237,48,62,18
Starter or Substitute,as Starter,68,68,256,238,21,51,9,0,10,28,3,1,16,77,0.214,0.27,0.378,0.648,90,4,2,0,0,0,1,0.272,98,80,32
Starter or Substitute,as Sub,22,0,26,23,1,7,0,0,0,1,1,0,3,7,0.304,0.385,0.304,0.689,7,1,0,0,0,0,0,0.438,119,114,7
Defensive Positions,as 1B,24,,83,77,9,22,3,0,5,14,0,0,4,18,0.286,0.337,0.52,0.857,40,3,2,0,0,0,0,0.315,160,132,14
Defensive Positions,as LF,29,,97,92,4,16,3,0,3,8,1,0,5,31,0.174,0.217,0.304,0.521,28,1,0,0,0,0,0,0.224,59,46,10
Defensive Positions,as RF,24,,82,75,8,15,3,0,2,6,2,0,7,31,0.2,0.268,0.32,0.588,24,0,0,0,0,0,1,0.31,82,62,10
Defensive Positions,as DH,2,,5,4,0,1,0,0,0,1,0,1,1,1,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.333,110,82,1
Defensive Positions,as PH,16,,16,13,1,4,0,0,0,0,1,0,3,3,0.308,0.438,0.308,0.745,4,1,0,0,0,0,0,0.4,139,139,4
Defensive Positions,as PH for DH,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Leading Off Inning,Leadoff Inn.,44,,63,58,,13,1,0,2,2,,,5,18,0.224,0.286,0.345,0.631,20,0,0,0,0,0,1,0.29,95,81,10
Batting Order Positions,Batting 1st,4,0,6,4,1,1,0,0,0,0,0,0,2,2,0.25,0.5,0.25,0.75,1,0,0,0,0,0,0,0.5,146,115,1
Batting Order Positions,Batting 3rd,2,1,5,4,0,1,0,0,0,0,0,0,1,0,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.25,110,75,1
Batting Order Positions,Batting 4th,14,13,55,53,8,15,4,0,2,6,3,1,1,14,0.283,0.309,0.472,0.781,25,0,1,0,0,0,0,0.351,137,110,9
Batting Order Positions,Batting 5th,25,20,77,72,1,10,0,0,1,3,0,0,5,30,0.139,0.195,0.181,0.375,13,2,0,0,0,0,1,0.22,18,6,9
