Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,124,568,491,94,143,29,6,39,88,38,4,68,127,0.291,0.378,0.613,0.991,301,6,3,0,4,8,3,0.316,100,174,69
Season Totals,Last 7 days,7,7,33,30,4,6,0,1,2,2,5,0,3,8,0.2,0.273,0.467,0.739,14,0,0,0,0,0,1,0.2,48,109,3
Season Totals,Last 14 days,13,13,61,56,8,10,0,2,5,7,6,0,5,13,0.179,0.246,0.518,0.764,29,0,0,0,0,1,1,0.132,50,105,3
Season Totals,Last 28 days,25,25,116,102,16,21,3,2,9,15,14,0,13,25,0.206,0.293,0.539,0.832,55,0,0,0,1,1,1,0.174,65,122,7
Season Totals,Last 365 days,136,136,621,530,101,154,34,7,40,94,41,5,82,137,0.291,0.386,0.608,0.994,322,7,3,0,4,13,3,0.319,101,,73
Platoon Splits,vs RHP,114,,383,323,72,98,21,5,31,67,29,3,52,85,0.303,0.402,0.687,1.089,222,3,3,0,3,8,1,0.319,118,201,41
Platoon Splits,vs LHP,86,,185,168,22,45,8,1,8,21,9,1,16,42,0.268,0.33,0.47,0.8,79,3,0,0,1,0,2,0.311,64,121,28
Platoon Splits,vs RHP as LHB,114,,383,323,,98,21,5,31,67,0,0,52,85,0.303,0.402,0.687,1.089,222,3,3,0,3,8,1,0.319,118,191,41
Platoon Splits,vs LHP as LHB,86,,185,168,,45,8,1,8,21,0,0,16,42,0.268,0.33,0.47,0.8,79,3,0,0,1,0,2,0.311,64,136,28
Platoon Splits,vs RH Starter,86,86,395,338,69,99,24,4,29,64,31,2,51,86,0.293,0.387,0.645,1.032,218,3,3,0,3,5,1,0.31,108,185,42
Platoon Splits,vs LH Starter,38,38,173,153,25,44,5,2,10,24,7,2,17,41,0.288,0.357,0.543,0.899,83,3,0,0,1,3,2,0.33,83,149,27
Home or Away,Home,62,62,274,229,45,69,13,3,20,41,20,3,37,58,0.301,0.401,0.646,1.047,148,2,3,0,3,4,1,0.318,112,186,33
Home or Away,Away,62,62,294,262,49,74,16,3,19,47,18,1,31,69,0.282,0.357,0.584,0.941,153,4,0,0,1,4,2,0.314,90,164,36
First or Second Half,1st Half,94,94,429,370,75,117,23,4,29,69,23,3,51,93,0.316,0.401,0.635,1.036,235,6,3,0,3,5,2,0.351,109,188,61
First or Second Half,2nd Half,30,30,139,121,19,26,6,2,10,19,15,1,17,34,0.215,0.309,0.546,0.855,66,0,0,0,1,3,1,0.205,71,131,8
Months,April/March,32,32,149,131,25,44,14,1,7,19,5,0,15,28,0.336,0.399,0.618,1.017,81,4,0,0,2,0,1,0.378,106,188,22
Months,May,24,24,104,93,16,29,3,1,7,19,8,0,10,22,0.312,0.385,0.591,0.976,55,0,1,0,0,0,1,0.344,98,178,18
Months,June,26,26,122,99,26,29,4,0,12,24,3,2,20,26,0.293,0.413,0.697,1.11,69,2,1,0,1,4,0,0.274,123,203,13
Months,July,24,24,109,91,16,26,7,2,6,14,12,2,17,33,0.286,0.404,0.604,1.008,55,0,1,0,0,3,0,0.385,105,172,11
Months,August,18,18,84,77,11,15,1,2,7,12,10,0,6,18,0.195,0.25,0.533,0.783,41,0,0,0,1,1,1,0.151,53,109,5
Game Outcome for Team,in Wins,73,73,343,292,66,90,19,3,30,63,19,2,44,75,0.308,0.401,0.702,1.103,205,4,3,0,3,6,2,0.316,121,160,38
Game Outcome for Team,in Losses,51,51,225,199,28,53,10,3,9,25,19,2,24,52,0.266,0.344,0.482,0.826,96,2,0,0,1,2,1,0.317,70,179,31
Starter or Substitute,as Starter,124,124,568,491,94,143,29,6,39,88,38,4,68,127,0.291,0.378,0.613,0.991,301,6,3,0,4,8,3,0.316,100,173,69
Defensive Positions,as DH,124,,568,491,94,143,29,6,39,88,38,4,68,127,0.291,0.378,0.613,0.991,301,6,3,0,4,8,3,0.316,100,161,69
Leading Off Inning,1st Batter G,55,,55,47,,9,2,1,3,3,,,8,13,0.192,0.309,0.468,0.777,22,0,0,0,0,0,1,0.194,58,116,3
Leading Off Inning,Leadoff Inn.,91,,134,118,,37,9,1,12,12,,,15,30,0.314,0.391,0.712,1.103,84,0,0,0,0,1,1,0.329,120,208,15
Batting Order Positions,Batting 1st,55,55,256,217,41,57,11,4,20,42,23,3,36,63,0.263,0.367,0.627,0.994,136,0,1,0,2,7,1,0.272,99,166,22
Batting Order Positions,Batting 2nd,69,69,312,274,53,86,18,2,19,46,15,1,32,64,0.314,0.387,0.602,0.989,165,6,2,0,2,1,2,0.347,101,157,47
Swung or Took First Pitch of PA,Swung at 1st Pitch,111,,216,201,,55,14,3,15,39,,,11,62,0.274,0.312,0.597,0.909,120,3,1,0,2,1,2,0.318,80,151,23
Swung or Took First Pitch of PA,Took 1st Pitch,123,,352,290,,88,15,3,24,49,,,57,65,0.303,0.419,0.624,1.043,181,3,2,0,2,7,1,0.315,113,189,46
Count/Balls-Strikes,First Pitch,49,,62,59,16,20,4,1,7,15,9,2,0,0,0.339,0.328,0.797,1.125,47,3,0,0,2,0,2,0.241,117,138,8
Count/Balls-Strikes,1-0 Count,26,,26,25,14,13,3,0,6,10,5,1,0,0,0.52,0.5,1.36,1.86,34,0,0,0,1,0,0,0.35,254,284,4
Count/Balls-Strikes,2-0 Count,10,,10,10,3,6,2,0,2,4,0,0,0,0,0.6,0.6,1.4,2.0,14,0,0,0,0,0,0,0.5,287,300,2
Count/Balls-Strikes,3-0 Count,18,,19,2,1,2,1,0,1,2,0,0,17,0,1.0,1.0,3.0,4.0,6,0,0,0,0,7,0,1.0,654,343,0
Count/Balls-Strikes,0-1 Count,45,,55,55,8,18,3,1,3,9,11,0,0,0,0.327,0.327,0.582,0.909,32,0,0,0,0,0,0,0.289,82,113,11
Count/Balls-Strikes,1-1 Count,36,,40,39,4,16,6,1,4,15,3,0,0,0,0.41,0.4,0.923,1.323,36,1,0,0,1,0,0,0.333,156,199,5
Count/Balls-Strikes,2-1 Count,26,,27,27,11,16,3,0,5,7,1,1,0,0,0.593,0.593,1.259,1.852,34,2,0,0,0,0,0,0.5,262,288,8
Count/Balls-Strikes,3-1 Count,23,,26,5,1,1,0,0,1,1,0,0,21,0,0.2,0.846,0.8,1.646,4,0,0,0,0,1,0,0.0,254,147,0
Count/Balls-Strikes,0-2 Count,30,,37,36,9,3,0,0,1,2,2,0,0,26,0.083,0.108,0.167,0.275,6,0,1,0,0,0,1,0.222,-44,43,2
Count/Balls-Strikes,1-2 Count,67,,89,87,10,17,5,1,3,8,4,0,0,44,0.195,0.214,0.379,0.593,33,0,2,0,0,0,0,0.35,18,180,8
Count/Balls-Strikes,2-2 Count,65,,85,85,11,22,2,1,3,9,2,0,0,27,0.259,0.259,0.412,0.671,35,0,0,0,0,0,0,0.346,36,197,16
Count/Balls-Strikes,Full Count,70,,92,61,6,9,0,1,3,6,1,0,30,30,0.148,0.429,0.328,0.757,20,0,0,0,0,0,0,0.214,67,93,5
Count/Balls-Strikes,After 1-0,107,,223,170,,57,12,1,19,36,,,50,33,0.335,0.484,0.753,1.237,128,2,1,0,2,7,0,0.317,151,205,25
Count/Balls-Strikes,After 2-0,69,,86,50,,20,4,1,6,11,,,36,8,0.4,0.651,0.88,1.531,44,1,0,0,0,7,0,0.389,216,221,9
Count/Balls-Strikes,After 3-0,28,,31,6,,2,1,0,1,2,,,25,3,0.333,0.871,1.0,1.871,6,0,0,0,0,7,0,0.5,294,214,0
Count/Balls-Strikes,After 0-1,120,,283,262,,66,13,4,13,37,,,18,94,0.252,0.305,0.481,0.786,126,1,2,0,0,1,1,0.342,59,157,36
Count/Balls-Strikes,After 1-1,113,,243,209,,58,13,3,14,35,,,31,63,0.278,0.372,0.569,0.941,119,2,1,0,1,1,0,0.331,91,180,28
Count/Balls-Strikes,After 2-1,88,,146,106,,37,4,2,9,16,,,39,24,0.349,0.524,0.679,1.203,72,2,0,0,0,1,0,0.384,149,206,22
Count/Balls-Strikes,After 3-1,47,,61,23,,4,0,0,1,3,,,38,8,0.174,0.689,0.304,0.993,7,0,0,0,0,1,0,0.214,132,87,3
Count/Balls-Strikes,After 0-2,68,,96,93,,14,2,0,3,8,,,1,56,0.151,0.177,0.269,0.446,25,0,2,0,0,0,1,0.324,-9,95,9
Count/Balls-Strikes,After 1-2,98,,161,155,,28,6,1,6,15,,,4,74,0.181,0.211,0.348,0.56,54,0,2,0,0,0,0,0.293,13,122,15
