Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,21,446.0,402,46.0,93,15,1,12,7,2,33,92,2.79,0.231,0.291,0.363,0.654,146.0,2.0,3.0,2,6,0,2,0.266,100,84,65
Season Totals,Last 7 days,1,20.0,17,2.0,3,0,0,1,0,0,2,1,0.5,0.177,0.25,0.353,0.603,6.0,0.0,0.0,0,1,0,0,0.125,83,73,2
Season Totals,Last 14 days,2,45.0,42,4.0,7,0,0,3,0,0,2,8,4.0,0.167,0.2,0.381,0.581,16.0,0.0,0.0,0,1,0,0,0.125,74,57,4
Season Totals,Last 28 days,4,86.0,76,13.0,20,2,0,4,0,0,8,16,2.0,0.263,0.326,0.447,0.773,34.0,0.0,0.0,0,2,0,0,0.276,135,110,14
Season Totals,Last 365 days,21,446.0,402,46.0,93,15,1,12,7,2,33,92,2.79,0.231,0.291,0.363,0.654,146.0,2.0,3.0,2,6,0,2,0.266,100,,65
Platoon Splits,vs RHB,21,258.0,237,27.0,59,13,1,8,4,2,16,54,3.38,0.249,0.293,0.414,0.707,98.0,1.0,0.0,2,3,0,0,0.287,115,99,37
Platoon Splits,vs LHB,21,188.0,165,13.0,34,2,0,4,3,0,17,38,2.24,0.206,0.287,0.291,0.578,48.0,1.0,3.0,0,3,0,2,0.238,79,62,28
Platoon Splits,vs RHB as RHP,21,258.0,237,27.0,59,13,1,8,4,2,16,54,3.38,0.249,0.293,0.414,0.707,98.0,1.0,0.0,2,3,0,0,0.287,115,103,37
Platoon Splits,vs LHB as RHP,21,188.0,165,13.0,34,2,0,4,3,0,17,38,2.24,0.206,0.287,0.291,0.578,48.0,1.0,3.0,0,3,0,2,0.238,79,60,28
Home or Away,Home,10,219.0,198,20.0,39,7,0,5,4,0,18,54,3.0,0.197,0.26,0.308,0.568,61.0,0.0,0.0,0,3,0,0,0.239,74,62,27
Home or Away,Away,11,227.0,204,26.0,54,8,1,7,3,2,15,38,2.53,0.265,0.32,0.417,0.737,85.0,2.0,3.0,2,3,0,2,0.29,125,104,38
First or Second Half,1st Half,16,340.0,307,33.0,70,13,1,8,6,2,24,71,2.96,0.228,0.287,0.355,0.642,109.0,2.0,3.0,2,4,0,2,0.267,96,81,48
First or Second Half,2nd Half,5,106.0,95,13.0,23,2,0,4,1,0,9,21,2.33,0.242,0.302,0.39,0.691,37.0,0.0,0.0,0,2,0,0,0.264,111,91,17
Months,April/March,3,63.0,57,5.0,16,3,0,0,2,0,4,13,3.25,0.281,0.318,0.333,0.651,19.0,0.0,0.0,0,2,0,0,0.348,101,87,13
