Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,123,122,511,449,62,105,28,2,18,77,20,3,54,105,0.234,0.323,0.425,0.748,191,3,6,0,2,1,7,0.265,100,109,57
Season Totals,Last 7 days,6,6,22,19,2,4,2,0,0,2,0,1,3,6,0.211,0.318,0.316,0.634,6,0,0,0,0,0,0,0.308,73,85,2
Season Totals,Last 14 days,12,12,46,38,7,12,2,0,3,11,2,1,7,9,0.316,0.413,0.605,1.018,23,0,0,0,1,0,1,0.333,170,180,7
Season Totals,Last 28 days,24,24,96,85,11,19,6,1,3,16,5,2,10,19,0.224,0.302,0.424,0.726,36,0,0,0,1,0,3,0.25,93,97,9
Season Totals,Last 365 days,159,157,669,586,79,144,37,3,23,97,24,4,72,144,0.246,0.336,0.437,0.773,256,5,9,0,2,1,7,0.287,107,,81
Platoon Splits,vs RHP,117,,371,328,43,77,17,2,15,55,14,2,38,77,0.235,0.321,0.436,0.757,143,3,4,0,1,0,3,0.262,102,112,43
Platoon Splits,vs LHP,68,,140,121,19,28,11,0,3,22,6,1,16,28,0.231,0.329,0.397,0.725,48,0,2,0,1,1,4,0.275,95,103,14
Platoon Splits,vs RHP as RHB,117,,371,328,,77,17,2,15,55,0,0,38,77,0.235,0.321,0.436,0.757,143,3,4,0,1,0,3,0.262,102,118,43
Platoon Splits,vs LHP as RHB,68,,140,121,,28,11,0,3,22,0,0,16,28,0.231,0.329,0.397,0.725,48,0,2,0,1,1,4,0.275,95,98,14
Platoon Splits,vs RH Starter,86,85,354,308,41,75,18,2,15,53,14,3,40,72,0.244,0.339,0.461,0.8,142,3,5,0,1,1,3,0.27,113,124,40
Platoon Splits,vs LH Starter,37,37,157,141,21,30,10,0,3,24,6,0,14,33,0.213,0.287,0.348,0.634,49,0,1,0,1,0,4,0.255,71,78,17
Home or Away,Home,64,64,263,230,37,51,13,0,11,38,11,0,29,53,0.222,0.316,0.422,0.737,97,3,3,0,1,1,3,0.24,97,104,27
Home or Away,Away,59,58,248,219,25,54,15,2,7,39,9,3,25,52,0.247,0.331,0.429,0.76,94,0,3,0,1,0,4,0.292,103,116,30
First or Second Half,1st Half,95,94,398,347,50,84,22,1,15,60,14,1,44,81,0.242,0.337,0.441,0.778,153,3,6,0,1,1,4,0.274,108,119,46
First or Second Half,2nd Half,28,28,113,102,12,21,6,1,3,17,6,2,10,24,0.206,0.274,0.373,0.647,38,0,0,0,1,0,3,0.237,73,78,11
Months,April/March,30,30,128,107,17,27,8,1,3,21,7,0,17,24,0.252,0.367,0.43,0.797,46,0,3,0,1,0,1,0.296,115,129,15
Months,May,25,24,100,85,10,15,4,0,3,14,4,1,14,18,0.177,0.3,0.329,0.629,28,2,1,0,0,1,1,0.188,70,83,8
Months,June,27,27,114,107,12,30,7,0,4,16,2,0,5,28,0.28,0.325,0.458,0.783,49,0,2,0,0,0,1,0.347,108,116,19
Months,July,24,24,103,94,15,20,7,1,5,14,4,1,9,23,0.213,0.282,0.468,0.75,44,1,0,0,0,0,2,0.227,97,101,7
Months,August,17,17,66,56,8,13,2,0,3,12,3,1,9,12,0.232,0.333,0.429,0.762,24,0,0,0,1,0,2,0.238,104,111,8
Game Outcome for Team,in Wins,59,59,258,223,43,60,20,2,11,53,11,3,30,51,0.269,0.361,0.525,0.885,117,2,3,0,2,1,5,0.301,135,111,27
Game Outcome for Team,in Losses,64,63,253,226,19,45,8,0,7,24,9,0,24,54,0.199,0.285,0.327,0.612,74,1,3,0,0,0,2,0.23,65,108,30
Starter or Substitute,as Starter,122,122,510,449,62,105,28,2,18,76,20,3,53,105,0.234,0.322,0.425,0.747,191,3,6,0,2,1,7,0.265,100,109,57
Starter or Substitute,as Sub,1,0,1,0,0,0,0,0,0,1,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Defensive Positions,as 1B,57,,227,209,28,50,13,1,9,30,4,2,16,55,0.239,0.3,0.44,0.74,92,2,2,0,0,1,2,0.283,96,101,27
Defensive Positions,as 2B,4,,10,9,3,5,0,0,3,7,1,0,1,2,0.556,0.6,1.556,2.156,14,0,0,0,0,0,0,0.5,452,511,2
Defensive Positions,as LF,68,,262,221,30,47,14,1,6,39,15,1,35,46,0.213,0.328,0.367,0.695,81,1,4,0,2,0,5,0.24,88,98,26
Defensive Positions,as RF,2,,3,3,,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,2,0,0,0,0,0,0,0.5,160,167,0
Defensive Positions,as DH,2,,8,7,1,2,0,0,0,0,0,0,1,1,0.286,0.375,0.286,0.661,2,0,0,0,0,0,0,0.333,83,83,2
Defensive Positions,as PH,1,,1,0,,0,0,0,0,1,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Leading Off Inning,1st Batter G,2,,2,2,,0,0,0,0,0,,,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,80,,111,99,,16,3,0,5,5,,,11,27,0.162,0.252,0.343,0.596,34,0,1,0,0,0,2,0.164,59,70,8
Batting Order Positions,Batting 1st,3,2,10,6,3,3,0,0,3,8,1,0,4,2,0.5,0.7,2.0,2.7,12,0,0,0,0,0,0,0.0,587,605,0
Batting Order Positions,Batting 2nd,12,12,54,47,10,12,4,0,2,10,2,0,6,10,0.255,0.352,0.468,0.82,22,0,1,0,0,0,1,0.286,119,115,6
Batting Order Positions,Batting 3rd,36,36,150,131,12,21,7,0,3,15,10,1,17,28,0.16,0.26,0.282,0.542,37,1,1,0,1,1,3,0.178,47,41,11
Batting Order Positions,Batting 4th,55,55,230,208,27,48,12,1,9,32,4,1,19,52,0.231,0.3,0.428,0.728,89,1,2,0,1,0,3,0.264,94,97,26
Batting Order Positions,Batting 5th,10,10,39,33,4,8,2,0,0,4,1,1,6,7,0.242,0.359,0.303,0.662,10,1,0,0,0,0,0,0.308,82,88,6
Batting Order Positions,Batting 6th,1,1,4,4,0,1,1,0,0,0,0,0,0,2,0.25,0.25,0.5,0.75,2,0,0,0,0,0,0,0.5,95,113,0
Batting Order Positions,Batting 7th,6,6,24,20,6,12,2,1,1,8,2,0,2,4,0.6,0.667,0.95,1.617,19,0,2,0,0,0,0,0.733,330,367,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,82,,110,105,,26,8,0,3,19,,,5,22,0.248,0.282,0.41,0.691,43,1,0,0,0,0,3,0.288,84,97,15
Swung or Took First Pitch of PA,Took 1st Pitch,122,,401,344,,79,20,2,15,58,,,49,83,0.23,0.334,0.43,0.764,148,2,6,0,2,1,4,0.258,105,113,42
Count/Balls-Strikes,First Pitch,42,,45,42,8,16,4,0,2,11,3,0,0,0,0.381,0.422,0.619,1.041,26,0,3,0,0,0,1,0.35,176,134,10
Count/Balls-Strikes,1-0 Count,38,,42,41,2,10,2,0,2,6,1,1,0,0,0.244,0.262,0.439,0.701,18,0,1,0,0,0,2,0.205,84,54,6
Count/Balls-Strikes,2-0 Count,10,,11,11,3,2,1,0,0,0,0,0,0,0,0.182,0.182,0.273,0.455,3,0,0,0,0,0,0,0.182,21,-3,1
Count/Balls-Strikes,3-0 Count,8,,9,1,5,0,0,0,0,0,0,0,8,0,0.0,0.889,0.0,0.889,0,0,0,0,0,1,0,0.0,175,-6,0
Count/Balls-Strikes,0-1 Count,45,,48,48,14,17,6,0,4,13,4,1,0,0,0.354,0.354,0.729,1.083,35,0,0,0,0,0,0,0.296,181,150,7
Count/Balls-Strikes,1-1 Count,37,,43,43,5,11,1,1,2,9,4,0,0,0,0.256,0.256,0.465,0.721,20,2,0,0,0,0,1,0.22,89,67,7
Count/Balls-Strikes,2-1 Count,20,,22,21,4,7,1,0,2,8,0,0,0,0,0.333,0.318,0.667,0.985,14,1,0,0,1,0,0,0.25,155,107,4
Count/Balls-Strikes,3-1 Count,23,,26,8,7,3,0,0,3,7,0,0,18,0,0.375,0.808,1.5,2.308,12,0,0,0,0,0,0,0.0,503,251,0
Count/Balls-Strikes,0-2 Count,36,,38,38,3,3,2,0,0,2,2,1,0,18,0.079,0.079,0.132,0.211,5,0,0,0,0,0,0,0.15,-45,9,1
