Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,68,64,273,251,38,70,9,2,7,30,13,0,17,59,0.279,0.328,0.414,0.743,104,6,2,2,1,0,3,0.339,100,108,52
Season Totals,Last 7 days,2,2,7,6,0,2,0,0,0,0,1,0,0,3,0.333,0.333,0.333,0.667,2,0,0,1,0,0,0,0.667,82,95,2
Season Totals,Last 14 days,2,2,7,6,0,2,0,0,0,0,1,0,0,3,0.333,0.333,0.333,0.667,2,0,0,1,0,0,0,0.667,82,88,2
Season Totals,Last 28 days,2,2,7,6,0,2,0,0,0,0,1,0,0,3,0.333,0.333,0.333,0.667,2,0,0,1,0,0,0,0.667,82,85,2
Season Totals,Last 365 days,68,64,273,251,38,70,9,2,7,30,13,0,17,59,0.279,0.328,0.414,0.743,104,6,2,2,1,0,3,0.339,100,,52
Platoon Splits,vs RHP,62,,194,180,24,46,4,1,5,21,10,0,11,41,0.256,0.301,0.372,0.673,67,6,1,1,1,0,3,0.304,82,90,36
Platoon Splits,vs LHP,35,,79,71,14,24,5,1,2,9,3,0,6,18,0.338,0.397,0.521,0.919,37,0,1,1,0,0,0,0.431,147,155,16
Platoon Splits,vs RHP as RHB,62,,194,180,,46,4,1,5,21,0,0,11,41,0.256,0.301,0.372,0.673,67,6,1,1,1,0,3,0.304,82,95,36
Platoon Splits,vs LHP as RHB,35,,79,71,,24,5,1,2,9,0,0,6,18,0.338,0.397,0.521,0.919,37,0,1,1,0,0,0,0.431,147,149,16
Platoon Splits,vs RH Starter,46,42,177,166,20,41,4,0,5,16,11,0,8,39,0.247,0.284,0.361,0.646,60,5,1,1,1,0,3,0.293,74,81,32
Platoon Splits,vs LH Starter,22,22,96,85,18,29,5,2,2,14,2,0,9,20,0.341,0.411,0.518,0.928,44,1,1,1,0,0,0,0.429,150,160,20
Home or Away,Home,37,35,145,134,16,35,4,1,5,13,4,0,9,38,0.261,0.308,0.418,0.726,56,3,0,2,0,0,0,0.33,95,100,25
Home or Away,Away,31,29,128,117,22,35,5,1,2,17,9,0,8,21,0.299,0.352,0.41,0.762,48,3,2,0,1,0,3,0.347,106,118,27
First or Second Half,1st Half,66,62,266,245,38,68,9,2,7,30,12,0,17,56,0.278,0.328,0.416,0.745,102,6,2,1,1,0,3,0.333,101,110,50
First or Second Half,2nd Half,2,2,7,6,0,2,0,0,0,0,1,0,0,3,0.333,0.333,0.333,0.667,2,0,0,1,0,0,0,0.667,82,87,2
Months,April/March,25,25,111,104,16,30,4,0,4,12,6,0,6,24,0.289,0.327,0.442,0.77,46,1,0,1,0,0,3,0.342,107,119,22
Months,May,28,24,105,95,12,24,3,1,2,11,3,0,7,24,0.253,0.314,0.368,0.683,35,2,2,0,1,0,0,0.314,85,97,18
Months,June,13,13,50,46,10,14,2,1,1,7,3,0,4,8,0.304,0.36,0.457,0.817,21,3,0,0,0,0,0,0.351,120,127,10
Months,August,2,2,7,6,0,2,0,0,0,0,1,0,0,3,0.333,0.333,0.333,0.667,2,0,0,1,0,0,0,0.667,82,87,2
Game Outcome for Team,in Wins,31,29,134,123,23,33,3,2,3,20,9,0,8,32,0.268,0.318,0.398,0.717,49,4,1,2,0,0,3,0.341,93,73,25
Game Outcome for Team,in Losses,37,35,139,128,15,37,6,0,4,10,4,0,9,27,0.289,0.338,0.43,0.768,55,2,1,0,1,0,0,0.337,107,160,27
Starter or Substitute,as Starter,64,64,270,249,36,70,9,2,7,30,13,0,17,59,0.281,0.328,0.418,0.746,104,6,1,2,1,0,3,0.342,101,109,52
Starter or Substitute,as Sub,4,0,3,2,2,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,0,0,1,0,0,0,0,0.0,2,11,0
Defensive Positions,as RF,60,,247,229,33,65,9,2,6,28,13,0,13,52,0.284,0.327,0.419,0.746,96,6,2,2,1,0,3,0.343,101,105,48
Defensive Positions,as DH,5,,24,20,5,5,0,0,1,2,0,0,4,7,0.25,0.375,0.4,0.775,8,0,0,0,0,0,0,0.333,111,110,4
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,39,,54,52,,14,1,0,1,1,,,2,13,0.269,0.296,0.346,0.643,18,0,0,0,0,0,0,0.342,74,85,12
Batting Order Positions,Batting 2nd,28,27,123,116,14,30,5,0,3,13,5,0,6,31,0.259,0.293,0.379,0.672,44,1,0,0,1,0,3,0.325,81,77,22
Batting Order Positions,Batting 4th,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0.0,52,59,0
Batting Order Positions,Batting 5th,26,25,100,89,16,27,3,2,2,12,7,0,9,18,0.303,0.367,0.449,0.817,40,3,0,2,0,0,0,0.362,120,127,20
Batting Order Positions,Batting 6th,12,12,48,45,6,13,1,0,2,5,1,0,2,10,0.289,0.333,0.444,0.778,20,2,1,0,0,0,0,0.333,109,126,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,52,,78,73,,24,3,0,1,5,,,3,20,0.329,0.364,0.411,0.775,30,0,1,1,0,0,1,0.442,110,126,20
Swung or Took First Pitch of PA,Took 1st Pitch,65,,195,178,,46,6,2,6,25,,,14,39,0.258,0.314,0.416,0.73,74,6,1,1,1,0,2,0.299,96,103,32
Count/Balls-Strikes,First Pitch,21,,24,22,6,8,1,0,0,1,2,0,0,0,0.364,0.391,0.409,0.8,9,0,1,1,0,0,0,0.364,118,87,7
Count/Balls-Strikes,1-0 Count,22,,26,25,1,8,2,0,1,8,5,0,0,0,0.32,0.308,0.52,0.828,13,2,0,0,1,0,0,0.28,120,81,5
Count/Balls-Strikes,2-0 Count,4,,4,4,0,1,0,0,0,1,2,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.25,37,13,1
Count/Balls-Strikes,0-1 Count,18,,24,23,2,9,0,1,0,5,1,0,0,0,0.391,0.417,0.478,0.895,11,1,1,0,0,0,0,0.391,143,119,8
Count/Balls-Strikes,1-1 Count,19,,21,20,6,9,1,1,1,5,0,0,0,0,0.45,0.45,0.75,1.2,15,0,0,1,0,0,1,0.421,218,181,6
Count/Balls-Strikes,2-1 Count,12,,12,12,,4,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,4,1,0,0,0,0,1,0.333,82,54,4
Count/Balls-Strikes,3-1 Count,6,,6,5,1,1,1,0,0,1,0,0,1,0,0.2,0.333,0.4,0.733,2,1,0,0,0,0,1,0.2,98,11,0
Count/Balls-Strikes,0-2 Count,23,,30,30,3,4,0,0,1,1,0,0,0,17,0.133,0.133,0.233,0.367,7,0,0,0,0,0,0,0.25,-3,88,3
Count/Balls-Strikes,1-2 Count,39,,54,54,7,15,1,0,1,3,1,0,0,17,0.278,0.278,0.352,0.63,19,1,0,0,0,0,0,0.389,70,207,13
Count/Balls-Strikes,2-2 Count,31,,39,39,4,5,1,0,1,3,2,0,0,18,0.128,0.128,0.231,0.359,9,0,0,0,0,0,0,0.2,-5,57,3
Count/Balls-Strikes,Full Count,26,,33,17,8,6,2,0,2,2,0,0,16,7,0.353,0.667,0.824,1.49,14,0,0,0,0,0,0,0.5,302,294,2
Count/Balls-Strikes,After 1-0,52,,95,83,,18,5,1,2,13,,,10,17,0.217,0.298,0.374,0.671,31,5,0,1,1,0,2,0.246,81,67,10
Count/Balls-Strikes,After 2-0,14,,17,15,,1,0,0,0,1,,,2,6,0.067,0.177,0.067,0.243,1,1,0,0,0,0,0,0.111,-30,-50,1
Count/Balls-Strikes,After 3-0,1,,1,1,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,After 0-1,64,,154,146,,44,3,1,5,16,,,7,42,0.301,0.338,0.438,0.776,64,1,1,0,0,0,1,0.394,109,157,35
Count/Balls-Strikes,After 1-1,55,,113,98,,31,5,1,4,13,,,14,26,0.316,0.402,0.51,0.912,50,2,0,1,0,0,3,0.397,146,174,21
Count/Balls-Strikes,After 2-1,36,,50,37,,10,2,0,2,4,,,13,11,0.27,0.46,0.487,0.947,18,1,0,0,0,0,2,0.333,158,141,6
Count/Balls-Strikes,After 3-1,11,,13,7,,2,2,0,0,1,,,6,0,0.286,0.615,0.571,1.187,4,1,0,0,0,0,1,0.286,225,134,0
Count/Balls-Strikes,After 0-2,43,,69,68,,13,1,0,2,2,,,1,27,0.191,0.203,0.294,0.497,20,0,0,0,0,0,0,0.282,33,118,10
Count/Balls-Strikes,After 1-2,59,,93,89,,21,3,0,2,5,,,4,31,0.236,0.269,0.337,0.606,30,1,0,0,0,0,0,0.339,63,143,16
Count/Balls-Strikes,After 2-2,42,,65,54,,10,2,0,3,5,,,11,25,0.185,0.323,0.389,0.712,21,0,0,0,0,0,0,0.269,92,144,5
Count/Balls-Strikes,Zero Balls,42,,78,75,11,21,1,1,1,7,3,0,0,17,0.28,0.299,0.36,0.659,27,1,2,1,0,0,0,0.351,78,89,18
Count/Balls-Strikes,Zero Strikes,39,,54,51,7,17,3,0,1,10,9,0,0,0,0.333,0.34,0.451,0.791,23,2,1,1,1,0,0,0.314,113,66,13
Count/Balls-Strikes,Three Balls,29,,39,22,9,7,3,0,2,3,0,0,17,7,0.318,0.615,0.727,1.343,16,1,0,0,0,0,1,0.385,263,199,2
Count/Balls-Strikes,Two Strikes,65,,156,140,22,30,4,0,5,9,3,0,16,59,0.214,0.295,0.35,0.645,49,1,0,0,0,0,0,0.329,75,152,21
Count/Balls-Strikes,Batter Ahead,46,,81,63,10,20,5,0,3,12,7,0,17,7,0.318,0.457,0.54,0.997,34,4,0,0,1,0,2,0.315,170,108,12
Count/Balls-Strikes,Even Count,52,,84,81,16,22,3,1,2,9,4,0,0,18,0.272,0.281,0.407,0.688,33,0,1,2,0,0,1,0.328,84,99,16
Count/Balls-Strikes,Pitcher Ahead,55,,108,107,12,28,1,1,2,9,2,0,0,34,0.262,0.269,0.346,0.614,37,2,1,0,0,0,0,0.366,66,140,24
Number of Outs in Inning,0 outs,51,,86,80,5,24,3,0,1,3,3,0,4,20,0.3,0.333,0.375,0.708,30,1,0,2,0,0,0,0.39,92,98,20
