Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,102,101,449,408,71,125,14,3,13,36,11,4,36,39,0.306,0.367,0.451,0.818,184,5,3,2,0,0,2,0.315,100,130,95
Season Totals,Last 7 days,6,6,27,24,1,2,0,0,0,0,2,0,3,3,0.083,0.185,0.083,0.269,2,0,0,0,0,0,0,0.095,-31,-17,2
Season Totals,Last 14 days,12,12,53,47,5,7,0,0,2,4,2,0,6,5,0.149,0.245,0.277,0.522,13,0,0,0,0,0,0,0.125,28,49,5
Season Totals,Last 28 days,25,24,107,96,14,19,0,1,3,7,5,0,11,9,0.198,0.28,0.313,0.593,30,0,0,0,0,0,1,0.191,46,65,15
Season Totals,Last 365 days,135,134,605,544,87,161,22,4,13,47,16,5,54,55,0.296,0.362,0.423,0.784,230,6,3,2,2,0,2,0.31,92,,122
Platoon Splits,vs RHP,96,,317,288,49,84,12,3,8,25,9,2,25,24,0.292,0.354,0.438,0.792,126,4,3,1,0,0,2,0.297,94,123,61
Platoon Splits,vs LHP,65,,132,120,22,41,2,0,5,11,2,2,11,15,0.342,0.397,0.483,0.88,58,1,0,1,0,0,0,0.36,115,146,34
Platoon Splits,vs RHP as LHB,96,,317,288,,84,12,3,8,25,0,0,25,24,0.292,0.354,0.438,0.792,126,4,3,1,0,0,2,0.297,94,116,61
Platoon Splits,vs LHP as LHB,65,,132,120,,41,2,0,5,11,0,0,11,15,0.342,0.397,0.483,0.88,58,1,0,1,0,0,0,0.36,115,163,34
Platoon Splits,vs RH Starter,74,74,325,297,45,82,10,3,5,21,9,4,24,30,0.276,0.336,0.381,0.717,113,4,3,1,0,0,2,0.294,76,103,64
Platoon Splits,vs LH Starter,28,27,124,111,26,43,4,0,8,15,2,0,12,9,0.387,0.447,0.64,1.087,71,1,0,1,0,0,0,0.372,164,202,31
Home or Away,Home,48,47,202,181,37,59,6,1,8,20,5,0,18,21,0.326,0.39,0.503,0.893,91,3,1,2,0,0,1,0.336,118,147,44
Home or Away,Away,54,54,247,227,34,66,8,2,5,16,6,4,18,18,0.291,0.348,0.41,0.758,93,2,2,0,0,0,1,0.299,86,117,51
First or Second Half,1st Half,69,69,308,281,55,99,14,2,9,27,5,4,23,25,0.352,0.407,0.513,0.92,144,5,3,1,0,0,1,0.364,124,159,74
First or Second Half,2nd Half,33,32,141,127,16,26,0,1,4,9,6,0,13,14,0.205,0.279,0.315,0.594,40,0,0,1,0,0,1,0.202,46,66,21
Months,April/March,28,28,129,120,27,42,5,1,3,9,3,3,8,11,0.35,0.395,0.483,0.879,58,1,1,0,0,0,0,0.368,115,151,33
Months,May,5,5,21,17,3,8,1,1,0,3,0,0,4,1,0.471,0.571,0.647,1.219,11,1,0,0,0,0,0,0.5,199,253,6
Months,June,23,23,102,91,19,34,7,0,4,12,1,1,8,8,0.374,0.436,0.582,1.018,53,0,2,1,0,0,0,0.38,148,182,23
Months,July,25,25,106,100,9,25,1,0,4,6,2,0,5,10,0.25,0.286,0.38,0.666,38,3,0,1,0,0,1,0.244,62,81,20
Months,August,21,20,91,80,13,16,0,1,2,6,5,0,11,9,0.2,0.297,0.3,0.597,24,0,0,0,0,0,1,0.203,47,68,13
Game Outcome for Team,in Wins,55,55,253,224,55,82,12,1,12,29,7,1,27,19,0.366,0.437,0.589,1.026,132,2,1,1,0,0,0,0.363,150,147,57
Game Outcome for Team,in Losses,47,46,196,184,16,43,2,2,1,7,4,3,9,20,0.234,0.277,0.283,0.56,52,3,2,1,0,0,2,0.258,38,92,38
Starter or Substitute,as Starter,101,101,448,407,71,125,14,3,13,36,11,4,36,39,0.307,0.368,0.452,0.82,184,5,3,2,0,0,2,0.316,101,130,95
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as LF,94,,417,381,64,114,14,3,11,33,11,4,32,37,0.299,0.358,0.438,0.797,167,5,3,1,0,0,1,0.309,95,125,86
Defensive Positions,as DH,7,,31,26,7,11,0,0,2,3,0,0,4,2,0.423,0.5,0.654,1.154,17,0,0,1,0,0,1,0.409,181,208,9
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,101,,101,96,,25,3,0,2,2,,,5,13,0.26,0.297,0.354,0.651,34,0,0,0,0,0,1,0.284,59,83,20
Leading Off Inning,Leadoff Inn.,101,,193,179,,53,7,1,6,6,,,14,18,0.296,0.347,0.447,0.794,80,0,0,0,0,0,1,0.303,94,127,39
