Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,50,48,201,176,24,41,3,0,10,34,6,0,15,37,0.233,0.318,0.421,0.739,74,0,8,0,2,0,1,0.237,100,106,28
Season Totals,Last 7 days,6,6,21,21,4,6,0,0,3,3,0,0,0,8,0.286,0.286,0.714,1.0,15,0,0,0,0,0,0,0.3,160,177,3
Season Totals,Last 14 days,13,13,51,47,8,13,0,0,5,10,0,0,2,12,0.277,0.333,0.596,0.929,28,0,2,0,0,0,0,0.267,147,152,8
Season Totals,Last 28 days,24,22,90,79,10,20,1,0,6,18,0,0,7,18,0.253,0.322,0.494,0.816,39,0,2,0,2,0,1,0.246,119,120,13
Season Totals,Last 365 days,86,81,349,299,46,77,7,4,17,53,10,2,32,58,0.258,0.349,0.478,0.827,143,0,12,2,4,0,1,0.263,124,,49
Platoon Splits,vs RHP,46,,150,135,19,31,2,0,9,25,2,0,10,25,0.23,0.293,0.444,0.738,60,0,3,0,2,0,1,0.214,98,105,20
Platoon Splits,vs LHP,31,,51,41,5,10,1,0,1,9,4,0,5,12,0.244,0.392,0.342,0.734,14,0,5,0,0,0,0,0.321,105,109,8
Platoon Splits,vs RHP as LHB,46,,150,135,,31,2,0,9,25,0,0,10,25,0.23,0.293,0.444,0.738,60,0,3,0,2,0,1,0.214,98,99,20
Platoon Splits,vs LHP as LHB,31,,51,41,,10,1,0,1,9,0,0,5,12,0.244,0.392,0.342,0.734,14,0,5,0,0,0,0,0.321,105,122,8
Platoon Splits,vs RH Starter,38,37,162,145,22,34,3,0,10,31,2,0,10,30,0.235,0.303,0.462,0.765,67,0,5,0,2,0,1,0.224,105,112,21
Platoon Splits,vs LH Starter,12,11,39,31,2,7,0,0,0,3,4,0,5,7,0.226,0.385,0.226,0.61,7,0,3,0,0,0,0,0.292,75,79,7
Home or Away,Home,25,24,97,88,9,21,1,0,4,13,2,0,8,23,0.239,0.309,0.386,0.696,34,0,1,0,0,0,0,0.279,89,93,16
Home or Away,Away,25,24,104,88,15,20,2,0,6,21,4,0,7,14,0.227,0.327,0.455,0.781,40,0,7,0,2,0,1,0.2,111,121,12
First or Second Half,1st Half,26,26,111,97,14,21,2,0,4,16,6,0,8,19,0.217,0.315,0.361,0.676,35,0,6,0,0,0,0,0.23,85,92,15
First or Second Half,2nd Half,24,22,90,79,10,20,1,0,6,18,0,0,7,18,0.253,0.322,0.494,0.816,39,0,2,0,2,0,1,0.246,119,123,13
Months,May,8,8,34,30,2,5,1,0,0,3,2,0,2,8,0.167,0.265,0.2,0.465,6,0,2,0,0,0,0,0.227,31,38,4
Months,June,18,18,77,67,12,16,1,0,4,13,4,0,6,11,0.239,0.338,0.433,0.771,29,0,4,0,0,0,0,0.231,109,114,11
Months,July,6,5,21,18,2,4,0,0,1,5,0,0,3,3,0.222,0.333,0.389,0.722,7,0,0,0,0,0,1,0.214,97,98,3
Months,August,18,17,69,61,8,16,1,0,5,13,0,0,4,15,0.262,0.319,0.525,0.843,32,0,2,0,2,0,0,0.256,125,130,10
Game Outcome for Team,in Wins,24,24,103,89,19,30,3,0,9,29,2,0,7,18,0.337,0.408,0.674,1.082,60,0,5,0,2,0,1,0.328,189,156,18
Game Outcome for Team,in Losses,26,24,98,87,5,11,0,0,1,5,4,0,8,19,0.126,0.225,0.161,0.385,14,0,3,0,0,0,0,0.149,9,34,10
Starter or Substitute,as Starter,48,48,197,172,24,40,3,0,10,34,6,0,15,37,0.233,0.32,0.424,0.744,73,0,8,0,2,0,1,0.236,102,108,27
Starter or Substitute,as Sub,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.25,38,54,1
Defensive Positions,as CF,49,,194,169,24,41,3,0,10,34,6,0,15,36,0.243,0.33,0.438,0.768,74,0,8,0,2,0,1,0.248,108,121,28
Defensive Positions,as DH,1,,5,5,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,21,,21,18,,1,0,0,0,0,,,2,4,0.056,0.191,0.056,0.246,1,0,1,0,0,0,0,0.071,-27,-24,1
Leading Off Inning,Leadoff Inn.,39,,59,53,,6,0,0,2,2,,,4,13,0.113,0.203,0.226,0.43,12,0,2,0,0,0,1,0.105,18,24,4
Batting Order Positions,Batting 1st,21,21,93,82,13,17,2,0,4,15,4,0,6,16,0.207,0.301,0.378,0.679,31,0,5,0,0,0,0,0.21,85,85,11
Batting Order Positions,Batting 2nd,1,1,4,4,1,1,0,0,1,3,0,0,0,0,0.25,0.25,1.0,1.25,4,0,0,0,0,0,0,0.0,217,207,0
Batting Order Positions,Batting 3rd,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,16,16,64,56,9,16,1,0,5,13,0,0,5,13,0.286,0.344,0.571,0.915,32,0,1,0,2,0,1,0.275,144,144,10
Batting Order Positions,Batting 5th,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,176,182,1
Batting Order Positions,Batting 6th,2,1,6,5,0,2,0,0,0,2,0,0,1,1,0.4,0.5,0.4,0.9,2,0,0,0,0,0,0,0.5,153,169,2
Batting Order Positions,Batting 7th,6,6,20,16,1,2,0,0,0,0,1,0,3,6,0.125,0.3,0.125,0.425,2,0,1,0,0,0,0,0.2,24,31,2
Batting Order Positions,Batting 8th,2,2,8,7,0,2,0,0,0,1,1,0,0,0,0.286,0.375,0.286,0.661,2,0,1,0,0,0,0,0.286,86,106,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,30,,36,34,,8,1,0,3,11,,,0,3,0.235,0.25,0.529,0.779,18,0,1,0,1,0,0,0.172,105,113,4
Swung or Took First Pitch of PA,Took 1st Pitch,50,,165,142,,33,2,0,7,23,,,15,34,0.232,0.333,0.394,0.728,56,0,7,0,1,0,1,0.255,99,103,24
Count/Balls-Strikes,First Pitch,18,,20,15,5,4,1,0,1,4,1,0,0,0,0.267,0.4,0.533,0.933,8,0,4,0,1,0,0,0.2,153,112,2
Count/Balls-Strikes,1-0 Count,12,,15,14,2,3,0,0,1,1,0,0,0,0,0.214,0.267,0.429,0.695,6,0,1,0,0,0,0,0.154,86,53,2
Count/Balls-Strikes,2-0 Count,2,,2,2,0,2,0,0,0,2,1,0,0,0,1.0,1.0,1.0,2.0,2,0,0,0,0,0,0,1.0,453,351,2
Count/Balls-Strikes,3-0 Count,2,,2,0,,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,19,,24,23,3,9,1,0,2,6,0,0,0,0,0.391,0.417,0.696,1.112,16,0,1,0,0,0,0,0.333,197,162,6
Count/Balls-Strikes,1-1 Count,14,,16,15,4,3,0,0,2,7,1,0,0,0,0.2,0.25,0.6,0.85,9,0,1,0,0,0,0,0.077,122,91,1
Count/Balls-Strikes,2-1 Count,10,,10,10,2,2,0,0,1,1,0,0,0,0,0.2,0.2,0.5,0.7,5,0,0,0,0,0,0,0.111,82,44,1
Count/Balls-Strikes,3-1 Count,11,,11,7,1,4,0,0,0,2,0,0,4,0,0.571,0.727,0.571,1.299,4,0,0,0,0,0,0,0.571,265,94,4
Count/Balls-Strikes,0-2 Count,15,,16,16,3,3,0,0,2,7,1,0,0,7,0.188,0.188,0.563,0.75,9,0,0,0,0,0,1,0.143,93,270,1
Count/Balls-Strikes,1-2 Count,25,,31,31,1,4,0,0,0,0,1,0,0,11,0.129,0.129,0.129,0.258,4,0,0,0,0,0,0,0.2,-29,29,4
Count/Balls-Strikes,2-2 Count,23,,31,29,,4,1,0,0,2,0,0,0,15,0.138,0.161,0.172,0.334,5,0,1,0,1,0,0,0.267,-8,54,3
Count/Balls-Strikes,Full Count,18,,23,14,3,3,0,0,1,2,1,0,9,4,0.214,0.522,0.429,0.95,6,0,0,0,0,0,0,0.222,166,144,2
Count/Balls-Strikes,After 1-0,42,,81,66,,17,1,0,4,13,,,12,14,0.258,0.383,0.455,0.837,30,0,2,0,1,0,0,0.265,129,109,12
Count/Balls-Strikes,After 2-0,21,,28,21,,6,1,0,0,6,,,5,5,0.286,0.429,0.333,0.762,7,0,1,0,1,0,0,0.353,114,58,5
Count/Balls-Strikes,After 3-0,6,,6,3,,1,0,0,0,1,,,3,1,0.333,0.667,0.333,1.0,1,0,0,0,0,0,0,0.5,189,56,1
Count/Balls-Strikes,After 0-1,47,,99,94,,20,1,0,5,17,,,3,23,0.213,0.253,0.383,0.636,36,0,2,0,0,0,1,0.227,71,108,14
Count/Balls-Strikes,After 1-1,43,,75,65,,12,0,0,4,10,,,9,15,0.185,0.293,0.369,0.663,24,0,1,0,0,0,0,0.174,80,99,8
Count/Balls-Strikes,After 2-1,31,,47,37,,9,1,0,2,6,,,8,11,0.243,0.383,0.432,0.815,16,0,1,0,1,0,0,0.28,123,107,6
